Date,EM (EMERGING MARKETS) SMALL CAP Small Cap
2001-01-01,236.217
2001-01-02,235.826
2001-01-03,235.28
2001-01-04,241.08
2001-01-05,242.969
2001-01-08,244.576
2001-01-09,246.536
2001-01-10,246.526
2001-01-11,246.784
2001-01-12,247.805
2001-01-15,248.597
2001-01-16,250.058
2001-01-17,250.753
2001-01-18,251.934
2001-01-19,255.172
2001-01-22,257.613
2001-01-23,258.1
2001-01-24,258.292
2001-01-25,258.804
2001-01-26,258.111
2001-01-29,257.126
2001-01-30,257.766
2001-01-31,260.526
2001-02-01,260.013
2001-02-02,262.055
2001-02-05,260.064
2001-02-06,259.989
2001-02-07,255.958
2001-02-08,257.278
2001-02-09,259.69
2001-02-12,260.078
2001-02-13,261.167
2001-02-14,261.122
2001-02-15,262.919
2001-02-16,261.729
2001-02-19,259.955
2001-02-20,260.982
2001-02-21,256.747
2001-02-22,251.483
2001-02-23,250.475
2001-02-26,253.198
2001-02-27,252.482
2001-02-28,251.816
2001-03-01,250.249
2001-03-02,247.952
2001-03-05,248.476
2001-03-06,249.398
2001-03-07,250.0
2001-03-08,250.185
2001-03-09,248.399
2001-03-12,242.66
2001-03-13,239.04
2001-03-14,238.86
2001-03-15,239.442
2001-03-16,238.437
2001-03-19,235.738
2001-03-20,236.974
2001-03-21,236.328
2001-03-22,234.411
2001-03-23,235.36
2001-03-26,239.061
2001-03-27,237.935
2001-03-28,236.927
2001-03-29,234.765
2001-03-30,234.877
2001-04-02,231.006
2001-04-03,226.966
2001-04-04,225.263
2001-04-05,226.814
2001-04-06,228.162
2001-04-09,226.39
2001-04-10,226.82
2001-04-11,228.067
2001-04-12,229.497
2001-04-13,230.246
2001-04-16,229.54
2001-04-17,228.814
2001-04-18,233.569
2001-04-19,235.474
2001-04-20,234.261
2001-04-23,234.889
2001-04-24,235.879
2001-04-25,235.423
2001-04-26,236.579
2001-04-27,236.707
2001-04-30,237.788
2001-05-01,237.818
2001-05-02,238.635
2001-05-03,239.178
2001-05-04,238.237
2001-05-07,238.46
2001-05-08,236.941
2001-05-09,236.579
2001-05-10,236.02
2001-05-11,236.525
2001-05-14,235.741
2001-05-15,235.976
2001-05-16,236.594
2001-05-17,239.593
2001-05-18,239.501
2001-05-21,238.904
2001-05-22,239.45
2001-05-23,241.908
2001-05-24,243.237
2001-05-25,243.155
2001-05-28,242.586
2001-05-29,242.184
2001-05-30,241.145
2001-05-31,241.722
2001-06-01,240.691
2001-06-04,241.207
2001-06-05,240.734
2001-06-06,242.121
2001-06-07,242.108
2001-06-08,244.63
2001-06-11,243.642
2001-06-12,243.367
2001-06-13,243.185
2001-06-14,241.792
2001-06-15,241.725
2001-06-18,238.235
2001-06-19,237.265
2001-06-20,236.257
2001-06-21,237.491
2001-06-22,237.749
2001-06-25,238.031
2001-06-26,236.845
2001-06-27,236.844
