Date,EM (EMERGING MARKETS) SMALL CAP Small Cap
1994-05-31,418.598
1994-06-30,422.097
1994-07-29,437.328
1994-08-31,500.987
1994-09-30,529.882
1994-10-31,530.218
1994-11-30,507.535
1994-12-30,491.841
1995-01-31,438.71
1995-02-28,450.482
1995-03-31,458.879
1995-04-28,455.768
1995-05-31,478.749
1995-06-30,482.314
1995-07-31,494.024
1995-08-31,478.97
1995-09-29,472.86
1995-10-31,453.587
1995-11-30,443.123
1995-12-29,456.57
1996-01-31,489.563
1996-02-29,491.669
1996-03-29,490.389
1996-04-30,512.312
1996-05-31,490.599
1996-06-28,496.453
1996-07-31,466.264
1996-08-30,472.293
1996-09-30,481.541
1996-10-31,471.698
1996-11-29,472.653
1996-12-31,466.928
1997-01-31,500.825
1997-02-28,533.141
1997-03-31,523.293
1997-04-30,499.988
1997-05-30,495.562
1997-06-30,502.948
1997-07-31,502.716
1997-08-29,442.077
1997-09-30,432.181
1997-10-31,366.753
1997-11-28,326.138
1997-12-31,305.727
1998-01-30,285.864
1998-02-27,326.631
1998-03-31,340.861
1998-04-30,335.985
1998-05-29,305.734
1998-06-30,267.441
1998-07-31,265.874
1998-08-31,207.856
1998-09-30,209.267
1998-10-30,227.704
1998-11-30,252.731
1998-12-31,255.804
1999-01-29,246.154
1999-02-26,241.061
1999-03-31,270.434
1999-04-30,305.471
1999-05-31,304.832
1999-06-30,328.537
1999-07-30,324.254
1999-08-31,319.646
1999-09-30,305.591
1999-10-29,308.191
1999-11-30,326.535
1999-12-31,360.641
2000-01-31,385.375
2000-02-29,380.984
2000-03-31,371.856
2000-04-28,343.197
2000-05-31,318.704
2000-06-30,314.515
2000-07-31,305.655
2000-08-31,304.848
2000-09-29,275.737
2000-10-31,250.142
2000-11-30,236.147
2000-12-29,232.964
2001-01-31,256.845
2001-02-28,248.272
2001-03-30,231.684
2001-04-30,234.594
2001-05-31,238.548
2001-06-29,234.349
2001-07-31,220.288
2001-08-31,222.529
2001-09-28,193.526
2001-10-31,200.048
2001-11-30,220.359
2001-12-31,234.02
2002-01-31,246.822
2002-02-28,247.853
2002-03-29,267.541
2002-04-30,270.617
2002-05-31,264.998
2002-06-28,245.113
2002-07-31,238.49
2002-08-30,238.268
2002-09-30,210.908
2002-10-31,221.911
2002-11-29,236.385
2002-12-31,231.08
2003-01-31,238.432
2003-02-28,231.743
2003-03-31,222.904
2003-04-30,238.823
2003-05-30,260.947
2003-06-30,277.459
2003-07-31,293.902
2003-08-29,309.753
2003-09-30,312.744
2003-10-31,336.903
2003-11-28,347.318
2003-12-31,371.552
2004-01-30,381.621
2004-02-27,399.577
2004-03-31,401.354
2004-04-30,376.674
2004-05-31,358.967
2004-06-30,357.985
2004-07-30,350.211
2004-08-31,363.973
2004-09-30,386.646
2004-10-29,396.51
2004-11-30,437.469
2004-12-31,464.52
2005-01-31,466.277
2005-02-28,503.353
2005-03-31,475.219
2005-04-29,460.805
2005-05-31,470.807
2005-06-30,488.762
2005-07-29,515.182
2005-08-31,514.952
2005-09-30,549.527
2005-10-31,517.985
2005-11-30,564.519
2005-12-30,601.646
2006-01-31,651.156
2006-02-28,656.943
2006-03-31,670.031
2006-04-28,717.502
2006-05-31,654.158
2006-06-30,617.627
2006-07-31,625.139
2006-08-31,644.833
2006-09-29,665.844
2006-10-31,703.766
2006-11-30,764.623
2006-12-29,797.729
2007-01-31,797.278
2007-02-28,818.705
2007-03-30,858.898
2007-04-30,920.777
2007-05-31,1000.0
2007-06-29,1044.455
2007-07-31,1130.056
2007-08-31,1073.889
2007-09-28,1152.525
2007-10-31,1232.393
2007-11-30,1122.214
2007-12-31,1137.347
2008-01-31,975.103
2008-02-29,1044.919
2008-03-31,978.938
2008-04-30,1028.656
2008-05-30,1008.697
2008-06-30,888.187
2008-07-31,870.18
2008-08-29,807.64
2008-09-30,642.485
2008-10-31,448.366
2008-11-28,422.354
2008-12-31,476.599
2009-01-30,447.012
2009-02-27,430.16
2009-03-31,491.176
2009-04-30,601.304
2009-05-29,740.339
2009-06-30,738.461
2009-07-31,831.878
2009-08-31,841.195
2009-09-30,909.532
2009-10-30,915.434
2009-11-30,958.588
2009-12-31,1021.47
2010-01-29,983.923
2010-02-26,986.378
2010-03-31,1073.677
2010-04-30,1100.516
2010-05-31,985.75
2010-06-30,1000.105
2010-07-30,1072.831
2010-08-31,1075.944
2010-09-30,1206.38
2010-10-29,1257.337
2010-11-30,1229.806
2010-12-31,1302.115
2011-01-31,1260.154
2011-02-28,1211.327
2011-03-31,1267.196
2011-04-29,1324.457
2011-05-31,1283.064
2011-06-30,1255.396
2011-07-29,1280.472
2011-08-31,1138.711
2011-09-30,957.225
2011-10-31,1050.555
2011-11-30,963.703
2011-12-30,951.074
2012-01-31,1053.489
2012-02-29,1146.789
2012-03-30,1109.657
2012-04-30,1088.862
2012-05-31,991.534
2012-06-29,1021.343
2012-07-31,1020.422
2012-08-31,1044.317
2012-09-28,1109.175
2012-10-31,1093.177
2012-11-30,1112.376
2012-12-31,1165.984
2013-01-31,1197.812
2013-02-28,1211.609
2013-03-29,1215.549
2013-04-30,1240.479
2013-05-31,1233.348
2013-06-28,1125.697
2013-07-31,1132.983
2013-08-30,1095.697
2013-09-30,1166.781
2013-10-31,1209.209
2013-11-29,1188.054
2013-12-31,1181.681
2014-01-31,1149.886
2014-02-28,1198.312
2014-03-31,1224.145
2014-04-30,1229.089
2014-05-30,1266.119
2014-06-30,1289.273
2014-07-31,1299.544
2014-08-29,1331.28
2014-09-30,1273.693
2014-10-31,1251.357
2014-11-28,1232.177
2014-12-31,1197.519
2015-01-30,1214.823
2015-02-27,1242.361
2015-03-31,1240.859
2015-04-30,1353.489
2015-05-29,1359.37
2015-06-30,1297.498
2015-07-31,1197.683
2015-08-31,1082.686
2015-09-30,1082.814
2015-10-30,1146.919
2015-11-30,1117.466
2015-12-31,1118.82
2016-01-29,1030.778
2016-02-29,1027.158
2016-03-31,1129.992
2016-04-29,1147.009
2016-05-31,1106.868
2016-06-30,1135.256
2016-07-29,1184.647
2016-08-31,1207.047
2016-09-30,1223.071
2016-10-31,1205.022
2016-11-30,1148.846
2016-12-30,1147.459
2017-01-31,1201.237
2017-02-28,1263.811
2017-03-31,1297.216
2017-04-28,1312.032
2017-05-31,1321.419
2017-06-30,1332.149
2017-07-31,1380.809
2017-08-31,1408.412
2017-09-29,1409.162
2017-10-31,1458.764
2017-11-30,1484.533
2017-12-29,1540.094
2018-01-31,1629.629
2018-02-28,1562.868
2018-03-30,1543.239
2018-04-30,1541.771
2018-05-31,1510.047
2018-06-29,1411.508
2018-07-31,1430.098
2018-08-31,1400.664
2018-09-28,1354.355
2018-10-31,1211.7
2018-11-30,1278.024
2018-12-31,1258.323
2019-01-31,1326.109
2019-02-28,1343.404
2019-03-29,1356.313
2019-04-30,1359.416
2019-05-31,1293.0
2019-06-28,1344.219
2019-07-31,1325.538
2019-08-30,1259.945
2019-09-30,1284.867
2019-10-31,1334.117
2019-11-29,1326.391
2019-12-31,1408.307
2020-01-31,1352.203
2020-02-28,1256.885
2020-03-31,966.966
2020-04-30,1102.026
2020-05-29,1128.24
2020-06-30,1230.349
2020-07-31,1345.36
2020-08-31,1401.118
2020-09-30,1378.431
2020-10-30,1370.957
2020-11-30,1564.319
2020-12-31,1685.981
2021-01-29,1687.467
2021-02-26,1788.199
2021-03-31,1816.029
2021-04-30,1926.191
2021-05-31,1975.2
2021-06-30,2022.402
2021-07-30,1996.798
2021-08-31,2021.413
2021-09-30,1982.007
2021-10-29,1986.934
2021-11-30,1928.83
2021-12-31,2011.25
2022-01-31,1922.488
2022-02-28,1874.909
2022-03-31,1925.481
2022-04-29,1829.619
2022-05-31,1800.204
2022-06-30,1611.965
2022-07-29,1658.773
2022-08-31,1700.91
2022-09-30,1530.935
