Date,EM (EMERGING MARKETS) SMALL CAP Small Cap
1994-05-31,429.351
1994-06-30,432.909
1994-07-29,448.474
1994-08-31,513.646
1994-09-30,543.243
1994-10-31,543.562
1994-11-30,520.286
1994-12-30,504.157
1995-01-31,449.594
1995-02-28,461.633
1995-03-31,470.168
1995-04-28,466.902
1995-05-31,490.302
1995-06-30,493.91
1995-07-31,505.834
1995-08-31,490.371
1995-09-29,484.058
1995-10-31,464.248
1995-11-30,453.502
1995-12-29,467.24
1996-01-31,500.927
1996-02-29,503.069
1996-03-29,501.675
1996-04-30,523.973
1996-05-31,501.597
1996-06-28,507.526
1996-07-31,476.583
1996-08-30,482.686
1996-09-30,492.106
1996-10-31,482.028
1996-11-29,482.954
1996-12-31,477.039
1997-01-31,511.569
1997-02-28,544.57
1997-03-31,534.472
1997-04-30,510.598
1997-05-30,505.993
1997-06-30,513.476
1997-07-31,513.157
1997-08-29,451.197
1997-09-30,441.075
1997-10-31,374.285
1997-11-28,332.796
1997-12-31,311.923
1998-01-30,291.632
1998-02-27,333.212
1998-03-31,347.707
1998-04-30,342.671
1998-05-29,311.745
1998-06-30,272.654
1998-07-31,271.014
1998-08-31,211.837
1998-09-30,213.26
1998-10-30,232.035
1998-11-30,257.499
1998-12-31,260.593
1999-01-29,250.662
1999-02-26,245.452
1999-03-31,275.307
1999-04-30,310.896
1999-05-31,310.126
1999-06-30,334.178
1999-07-30,329.771
1999-08-31,325.051
1999-09-30,310.719
1999-10-29,313.335
1999-11-30,331.959
1999-12-31,366.568
2000-01-31,391.559
2000-02-29,387.09
2000-03-31,377.757
2000-04-28,348.557
2000-05-31,323.574
2000-06-30,319.275
2000-07-31,310.241
2000-08-31,309.378
2000-09-29,279.81
2000-10-31,253.818
2000-11-30,239.596
2000-12-29,236.335
2001-01-31,260.526
2001-02-28,251.816
2001-03-30,234.877
2001-04-30,237.788
2001-05-31,241.722
2001-06-29,237.393
2001-07-31,223.065
2001-08-31,225.304
2001-09-28,195.925
2001-10-31,202.516
2001-11-30,223.053
2001-12-31,236.84
2002-01-31,249.785
2002-02-28,250.811
2002-03-29,270.637
2002-04-30,273.711
2002-05-31,267.953
2002-06-28,247.8
2002-07-31,241.027
2002-08-30,240.765
2002-09-30,213.101
2002-10-31,224.208
2002-11-29,238.828
2002-12-31,233.407
2003-01-31,240.813
2003-02-28,233.978
2003-03-31,225.005
2003-04-30,241.027
2003-05-30,263.314
2003-06-30,279.911
2003-07-31,296.371
2003-08-29,312.277
2003-09-30,315.26
2003-10-31,339.606
2003-11-28,350.099
2003-12-31,374.402
2004-01-30,384.465
2004-02-27,402.483
2004-03-31,404.234
2004-04-30,379.294
2004-05-31,361.411
2004-06-30,360.297
2004-07-30,352.302
2004-08-31,366.036
2004-09-30,388.799
2004-10-29,398.706
2004-11-30,439.879
2004-12-31,467.036
2005-01-31,468.691
2005-02-28,505.857
2005-03-31,477.483
2005-04-29,462.878
2005-05-31,472.845
2005-06-30,490.784
2005-07-29,517.071
2005-08-31,516.621
2005-09-30,551.272
2005-10-31,519.609
2005-11-30,566.273
2005-12-30,603.27
2006-01-31,652.84
2006-02-28,658.574
2006-03-31,671.596
2006-04-28,719.124
2006-05-31,655.537
2006-06-30,618.836
2006-07-31,626.113
2006-08-31,645.547
2006-09-29,666.507
2006-10-31,704.438
2006-11-30,765.336
2006-12-29,798.432
2007-01-31,797.841
2007-02-28,819.117
2007-03-30,859.196
2007-04-30,920.963
2007-05-31,1000.0
2007-06-29,1044.358
2007-07-31,1129.374
2007-08-31,1072.721
2007-09-28,1151.131
2007-10-31,1230.857
2007-11-30,1120.784
2007-12-31,1135.851
2008-01-31,973.69
2008-02-29,1043.107
2008-03-31,977.119
2008-04-30,1026.591
2008-05-30,1006.331
2008-06-30,885.965
2008-07-31,867.304
2008-08-29,804.436
2008-09-30,639.782
2008-10-31,446.42
2008-11-28,420.496
2008-12-31,474.442
2009-01-30,444.944
2009-02-27,428.012
2009-03-31,488.629
2009-04-30,598.041
2009-05-29,736.049
2009-06-30,734.041
2009-07-31,826.538
2009-08-31,835.492
2009-09-30,903.28
2009-10-30,909.106
2009-11-30,951.925
2009-12-31,1014.319
2010-01-29,976.953
2010-02-26,979.194
2010-03-31,1065.699
2010-04-30,1092.167
2010-05-31,978.0
2010-06-30,992.081
2010-07-30,1063.411
2010-08-31,1066.1
2010-09-30,1195.231
2010-10-29,1245.665
2010-11-30,1218.318
2010-12-31,1289.904
2011-01-31,1248.252
2011-02-28,1199.655
2011-03-31,1254.804
2011-04-29,1311.306
2011-05-31,1269.99
2011-06-30,1242.315
2011-07-29,1266.035
2011-08-31,1125.003
2011-09-30,945.492
2011-10-31,1037.589
2011-11-30,951.779
2011-12-30,939.27
2012-01-31,1040.37
2012-02-29,1132.227
2012-03-30,1095.438
2012-04-30,1074.758
2012-05-31,978.36
2012-06-29,1007.531
2012-07-31,1005.64
2012-08-31,1028.554
2012-09-28,1092.234
2012-10-31,1076.366
2012-11-30,1095.241
2012-12-31,1147.958
2013-01-31,1179.174
2013-02-28,1192.497
2013-03-29,1196.176
2013-04-30,1220.464
2013-05-31,1213.006
2013-06-28,1106.874
2013-07-31,1113.083
2013-08-30,1075.894
2013-09-30,1145.503
2013-10-31,1187.074
2013-11-29,1166.278
2013-12-31,1159.934
2014-01-31,1128.631
2014-02-28,1175.859
2014-03-31,1200.954
2014-04-30,1205.608
2014-05-30,1241.573
2014-06-30,1264.041
2014-07-31,1272.916
2014-08-29,1303.307
2014-09-30,1246.748
2014-10-31,1224.797
2014-11-28,1205.99
2014-12-31,1171.656
2015-01-30,1188.506
2015-02-27,1215.379
2015-03-31,1213.703
2015-04-30,1323.686
2015-05-29,1329.129
2015-06-30,1268.323
2015-07-31,1169.8
2015-08-31,1056.9
2015-09-30,1056.861
2015-10-30,1119.349
2015-11-30,1090.558
2015-12-31,1091.437
2016-01-29,1005.485
2016-02-29,1001.896
2016-03-31,1102.053
2016-04-29,1118.486
2016-05-31,1079.056
2016-06-30,1106.445
2016-07-29,1153.802
2016-08-31,1175.075
2016-09-30,1190.522
2016-10-31,1172.874
2016-11-30,1118.15
2016-12-30,1116.325
2017-01-31,1168.564
2017-02-28,1229.371
2017-03-31,1261.696
2017-04-28,1275.937
2017-05-31,1284.777
2017-06-30,1294.827
2017-07-31,1341.069
2017-08-31,1367.238
2017-09-29,1367.815
2017-10-31,1415.84
2017-11-30,1440.773
2017-12-29,1494.089
2018-01-31,1580.673
2018-02-28,1515.847
2018-03-30,1496.587
2018-04-30,1494.878
2018-05-31,1463.809
2018-06-29,1367.833
2018-07-31,1384.508
2018-08-31,1355.307
2018-09-28,1310.305
2018-10-31,1172.115
2018-11-30,1236.175
2018-12-31,1216.353
2019-01-31,1281.749
2019-02-28,1298.414
2019-03-29,1310.683
2019-04-30,1313.462
2019-05-31,1248.85
2019-06-28,1297.865
2019-07-31,1278.532
2019-08-30,1214.52
2019-09-30,1238.367
2019-10-31,1285.688
2019-11-29,1278.118
2019-12-31,1356.241
2020-01-31,1302.065
2020-02-28,1210.25
2020-03-31,930.835
2020-04-30,1060.547
2020-05-29,1085.621
2020-06-30,1183.436
2020-07-31,1292.732
2020-08-31,1345.757
2020-09-30,1323.667
2020-10-30,1316.386
2020-11-30,1501.889
2020-12-31,1617.809
2021-01-29,1619.115
2021-02-26,1715.585
2021-03-31,1741.832
2021-04-30,1846.98
2021-05-31,1893.583
2021-06-30,1937.821
2021-07-30,1912.343
2021-08-31,1934.505
2021-09-30,1896.027
2021-10-29,1899.399
2021-11-30,1843.638
2021-12-31,1921.17
2022-01-31,1836.184
2022-02-28,1790.355
2022-03-31,1837.902
2022-04-29,1745.713
2022-05-31,1717.122
2022-06-30,1536.277
2022-07-29,1578.704
2022-08-31,1617.808
2022-09-30,1455.591
2022-10-31,1454.535
2022-11-30,1591.338
2022-12-30,1574.953
2023-01-31,1668.297
2023-02-28,1620.696
2023-03-31,1635.845
2023-04-28,1646.742
2023-05-31,1665.004
2023-06-30,1740.326
2023-07-31,1853.97
2023-08-31,1828.887
2023-09-29,1791.305
2023-10-31,1704.738
2023-11-30,1869.007
2023-12-29,1951.611
2024-01-31,1917.932
2024-02-29,1970.604
2024-03-29,1972.153
2024-04-30,2011.158
2024-05-31,2024.362
2024-06-28,2089.075
2024-07-31,2088.106
2024-08-30,2125.205
2024-09-30,2203.562
2024-10-31,2113.1
2024-11-29,2066.234
2024-12-31,2045.089
2025-01-31,1988.018
2025-02-28,1935.573
2025-03-31,1932.712
2025-04-30,1985.258
2025-05-30,2142.309
2025-06-30,2264.647
2025-07-31,2278.904
2025-08-29,2339.208
