Date,EM (EMERGING MARKETS) SMALL CAP Small Cap
2001-01-01,232.847
2001-01-02,232.483
2001-01-03,231.945
2001-01-04,237.664
2001-01-05,239.526
2001-01-08,241.111
2001-01-09,243.044
2001-01-10,243.034
2001-01-11,243.288
2001-01-12,244.295
2001-01-15,245.079
2001-01-16,246.52
2001-01-17,247.205
2001-01-18,248.369
2001-01-19,251.561
2001-01-22,253.973
2001-01-23,254.453
2001-01-24,254.642
2001-01-25,255.146
2001-01-26,254.464
2001-01-29,253.493
2001-01-30,254.124
2001-01-31,256.845
2001-02-01,256.339
2001-02-02,258.354
2001-02-05,256.39
2001-02-06,256.319
2001-02-07,252.344
2001-02-08,253.646
2001-02-09,256.024
2001-02-12,256.407
2001-02-13,257.481
2001-02-14,257.436
2001-02-15,259.208
2001-02-16,258.035
2001-02-19,256.286
2001-02-20,257.299
2001-02-21,253.123
2001-02-22,247.94
2001-02-23,246.948
2001-02-26,249.635
2001-02-27,248.929
2001-02-28,248.272
2001-03-01,246.727
2001-03-02,244.463
2001-03-05,244.981
2001-03-06,245.891
2001-03-07,246.484
2001-03-08,246.687
2001-03-09,244.926
2001-03-12,239.277
2001-03-13,235.711
2001-03-14,235.535
2001-03-15,236.108
2001-03-16,235.121
2001-03-19,232.473
2001-03-20,233.694
2001-03-21,233.07
2001-03-22,231.181
2001-03-23,232.122
2001-03-26,235.773
2001-03-27,234.664
2001-03-28,233.69
2001-03-29,231.559
2001-03-30,231.684
2001-04-02,227.867
2001-04-03,223.883
2001-04-04,222.206
2001-04-05,223.738
2001-04-06,225.069
2001-04-09,223.324
2001-04-10,223.747
2001-04-11,224.977
2001-04-12,226.389
2001-04-13,227.127
2001-04-16,226.431
2001-04-17,225.716
2001-04-18,230.409
2001-04-19,232.291
2001-04-20,231.094
2001-04-23,231.72
2001-04-24,232.696
2001-04-25,232.249
2001-04-26,233.396
2001-04-27,233.523
2001-04-30,234.594
2001-05-01,234.624
2001-05-02,235.434
2001-05-03,235.971
2001-05-04,235.046
2001-05-07,235.278
2001-05-08,233.782
2001-05-09,233.425
2001-05-10,232.876
2001-05-11,233.375
2001-05-14,232.605
2001-05-15,232.839
2001-05-16,233.451
2001-05-17,236.417
2001-05-18,236.326
2001-05-21,235.741
2001-05-22,236.285
2001-05-23,238.715
2001-05-24,240.03
2001-05-25,239.951
2001-05-28,239.394
2001-05-29,238.998
2001-05-30,237.974
2001-05-31,238.548
2001-06-01,237.531
2001-06-04,238.044
2001-06-05,237.578
2001-06-06,238.951
2001-06-07,238.943
2001-06-08,241.433
2001-06-11,240.468
2001-06-12,240.197
2001-06-13,240.025
2001-06-14,238.652
2001-06-15,238.588
2001-06-18,235.151
2001-06-19,234.201
2001-06-20,233.207
2001-06-21,234.431
2001-06-22,234.686
2001-06-25,234.968
2001-06-26,233.799
2001-06-27,233.8
2001-06-28,232.624
2001-06-29,234.349
2001-07-02,233.707
2001-07-03,232.224
2001-07-04,230.326
2001-07-05,228.902
2001-07-06,226.891
2001-07-09,225.258
2001-07-10,224.229
2001-07-11,219.908
2001-07-12,222.509
2001-07-13,220.964
2001-07-16,219.935
2001-07-17,219.643
2001-07-18,219.313
2001-07-19,219.097
2001-07-20,219.373
2001-07-23,218.38
2001-07-24,217.64
2001-07-25,216.753
2001-07-26,219.426
2001-07-27,220.291
2001-07-30,221.094
2001-07-31,220.288
2001-08-01,221.229
2001-08-02,222.483
2001-08-03,223.616
2001-08-06,222.073
2001-08-07,221.704
2001-08-08,222.329
2001-08-09,221.264
2001-08-10,221.904
2001-08-13,222.474
2001-08-14,224.015
2001-08-15,224.455
2001-08-16,225.812
2001-08-17,225.495
2001-08-20,224.075
2001-08-21,224.579
2001-08-22,224.788
2001-08-23,224.632
2001-08-24,224.319
2001-08-27,225.347
2001-08-28,224.578
2001-08-29,224.485
2001-08-30,223.883
2001-08-31,222.529
2001-09-03,221.046
2001-09-04,221.452
2001-09-05,220.585
2001-09-06,219.926
2001-09-07,219.175
2001-09-10,217.615
2001-09-11,213.807
2001-09-12,208.7
2001-09-13,204.662
2001-09-14,197.798
2001-09-17,190.374
2001-09-18,192.57
2001-09-19,195.808
2001-09-20,193.171
2001-09-21,189.223
2001-09-24,190.424
2001-09-25,190.133
2001-09-26,190.608
2001-09-27,191.161
2001-09-28,193.526
2001-10-01,192.388
2001-10-02,191.134
2001-10-03,190.187
2001-10-04,192.145
2001-10-05,192.181
2001-10-08,189.417
2001-10-09,192.023
2001-10-10,192.564
2001-10-11,195.984
2001-10-12,195.53
2001-10-15,195.747
2001-10-16,196.631
2001-10-17,197.896
2001-10-18,197.101
2001-10-19,197.485
2001-10-22,198.665
2001-10-23,199.869
2001-10-24,200.699
2001-10-25,200.753
2001-10-26,201.464
2001-10-29,201.372
2001-10-30,199.393
2001-10-31,200.048
2001-11-01,200.735
2001-11-02,201.811
2001-11-05,203.835
2001-11-06,204.588
