Date,AUSTRALIA Standard (Large+Mid Cap)
2001-01-01,1144.74
2001-01-02,1172.871
2001-01-03,1172.12
2001-01-04,1205.082
2001-01-05,1218.417
2001-01-08,1195.307
2001-01-09,1181.199
2001-01-10,1170.254
2001-01-11,1164.626
2001-01-12,1171.006
2001-01-15,1170.984
2001-01-16,1170.713
2001-01-17,1164.745
2001-01-18,1187.372
2001-01-19,1198.272
2001-01-22,1196.295
2001-01-23,1179.901
2001-01-24,1162.29
2001-01-25,1173.811
2001-01-26,1170.579
2001-01-29,1168.652
2001-01-30,1180.344
2001-01-31,1190.977
2001-02-01,1210.803
2001-02-02,1202.137
2001-02-05,1179.389
2001-02-06,1185.804
2001-02-07,1173.772
2001-02-08,1164.342
2001-02-09,1152.201
2001-02-12,1167.669
2001-02-13,1163.103
2001-02-14,1154.829
2001-02-15,1135.298
2001-02-16,1150.882
2001-02-19,1137.63
2001-02-20,1125.039
2001-02-21,1138.466
2001-02-22,1125.684
2001-02-23,1120.134
2001-02-26,1126.188
2001-02-27,1131.405
2001-02-28,1137.805
2001-03-01,1152.476
2001-03-02,1151.903
2001-03-05,1140.106
2001-03-06,1127.126
2001-03-07,1125.72
2001-03-08,1118.581
2001-03-09,1115.545
2001-03-12,1111.027
2001-03-13,1074.716
2001-03-14,1068.725
2001-03-15,1054.709
2001-03-16,1057.453
2001-03-19,1060.213
2001-03-20,1064.036
2001-03-21,1049.383
2001-03-22,1035.457
2001-03-23,1026.421
2001-03-26,1044.019
2001-03-27,1045.233
2001-03-28,1042.323
2001-03-29,1036.612
2001-03-30,1018.786
2001-04-02,1025.851
2001-04-03,1023.415
2001-04-04,1037.289
2001-04-05,1045.818
2001-04-06,1063.533
2001-04-09,1054.746
2001-04-10,1066.272
2001-04-11,1095.075
2001-04-12,1111.969
2001-04-13,1111.969
2001-04-16,1115.473
2001-04-17,1101.837
2001-04-18,1083.708
2001-04-19,1131.443
2001-04-20,1145.832
2001-04-23,1121.702
2001-04-24,1115.269
2001-04-25,1117.926
2001-04-26,1129.098
2001-04-27,1123.915
2001-04-30,1138.834
2001-05-01,1151.4
2001-05-02,1159.821
2001-05-03,1171.896
2001-05-04,1159.038
2001-05-07,1162.51
2001-05-08,1160.117
2001-05-09,1168.197
2001-05-10,1192.856
2001-05-11,1181.146
2001-05-14,1172.269
2001-05-15,1175.35
2001-05-16,1176.052
2001-05-17,1202.153
2001-05-18,1192.722
2001-05-21,1215.697
2001-05-22,1201.532
2001-05-23,1190.379
2001-05-24,1182.291
2001-05-25,1191.187
2001-05-28,1193.29
2001-05-29,1179.044
2001-05-30,1169.86
2001-05-31,1145.562
2001-06-01,1154.465
2001-06-04,1166.458
2001-06-05,1165.946
2001-06-06,1180.01
2001-06-07,1198.797
2001-06-08,1210.362
2001-06-11,1207.934
2001-06-12,1198.129
2001-06-13,1200.122
2001-06-14,1210.672
2001-06-15,1213.967
2001-06-18,1188.333
2001-06-19,1181.161
2001-06-20,1185.526
2001-06-21,1181.886
2001-06-22,1187.848
2001-06-25,1178.825
2001-06-26,1191.948
2001-06-27,1180.117
2001-06-28,1168.463
2001-06-29,1183.7
2001-07-02,1172.705
2001-07-03,1190.373
2001-07-04,1190.982
2001-07-05,1162.018
2001-07-06,1129.264
2001-07-09,1128.934
2001-07-10,1140.84
2001-07-11,1139.753
2001-07-12,1139.984
2001-07-13,1148.782
2001-07-16,1164.083
2001-07-17,1146.74
2001-07-18,1162.696
2001-07-19,1160.426
2001-07-20,1139.26
2001-07-23,1140.04
2001-07-24,1132.937
2001-07-25,1121.315
2001-07-26,1107.819
2001-07-27,1101.346
2001-07-30,1113.788
2001-07-31,1122.626
2001-08-01,1159.508
2001-08-02,1179.103
2001-08-03,1173.721
2001-08-06,1170.15
2001-08-07,1167.515
2001-08-08,1169.555
2001-08-09,1165.428
2001-08-10,1162.955
2001-08-13,1160.345
2001-08-14,1154.534
2001-08-15,1174.596
2001-08-16,1163.151
2001-08-17,1180.994
2001-08-20,1161.286
2001-08-21,1170.816
2001-08-22,1177.307
2001-08-23,1168.583
2001-08-24,1173.11
2001-08-27,1178.598
2001-08-28,1173.477
2001-08-29,1169.966
2001-08-30,1161.916
2001-08-31,1129.913
2001-09-03,1130.522
2001-09-04,1124.482
2001-09-05,1125.245
2001-09-06,1120.923
2001-09-07,1102.978
2001-09-10,1094.14
2001-09-11,1110.203
2001-09-12,1052.8
2001-09-13,1057.274
2001-09-14,1050.743
2001-09-17,981.562
2001-09-18,982.719
2001-09-19,988.852
2001-09-20,970.631
2001-09-21,941.552
2001-09-24,947.996
2001-09-25,967.946
2001-09-26,964.853
2001-09-27,963.53
2001-09-28,989.585
2001-10-01,1005.566
2001-10-02,1022.863
2001-10-03,1022.475
2001-10-04,1023.876
2001-10-05,1059.572
2001-10-08,1046.442
2001-10-09,1043.315
2001-10-10,1034.467
2001-10-11,1050.063
2001-10-12,1065.899
2001-10-15,1084.169
2001-10-16,1089.569
2001-10-17,1101.068
2001-10-18,1079.412
2001-10-19,1063.323
2001-10-22,1063.872
2001-10-23,1077.064
2001-10-24,1091.009
2001-10-25,1086.358
2001-10-26,1084.127
2001-10-29,1081.145
2001-10-30,1083.05
2001-10-31,1077.369
2001-11-01,1088.346
2001-11-02,1078.104
2001-11-05,1073.816
2001-11-06,1105.015
2001-11-07,1099.559
2001-11-08,1102.609
2001-11-09,1109.671
2001-11-12,1132.232
2001-11-13,1126.122
2001-11-14,1144.067
2001-11-15,1147.018
2001-11-16,1145.85
2001-11-19,1150.319
2001-11-20,1158.466
2001-11-21,1144.297
2001-11-22,1140.744
2001-11-23,1147.544
2001-11-26,1154.161
2001-11-27,1172.032
2001-11-28,1161.599
2001-11-29,1148.752
2001-11-30,1161.788
2001-12-03,1155.066
2001-12-04,1146.423
2001-12-05,1158.164
2001-12-06,1165.277
2001-12-07,1166.639
2001-12-10,1158.744
2001-12-11,1157.975
2001-12-12,1155.224
2001-12-13,1151.99
2001-12-14,1141.815
2001-12-17,1141.734
2001-12-18,1147.879
2001-12-19,1144.462
