Date,AUSTRALIA Standard (Large+Mid Cap)
1990-12-31,464.502
1991-01-31,492.156
1991-02-28,528.945
1991-03-29,537.62
1991-04-30,580.902
1991-05-31,564.443
1991-06-28,572.024
1991-07-31,608.305
1991-08-30,604.608
1991-09-30,627.882
1991-10-31,660.757
1991-11-29,628.018
1991-12-31,629.964
1992-01-31,613.217
1992-02-28,617.994
1992-03-31,622.782
1992-04-30,645.233
1992-05-29,656.119
1992-06-30,634.422
1992-07-31,620.398
1992-08-31,572.034
1992-09-30,548.251
1992-10-30,515.306
1992-11-30,519.561
1992-12-31,568.478
1993-01-29,550.869
1993-02-26,593.714
1993-03-31,617.632
1993-04-30,622.142
1993-05-31,611.67
1993-06-30,598.292
1993-07-30,657.609
1993-08-31,685.945
1993-09-30,669.243
1993-10-29,745.502
1993-11-30,699.377
1993-12-31,776.254
1994-01-31,859.874
1994-02-28,816.669
1994-03-31,757.407
1994-04-29,785.463
1994-05-31,823.665
1994-06-30,781.972
1994-07-29,822.404
1994-08-31,862.05
1994-09-30,816.387
1994-10-31,839.503
1994-11-30,808.455
1994-12-30,826.565
1995-01-31,777.447
1995-02-28,802.985
1995-03-31,795.512
1995-04-28,849.902
1995-05-31,831.326
1995-06-30,822.777
1995-07-31,900.206
1995-08-31,917.716
1995-09-29,912.758
1995-10-31,890.893
1995-11-30,910.13
1995-12-29,929.582
1996-01-31,958.405
1996-02-29,989.684
1996-03-29,986.219
1996-04-30,1035.627
1996-05-31,1028.644
1996-06-28,995.66
1996-07-31,949.936
1996-08-30,1011.755
1996-09-30,1013.653
1996-10-31,1053.49
1996-11-29,1097.51
1996-12-31,1095.366
1997-01-31,1051.783
1997-02-28,1083.083
1997-03-31,1080.155
1997-04-30,1110.39
1997-05-30,1131.571
1997-06-30,1169.454
1997-07-31,1161.249
1997-08-29,1082.213
1997-09-30,1134.923
1997-10-31,982.555
1997-11-28,962.611
1997-12-31,991.087
1998-01-30,1057.424
1998-02-27,1076.738
1998-03-31,1080.842
1998-04-30,1065.601
1998-05-29,1005.075
1998-06-30,1008.029
1998-07-31,1002.528
1998-08-31,867.472
1998-09-30,925.419
1998-10-30,1005.389
1998-11-30,1068.515
1998-12-31,1061.046
1999-01-29,1125.754
1999-02-26,1097.993
1999-03-31,1144.93
1999-04-30,1263.019
1999-05-31,1160.05
1999-06-30,1218.619
1999-07-30,1218.528
1999-08-31,1150.764
1999-09-30,1156.238
1999-10-29,1130.239
1999-11-30,1191.044
1999-12-31,1259.14
2000-01-31,1214.671
2000-02-29,1186.914
2000-03-31,1177.435
2000-04-28,1146.547
2000-05-31,1106.652
2000-06-30,1268.223
2000-07-31,1191.94
2000-08-31,1205.437
2000-09-29,1153.274
2000-10-31,1079.838
2000-11-30,1104.706
2000-12-29,1144.74
2001-01-31,1190.977
2001-02-28,1137.805
2001-03-30,1018.786
2001-04-30,1138.834
2001-05-31,1145.562
2001-06-29,1183.7
2001-07-31,1122.626
2001-08-31,1129.913
2001-09-28,989.585
2001-10-31,1077.369
2001-11-30,1161.788
2001-12-31,1175.192
2002-01-31,1178.379
2002-02-28,1186.132
2002-03-29,1228.464
2002-04-30,1213.412
2002-05-31,1289.579
2002-06-28,1227.987
2002-07-31,1135.963
2002-08-30,1164.471
2002-09-30,1101.353
2002-10-31,1161.262
2002-11-29,1193.907
2002-12-31,1171.921
2003-01-31,1193.008
2003-02-28,1177.557
2003-03-31,1221.816
2003-04-30,1318.803
2003-05-30,1364.034
2003-06-30,1419.681
2003-07-31,1415.242
2003-08-29,1450.793
2003-09-30,1509.556
2003-10-31,1637.495
2003-11-28,1634.583
2003-12-31,1773.777
2004-01-30,1771.312
2004-02-27,1855.503
2004-03-31,1884.604
2004-04-30,1773.538
2004-05-31,1785.286
2004-06-30,1784.994
2004-07-30,1790.767
2004-08-31,1827.343
2004-09-30,1949.233
2004-10-29,2066.437
2004-11-30,2244.275
2004-12-31,2340.565
2005-01-31,2357.643
2005-02-28,2489.83
2005-03-31,2391.902
2005-04-29,2353.514
2005-05-31,2351.835
2005-06-30,2487.761
2005-07-29,2546.426
2005-08-31,2572.211
2005-09-30,2762.932
2005-10-31,2591.231
2005-11-30,2688.127
2005-12-30,2751.091
2006-01-31,2946.959
2006-02-28,2907.756
2006-03-31,2922.493
2006-04-28,3190.836
2006-05-31,3014.086
2006-06-30,3038.805
2006-07-31,3075.875
2006-08-31,3170.58
2006-09-29,3129.385
2006-10-31,3387.723
2006-11-30,3527.191
2006-12-29,3645.393
2007-01-31,3653.599
2007-02-28,3784.77
2007-03-30,3994.487
2007-04-30,4233.778
2007-05-31,4300.513
2007-06-29,4416.606
2007-07-31,4356.255
2007-08-31,4283.871
2007-09-28,4925.455
2007-10-31,5297.196
2007-11-30,4904.131
2007-12-31,4731.308
2008-01-31,4295.423
2008-02-29,4433.371
2008-03-31,4192.78
2008-04-30,4547.442
2008-05-30,4659.077
2008-06-30,4372.448
2008-07-31,4065.774
2008-08-29,3900.299
2008-09-30,3225.887
2008-10-31,2402.97
2008-11-28,2226.335
2008-12-31,2367.575
2009-01-30,2055.406
2009-02-27,1979.296
2009-03-31,2331.502
2009-04-30,2593.908
2009-05-29,2851.479
2009-06-30,2994.112
2009-07-31,3300.665
2009-08-31,3571.638
2009-09-30,3987.52
2009-10-30,3990.171
2009-11-30,4114.217
2009-12-31,4185.204
2010-01-29,3892.341
2010-02-26,4025.421
2010-03-31,4361.508
2010-04-30,4337.051
2010-05-31,3612.909
2010-06-30,3534.749
