Date,AUSTRALIA Standard (Large+Mid Cap)
2001-01-01,779.664
2001-01-02,798.824
2001-01-03,798.313
2001-01-04,820.763
2001-01-05,829.845
2001-01-08,814.104
2001-01-09,804.496
2001-01-10,797.042
2001-01-11,793.208
2001-01-12,797.554
2001-01-15,797.539
2001-01-16,797.354
2001-01-17,793.289
2001-01-18,808.701
2001-01-19,816.125
2001-01-22,814.778
2001-01-23,803.612
2001-01-24,791.617
2001-01-25,799.464
2001-01-26,797.263
2001-01-29,795.95
2001-01-30,803.914
2001-01-31,811.156
2001-02-01,824.659
2001-02-02,818.756
2001-02-05,803.217
2001-02-06,807.586
2001-02-07,799.392
2001-02-08,792.969
2001-02-09,784.701
2001-02-12,795.131
2001-02-13,792.022
2001-02-14,786.387
2001-02-15,773.087
2001-02-16,783.585
2001-02-19,774.14
2001-02-20,765.572
2001-02-21,774.704
2001-02-22,765.977
2001-02-23,762.201
2001-02-26,766.226
2001-02-27,769.775
2001-02-28,774.115
2001-03-01,784.097
2001-03-02,783.704
2001-03-05,775.437
2001-03-06,766.609
2001-03-07,765.651
2001-03-08,760.752
2001-03-09,758.504
2001-03-12,755.431
2001-03-13,730.742
2001-03-14,726.657
2001-03-15,717.127
2001-03-16,718.993
2001-03-19,720.522
2001-03-20,723.086
2001-03-21,713.128
2001-03-22,703.665
2001-03-23,697.478
2001-03-26,709.33
2001-03-27,710.1
2001-03-28,708.05
2001-03-29,704.072
2001-03-30,691.964
2001-04-02,696.756
2001-04-03,695.101
2001-04-04,704.524
2001-04-05,710.232
2001-04-06,722.262
2001-04-09,716.286
2001-04-10,724.113
2001-04-11,743.674
2001-04-12,755.147
2001-04-13,755.147
2001-04-16,757.526
2001-04-17,748.266
2001-04-18,735.954
2001-04-19,768.372
2001-04-20,778.143
2001-04-23,761.756
2001-04-24,757.388
2001-04-25,759.192
2001-04-26,766.779
2001-04-27,763.259
2001-04-30,773.391
2001-05-01,781.925
2001-05-02,787.643
2001-05-03,795.799
2001-05-04,787.068
2001-05-07,789.425
2001-05-08,787.8
2001-05-09,793.287
2001-05-10,810.032
2001-05-11,802.08
2001-05-14,796.052
2001-05-15,798.144
2001-05-16,798.621
2001-05-17,816.286
2001-05-18,809.881
2001-05-21,825.482
2001-05-22,815.83
2001-05-23,808.238
2001-05-24,802.746
2001-05-25,808.786
2001-05-28,810.214
2001-05-29,800.542
2001-05-30,794.306
2001-05-31,777.785
2001-06-01,783.773
2001-06-04,791.685
2001-06-05,791.337
2001-06-06,800.882
2001-06-07,813.359
2001-06-08,820.681
2001-06-11,819.034
2001-06-12,812.387
2001-06-13,813.737
2001-06-14,820.891
2001-06-15,823.125
2001-06-18,805.744
2001-06-19,800.881
2001-06-20,803.841
2001-06-21,801.373
2001-06-22,805.415
2001-06-25,799.198
2001-06-26,808.095
2001-06-27,800.074
2001-06-28,792.173
2001-06-29,802.503
2001-07-02,795.049
2001-07-03,807.027
2001-07-04,807.441
2001-07-05,787.804
2001-07-06,765.598
2001-07-09,765.374
2001-07-10,773.446
2001-07-11,772.709
2001-07-12,772.866
2001-07-13,778.831
2001-07-16,789.204
2001-07-17,777.446
2001-07-18,788.263
2001-07-19,786.724
2001-07-20,772.374
2001-07-23,772.904
2001-07-24,768.088
2001-07-25,760.209
2001-07-26,751.059
2001-07-27,746.67
2001-07-30,755.105
2001-07-31,761.097
2001-08-01,786.102
2001-08-02,799.386
2001-08-03,795.738
2001-08-06,793.317
2001-08-07,791.486
2001-08-08,792.82
2001-08-09,790.022
2001-08-10,788.346
2001-08-13,786.514
2001-08-14,782.467
2001-08-15,796.064
2001-08-16,788.307
2001-08-17,800.307
2001-08-20,786.952
2001-08-21,793.41
2001-08-22,797.798
2001-08-23,791.887
2001-08-24,794.936
2001-08-27,798.15
2001-08-28,794.682
2001-08-29,792.3
2001-08-30,786.848
2001-08-31,765.138
2001-09-03,765.202
2001-09-04,761.114
2001-09-05,761.631
2001-09-06,758.62
2001-09-07,746.43
2001-09-10,740.363
2001-09-11,751.232
2001-09-12,712.39
2001-09-13,715.417
2001-09-14,710.997
2001-09-17,663.685
2001-09-18,664.468
2001-09-19,668.614
2001-09-20,656.294
2001-09-21,636.62
2001-09-24,640.911
2001-09-25,654.399
2001-09-26,652.261
2001-09-27,651.366
2001-09-28,668.98
2001-10-01,679.784
2001-10-02,691.477
2001-10-03,691.077
2001-10-04,692.024
2001-10-05,716.029
2001-10-08,707.156
2001-10-09,705.043
2001-10-10,699.064
2001-10-11,709.526
2001-10-12,720.226
2001-10-15,732.571
2001-10-16,736.22
2001-10-17,743.99
2001-10-18,729.357
2001-10-19,718.485
2001-10-22,718.857
2001-10-23,727.77
2001-10-24,737.192
2001-10-25,734.05
2001-10-26,732.498
2001-10-29,730.483
2001-10-30,731.77
2001-10-31,727.931
2001-11-01,735.348
2001-11-02,728.428
2001-11-05,725.531
2001-11-06,746.611
2001-11-07,742.925
2001-11-08,744.985
2001-11-09,749.757
2001-11-12,764.761
2001-11-13,760.635
2001-11-14,772.755
2001-11-15,774.748
2001-11-16,773.96
2001-11-19,776.433
2001-11-20,781.921
2001-11-21,772.358
2001-11-22,769.672
2001-11-23,774.261
2001-11-26,778.671
2001-11-27,790.728
2001-11-28,783.689
2001-11-29,775.022
2001-11-30,783.817
2001-12-03,779.282
2001-12-04,773.451
2001-12-05,781.372
2001-12-06,786.17
2001-12-07,787.089
2001-12-10,781.763
2001-12-11,781.244
2001-12-12,779.388
2001-12-13,777.207
2001-12-14,770.342
2001-12-17,770.287
2001-12-18,774.433
2001-12-19,772.127
2001-12-20,764.661
2001-12-21,773.695
2001-12-24,780.904
2001-12-25,780.904
2001-12-26,780.367
2001-12-27,785.373
2001-12-28,789.876
2001-12-31,792.736
2002-01-01,792.736
2002-01-02,800.508
2002-01-03,795.999
2002-01-04,806.938
2002-01-07,810.773
2002-01-08,810.82
2002-01-09,808.064
2002-01-10,805.724
2002-01-11,804.361
2002-01-14,799.031
2002-01-15,797.366
2002-01-16,797.643
2002-01-17,787.74
2002-01-18,787.775
2002-01-21,794.052
2002-01-22,803.024
2002-01-23,804.911
2002-01-24,806.071
2002-01-25,805.777
2002-01-28,803.516
2002-01-29,804.503
2002-01-30,787.647
2002-01-31,794.879
2002-02-01,794.217
2002-02-04,800.724
2002-02-05,796.483
2002-02-06,788.593
2002-02-07,784.17
2002-02-08,798.908
2002-02-11,808.005
2002-02-12,803.815
2002-02-13,801.718
2002-02-14,815.382
2002-02-15,816.382
2002-02-18,816.526
2002-02-19,815.505
2002-02-20,807.396
2002-02-21,804.102
2002-02-22,796.779
2002-02-25,796.709
2002-02-26,801.183
2002-02-27,797.51
2002-02-28,799.375
2002-03-01,802.073
2002-03-04,808.654
2002-03-05,809.818
2002-03-06,814.536
2002-03-07,835.846
2002-03-08,825.968
2002-03-11,821.166
2002-03-12,816.037
2002-03-13,813.104
2002-03-14,818.021
2002-03-15,810.301
2002-03-18,822.168
2002-03-19,823.26
2002-03-20,836.658
2002-03-21,830.451
2002-03-22,829.217
2002-03-25,822.8
2002-03-26,808.601
2002-03-27,815.388
2002-03-28,826.502
2002-03-29,826.502
2002-04-01,827.973
2002-04-02,820.169
2002-04-03,813.201
2002-04-04,812.88
2002-04-05,817.523
2002-04-08,811.112
2002-04-09,806.166
2002-04-10,813.396
2002-04-11,816.67
2002-04-12,813.309
2002-04-15,812.224
2002-04-16,817.073
2002-04-17,830.121
2002-04-18,834.538
2002-04-19,835.421
2002-04-22,836.944
2002-04-23,834.33
2002-04-24,830.404
2002-04-25,833.93
2002-04-26,833.728
2002-04-29,818.857
2002-04-30,816.185
2002-05-01,822.195
2002-05-02,818.4
2002-05-03,824.537
2002-05-06,817.948
2002-05-07,815.824
2002-05-08,821.378
2002-05-09,822.39
2002-05-10,823.722
2002-05-13,819.079
2002-05-14,820.729
2002-05-15,843.536
2002-05-16,846.524
2002-05-17,858.207
2002-05-20,851.987
2002-05-21,850.545
2002-05-22,857.598
2002-05-23,852.189
2002-05-24,854.513
2002-05-27,855.154
2002-05-28,863.73
2002-05-29,867.723
2002-05-30,870.192
2002-05-31,867.097
2002-06-03,874.458
2002-06-04,874.665
2002-06-05,869.165
2002-06-06,874.975
2002-06-07,874.253
2002-06-10,868.46
2002-06-11,862.347
2002-06-12,864.779
2002-06-13,861.223
2002-06-14,840.931
2002-06-17,838.929
2002-06-18,850.366
2002-06-19,847.317
2002-06-20,853.779
2002-06-21,851.174
2002-06-24,847.171
2002-06-25,840.33
2002-06-26,818.339
2002-06-27,826.812
2002-06-28,824.294
2002-07-01,826.768
2002-07-02,826.884
2002-07-03,812.404
2002-07-04,812.789
2002-07-05,817.939
2002-07-08,833.45
2002-07-09,845.515
2002-07-10,834.279
2002-07-11,811.653
2002-07-12,812.858
2002-07-15,813.301
2002-07-16,802.845
2002-07-17,783.322
2002-07-18,793.39
2002-07-19,786.979
2002-07-22,776.306
2002-07-23,767.388
2002-07-24,736.353
2002-07-25,744.546
2002-07-26,727.478
