Date,IRELAND MID GROWTH Mid Cap
1994-05-31,250.047
1994-06-30,239.582
1994-07-29,263.816
1994-08-31,275.875
1994-09-30,270.313
1994-10-31,271.165
1994-11-30,257.527
1994-12-30,262.365
1995-01-31,265.075
1995-02-28,271.812
1995-03-31,287.783
1995-04-28,292.047
1995-05-31,300.709
1995-06-30,323.284
1995-07-31,340.564
1995-08-31,327.609
1995-09-29,342.798
1995-10-31,341.261
1995-11-30,370.081
1995-12-29,383.049
1996-01-31,410.273
1996-02-29,433.669
1996-03-29,467.888
1996-04-30,481.838
1996-05-31,495.625
1996-06-28,473.68
1996-07-31,469.684
1996-08-30,491.713
1996-09-30,491.248
1996-10-31,472.552
1996-11-29,501.899
1996-12-31,513.139
1997-01-31,563.924
1997-02-28,534.057
1997-03-31,525.361
1997-04-30,516.359
1997-05-30,568.542
1997-06-30,615.551
1997-07-31,637.579
1997-08-29,631.9
1997-09-30,680.048
1997-10-31,681.094
1997-11-28,686.302
1997-12-31,657.562
1998-01-30,713.67
1998-02-27,761.181
1998-03-31,777.21
1998-04-30,868.209
1998-05-29,836.491
1998-06-30,792.417
1998-07-31,738.409
1998-08-31,652.319
1998-09-30,668.908
1998-10-30,724.218
1998-11-30,800.904
1998-12-31,782.843
1999-01-29,749.408
1999-02-26,736.996
1999-03-31,767.842
1999-04-30,757.318
1999-05-31,708.673
1999-06-30,682.974
1999-07-30,650.829
1999-08-31,611.803
1999-09-30,594.754
1999-10-29,569.277
1999-11-30,547.933
1999-12-31,578.555
2000-01-31,561.187
2000-02-29,587.488
2000-03-31,605.919
2000-04-28,499.937
2000-05-31,443.184
2000-06-30,393.683
2000-07-31,379.955
2000-08-31,350.736
2000-09-29,350.295
2000-10-31,385.499
2000-11-30,353.79
2000-12-29,407.805
2001-01-31,404.769
2001-02-28,397.815
2001-03-30,341.938
2001-04-30,386.23
2001-05-31,390.127
2001-06-29,376.742
2001-07-31,386.163
2001-08-31,372.185
2001-09-28,315.706
2001-10-31,338.353
2001-11-30,383.662
2001-12-31,401.739
2002-01-31,397.833
2002-02-28,401.07
2002-03-29,393.363
2002-04-30,380.985
2002-05-31,395.448
2002-06-28,436.175
2002-07-31,423.296
2002-08-30,398.477
2002-09-30,394.562
2002-10-31,454.862
2002-11-29,541.258
2002-12-31,500.547
2003-01-31,507.49
2003-02-28,450.878
2003-03-31,477.303
2003-04-30,483.42
2003-05-30,482.879
2003-06-30,508.793
2003-07-31,493.124
2003-08-29,483.337
2003-09-30,469.065
2003-10-31,599.674
2003-11-28,542.113
2003-12-31,626.321
2004-01-30,620.67
2004-02-27,620.05
2004-03-31,585.27
2004-04-30,599.267
2004-05-31,578.283
2004-06-30,591.853
2004-07-30,544.97
2004-08-31,576.958
2004-09-30,621.648
2004-10-29,655.629
2004-11-30,714.918
2004-12-31,752.048
2005-01-31,744.493
2005-02-28,592.846
2005-03-31,514.682
2005-04-29,512.35
2005-05-31,543.579
2005-06-30,557.474
2005-07-29,594.281
2005-08-31,603.771
2005-09-30,605.42
2005-10-31,579.467
2005-11-30,610.869
2005-12-30,686.982
2006-01-31,723.165
2006-02-28,721.711
2006-03-31,744.712
2006-04-28,752.67
2006-05-31,766.913
2006-06-30,739.369
2006-07-31,692.966
2006-08-31,777.467
2006-09-29,765.279
2006-10-31,791.601
2006-11-30,817.062
2006-12-29,886.059
2007-01-31,837.161
2007-02-28,866.15
2007-03-30,883.838
2007-04-30,949.328
2007-05-31,1000.0
2007-06-29,954.498
2007-07-31,823.521
2007-08-31,822.322
2007-09-28,823.127
2007-10-31,877.649
2007-11-30,784.511
2007-12-31,729.608
2008-01-31,706.226
2008-02-29,700.151
2008-03-31,647.048
2008-04-30,726.996
2008-05-30,678.648
2008-06-30,742.233
2008-07-31,530.831
2008-08-29,455.202
2008-09-30,356.745
2008-10-31,263.99
2008-11-28,217.298
2008-12-31,205.837
2009-01-30,223.056
2009-02-27,226.288
2009-03-31,228.74
2009-04-30,223.154
2009-05-29,265.935
2009-06-30,245.858
2009-07-31,265.075
2009-08-31,265.336
2009-09-30,279.705
2009-10-30,250.786
2009-11-30,266.974
2009-12-31,264.419
2010-01-29,288.172
2010-02-26,288.49
2010-03-31,296.392
2010-04-30,290.218
2010-05-31,248.389
2010-06-30,232.909
2010-07-30,257.817
2010-08-31,257.11
2010-09-30,294.809
2010-10-29,306.46
2010-11-30,272.025
2010-12-31,286.539
2011-01-31,296.626
2011-02-28,307.092
2011-03-31,311.03
2011-04-29,352.709
2011-05-31,374.687
2011-06-30,395.9
2011-07-29,384.579
2011-08-31,364.995
2011-09-30,349.874
2011-10-31,381.44
2011-11-30,372.748
2011-12-30,411.872
2012-01-31,407.543
2012-02-29,421.808
2012-03-30,472.68
2012-04-30,457.127
2012-05-31,449.721
2012-06-29,457.853
2012-07-31,420.597
2012-08-31,429.567
2012-09-28,436.47
2012-10-31,446.125
2012-11-30,435.185
2012-12-31,441.855
