Date,IRELAND MID GROWTH Mid Cap
1994-05-31,249.01
1994-06-30,238.589
1994-07-29,262.723
1994-08-31,274.732
1994-09-30,269.193
1994-10-31,270.041
1994-11-30,256.459
1994-12-30,261.277
1995-01-31,263.977
1995-02-28,270.686
1995-03-31,286.59
1995-04-28,290.837
1995-05-31,299.463
1995-06-30,321.945
1995-07-31,339.153
1995-08-31,326.251
1995-09-29,341.378
1995-10-31,339.847
1995-11-30,368.547
1995-12-29,381.462
1996-01-31,408.573
1996-02-29,431.872
1996-03-29,465.949
1996-04-30,479.841
1996-05-31,493.571
1996-06-28,471.717
1996-07-31,467.737
1996-08-30,489.675
1996-09-30,489.212
1996-10-31,470.594
1996-11-29,499.819
1996-12-31,511.012
1997-01-31,561.587
1997-02-28,531.844
1997-03-31,523.184
1997-04-30,514.219
1997-05-30,566.186
1997-06-30,613.0
1997-07-31,634.937
1997-08-29,629.281
1997-09-30,677.23
1997-10-31,678.272
1997-11-28,683.457
1997-12-31,654.837
1998-01-30,710.712
1998-02-27,758.027
1998-03-31,773.989
1998-04-30,864.611
1998-05-29,833.025
1998-06-30,789.133
1998-07-31,735.349
1998-08-31,649.615
1998-09-30,666.136
1998-10-30,721.217
1998-11-30,797.584
1998-12-31,779.598
1999-01-29,746.302
1999-02-26,733.942
1999-03-31,764.66
1999-04-30,754.18
1999-05-31,705.736
1999-06-30,680.143
1999-07-30,648.132
1999-08-31,609.268
1999-09-30,592.289
1999-10-29,566.918
1999-11-30,545.662
1999-12-31,576.157
2000-01-31,558.861
2000-02-29,585.054
2000-03-31,603.408
2000-04-28,497.865
2000-05-31,441.347
2000-06-30,392.051
2000-07-31,378.38
2000-08-31,349.283
2000-09-29,348.843
2000-10-31,383.901
2000-11-30,352.324
2000-12-29,406.115
2001-01-31,403.092
2001-02-28,396.166
2001-03-30,340.52
2001-04-30,384.63
2001-05-31,388.551
2001-06-29,375.22
2001-07-31,384.603
2001-08-31,370.682
2001-09-28,314.43
2001-10-31,336.986
2001-11-30,382.112
2001-12-31,400.116
2002-01-31,396.226
2002-02-28,399.45
2002-03-29,391.774
2002-04-30,379.446
2002-05-31,393.851
2002-06-28,434.413
2002-07-31,421.586
2002-08-30,396.868
2002-09-30,392.968
2002-10-31,453.025
2002-11-29,539.071
2002-12-31,498.524
2003-01-31,505.44
2003-02-28,449.057
2003-03-31,475.375
2003-04-30,481.467
2003-05-30,480.928
2003-06-30,506.738
2003-07-31,491.132
2003-08-29,481.385
2003-09-30,467.17
2003-10-31,597.252
2003-11-28,539.923
2003-12-31,623.791
2004-01-30,618.162
2004-02-27,617.545
2004-03-31,582.905
2004-04-30,596.846
2004-05-31,575.947
2004-06-30,589.462
2004-07-30,542.768
2004-08-31,574.628
2004-09-30,619.137
2004-10-29,652.981
2004-11-30,712.03
2004-12-31,749.01
2005-01-31,741.486
2005-02-28,590.451
2005-03-31,512.603
2005-04-29,510.28
2005-05-31,541.383
2005-06-30,555.222
2005-07-29,591.88
2005-08-31,601.332
2005-09-30,602.975
2005-10-31,577.193
2005-11-30,609.088
2005-12-30,684.979
2006-01-31,721.056
2006-02-28,719.607
2006-03-31,742.541
2006-04-28,750.619
2006-05-31,765.214
2006-06-30,737.73
2006-07-31,691.43
2006-08-31,775.744
2006-09-29,763.583
2006-10-31,790.316
2006-11-30,815.735
2006-12-29,885.244
2007-01-31,836.391
2007-02-28,865.353
2007-03-30,883.025
2007-04-30,948.582
2007-05-31,1000.0
2007-06-29,954.498
2007-07-31,823.521
2007-08-31,822.551
2007-09-28,823.698
2007-10-31,878.741
2007-11-30,785.488
2007-12-31,730.516
2008-01-31,707.106
2008-02-29,701.022
2008-03-31,648.14
2008-04-30,728.76
2008-05-30,680.295
2008-06-30,744.033
2008-07-31,532.119
2008-08-29,456.306
2008-09-30,357.611
2008-10-31,264.7
2008-11-28,217.882
2008-12-31,206.39
2009-01-30,223.656
2009-02-27,226.896
2009-03-31,229.355
2009-04-30,223.93
2009-05-29,266.86
2009-06-30,246.713
2009-07-31,265.997
2009-08-31,266.259
2009-09-30,280.677
2009-10-30,251.746
2009-11-30,267.996
2009-12-31,265.431
2010-01-29,289.275
2010-02-26,289.595
2010-03-31,297.527
2010-04-30,291.511
2010-05-31,249.495
2010-06-30,233.946
2010-07-30,258.965
2010-08-31,258.255
2010-09-30,296.122
2010-10-29,307.93
2010-11-30,273.329
2010-12-31,287.913
2011-01-31,298.048
2011-02-28,308.564
2011-03-31,312.521
2011-04-29,354.65
2011-05-31,376.749
2011-06-30,398.078
2011-07-29,386.696
2011-08-31,367.004
2011-09-30,351.799
2011-10-31,383.659
2011-11-30,374.916
2011-12-30,414.268
2012-01-31,409.914
2012-02-29,424.262
2012-03-30,475.43
2012-04-30,460.053
2012-05-31,452.6
2012-06-29,460.784
2012-07-31,423.289
2012-08-31,432.317
2012-09-28,439.264
2012-10-31,449.11
2012-11-30,438.61
2012-12-31,445.333
2013-01-31,453.528
2013-02-28,481.243
2013-03-29,504.52
2013-04-30,505.349
2013-05-31,510.594
2013-06-28,496.765
2013-07-31,545.229
2013-08-30,586.212
2013-09-30,575.488
2013-10-31,644.77
2013-11-29,667.18
2013-12-31,658.605
2014-01-31,684.511
2014-02-28,840.875
2014-03-31,761.523
2014-04-30,745.735
2014-05-30,728.586
2014-06-30,685.524
2014-07-31,692.126
2014-08-29,733.382
2014-09-30,704.622
2014-10-31,693.665
2014-11-28,746.423
2014-12-31,700.73
2015-01-30,653.491
2015-02-27,720.736
2015-03-31,695.599
2015-04-30,731.153
2015-05-29,737.627
2015-06-30,755.847
2015-07-31,786.431
2015-08-31,755.741
2015-09-30,755.155
2015-10-30,778.045
2015-11-30,772.159
2015-12-31,784.957
2016-01-29,738.716
2016-02-29,739.728
2016-03-31,742.008
2016-04-29,726.965
2016-05-31,733.38
2016-06-30,627.126
2016-07-29,639.614
2016-08-31,648.196
2016-09-30,624.767
2016-10-31,567.385
2016-11-30,563.151
2016-12-30,579.904
2017-01-31,574.931
2017-02-28,605.928
2017-03-31,611.699
2017-04-28,636.46
2017-05-31,655.484
2017-06-30,646.741
2017-07-31,653.221
2017-08-31,642.206
2017-09-29,679.391
2017-10-31,701.761
2017-11-30,739.015
2017-12-29,789.807
2018-01-31,758.443
2018-02-28,727.545
2018-03-30,701.564
2018-04-30,703.402
2018-05-31,770.252
2018-06-29,745.465
2018-07-31,749.844
2018-08-31,746.515
2018-09-28,718.187
2018-10-31,659.987
2018-11-30,641.837
2018-12-31,623.221
2019-01-31,641.063
2019-02-28,661.981
2019-03-29,688.235
2019-04-30,722.539
2019-05-31,724.752
2019-06-28,761.347
2019-07-31,743.469
2019-08-30,733.711
2019-09-30,732.523
2019-10-31,775.889
2019-11-29,820.838
2019-12-31,835.916
2020-01-31,852.279
2020-02-28,850.049
2020-03-31,759.919
2020-04-30,748.301
2020-05-29,837.915
2020-06-30,873.466
2020-07-31,974.142
2020-08-31,1166.859
2020-09-30,1235.561
2020-10-30,1182.324
2020-11-30,1186.568
2020-12-31,952.376
2021-01-29,922.578
2021-02-26,991.697
2021-03-31,1155.78
2021-04-30,1212.625
2021-05-31,1278.177
2021-06-30,1284.599
2021-07-30,1479.003
2021-08-31,1553.895
2021-09-30,1358.495
2021-10-29,1571.65
2021-11-30,1567.942
2021-12-31,1627.501
2022-01-31,1300.566
2022-02-28,1329.45
2022-03-31,1354.19
2022-04-29,1284.253
2022-05-31,1124.574
