Date,IRELAND MID GROWTH Mid Cap
2001-01-01,406.115
2001-01-02,407.066
2001-01-03,394.377
2001-01-04,400.784
2001-01-05,404.053
2001-01-08,396.98
2001-01-09,391.068
2001-01-10,385.775
2001-01-11,389.783
2001-01-12,387.012
2001-01-15,386.244
2001-01-16,378.741
2001-01-17,381.645
2001-01-18,383.128
2001-01-19,378.195
2001-01-22,379.574
2001-01-23,380.012
2001-01-24,380.326
2001-01-25,388.631
2001-01-26,389.509
2001-01-29,393.95
2001-01-30,400.188
2001-01-31,403.092
2001-02-01,416.258
2001-02-02,415.196
2001-02-05,416.826
2001-02-06,402.215
2001-02-07,409.793
2001-02-08,409.237
2001-02-09,408.312
2001-02-12,411.85
2001-02-13,406.668
2001-02-14,403.604
2001-02-15,403.189
2001-02-16,407.916
2001-02-19,398.904
2001-02-20,397.421
2001-02-21,398.071
2001-02-22,399.569
2001-02-23,397.923
2001-02-26,395.618
2001-02-27,400.278
2001-02-28,396.166
2001-03-01,395.31
2001-03-02,388.206
2001-03-05,391.345
2001-03-06,391.725
2001-03-07,392.315
2001-03-08,393.819
2001-03-09,386.121
2001-03-12,376.463
2001-03-13,362.597
2001-03-14,355.754
2001-03-15,348.768
2001-03-16,339.702
2001-03-19,334.571
2001-03-20,338.838
2001-03-21,332.148
2001-03-22,318.919
2001-03-23,329.288
2001-03-26,340.348
2001-03-27,350.659
2001-03-28,343.932
2001-03-29,337.12
2001-03-30,340.52
2001-04-02,335.054
2001-04-03,328.938
2001-04-04,335.51
2001-04-05,351.793
2001-04-06,350.752
2001-04-09,357.212
2001-04-10,358.804
2001-04-11,357.488
2001-04-12,355.764
2001-04-13,355.764
2001-04-16,352.121
2001-04-17,351.295
2001-04-18,356.159
2001-04-19,369.878
2001-04-20,374.224
2001-04-23,373.572
2001-04-24,367.446
2001-04-25,370.659
2001-04-26,379.436
2001-04-27,376.832
2001-04-30,384.63
2001-05-01,383.783
2001-05-02,382.955
2001-05-03,382.044
2001-05-04,380.992
2001-05-07,379.438
2001-05-08,380.852
2001-05-09,378.495
2001-05-10,382.56
2001-05-11,383.596
2001-05-14,385.501
2001-05-15,385.141
2001-05-16,388.135
2001-05-17,388.742
2001-05-18,387.644
2001-05-21,392.35
2001-05-22,396.66
2001-05-23,405.362
2001-05-24,399.707
2001-05-25,394.869
2001-05-28,401.948
2001-05-29,391.522
2001-05-30,390.559
2001-05-31,388.551
2001-06-01,390.958
2001-06-04,391.489
2001-06-05,396.857
2001-06-06,397.435
2001-06-07,392.042
2001-06-08,378.007
2001-06-11,362.376
2001-06-12,356.911
2001-06-13,357.68
2001-06-14,360.878
2001-06-15,375.086
2001-06-18,373.093
2001-06-19,374.677
2001-06-20,371.492
2001-06-21,375.409
2001-06-22,375.129
2001-06-25,383.727
2001-06-26,376.471
2001-06-27,369.924
2001-06-28,370.662
2001-06-29,375.22
2001-07-02,372.803
2001-07-03,369.248
2001-07-04,367.112
2001-07-05,358.155
2001-07-06,363.988
2001-07-09,369.692
2001-07-10,373.132
2001-07-11,373.556
2001-07-12,372.236
2001-07-13,367.072
2001-07-16,374.179
2001-07-17,378.461
2001-07-18,394.563
2001-07-19,408.529
2001-07-20,408.095
2001-07-23,403.307
2001-07-24,399.865
2001-07-25,394.825
2001-07-26,393.703
2001-07-27,388.26
2001-07-30,391.246
2001-07-31,384.603
2001-08-01,388.959
2001-08-02,395.522
2001-08-03,398.67
2001-08-06,395.163
2001-08-07,388.164
2001-08-08,382.986
2001-08-09,375.433
2001-08-10,374.775
2001-08-13,372.569
2001-08-14,372.204
2001-08-15,372.129
2001-08-16,369.707
2001-08-17,374.308
2001-08-20,372.05
2001-08-21,374.023
2001-08-22,380.563
2001-08-23,376.787
2001-08-24,379.651
2001-08-27,383.504
2001-08-28,380.311
2001-08-29,380.687
2001-08-30,376.753
2001-08-31,370.682
2001-09-03,370.21
2001-09-04,359.868
2001-09-05,358.396
2001-09-06,356.948
2001-09-07,355.819
2001-09-10,351.749
2001-09-11,334.138
2001-09-12,293.257
2001-09-13,290.504
2001-09-14,277.646
2001-09-17,296.976
2001-09-18,305.047
2001-09-19,316.075
2001-09-20,303.893
2001-09-21,270.642
2001-09-24,271.834
2001-09-25,291.652
2001-09-26,294.304
2001-09-27,299.253
2001-09-28,314.43
2001-10-01,316.036
2001-10-02,314.667
2001-10-03,318.272
2001-10-04,326.729
2001-10-05,327.295
2001-10-08,318.391
2001-10-09,321.156
2001-10-10,323.153
2001-10-11,341.351
2001-10-12,339.971
2001-10-15,333.451
2001-10-16,338.927
2001-10-17,339.495
2001-10-18,337.063
2001-10-19,336.468
2001-10-22,334.277
2001-10-23,338.688
2001-10-24,349.451
2001-10-25,342.787
2001-10-26,343.436
2001-10-29,335.519
2001-10-30,336.988
2001-10-31,336.986
2001-11-01,338.852
2001-11-02,338.878
2001-11-05,361.142
2001-11-06,369.973
2001-11-07,372.553
2001-11-08,375.175
2001-11-09,377.542
2001-11-12,371.312
2001-11-13,383.588
2001-11-14,386.703
2001-11-15,381.064
2001-11-16,377.832
2001-11-19,377.41
2001-11-20,379.045
2001-11-21,377.484
2001-11-22,378.823
2001-11-23,376.284
2001-11-26,378.031
2001-11-27,378.299
2001-11-28,375.638
2001-11-29,372.315
2001-11-30,382.112
2001-12-03,379.528
2001-12-04,380.639
2001-12-05,387.911
2001-12-06,391.8
2001-12-07,390.348
2001-12-10,390.488
2001-12-11,388.455
2001-12-12,392.276
2001-12-13,392.352
2001-12-14,384.037
2001-12-17,384.424
2001-12-18,382.542
2001-12-19,377.894
2001-12-20,391.3
2001-12-21,389.508
2001-12-24,385.622
2001-12-25,385.622
2001-12-26,385.951
2001-12-27,387.406
2001-12-28,394.402
2001-12-31,400.116
2002-01-01,400.116
2002-01-02,402.519
2002-01-03,399.403
2002-01-04,396.596
2002-01-07,399.651
2002-01-08,395.725
2002-01-09,389.363
2002-01-10,390.048
2002-01-11,388.647
2002-01-14,389.629
2002-01-15,390.436
2002-01-16,383.606
2002-01-17,383.206
2002-01-18,383.823
2002-01-21,380.421
2002-01-22,380.003
2002-01-23,379.606
2002-01-24,377.926
2002-01-25,378.109
2002-01-28,387.709
2002-01-29,389.798
2002-01-30,382.061
2002-01-31,396.226
2002-02-01,394.463
2002-02-04,396.624
2002-02-05,377.139
2002-02-06,375.515
2002-02-07,382.159
2002-02-08,393.678
2002-02-11,379.472
2002-02-12,387.078
2002-02-13,388.403
2002-02-14,383.427
2002-02-15,383.406
2002-02-18,393.184
2002-02-19,399.17
2002-02-20,397.504
2002-02-21,397.149
2002-02-22,399.814
2002-02-25,400.935
2002-02-26,402.554
2002-02-27,400.586
2002-02-28,399.45
2002-03-01,399.084
2002-03-04,409.885
2002-03-05,412.081
2002-03-06,410.515
2002-03-07,409.97
2002-03-08,406.384
2002-03-11,403.237
2002-03-12,399.323
2002-03-13,400.867
2002-03-14,398.466
2002-03-15,390.372
2002-03-18,395.044
2002-03-19,391.781
2002-03-20,394.617
2002-03-21,394.689
2002-03-22,394.336
2002-03-25,391.754
2002-03-26,388.76
2002-03-27,390.892
2002-03-28,391.774
2002-03-29,391.774
2002-04-01,394.985
2002-04-02,393.211
2002-04-03,391.697
2002-04-04,391.354
2002-04-05,379.819
2002-04-08,373.691
2002-04-09,370.461
2002-04-10,382.268
2002-04-11,389.597
2002-04-12,388.58
2002-04-15,390.99
2002-04-16,391.115
2002-04-17,391.324
2002-04-18,394.06
2002-04-19,386.967
2002-04-22,387.36
2002-04-23,386.584
2002-04-24,388.113
2002-04-25,386.326
2002-04-26,381.859
2002-04-29,379.594
2002-04-30,379.446
2002-05-01,384.797
2002-05-02,384.156
2002-05-03,387.556
2002-05-06,388.851
2002-05-07,381.165
2002-05-08,379.015
2002-05-09,373.515
2002-05-10,369.719
2002-05-13,373.008
2002-05-14,372.248
2002-05-15,376.3
2002-05-16,380.786
2002-05-17,388.184
2002-05-20,378.377
2002-05-21,377.194
2002-05-22,384.129
