Date,IRELAND MID GROWTH Mid Cap
2001-01-01,407.805
2001-01-02,408.76
2001-01-03,396.019
2001-01-04,402.452
2001-01-05,405.734
2001-01-08,398.632
2001-01-09,392.696
2001-01-10,387.38
2001-01-11,391.405
2001-01-12,388.623
2001-01-15,387.851
2001-01-16,380.317
2001-01-17,383.233
2001-01-18,384.722
2001-01-19,379.769
2001-01-22,381.154
2001-01-23,381.593
2001-01-24,381.909
2001-01-25,390.249
2001-01-26,391.13
2001-01-29,395.589
2001-01-30,401.853
2001-01-31,404.769
2001-02-01,417.99
2001-02-02,416.924
2001-02-05,418.561
2001-02-06,403.889
2001-02-07,411.499
2001-02-08,410.94
2001-02-09,410.011
2001-02-12,413.564
2001-02-13,408.36
2001-02-14,405.283
2001-02-15,404.867
2001-02-16,409.613
2001-02-19,400.564
2001-02-20,399.075
2001-02-21,399.728
2001-02-22,401.231
2001-02-23,399.579
2001-02-26,397.265
2001-02-27,401.943
2001-02-28,397.815
2001-03-01,396.955
2001-03-02,389.822
2001-03-05,392.973
2001-03-06,393.355
2001-03-07,393.947
2001-03-08,395.458
2001-03-09,387.728
2001-03-12,378.029
2001-03-13,364.106
2001-03-14,357.235
2001-03-15,350.219
2001-03-16,341.115
2001-03-19,335.964
2001-03-20,340.248
2001-03-21,333.53
2001-03-22,320.246
2001-03-23,330.659
2001-03-26,341.764
2001-03-27,352.119
2001-03-28,345.363
2001-03-29,338.523
2001-03-30,341.938
2001-04-02,336.448
2001-04-03,330.307
2001-04-04,336.906
2001-04-05,353.257
2001-04-06,352.211
2001-04-09,358.698
2001-04-10,360.298
2001-04-11,358.976
2001-04-12,357.245
2001-04-13,357.245
2001-04-16,353.586
2001-04-17,352.757
2001-04-18,357.641
2001-04-19,371.417
2001-04-20,375.781
2001-04-23,375.127
2001-04-24,368.975
2001-04-25,372.201
2001-04-26,381.015
2001-04-27,378.4
2001-04-30,386.23
2001-05-01,385.38
2001-05-02,384.508
2001-05-03,383.594
2001-05-04,382.537
2001-05-07,380.977
2001-05-08,382.397
2001-05-09,380.03
2001-05-10,384.112
2001-05-11,385.152
2001-05-14,387.065
2001-05-15,386.704
2001-05-16,389.71
2001-05-17,390.319
2001-05-18,389.216
2001-05-21,393.942
2001-05-22,398.269
2001-05-23,407.007
2001-05-24,401.328
2001-05-25,396.471
2001-05-28,403.578
2001-05-29,393.11
2001-05-30,392.143
2001-05-31,390.127
