Date,USA IMI IMI (Large+Mid+Small Cap)
2001-01-01,723.514
2001-01-02,698.197
2001-01-03,736.04
2001-01-04,727.168
2001-01-05,705.855
2001-01-08,703.525
2001-01-09,707.304
2001-01-10,717.494
2001-01-11,727.733
2001-01-12,725.02
2001-01-15,725.02
2001-01-16,730.075
2001-01-17,732.699
2001-01-18,741.451
2001-01-19,737.676
2001-01-22,737.724
2001-01-23,749.502
2001-01-24,752.062
2001-01-25,746.368
2001-01-26,745.478
2001-01-29,752.312
2001-01-30,757.149
2001-01-31,751.86
2001-02-01,754.793
2001-02-02,740.567
2001-02-05,742.119
2001-02-06,742.488
2001-02-07,736.299
2001-02-08,731.503
2001-02-09,721.404
2001-02-12,729.213
2001-02-13,722.753
2001-02-14,722.737
2001-02-15,729.407
2001-02-16,715.613
2001-02-19,715.611
2001-02-20,702.212
2001-02-21,689.338
2001-02-22,686.292
2001-02-23,683.683
2001-02-26,696.966
2001-02-27,689.041
2001-02-28,679.128
2001-03-01,679.365
2001-03-02,676.187
2001-03-05,679.752
2001-03-06,687.158
2001-03-07,691.487
2001-03-08,690.839
2001-03-09,673.771
2001-03-12,644.852
2001-03-13,654.695
2001-03-14,638.492
2001-03-15,640.933
2001-03-16,627.477
2001-03-19,639.259
2001-03-20,624.176
2001-03-21,612.601
2001-03-22,609.752
2001-03-23,622.531
2001-03-26,629.521
2001-03-27,644.471
2001-03-28,628.06
2001-03-29,624.82
2001-03-30,632.298
2001-04-02,622.553
2001-04-03,599.703
2001-04-04,597.585
2001-04-05,625.494
2001-04-06,612.77
2001-04-09,618.301
2001-04-10,635.998
2001-04-11,635.287
2001-04-12,645.182
2001-04-13,645.182
2001-04-16,642.225
2001-04-17,649.164
2001-04-18,674.679
2001-04-19,684.689
2001-04-20,679.002
2001-04-23,667.601
2001-04-24,660.122
2001-04-25,671.287
2001-04-26,674.699
2001-04-27,684.655
2001-04-30,685.006
2001-05-01,694.248
2001-05-02,696.373
2001-05-03,685.647
2001-05-04,695.42
2001-05-07,693.127
2001-05-08,692.555
2001-05-09,689.436
2001-05-10,688.973
2001-05-11,683.884
2001-05-14,684.829
2001-05-15,685.587
2001-05-16,704.612
2001-05-17,708.684
2001-05-18,710.482
2001-05-21,723.705
2001-05-22,722.532
2001-05-23,710.266
2001-05-24,713.253
2001-05-25,705.859
2001-05-28,705.859
2001-05-29,698.598
2001-05-30,686.64
2001-05-31,691.834
2001-06-01,695.472
2001-06-04,698.981
2001-06-05,709.114
2001-06-06,702.371
2001-06-07,706.093
2001-06-08,699.36
2001-06-11,692.694
2001-06-12,693.057
2001-06-13,685.914
2001-06-14,672.655
2001-06-15,669.699
2001-06-18,665.616
2001-06-19,666.882
2001-06-20,673.895
2001-06-21,680.63
2001-06-22,674.078
2001-06-25,670.398
2001-06-26,670.516
2001-06-27,669.173
2001-06-28,677.922
2001-06-29,680.364
2001-07-02,684.321
2001-07-03,683.08
2001-07-04,683.08
2001-07-05,674.883
2001-07-06,659.73
2001-07-09,663.532
2001-07-10,653.706
2001-07-11,652.302
2001-07-12,668.015
2001-07-13,671.728
2001-07-16,663.953
2001-07-17,671.18
2001-07-18,666.616
2001-07-19,670.22
2001-07-20,668.277
2001-07-23,658.116
2001-07-24,647.077
2001-07-25,656.093
2001-07-26,663.849
2001-07-27,665.721
2001-07-30,664.991
2001-07-31,668.232
2001-08-01,671.44
2001-08-02,673.654
2001-08-03,670.531
2001-08-06,662.949
2001-08-07,664.415
2001-08-08,653.223
2001-08-09,652.941
2001-08-10,656.013
2001-08-13,657.494
2001-08-14,655.581
2001-08-15,650.98
2001-08-16,652.381
2001-08-17,641.939
2001-08-20,646.488
2001-08-21,638.943
2001-08-22,643.434
2001-08-23,641.523
2001-08-24,653.35
2001-08-27,650.73
2001-08-28,641.392
2001-08-29,635.297
2001-08-30,625.143
2001-08-31,627.798
2001-09-03,627.798
2001-09-04,627.034
2001-09-05,625.08
2001-09-06,611.877
2001-09-07,600.691
2001-09-10,603.085
2001-09-11,603.088
2001-09-12,603.099
2001-09-13,603.099
2001-09-14,603.099
2001-09-17,572.106
2001-09-18,567.554
2001-09-19,558.091
2001-09-20,541.133
2001-09-21,531.006
2001-09-24,551.261
2001-09-25,555.647
2001-09-26,552.081
2001-09-27,558.304
2001-09-28,571.101
2001-10-01,568.497
2001-10-02,575.141
2001-10-03,588.316
2001-10-04,587.858
2001-10-05,587.958
2001-10-08,583.181
2001-10-09,580.317
2001-10-10,593.987
2001-10-11,604.6
2001-10-12,601.098
2001-10-15,600.663
2001-10-16,605.371
2001-10-17,593.296
2001-10-18,588.872
2001-10-19,591.975
2001-10-22,600.916
2001-10-23,598.058
2001-10-24,598.542
2001-10-25,607.068
2001-10-26,609.565
2001-10-29,595.394
2001-10-30,585.095
2001-10-31,586.317
2001-11-01,598.709
2001-11-02,599.889
2001-11-05,608.414
2001-11-06,617.232
2001-11-07,616.04
