Date,USA IMI IMI (Large+Mid+Small Cap)
1994-05-31,244.28
1994-06-30,237.774
1994-07-29,245.021
1994-08-31,255.724
1994-09-30,250.597
1994-10-31,254.882
1994-11-30,245.616
1994-12-30,249.177
1995-01-31,254.612
1995-02-28,264.995
1995-03-31,271.83
1995-04-28,278.636
1995-05-31,288.224
1995-06-30,297.121
1995-07-31,309.174
1995-08-31,312.143
1995-09-29,323.977
1995-10-31,320.835
1995-11-30,334.969
1995-12-29,340.288
1996-01-31,349.592
1996-02-29,355.455
1996-03-29,359.426
1996-04-30,367.606
1996-05-31,377.193
1996-06-28,374.998
1996-07-31,355.108
1996-08-30,366.118
1996-09-30,385.949
1996-10-31,391.824
1996-11-29,418.551
1996-12-31,413.698
1997-01-31,435.892
1997-02-28,435.832
1997-03-31,416.371
1997-04-30,435.137
1997-05-30,465.905
1997-06-30,486.761
1997-07-31,524.795
1997-08-29,504.702
1997-09-30,533.789
1997-10-31,515.964
1997-11-28,534.202
1997-12-31,544.93
1998-01-30,547.525
1998-02-27,587.705
1998-03-31,617.864
1998-04-30,624.425
1998-05-29,608.452
1998-06-30,630.948
1998-07-31,617.811
1998-08-31,521.939
1998-09-30,556.764
1998-10-30,598.684
1998-11-30,635.333
1998-12-31,676.619
1999-01-29,701.91
1999-02-26,676.129
1999-03-31,702.832
1999-04-30,735.69
1999-05-31,721.012
1999-06-30,757.796
1999-07-30,733.571
1999-08-31,726.014
1999-09-30,708.183
1999-10-29,751.511
1999-11-30,775.755
1999-12-31,836.611
2000-01-31,798.945
2000-02-29,817.786
2000-03-31,867.314
2000-04-28,820.492
2000-05-31,791.475
2000-06-30,829.766
2000-07-31,813.053
2000-08-31,872.94
2000-09-29,830.374
2000-10-31,814.033
2000-11-30,731.709
2000-12-29,745.92
2001-01-31,774.988
2001-02-28,699.807
2001-03-30,651.402
2001-04-30,705.556
2001-05-31,712.337
2001-06-29,700.409
2001-07-31,687.76
2001-08-31,645.905
2001-09-28,587.416
2001-10-31,602.911
2001-11-30,650.086
2001-12-31,661.557
2002-01-31,650.199
2002-02-28,635.875
2002-03-29,663.913
2002-04-30,629.461
2002-05-31,621.831
2002-06-28,575.96
2002-07-31,530.955
2002-08-30,533.888
2002-09-30,478.564
2002-10-31,516.001
2002-11-29,546.743
2002-12-31,516.057
2003-01-31,502.975
2003-02-28,494.456
2003-03-31,499.203
2003-04-30,539.853
2003-05-30,572.414
2003-06-30,579.844
2003-07-31,592.272
2003-08-29,605.69
2003-09-30,598.574
2003-10-31,634.026
2003-11-28,642.886
2003-12-31,672.517
2004-01-30,686.96
2004-02-27,696.599
2004-03-31,688.315
2004-04-30,673.641
2004-05-31,683.157
2004-06-30,697.288
2004-07-30,671.483
2004-08-31,673.62
2004-09-30,683.968
2004-10-29,694.439
2004-11-30,725.863
2004-12-31,751.627
2005-01-31,732.231
2005-02-28,747.907
2005-03-31,734.78
2005-04-29,718.329
2005-05-31,744.907
2005-06-30,750.302
2005-07-29,780.708
2005-08-31,773.14
2005-09-30,779.255
2005-10-31,764.873
2005-11-30,795.026
2005-12-30,795.646
2006-01-31,822.801
2006-02-28,822.27
2006-03-31,836.248
2006-04-28,845.639
2006-05-31,818.37
2006-06-30,819.504
2006-07-31,818.895
2006-08-31,837.639
2006-09-29,856.363
2006-10-31,886.66
2006-11-30,905.772
2006-12-29,915.702
2007-01-31,932.803
2007-02-28,917.219
2007-03-30,927.366
2007-04-30,964.992
2007-05-31,1000.0
2007-06-29,983.055
2007-07-31,949.524
2007-08-31,962.805
2007-09-28,997.562
2007-10-31,1015.339
2007-11-30,969.654
2007-12-31,963.544
2008-01-31,904.649
2008-02-29,876.457
2008-03-31,871.242
2008-04-30,915.278
2008-05-30,934.172
2008-06-30,857.345
2008-07-31,849.781
2008-08-29,862.785
2008-09-30,782.314
2008-10-31,643.867
2008-11-28,592.903
2008-12-31,603.23
2009-01-30,553.202
2009-02-27,495.185
2009-03-31,538.014
2009-04-30,594.618
2009-05-29,625.742
2009-06-30,627.539
2009-07-31,676.169
2009-08-31,700.342
2009-09-30,729.312
2009-10-30,710.856
2009-11-30,750.712
2009-12-31,771.268
2010-01-29,744.208
2010-02-26,768.497
2010-03-31,816.311
2010-04-30,833.548
2010-05-31,766.33
2010-06-30,722.861
2010-07-30,773.283
2010-08-31,736.486
2010-09-30,805.85
2010-10-29,837.196
2010-11-30,841.301
2010-12-31,898.703
2011-01-31,918.393
2011-02-28,950.993
2011-03-31,954.788
2011-04-29,983.475
2011-05-31,971.641
2011-06-30,954.029
2011-07-29,932.506
2011-08-31,876.118
2011-09-30,807.845
2011-10-31,900.782
2011-11-30,897.555
2011-12-30,904.407
2012-01-31,949.774
2012-02-29,990.028
2012-03-30,1019.854
2012-04-30,1013.026
2012-05-31,949.154
2012-06-29,985.931
2012-07-31,996.062
2012-08-31,1020.4
2012-09-28,1046.05
2012-10-31,1027.401
2012-11-30,1034.253
2012-12-31,1045.745
2013-01-31,1102.636
2013-02-28,1115.959
2013-03-29,1158.741
2013-04-30,1178.09
2013-05-31,1204.52
2013-06-28,1188.701
2013-07-31,1252.993
2013-08-30,1217.073
2013-09-30,1261.331
2013-10-31,1314.573
2013-11-29,1351.604
2013-12-31,1386.668
2014-01-31,1342.111
2014-02-28,1404.882
2014-03-31,1411.535
2014-04-30,1412.984
2014-05-30,1443.108
2014-06-30,1479.563
2014-07-31,1450.357
2014-08-29,1510.087
