Date,HONG KONG VALUE Standard (Large+Mid Cap)
2001-01-01,13925.859
2001-01-02,13766.133
2001-01-03,13467.81
2001-01-04,14237.979
2001-01-05,14771.839
2001-01-08,14881.456
2001-01-09,14612.837
2001-01-10,14487.52
2001-01-11,14055.802
2001-01-12,14303.702
2001-01-15,14185.665
2001-01-16,14172.033
2001-01-17,14092.047
2001-01-18,14280.808
2001-01-19,14737.903
2001-01-22,14855.502
2001-01-23,14633.393
2001-01-24,14633.487
2001-01-25,14633.581
2001-01-26,14633.393
2001-01-29,14489.826
2001-01-30,14300.744
2001-01-31,14581.682
2001-02-01,14716.173
2001-02-02,14517.691
2001-02-05,14311.365
2001-02-06,14409.588
2001-02-07,14484.686
2001-02-08,14308.203
2001-02-09,14339.392
2001-02-12,14299.779
2001-02-13,14678.906
2001-02-14,14792.864
2001-02-15,14707.526
2001-02-16,14548.357
2001-02-19,14720.087
2001-02-20,14762.221
2001-02-21,14814.633
2001-02-22,14774.305
2001-02-23,15012.686
2001-02-26,15435.655
2001-02-27,15420.284
2001-02-28,15313.496
2001-03-01,14724.646
2001-03-02,14637.858
2001-03-05,14967.55
2001-03-06,15340.898
2001-03-07,15148.819
2001-03-08,15164.806
2001-03-09,14941.487
2001-03-12,14296.309
2001-03-13,13844.614
2001-03-14,13744.889
2001-03-15,14111.033
2001-03-16,14021.015
2001-03-19,14240.458
2001-03-20,13981.291
2001-03-21,13598.696
2001-03-22,13150.098
2001-03-23,13315.962
2001-03-26,13685.978
2001-03-27,13513.049
2001-03-28,13543.419
2001-03-29,13457.821
2001-03-30,13595.437
2001-04-02,13423.363
2001-04-03,13422.094
2001-04-04,12997.995
2001-04-05,12997.745
2001-04-06,12954.254
2001-04-09,12564.234
2001-04-10,12431.588
2001-04-11,12690.976
2001-04-12,12897.72
2001-04-13,12897.72
2001-04-16,12897.307
2001-04-17,12524.542
2001-04-18,12672.689
2001-04-19,13151.155
2001-04-20,13206.201
2001-04-23,13052.9
2001-04-24,12946.545
2001-04-25,12903.416
2001-04-26,12969.306
2001-04-27,13001.123
2001-04-30,13001.457
2001-05-01,13001.623
2001-05-02,13186.605
2001-05-03,13130.799
2001-05-04,12899.036
2001-05-07,13097.543
2001-05-08,13053.24
2001-05-09,13099.362
2001-05-10,13245.168
2001-05-11,13443.832
2001-05-14,13038.394
2001-05-15,13067.374
2001-05-16,13202.405
2001-05-17,13408.224
2001-05-18,13305.587
2001-05-21,13555.492
2001-05-22,13698.148
2001-05-23,13701.311
2001-05-24,13587.909
2001-05-25,13441.875
2001-05-28,13457.344
2001-05-29,13360.676
2001-05-30,13239.909
2001-05-31,12976.204
2001-06-01,12990.013
2001-06-04,13129.615
2001-06-05,13391.774
2001-06-06,13477.375
2001-06-07,13572.951
2001-06-08,13623.931
2001-06-11,13461.9
2001-06-12,13316.845
2001-06-13,13175.293
2001-06-14,12863.741
2001-06-15,12587.338
2001-06-18,12596.947
2001-06-19,12731.568
2001-06-20,12540.324
2001-06-21,12608.491
2001-06-22,12542.571
2001-06-25,12542.732
2001-06-26,12458.879
2001-06-27,12502.853
2001-06-28,12380.493
2001-06-29,12582.457
2001-07-02,12582.699
2001-07-03,12644.315
2001-07-04,12760.725
2001-07-05,12667.427
2001-07-06,12667.264
2001-07-09,12365.649
2001-07-10,12500.702
2001-07-11,12522.838
2001-07-12,12722.955
2001-07-13,12720.799
2001-07-16,12658.307
2001-07-17,12552.16
2001-07-18,12594.075
2001-07-19,12546.569
2001-07-20,12560.185
2001-07-23,12501.487
2001-07-24,12401.809
2001-07-25,12401.57
2001-07-26,12221.122
2001-07-27,12309.182
2001-07-30,12245.628
2001-07-31,12564.268
2001-08-01,12683.798
2001-08-02,12571.884
2001-08-03,12428.268
2001-08-06,12238.789
2001-08-07,12035.113
2001-08-08,11772.113
2001-08-09,11612.001
2001-08-10,11846.712
2001-08-13,11789.452
2001-08-14,12017.265
2001-08-15,12083.159
2001-08-16,11917.716
2001-08-17,12121.238
2001-08-20,12114.047
2001-08-21,12221.402
2001-08-22,12167.704
2001-08-23,12173.691
2001-08-24,12081.59
2001-08-27,12168.217
2001-08-28,12041.7
2001-08-29,12005.9
2001-08-30,11992.619
