Date,HONG KONG VALUE Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,126.448
1975-02-28,144.461
1975-03-31,153.385
1975-04-30,180.657
1975-05-30,180.196
1975-06-30,179.113
1975-07-31,171.892
1975-08-29,165.903
1975-09-30,168.137
1975-10-31,173.728
1975-11-28,174.292
1975-12-31,196.53
1976-01-30,245.199
1976-02-27,259.996
1976-03-31,275.629
1976-04-30,254.741
1976-05-31,247.707
1976-06-30,256.458
1976-07-30,252.892
1976-08-31,262.52
1976-09-30,268.637
1976-10-29,256.724
1976-11-30,270.954
1976-12-31,304.149
1977-01-31,293.946
1977-02-28,289.57
1977-03-31,283.334
1977-04-29,297.595
1977-05-31,288.942
1977-06-30,290.955
1977-07-29,272.898
1977-08-31,281.657
1977-09-30,271.18
1977-10-31,267.253
1977-11-30,268.358
1977-12-30,260.054
1978-01-31,265.814
1978-02-28,265.741
1978-03-31,302.318
1978-04-28,315.84
1978-05-31,320.141
1978-06-30,404.622
1978-07-31,426.169
1978-08-31,522.418
1978-09-29,485.407
1978-10-31,500.323
1978-11-30,347.186
1978-12-29,341.987
1979-01-31,378.821
1979-02-28,360.674
1979-03-30,366.994
1979-04-30,364.032
1979-05-31,385.967
1979-06-29,372.308
1979-07-31,431.554
1979-08-31,424.768
1979-09-28,523.778
1979-10-31,507.437
1979-11-30,590.198
1979-12-31,692.356
1980-01-31,691.135
1980-02-29,669.265
1980-03-31,529.71
1980-04-30,607.979
1980-05-30,627.001
1980-06-30,739.492
1980-07-31,827.383
1980-08-29,868.487
1980-09-30,844.166
1980-10-31,1072.295
1980-11-28,1048.141
1980-12-31,1091.613
1981-01-30,1127.182
1981-02-27,1047.295
1981-03-31,973.593
1981-04-30,1061.246
1981-05-29,1260.856
1981-06-30,1288.881
1981-07-31,1186.621
1981-08-31,1090.075
1981-09-30,828.507
1981-10-30,877.49
1981-11-30,1025.092
1981-12-31,1003.541
1982-01-29,994.085
1982-02-26,887.408
1982-03-31,811.075
1982-04-30,978.682
1982-05-31,1081.549
1982-06-30,948.231
1982-07-30,903.722
1982-08-31,800.34
1982-09-30,688.582
1982-10-29,509.376
1982-11-30,470.619
1982-12-31,571.346
1983-01-31,642.429
1983-02-28,749.372
1983-03-31,681.663
1983-04-29,681.393
1983-05-31,571.684
1983-06-30,618.817
1983-07-29,694.562
1983-08-31,576.147
1983-09-30,426.906
1983-10-31,504.648
1983-11-30,491.099
1983-12-30,509.041
1984-01-31,672.606
1984-02-29,641.046
1984-03-30,607.923
1984-04-30,633.278
1984-05-31,562.082
1984-06-29,548.798
1984-07-31,484.322
1984-08-31,574.367
1984-09-28,627.323
1984-10-31,607.633
1984-11-30,687.045
1984-12-31,742.458
1985-01-31,843.972
1985-02-28,871.489
1985-03-29,866.074
1985-04-30,951.568
1985-05-31,993.179
1985-06-28,968.12
1985-07-31,1026.835
1985-08-30,1007.581
1985-09-30,928.892
1985-10-31,1030.914
1985-11-29,1065.505
1985-12-31,1096.37
1986-01-31,1053.293
1986-02-28,1074.133
1986-03-31,1043.694
1986-04-30,1158.558
1986-05-30,1128.641
1986-06-30,1101.179
1986-07-31,1173.528
1986-08-29,1233.7
1986-09-30,1366.852
1986-10-31,1511.442
1986-11-28,1589.947
1986-12-31,1717.788
1987-01-30,1740.953
1987-02-27,1996.254
1987-03-31,1880.995
1987-04-30,1839.483
1987-05-29,2046.778
1987-06-30,2269.348
1987-07-31,2545.898
1987-08-31,2637.545
1987-09-30,2802.589
1987-10-30,1619.173
1987-11-30,1525.077
1987-12-31,1625.532
1988-01-29,1671.08
1988-02-29,1709.575
1988-03-31,1796.756
1988-04-29,1838.134
1988-05-31,1781.894
1988-06-30,1900.723
1988-07-29,1911.145
1988-08-31,1768.619
1988-09-30,1774.721
1988-10-31,1905.419
1988-11-30,1965.495
1988-12-30,1995.525
1989-01-31,2360.721
1989-02-28,2347.651
1989-03-31,2382.709
1989-04-28,2497.847
1989-05-31,2242.749
1989-06-30,1839.799
1989-07-31,2089.086
1989-08-31,2046.061
1989-09-29,2318.042
1989-10-31,2336.693
1989-11-30,2348.842
1989-12-29,2379.871
1990-01-31,2307.302
1990-02-28,2444.395
1990-03-30,2491.6
1990-04-30,2448.922
1990-05-31,2625.08
1990-06-29,2719.581
1990-07-31,2870.732
1990-08-31,2520.991
1990-09-28,2246.669
1990-10-31,2389.494
1990-11-30,2323.408
1990-12-31,2318.926
1991-01-31,2516.068
1991-02-28,2825.994
1991-03-29,2948.308
1991-04-30,2848.698
1991-05-31,3002.058
1991-06-28,3031.274
1991-07-31,3366.074
1991-08-30,3383.874
1991-09-30,3359.15
1991-10-31,3476.483
1991-11-29,3553.782
1991-12-31,3669.07
1992-01-31,4031.647
1992-02-28,4400.995
1992-03-31,4386.709
1992-04-30,4758.164
1992-05-29,5537.342
1992-06-30,5726.366
1992-07-31,5503.053
1992-08-31,5341.951
1992-09-30,5448.474
1992-10-30,6083.703
1992-11-30,5638.252
1992-12-31,5284.92
1993-01-29,5566.941
1993-02-26,6242.552
1993-03-31,6188.413
1993-04-30,6800.06
1993-05-31,7454.383
1993-06-30,7104.341
1993-07-30,6930.651
1993-08-31,7379.068
1993-09-30,7641.335
1993-10-29,9661.654
1993-11-30,9702.843
1993-12-31,13010.608
1994-01-31,12594.678
1994-02-28,11281.524
