Date,HONG KONG VALUE Standard (Large+Mid Cap)
2001-01-01,13300.311
2001-01-02,13147.76
2001-01-03,12862.837
2001-01-04,13598.411
2001-01-05,14108.29
2001-01-08,14212.983
2001-01-09,13956.43
2001-01-10,13836.742
2001-01-11,13424.417
2001-01-12,13661.182
2001-01-15,13548.447
2001-01-16,13535.427
2001-01-17,13459.034
2001-01-18,13639.316
2001-01-19,14075.878
2001-01-22,14188.194
2001-01-23,13976.063
2001-01-24,13976.152
2001-01-25,13976.242
2001-01-26,13976.063
2001-01-29,13838.944
2001-01-30,13658.356
2001-01-31,13926.674
2001-02-01,14055.124
2001-02-02,13865.558
2001-02-05,13668.5
2001-02-06,13762.311
2001-02-07,13834.036
2001-02-08,13665.48
2001-02-09,13695.269
2001-02-12,13657.435
2001-02-13,14019.531
2001-02-14,14128.37
2001-02-15,14046.866
2001-02-16,13894.847
2001-02-19,14058.862
2001-02-20,14099.104
2001-02-21,14149.161
2001-02-22,14110.645
2001-02-23,14338.318
2001-02-26,14742.287
2001-02-27,14727.607
2001-02-28,14625.615
2001-03-01,14063.217
2001-03-02,13980.327
2001-03-05,14295.209
2001-03-06,14651.786
2001-03-07,14468.336
2001-03-08,14483.605
2001-03-09,14270.317
2001-03-12,13654.121
2001-03-13,13222.715
2001-03-14,13127.47
2001-03-15,13477.167
2001-03-16,13391.193
2001-03-19,13600.778
2001-03-20,13353.253
2001-03-21,12987.845
2001-03-22,12559.397
2001-03-23,12717.811
2001-03-26,13071.206
2001-03-27,12906.045
2001-03-28,12935.05
2001-03-29,12853.298
2001-03-30,12984.732
2001-04-02,12820.387
2001-04-03,12819.175
2001-04-04,12414.127
2001-04-05,12413.888
2001-04-06,12372.351
2001-04-09,11999.85
2001-04-10,11873.163
2001-04-11,12120.899
2001-04-12,12318.356
2001-04-13,12318.356
2001-04-16,12317.961
2001-04-17,11961.941
2001-04-18,12103.434
2001-04-19,12560.407
2001-04-20,12612.98
2001-04-23,12466.565
2001-04-24,12364.988
2001-04-25,12323.796
2001-04-26,12386.726
2001-04-27,12417.114
2001-04-30,12417.433
2001-05-01,12417.592
2001-05-02,12594.264
2001-05-03,12540.965
2001-05-04,12319.612
2001-05-07,12509.203
2001-05-08,12466.89
2001-05-09,12510.94
2001-05-10,12650.196
2001-05-11,12839.936
2001-05-14,12452.711
2001-05-15,12480.389
2001-05-16,12609.355
2001-05-17,12805.928
2001-05-18,12707.902
2001-05-21,12946.581
2001-05-22,13082.829
2001-05-23,13085.85
2001-05-24,12977.541
2001-05-25,12838.067
2001-05-28,12852.842
2001-05-29,12760.516
2001-05-30,12645.174
2001-05-31,12393.314
2001-06-01,12406.503
2001-06-04,12539.835
2001-06-05,12790.217
2001-06-06,12871.973
2001-06-07,12963.256
2001-06-08,13011.946
2001-06-11,12857.193
2001-06-12,12718.654
2001-06-13,12583.46
2001-06-14,12285.903
2001-06-15,12021.916
2001-06-18,12031.094
2001-06-19,12159.667
2001-06-20,11977.014
2001-06-21,12042.119
2001-06-22,11979.16
2001-06-25,11979.314
2001-06-26,11899.227
2001-06-27,11941.227
2001-06-28,11824.362
2001-06-29,12017.255
2001-07-02,12017.486
2001-07-03,12076.334
2001-07-04,12187.514
2001-07-05,12098.408
2001-07-06,12098.252
2001-07-09,11810.185
2001-07-10,11939.172
2001-07-11,11960.314
2001-07-12,12151.442
2001-07-13,12149.382
2001-07-16,12089.698
2001-07-17,11988.319
2001-07-18,12028.351
2001-07-19,11982.979
2001-07-20,11995.983
2001-07-23,11939.922
2001-07-24,11844.721
2001-07-25,11844.493
2001-07-26,11672.151
2001-07-27,11756.255
2001-07-30,11695.556
2001-07-31,11999.883
2001-08-01,12114.043
2001-08-02,12007.156
2001-08-03,11869.992
2001-08-06,11689.025
2001-08-07,11494.498
2001-08-08,11243.311
2001-08-09,11090.391
2001-08-10,11314.559
2001-08-13,11259.871
2001-08-14,11477.451
2001-08-15,11540.385
2001-08-16,11382.374
2001-08-17,11576.753
