Date,HONG KONG VALUE Standard (Large+Mid Cap)
2018-11-30,43637.663
2018-12-31,43124.907
2019-01-31,46402.312
2019-02-28,47931.577
2019-03-29,48733.295
2019-04-30,48835.164
2019-05-31,45732.27
2019-06-28,47357.117
2019-07-31,45658.917
2019-08-30,41385.225
2019-09-30,41791.076
2019-10-31,43380.486
2019-11-29,42202.647
2019-12-31,43825.961
2020-01-31,41652.414
2020-02-28,41336.767
2020-03-31,35489.007
2020-04-30,38355.178
2020-05-29,34212.792
2020-06-30,36834.436
2020-07-31,35690.72
2020-08-31,37539.599
2020-09-30,35305.929
2020-10-30,35125.491
2020-11-30,39028.939
2020-12-31,39015.293
2021-01-29,39129.437
2021-02-26,42231.028
2021-03-31,43335.341
2021-04-30,44304.255
2021-05-31,44961.488
2021-06-30,44568.125
2021-07-30,43076.075
2021-08-31,41994.719
2021-09-30,38806.38
2021-10-29,40663.828
2021-11-30,38691.013
2021-12-31,39673.035
2022-01-31,41053.007
2022-02-28,40062.133
2022-03-31,40145.387
2022-04-29,39122.135
2022-05-31,40251.882
2022-06-30,38962.917
2022-07-29,38474.772
2022-08-31,37421.973
2022-09-30,34207.75
2022-10-31,30757.057
2022-11-30,34677.057
2022-12-30,37461.001
2023-01-31,38970.353
2023-02-28,36793.42
2023-03-31,36490.416
2023-04-28,37095.507
2023-05-31,34704.9
2023-06-30,35115.576
2023-07-31,35983.772
2023-08-31,32703.838
2023-09-29,31627.457
2023-10-31,30052.061
2023-11-30,30206.38
2023-12-29,32890.414
2024-01-31,30099.379
2024-02-29,31681.832
2024-03-29,30533.797
2024-04-30,31294.222
2024-05-31,31602.422
2024-06-28,29878.202
2024-07-31,30624.691
2024-08-30,32943.773
2024-09-30,35918.014
2024-10-31,34195.676
2024-11-29,33334.085
2024-12-31,33291.305
2025-01-31,32258.849
2025-02-28,33873.405
2025-03-31,34777.551
2025-04-30,35560.075
2025-05-30,37777.947
2025-06-30,40297.361
2025-07-31,42075.473
2025-08-29,42408.591
2025-09-30,43416.493
2025-10-31,44180.512
2025-11-28,46010.329
2025-12-31,46232.141
