Date,ISRAEL SMALL CAP Small Cap
2001-01-01,496.061
2001-01-02,472.962
2001-01-03,460.713
2001-01-04,471.682
2001-01-05,467.719
2001-01-08,454.376
2001-01-09,456.247
2001-01-10,459.924
2001-01-11,467.949
2001-01-12,470.018
2001-01-15,474.418
2001-01-16,477.795
2001-01-17,486.919
2001-01-18,483.992
2001-01-19,483.212
2001-01-22,473.334
2001-01-23,470.015
2001-01-24,472.446
2001-01-25,479.138
2001-01-26,476.909
2001-01-29,464.456
2001-01-30,462.196
2001-01-31,466.56
2001-02-01,462.39
2001-02-02,461.625
2001-02-05,465.025
2001-02-06,465.253
2001-02-07,461.973
2001-02-08,467.962
2001-02-09,470.264
2001-02-12,476.814
2001-02-13,478.638
2001-02-14,474.896
2001-02-15,473.151
2001-02-16,471.985
2001-02-19,463.859
2001-02-20,460.122
2001-02-21,454.909
2001-02-22,449.294
2001-02-23,449.898
2001-02-26,459.411
2001-02-27,461.41
2001-02-28,459.785
2001-03-01,457.106
2001-03-02,457.292
2001-03-05,449.237
2001-03-06,448.824
2001-03-07,449.174
2001-03-08,446.731
2001-03-09,445.751
2001-03-12,434.647
2001-03-13,427.806
2001-03-14,416.639
2001-03-15,413.426
2001-03-16,412.948
2001-03-19,411.645
2001-03-20,411.017
2001-03-21,403.728
2001-03-22,394.761
2001-03-23,397.794
2001-03-26,413.507
2001-03-27,408.101
2001-03-28,402.795
2001-03-29,392.398
2001-03-30,395.142
2001-04-02,393.581
2001-04-03,387.771
2001-04-04,389.845
2001-04-05,402.993
2001-04-06,401.273
2001-04-09,402.343
2001-04-10,412.831
2001-04-11,415.417
2001-04-12,415.255
2001-04-13,415.702
2001-04-16,414.873
2001-04-17,409.179
2001-04-18,420.702
2001-04-19,422.119
2001-04-20,423.771
2001-04-23,430.536
2001-04-24,430.585
2001-04-25,431.944
2001-04-26,431.514
2001-04-27,431.984
2001-04-30,442.659
2001-05-01,443.965
2001-05-02,451.779
2001-05-03,450.214
2001-05-04,449.715
2001-05-07,452.635
2001-05-08,451.011
2001-05-09,443.093
2001-05-10,445.361
2001-05-11,443.611
