Date,ISRAEL SMALL CAP Small Cap
1994-05-31,218.887
1994-06-30,186.32
1994-07-29,209.146
1994-08-31,217.46
1994-09-30,216.178
1994-10-31,218.67
1994-11-30,195.474
1994-12-30,205.337
1995-01-31,215.145
1995-02-28,192.15
1995-03-31,211.838
1995-04-28,217.113
1995-05-31,222.283
1995-06-30,245.846
1995-07-31,249.871
1995-08-31,259.626
1995-09-29,257.845
1995-10-31,243.747
1995-11-30,239.285
1995-12-29,247.672
1996-01-31,250.101
1996-02-29,262.891
1996-03-29,235.093
1996-04-30,236.488
1996-05-31,222.469
1996-06-28,223.585
1996-07-31,204.302
1996-08-30,208.711
1996-09-30,213.358
1996-10-31,212.509
1996-11-29,229.699
1996-12-31,253.965
1997-01-31,297.456
1997-02-28,297.329
1997-03-31,284.893
1997-04-30,297.315
1997-05-30,319.655
1997-06-30,318.983
1997-07-31,361.885
1997-08-29,340.557
1997-09-30,365.651
1997-10-31,326.792
1997-11-28,324.642
1997-12-31,317.946
1998-01-30,288.064
1998-02-27,321.727
1998-03-31,340.204
1998-04-30,339.318
1998-05-29,353.413
1998-06-30,345.228
1998-07-31,349.881
1998-08-31,317.141
1998-09-30,316.674
1998-10-30,293.966
1998-11-30,320.341
1998-12-31,316.889
1999-01-29,317.543
1999-02-26,333.251
1999-03-31,369.029
1999-04-30,390.2
1999-05-31,412.507
1999-06-30,464.581
1999-07-30,475.394
1999-08-31,429.884
1999-09-30,441.946
1999-10-29,433.809
1999-11-30,511.708
1999-12-31,582.412
2000-01-31,643.808
2000-02-29,816.667
2000-03-31,675.342
2000-04-28,610.419
2000-05-31,623.783
2000-06-30,653.219
2000-07-31,607.771
2000-08-31,671.889
2000-09-29,636.955
2000-10-31,508.813
2000-11-30,492.873
2000-12-29,503.927
2001-01-31,466.56
2001-02-28,459.785
2001-03-30,395.142
2001-04-30,442.659
2001-05-31,441.665
2001-06-29,421.851
2001-07-31,422.459
2001-08-31,401.016
2001-09-28,333.612
2001-10-31,347.087
2001-11-30,379.733
2001-12-31,431.963
2002-01-31,392.404
2002-02-28,367.874
2002-03-29,348.397
2002-04-30,308.661
2002-05-31,314.574
2002-06-28,292.781
2002-07-31,307.952
2002-08-30,309.551
2002-09-30,269.18
2002-10-31,263.655
2002-11-29,311.617
2002-12-31,286.138
2003-01-31,272.491
2003-02-28,280.251
2003-03-31,303.004
2003-04-30,356.91
2003-05-30,412.226
2003-06-30,435.619
2003-07-31,414.337
2003-08-29,411.899
2003-09-30,435.448
2003-10-31,483.88
2003-11-28,536.722
2003-12-31,556.115
2004-01-30,583.141
2004-02-27,580.807
2004-03-31,581.957
2004-04-30,562.108
2004-05-31,559.623
2004-06-30,600.096
2004-07-30,562.547
2004-08-31,541.663
2004-09-30,569.818
2004-10-29,556.403
2004-11-30,616.689
2004-12-31,661.466
2005-01-31,660.631
2005-02-28,689.943
2005-03-31,668.649
2005-04-29,666.016
2005-05-31,692.462
2005-06-30,644.408
2005-07-29,680.856
2005-08-31,685.404
2005-09-30,696.916
2005-10-31,688.742
2005-11-30,703.105
2005-12-30,727.772
2006-01-31,766.507
2006-02-28,739.794
2006-03-31,750.119
2006-04-28,812.784
2006-05-31,801.667
2006-06-30,756.261
2006-07-31,743.342
2006-08-31,765.497
2006-09-29,791.497
2006-10-31,861.847
2006-11-30,886.733
2006-12-29,869.369
2007-01-31,887.443
2007-02-28,904.391
2007-03-30,916.199
2007-04-30,989.933
2007-05-31,1000.0
2007-06-29,959.223
2007-07-31,945.403
2007-08-31,926.557
2007-09-28,994.996
2007-10-31,1052.172
2007-11-30,998.668
2007-12-31,985.501
2008-01-31,918.689
2008-02-29,898.444
2008-03-31,855.011
2008-04-30,872.417
2008-05-30,963.655
2008-06-30,837.94
2008-07-31,796.178
2008-08-29,759.039
2008-09-30,679.174
2008-10-31,478.453
2008-11-28,428.502
2008-12-31,405.01
2009-01-30,440.84
2009-02-27,417.079
2009-03-31,452.504
2009-04-30,536.484
2009-05-29,609.108
2009-06-30,654.196
2009-07-31,767.179
2009-08-31,781.134
2009-09-30,796.597
2009-10-30,861.239
2009-11-30,867.898
2009-12-31,900.871
2010-01-29,959.437
2010-02-26,962.983
2010-03-31,1043.739
2010-04-30,1014.157
2010-05-31,858.677
2010-06-30,833.926
2010-07-30,885.174
2010-08-31,888.129
2010-09-30,1002.798
2010-10-29,1073.947
2010-11-30,1024.248
2010-12-31,1146.88
2011-01-31,1084.015
2011-02-28,1088.564
2011-03-31,1142.217
2011-04-29,1160.126
2011-05-31,1071.535
2011-06-30,1023.044
2011-07-29,1015.974
2011-08-31,834.254
2011-09-30,764.907
2011-10-31,854.898
2011-11-30,786.859
2011-12-30,753.323
2012-01-31,808.589
2012-02-29,778.505
2012-03-30,828.018
2012-04-30,869.807
2012-05-31,776.806
2012-06-29,745.942
2012-07-31,772.533
2012-08-31,799.405
2012-09-28,901.692
2012-10-31,984.754
2012-11-30,1062.977
2012-12-31,1095.826
2013-01-31,1101.095
2013-02-28,1141.327
2013-03-29,1185.269
2013-04-30,1224.37
2013-05-31,1234.367
2013-06-28,1211.563
2013-07-31,1322.14
2013-08-30,1279.486
2013-09-30,1378.565
2013-10-31,1389.708
2013-11-29,1423.177
2013-12-31,1467.349
2014-01-31,1402.381
2014-02-28,1479.947
2014-03-31,1493.774
2014-04-30,1468.586
2014-05-30,1466.636
2014-06-30,1464.567
2014-07-31,1446.685
2014-08-29,1409.957
2014-09-30,1400.534
2014-10-31,1293.462
2014-11-28,1255.992
2014-12-31,1222.756
2015-01-30,1203.197
2015-02-27,1280.51
2015-03-31,1326.436
2015-04-30,1395.105
2015-05-29,1357.5
2015-06-30,1371.133
2015-07-31,1439.328
2015-08-31,1344.196
2015-09-30,1302.591
2015-10-30,1372.475
2015-11-30,1382.58
2015-12-31,1352.679
2016-01-29,1283.13
2016-02-29,1291.794
2016-03-31,1376.168
2016-04-29,1421.996
2016-05-31,1412.015
2016-06-30,1369.991
2016-07-29,1481.075
2016-08-31,1526.116
2016-09-30,1519.775
2016-10-31,1490.522
2016-11-30,1556.572
2016-12-30,1562.562
2017-01-31,1664.801
2017-02-28,1773.214
2017-03-31,1830.272
2017-04-28,1892.812
2017-05-31,1959.178
2017-06-30,1932.977
2017-07-31,1915.666
2017-08-31,1930.785
2017-09-29,1996.093
2017-10-31,2057.936
2017-11-30,2121.675
2017-12-29,2106.305
2018-01-31,2196.409
2018-02-28,2139.223
2018-03-30,2090.257
2018-04-30,2053.695
2018-05-31,2133.961
2018-06-29,2070.229
2018-07-31,2105.524
2018-08-31,2346.105
2018-09-28,2369.591
2018-10-31,2186.739
2018-11-30,2239.95
2018-12-31,2103.45
2019-01-31,2293.577
2019-02-28,2418.485
2019-03-29,2397.28
2019-04-30,2564.001
2019-05-31,2552.655
2019-06-28,2655.067
2019-07-31,2769.467
2019-08-30,2742.246
2019-09-30,2891.057
2019-10-31,2908.855
2019-11-29,3068.143
2019-12-31,3102.364
2020-01-31,3105.998
2020-02-28,2925.389
2020-03-31,2297.413
2020-04-30,2605.424
2020-05-29,2588.461
