Date,ISRAEL SMALL CAP Small Cap
1994-05-31,210.226
1994-06-30,178.947
1994-07-29,200.87
1994-08-31,208.855
1994-09-30,207.624
1994-10-31,210.017
1994-11-30,187.739
1994-12-30,197.211
1995-01-31,206.632
1995-02-28,184.547
1995-03-31,203.455
1995-04-28,208.522
1995-05-31,213.488
1995-06-30,236.118
1995-07-31,239.984
1995-08-31,249.352
1995-09-29,247.642
1995-10-31,234.102
1995-11-30,229.817
1995-12-29,237.872
1996-01-31,240.205
1996-02-29,252.489
1996-03-29,225.79
1996-04-30,227.13
1996-05-31,213.666
1996-06-28,214.738
1996-07-31,196.218
1996-08-30,200.453
1996-09-30,204.915
1996-10-31,204.1
1996-11-29,220.609
1996-12-31,243.916
1997-01-31,285.685
1997-02-28,285.563
1997-03-31,273.62
1997-04-30,285.55
1997-05-30,307.007
1997-06-30,306.361
1997-07-31,347.565
1997-08-29,327.081
1997-09-30,351.182
1997-10-31,313.861
1997-11-28,311.827
1997-12-31,305.963
1998-01-30,277.228
1998-02-27,309.625
1998-03-31,327.446
1998-04-30,326.647
1998-05-29,340.35
1998-06-30,332.568
1998-07-31,337.123
1998-08-31,305.588
1998-09-30,305.35
1998-10-30,283.503
1998-11-30,308.957
1998-12-31,305.934
1999-01-29,306.772
1999-02-26,322.234
1999-03-31,356.906
1999-04-30,377.612
1999-05-31,399.43
1999-06-30,450.224
1999-07-30,460.738
1999-08-31,416.631
1999-09-30,428.647
1999-10-29,420.961
1999-11-30,496.569
1999-12-31,565.802
2000-01-31,625.65
2000-02-29,793.675
2000-03-31,656.497
2000-04-28,593.457
2000-05-31,607.106
2000-06-30,635.998
2000-07-31,591.748
2000-08-31,654.213
2000-09-29,620.343
2000-10-31,495.596
2000-11-30,480.168
2000-12-29,491.34
2001-01-31,454.906
2001-02-28,448.323
2001-03-30,385.408
2001-04-30,432.069
2001-05-31,431.271
2001-06-29,412.162
2001-07-31,412.757
2001-08-31,391.813
2001-09-28,326.051
2001-10-31,339.221
2001-11-30,371.496
2001-12-31,422.788
2002-01-31,384.096
2002-02-28,360.11
2002-03-29,341.114
2002-04-30,302.657
2002-05-31,308.587
2002-06-28,287.248
2002-07-31,302.132
2002-08-30,303.706
2002-09-30,264.275
2002-10-31,258.926
2002-11-29,306.105
2002-12-31,281.217
2003-01-31,267.928
2003-02-28,275.559
2003-03-31,297.956
2003-04-30,351.178
2003-05-30,405.76
2003-06-30,428.894
2003-07-31,407.941
2003-08-29,405.86
2003-09-30,429.577
2003-10-31,477.425
2003-11-28,529.562
2003-12-31,549.316
2004-01-30,576.012
2004-02-27,573.706
2004-03-31,574.976
2004-04-30,557.328
2004-05-31,555.061
2004-06-30,595.408
2004-07-30,558.152
2004-08-31,537.579
2004-09-30,566.043
2004-10-29,552.717
2004-11-30,612.62
2004-12-31,657.358
2005-01-31,656.561
2005-02-28,685.692
2005-03-31,665.112
2005-04-29,663.039
2005-05-31,689.368
2005-06-30,641.861
2005-07-29,678.191
2005-08-31,682.823
2005-09-30,694.314
2005-10-31,686.421
2005-11-30,700.791
2005-12-30,725.459
2006-01-31,764.18
2006-02-28,737.548
2006-03-31,747.873
2006-04-28,810.771
2006-05-31,799.79
2006-06-30,754.743
2006-07-31,741.851
2006-08-31,764.181
2006-09-29,790.324
2006-10-31,860.57
2006-11-30,885.602
2006-12-29,868.526
2007-01-31,886.583
2007-02-28,903.515
2007-03-30,915.672
2007-04-30,989.845
2007-05-31,1000.0
2007-06-29,960.14
2007-07-31,946.35
2007-08-31,927.515
2007-09-28,997.114
2007-10-31,1054.555
2007-11-30,1001.003
2007-12-31,988.507
2008-01-31,921.606
2008-02-29,901.442
2008-03-31,858.467
2008-04-30,876.891
2008-05-30,968.954
2008-06-30,843.111
2008-07-31,801.264
2008-08-29,764.287
2008-09-30,684.739
2008-10-31,482.529
2008-11-28,432.383
2008-12-31,409.365
2009-01-30,445.646
2009-02-27,421.78
2009-03-31,457.839
2009-04-30,543.512
2009-05-29,617.088
2009-06-30,663.131
2009-07-31,777.684
2009-08-31,792.314
2009-09-30,808.291
2009-10-30,873.895
2009-11-30,881.257
2009-12-31,915.039
2010-01-29,974.577
2010-02-26,978.274
2010-03-31,1061.85
