Date,HONG KONG MID VALUE Mid Cap
1994-05-31,417.226
1994-06-30,393.427
1994-07-29,412.987
1994-08-31,424.9
1994-09-30,419.053
1994-10-31,412.567
1994-11-30,357.175
1994-12-30,341.425
1995-01-31,292.432
1995-02-28,325.259
1995-03-31,327.995
1995-04-28,327.716
1995-05-31,364.029
1995-06-30,363.434
1995-07-31,387.938
1995-08-31,362.44
1995-09-29,376.912
1995-10-31,387.283
1995-11-30,386.738
1995-12-29,390.725
1996-01-31,469.117
1996-02-29,463.888
1996-03-29,461.195
1996-04-30,464.137
1996-05-31,469.17
1996-06-28,464.602
1996-07-31,454.945
1996-08-30,482.321
1996-09-30,509.881
1996-10-31,535.103
1996-11-29,604.263
1996-12-31,591.319
1997-01-31,591.58
1997-02-28,590.523
1997-03-31,546.81
1997-04-30,547.782
1997-05-30,575.887
1997-06-30,579.784
1997-07-31,591.103
1997-08-29,538.38
1997-09-30,552.659
1997-10-31,375.813
1997-11-28,374.591
1997-12-31,363.738
1998-01-30,267.747
1998-02-27,335.09
1998-03-31,323.779
1998-04-30,294.333
1998-05-29,245.728
1998-06-30,214.347
1998-07-31,195.121
1998-08-31,176.935
1998-09-30,193.0
1998-10-30,274.469
1998-11-30,296.219
1998-12-31,283.349
1999-01-29,240.089
1999-02-26,245.209
1999-03-31,296.303
1999-04-30,362.252
1999-05-31,333.783
1999-06-30,373.738
1999-07-30,361.558
1999-08-31,359.215
1999-09-30,340.359
1999-10-29,326.357
1999-11-30,333.284
1999-12-31,387.079
2000-01-31,334.39
2000-02-29,296.518
2000-03-31,314.173
2000-04-28,288.194
2000-05-31,246.643
2000-06-30,266.881
2000-07-31,281.528
2000-08-31,311.738
2000-09-29,291.568
2000-10-31,267.989
2000-11-30,258.868
2000-12-29,294.941
2001-01-31,313.654
2001-02-28,327.621
2001-03-30,287.512
2001-04-30,280.633
2001-05-31,283.677
2001-06-29,288.508
2001-07-31,278.434
2001-08-31,272.578
2001-09-28,239.104
2001-10-31,246.237
2001-11-30,259.801
2001-12-31,269.647
2002-01-31,265.16
2002-02-28,268.487
2002-03-29,273.413
2002-04-30,295.363
2002-05-31,296.406
2002-06-28,294.077
2002-07-31,274.413
2002-08-30,264.767
2002-09-30,238.578
2002-10-31,242.997
2002-11-29,249.155
2002-12-31,248.345
2003-01-31,244.95
2003-02-28,244.237
2003-03-31,252.257
2003-04-30,249.386
2003-05-30,269.049
2003-06-30,259.855
2003-07-31,302.201
2003-08-29,331.679
2003-09-30,363.753
2003-10-31,375.681
2003-11-28,365.652
2003-12-31,372.68
2004-01-30,435.082
2004-02-27,418.686
2004-03-31,414.032
2004-04-30,400.225
2004-05-31,382.226
2004-06-30,379.109
2004-07-30,402.317
2004-08-31,430.805
2004-09-30,438.435
2004-10-29,428.727
2004-11-30,489.368
2004-12-31,488.698
2005-01-31,458.071
2005-02-28,478.529
2005-03-31,465.282
2005-04-29,483.97
2005-05-31,480.603
2005-06-30,507.452
2005-07-29,537.851
2005-08-31,521.266
2005-09-30,524.513
2005-10-31,497.579
2005-11-30,522.835
2005-12-30,535.047
2006-01-31,575.008
2006-02-28,604.223
2006-03-31,635.384
2006-04-28,674.038
2006-05-31,615.312
2006-06-30,640.718
2006-07-31,654.476
2006-08-31,690.393
2006-09-29,704.479
2006-10-31,723.055
2006-11-30,784.594
2006-12-29,836.539
2007-01-31,910.042
2007-02-28,920.709
2007-03-30,942.152
2007-04-30,985.861
2007-05-31,1000.0
2007-06-29,980.817
2007-07-31,999.856
2007-08-31,972.311
2007-09-28,1024.316
2007-10-31,1101.137
2007-11-30,1024.601
2007-12-31,1024.586
2008-01-31,972.468
2008-02-29,999.548
2008-03-31,970.111
2008-04-30,1016.914
2008-05-30,1056.951
2008-06-30,926.316
2008-07-31,913.392
2008-08-29,913.33
2008-09-30,756.399
2008-10-31,571.767
2008-11-28,600.86
2008-12-31,669.899
2009-01-30,678.29
2009-02-27,660.595
2009-03-31,691.592
2009-04-30,776.771
2009-05-29,941.625
2009-06-30,955.922
2009-07-31,1082.199
2009-08-31,1000.129
2009-09-30,1040.943
2009-10-30,1085.416
2009-11-30,1101.958
2009-12-31,1097.04
2010-01-29,1052.629
2010-02-26,1079.137
2010-03-31,1130.267
2010-04-30,1142.85
2010-05-31,1046.478
2010-06-30,1097.466
2010-07-30,1168.815
2010-08-31,1183.049
2010-09-30,1310.789
2010-10-29,1341.977
2010-11-30,1370.57
2010-12-31,1397.558
2011-01-31,1419.533
2011-02-28,1314.45
2011-03-31,1336.333
2011-04-29,1366.871
2011-05-31,1404.018
2011-06-30,1333.68
2011-07-29,1350.69
2011-08-31,1254.988
