Date,HONG KONG MID VALUE Mid Cap
2001-01-01,294.941
2001-01-02,293.341
2001-01-03,291.829
2001-01-04,305.322
2001-01-05,315.069
2001-01-08,320.328
2001-01-09,314.773
2001-01-10,307.141
2001-01-11,300.611
2001-01-12,311.542
2001-01-15,311.573
2001-01-16,311.085
2001-01-17,310.753
2001-01-18,313.203
2001-01-19,318.377
2001-01-22,317.932
2001-01-23,317.367
2001-01-24,317.369
2001-01-25,317.371
2001-01-26,317.367
2001-01-29,314.059
2001-01-30,314.116
2001-01-31,313.654
2001-02-01,316.038
2001-02-02,316.597
2001-02-05,312.195
2001-02-06,315.745
2001-02-07,316.636
2001-02-08,313.014
2001-02-09,318.895
2001-02-12,319.706
2001-02-13,322.432
2001-02-14,322.457
2001-02-15,320.477
2001-02-16,315.883
2001-02-19,318.412
2001-02-20,321.318
2001-02-21,320.116
2001-02-22,321.631
2001-02-23,326.321
2001-02-26,333.617
2001-02-27,335.238
2001-02-28,327.621
2001-03-01,323.819
2001-03-02,324.007
2001-03-05,325.094
2001-03-06,330.96
2001-03-07,332.265
2001-03-08,332.396
2001-03-09,328.483
2001-03-12,312.269
2001-03-13,303.437
2001-03-14,299.559
2001-03-15,298.982
2001-03-16,303.423
2001-03-19,305.475
2001-03-20,300.121
2001-03-21,294.803
2001-03-22,286.604
2001-03-23,289.104
2001-03-26,295.57
2001-03-27,292.377
2001-03-28,289.914
2001-03-29,284.898
2001-03-30,287.512
2001-04-02,286.114
2001-04-03,282.529
2001-04-04,273.206
2001-04-05,273.201
2001-04-06,275.693
2001-04-09,269.806
2001-04-10,269.341
2001-04-11,274.674
2001-04-12,277.791
2001-04-13,277.791
2001-04-16,277.782
2001-04-17,270.968
2001-04-18,272.237
2001-04-19,280.992
2001-04-20,278.446
2001-04-23,278.787
2001-04-24,279.902
2001-04-25,276.985
2001-04-26,279.063
2001-04-27,280.626
2001-04-30,280.633
2001-05-01,280.636
2001-05-02,287.777
2001-05-03,287.718
2001-05-04,284.221
2001-05-07,287.568
2001-05-08,286.964
2001-05-09,289.114
2001-05-10,290.434
2001-05-11,294.058
2001-05-14,285.876
2001-05-15,285.245
2001-05-16,284.972
2001-05-17,288.918
2001-05-18,286.377
2001-05-21,290.273
2001-05-22,291.95
2001-05-23,292.463
2001-05-24,292.885
2001-05-25,294.489
2001-05-28,295.325
2001-05-29,293.954
2001-05-30,288.312
2001-05-31,283.677
2001-06-01,282.549
2001-06-04,283.582
2001-06-05,289.064
2001-06-06,289.578
2001-06-07,292.917
2001-06-08,292.707
2001-06-11,292.303
2001-06-12,291.603
2001-06-13,293.132
2001-06-14,285.732
2001-06-15,283.056
2001-06-18,284.632
2001-06-19,285.54
2001-06-20,283.488
2001-06-21,285.497
2001-06-22,286.431
2001-06-25,286.434
2001-06-26,284.884
2001-06-27,287.75
2001-06-28,284.31
2001-06-29,288.508
2001-07-02,288.513
2001-07-03,289.203
2001-07-04,289.232
2001-07-05,288.809
2001-07-06,288.805
2001-07-09,282.892
2001-07-10,285.091
2001-07-11,281.339
2001-07-12,284.152
2001-07-13,284.038
2001-07-16,285.32
2001-07-17,280.13
2001-07-18,279.85
2001-07-19,278.676
2001-07-20,282.102
2001-07-23,280.709
2001-07-24,278.614
2001-07-25,278.608
