Date,SWEDEN MID CAP Mid Cap
2001-01-01,319.673
2001-01-02,312.62
2001-01-03,299.481
2001-01-04,312.061
2001-01-05,320.16
2001-01-08,317.952
2001-01-09,313.02
2001-01-10,316.665
2001-01-11,326.202
2001-01-12,329.437
2001-01-15,328.478
2001-01-16,323.123
2001-01-17,323.163
2001-01-18,331.166
2001-01-19,333.174
2001-01-22,327.464
2001-01-23,326.035
2001-01-24,322.974
2001-01-25,322.667
2001-01-26,320.836
2001-01-29,322.808
2001-01-30,328.161
2001-01-31,336.658
2001-02-01,337.289
2001-02-02,335.469
2001-02-05,331.076
2001-02-06,336.322
2001-02-07,334.322
2001-02-08,328.598
2001-02-09,326.023
2001-02-12,326.282
2001-02-13,322.783
2001-02-14,319.62
2001-02-15,322.366
2001-02-16,321.455
2001-02-19,322.172
2001-02-20,323.239
2001-02-21,318.313
2001-02-22,311.246
2001-02-23,310.362
2001-02-26,314.743
2001-02-27,320.193
2001-02-28,321.028
2001-03-01,320.09
2001-03-02,318.866
2001-03-05,318.814
2001-03-06,324.969
2001-03-07,323.685
2001-03-08,325.691
2001-03-09,323.871
2001-03-12,314.621
2001-03-13,304.361
2001-03-14,298.587
2001-03-15,300.336
2001-03-16,287.539
2001-03-19,286.744
2001-03-20,286.837
2001-03-21,277.882
2001-03-22,262.616
2001-03-23,273.99
2001-03-26,287.285
2001-03-27,289.644
2001-03-28,283.028
2001-03-29,277.776
2001-03-30,281.519
2001-04-02,278.527
2001-04-03,275.625
2001-04-04,276.785
2001-04-05,285.327
2001-04-06,287.809
2001-04-09,296.948
2001-04-10,298.167
2001-04-11,295.949
2001-04-12,296.588
2001-04-13,296.588
2001-04-16,293.479
2001-04-17,294.639
2001-04-18,300.033
2001-04-19,311.813
2001-04-20,310.658
2001-04-23,303.225
2001-04-24,301.133
2001-04-25,303.873
2001-04-26,308.349
2001-04-27,310.67
2001-04-30,316.549
2001-05-01,317.874
2001-05-02,317.084
2001-05-03,310.166
2001-05-04,311.125
2001-05-07,312.642
2001-05-08,309.947
2001-05-09,307.796
2001-05-10,314.38
2001-05-11,311.357
2001-05-14,306.892
2001-05-15,305.302
2001-05-16,306.682
2001-05-17,312.979
2001-05-18,319.153
2001-05-21,321.346
2001-05-22,319.815
2001-05-23,315.977
2001-05-24,314.959
2001-05-25,312.151
2001-05-28,312.051
2001-05-29,308.982
2001-05-30,303.711
2001-05-31,299.4
2001-06-01,296.474
2001-06-04,294.931
2001-06-05,297.668
2001-06-06,297.46
2001-06-07,297.429
2001-06-08,295.982
2001-06-11,289.203
2001-06-12,290.784
2001-06-13,295.224
2001-06-14,290.871
2001-06-15,295.069
2001-06-18,293.599
2001-06-19,287.387
2001-06-20,278.705
2001-06-21,279.249
2001-06-22,279.833
2001-06-25,285.311
2001-06-26,277.845
2001-06-27,280.062
2001-06-28,281.549
2001-06-29,282.0
2001-07-02,283.339
2001-07-03,283.249
2001-07-04,280.199
2001-07-05,276.343
2001-07-06,269.86
2001-07-09,268.308
2001-07-10,271.485
2001-07-11,271.924
2001-07-12,273.579
2001-07-13,276.078
2001-07-16,278.727
2001-07-17,273.293
2001-07-18,276.802
2001-07-19,280.418
2001-07-20,278.425
2001-07-23,276.698
2001-07-24,277.838
2001-07-25,276.784
2001-07-26,279.064
2001-07-27,280.978
2001-07-30,283.385
2001-07-31,284.768
2001-08-01,286.259
2001-08-02,291.415
2001-08-03,293.02
2001-08-06,291.191
2001-08-07,289.171
2001-08-08,287.729
2001-08-09,284.676
2001-08-10,281.204
2001-08-13,282.847
2001-08-14,285.358
2001-08-15,285.806
2001-08-16,281.311
2001-08-17,279.75
2001-08-20,270.851
2001-08-21,271.611
2001-08-22,273.649
2001-08-23,277.023
2001-08-24,278.382
2001-08-27,277.896
2001-08-28,273.476
2001-08-29,270.161
2001-08-30,261.692
2001-08-31,258.675
2001-09-03,253.703
2001-09-04,251.687
2001-09-05,254.061
2001-09-06,250.987
2001-09-07,247.689
2001-09-10,245.899
2001-09-11,230.494
2001-09-12,240.104
2001-09-13,241.401
2001-09-14,242.041
2001-09-17,241.527
2001-09-18,234.428
2001-09-19,235.268
2001-09-20,220.141
2001-09-21,212.279
2001-09-24,218.587
2001-09-25,226.991
2001-09-26,228.261
2001-09-27,229.53
2001-09-28,235.228
2001-10-01,237.264
2001-10-02,237.141
2001-10-03,237.586
2001-10-04,251.308
2001-10-05,253.74
2001-10-08,253.869
2001-10-09,255.187
2001-10-10,255.211
2001-10-11,263.001
2001-10-12,263.741
2001-10-15,262.066
2001-10-16,264.147
2001-10-17,266.977
2001-10-18,260.921
2001-10-19,254.744
2001-10-22,254.352
2001-10-23,261.174
2001-10-24,263.353
2001-10-25,259.368
2001-10-26,262.25
2001-10-29,260.332
2001-10-30,253.232
2001-10-31,251.974
2001-11-01,254.268
2001-11-02,258.45
2001-11-05,262.114
2001-11-06,265.566
2001-11-07,268.995
2001-11-08,270.819
2001-11-09,269.052
2001-11-12,265.467
2001-11-13,271.62
2001-11-14,275.558
2001-11-15,277.299
2001-11-16,281.393
2001-11-19,278.137
2001-11-20,273.042
2001-11-21,270.691
2001-11-22,275.341
2001-11-23,273.372
2001-11-26,276.405
2001-11-27,274.787
2001-11-28,273.848
2001-11-29,274.393
2001-11-30,275.781
2001-12-03,275.622
2001-12-04,281.829
2001-12-05,290.955
2001-12-06,288.192
2001-12-07,292.884
2001-12-10,287.145
2001-12-11,286.35
2001-12-12,284.191
2001-12-13,282.488
2001-12-14,275.983
2001-12-17,278.928
2001-12-18,280.43
2001-12-19,275.295
2001-12-20,271.717
2001-12-21,273.2
2001-12-24,269.59
2001-12-25,269.59
2001-12-26,268.673
2001-12-27,277.779
2001-12-28,282.82
2001-12-31,285.119
2002-01-01,285.119
2002-01-02,288.221
2002-01-03,298.861
2002-01-04,298.148
2002-01-07,297.462
2002-01-08,291.551
2002-01-09,293.841
2002-01-10,293.8
2002-01-11,295.133
2002-01-14,284.917
2002-01-15,285.006
2002-01-16,275.817
2002-01-17,276.146
2002-01-18,279.605
2002-01-21,276.635
2002-01-22,278.656
2002-01-23,279.284
2002-01-24,278.761
2002-01-25,273.622
2002-01-28,273.286
2002-01-29,272.821
2002-01-30,268.087
2002-01-31,275.521
2002-02-01,275.791
2002-02-04,276.695
2002-02-05,276.847
2002-02-06,277.909
2002-02-07,275.388
2002-02-08,274.518
2002-02-11,276.502
2002-02-12,276.183
2002-02-13,278.683
2002-02-14,276.58
2002-02-15,277.549
2002-02-18,275.153
2002-02-19,274.356
2002-02-20,272.377
2002-02-21,277.402
2002-02-22,278.87
2002-02-25,280.211
2002-02-26,283.098
2002-02-27,287.12
2002-02-28,287.273
2002-03-01,287.966
2002-03-04,300.112
2002-03-05,301.686
2002-03-06,300.386
2002-03-07,303.634
2002-03-08,304.259
2002-03-11,301.586
2002-03-12,296.563
2002-03-13,297.542
2002-03-14,297.584
2002-03-15,299.536
