Date,SWEDEN MID CAP Mid Cap
1994-05-31,137.625
1994-06-30,132.625
1994-07-29,139.145
1994-08-31,134.876
1994-09-30,137.912
1994-10-31,149.439
1994-11-30,146.27
1994-12-30,146.134
1995-01-31,150.22
1995-02-28,152.008
1995-03-31,137.696
1995-04-28,154.129
1995-05-31,153.788
1995-06-30,159.812
1995-07-31,171.428
1995-08-31,161.513
1995-09-29,178.378
1995-10-31,173.807
1995-11-30,181.246
1995-12-29,184.211
1996-01-31,177.056
1996-02-29,185.355
1996-03-29,190.074
1996-04-30,202.13
1996-05-31,204.884
1996-06-28,210.15
1996-07-31,205.752
1996-08-30,214.671
1996-09-30,227.626
1996-10-31,229.816
1996-11-29,239.856
1996-12-31,240.291
1997-01-31,238.652
1997-02-28,244.928
1997-03-31,250.562
1997-04-30,229.319
1997-05-30,246.026
1997-06-30,258.134
1997-07-31,264.155
1997-08-29,254.333
1997-09-30,274.625
1997-10-31,258.518
1997-11-28,265.639
1997-12-31,262.396
1998-01-30,260.923
1998-02-27,276.831
1998-03-31,300.436
1998-04-30,318.88
1998-05-29,336.706
1998-06-30,334.382
1998-07-31,354.576
1998-08-31,311.042
1998-09-30,294.003
1998-10-30,295.767
1998-11-30,312.675
1998-12-31,310.887
1999-01-29,334.588
1999-02-26,326.386
1999-03-31,316.845
1999-04-30,325.08
1999-05-31,322.272
1999-06-30,333.761
1999-07-30,344.536
1999-08-31,354.86
1999-09-30,360.569
1999-10-29,366.913
1999-11-30,395.644
1999-12-31,453.122
2000-01-31,458.858
2000-02-29,522.062
2000-03-31,487.052
2000-04-28,444.979
2000-05-31,433.642
2000-06-30,403.753
2000-07-31,391.281
2000-08-31,370.984
2000-09-29,338.488
2000-10-31,330.464
2000-11-30,293.351
2000-12-29,319.673
2001-01-31,336.658
2001-02-28,321.028
2001-03-30,281.519
2001-04-30,316.549
2001-05-31,299.4
2001-06-29,282.0
2001-07-31,284.768
2001-08-31,258.675
2001-09-28,235.228
2001-10-31,251.974
2001-11-30,275.781
2001-12-31,285.119
2002-01-31,275.521
2002-02-28,287.273
2002-03-29,295.673
2002-04-30,290.153
2002-05-31,294.57
2002-06-28,307.308
2002-07-31,263.996
2002-08-30,257.633
2002-09-30,223.326
2002-10-31,241.728
2002-11-29,278.309
2002-12-31,250.437
2003-01-31,236.834
2003-02-28,246.711
2003-03-31,241.309
2003-04-30,289.833
2003-05-30,296.374
2003-06-30,298.878
2003-07-31,315.066
2003-08-29,315.15
2003-09-30,324.728
2003-10-31,356.28
2003-11-28,368.166
2003-12-31,394.391
2004-01-30,400.085
2004-02-27,395.206
2004-03-31,384.639
2004-04-30,390.889
2004-05-31,391.623
2004-06-30,396.541
2004-07-30,378.424
2004-08-31,382.595
2004-09-30,402.269
2004-10-29,411.71
2004-11-30,464.705
2004-12-31,485.238
2005-01-31,471.482
2005-02-28,499.872
2005-03-31,479.767
2005-04-29,458.33
2005-05-31,482.557
2005-06-30,474.631
2005-07-29,506.321
2005-08-31,509.159
2005-09-30,537.676
2005-10-31,515.383
2005-11-30,533.801
2005-12-30,574.357
2006-01-31,604.541
2006-02-28,619.317
2006-03-31,672.607
2006-04-28,726.668
2006-05-31,670.156
2006-06-30,675.558
2006-07-31,668.837
2006-08-31,692.291
2006-09-29,723.803
2006-10-31,776.578
2006-11-30,808.066
2006-12-29,875.648
2007-01-31,878.048
2007-02-28,876.625
2007-03-30,942.776
2007-04-30,1008.444
2007-05-31,1000.0
2007-06-29,996.526
2007-07-31,1011.392
2007-08-31,945.878
2007-09-28,983.846
2007-10-31,999.239
2007-11-30,938.179
2007-12-31,909.91
2008-01-31,825.286
2008-02-29,885.404
2008-03-31,901.845
2008-04-30,923.537
2008-05-30,961.826
2008-06-30,851.705
2008-07-31,782.747
2008-08-29,758.292
2008-09-30,602.484
2008-10-31,442.504
2008-11-28,418.9
2008-12-31,447.455
2009-01-30,400.663
2009-02-27,361.041
2009-03-31,404.31
2009-04-30,518.244
2009-05-29,582.494
2009-06-30,571.544
2009-07-31,697.003
2009-08-31,753.951
2009-09-30,762.424
2009-10-30,777.929
2009-11-30,803.852
2009-12-31,812.634
2010-01-29,783.819
2010-02-26,816.72
2010-03-31,870.73
2010-04-30,899.148
2010-05-31,777.29
2010-06-30,789.416
2010-07-30,896.738
2010-08-31,844.54
2010-09-30,1013.482
2010-10-29,1023.341
2010-11-30,995.997
2010-12-31,1094.774
2011-01-31,1134.368
2011-02-28,1131.357
2011-03-31,1168.002
2011-04-29,1252.354
2011-05-31,1222.629
2011-06-30,1154.418
2011-07-29,1119.537
2011-08-31,1019.55
2011-09-30,867.534
2011-10-31,1024.603
2011-11-30,987.717
2011-12-30,984.842
2012-01-31,1045.173
2012-02-29,1131.657
2012-03-30,1118.636
2012-04-30,1085.577
2012-05-31,937.478
2012-06-29,989.482
