Date,SWEDEN MID CAP Mid Cap
2001-01-01,337.995
2001-01-02,330.538
2001-01-03,316.646
2001-01-04,329.946
2001-01-05,338.51
2001-01-08,336.175
2001-01-09,330.96
2001-01-10,334.814
2001-01-11,344.898
2001-01-12,348.318
2001-01-15,347.305
2001-01-16,341.643
2001-01-17,341.685
2001-01-18,350.147
2001-01-19,352.269
2001-01-22,346.232
2001-01-23,344.721
2001-01-24,341.485
2001-01-25,341.161
2001-01-26,339.224
2001-01-29,341.31
2001-01-30,346.97
2001-01-31,355.954
2001-02-01,356.621
2001-02-02,354.696
2001-02-05,350.052
2001-02-06,355.598
2001-02-07,353.483
2001-02-08,347.431
2001-02-09,344.708
2001-02-12,344.983
2001-02-13,341.283
2001-02-14,337.939
2001-02-15,340.843
2001-02-16,339.878
2001-02-19,340.637
2001-02-20,341.765
2001-02-21,336.557
2001-02-22,329.085
2001-02-23,328.15
2001-02-26,332.782
2001-02-27,338.544
2001-02-28,339.427
2001-03-01,338.436
2001-03-02,337.142
2001-03-05,337.087
2001-03-06,343.594
2001-03-07,342.237
2001-03-08,344.357
2001-03-09,342.434
2001-03-12,332.654
2001-03-13,321.805
2001-03-14,315.7
2001-03-15,317.55
2001-03-16,304.019
2001-03-19,303.179
2001-03-20,303.276
2001-03-21,293.587
2001-03-22,277.395
2001-03-23,289.409
2001-03-26,303.452
2001-03-27,305.945
2001-03-28,298.956
2001-03-29,293.409
2001-03-30,297.362
2001-04-02,294.202
2001-04-03,291.137
2001-04-04,292.362
2001-04-05,301.385
2001-04-06,304.006
2001-04-09,313.66
2001-04-10,314.947
2001-04-11,312.605
2001-04-12,313.279
2001-04-13,313.279
2001-04-16,309.995
2001-04-17,311.22
2001-04-18,316.918
2001-04-19,329.287
2001-04-20,328.067
2001-04-23,320.218
2001-04-24,317.84
2001-04-25,320.539
2001-04-26,325.261
2001-04-27,327.01
2001-04-30,333.198
2001-05-01,334.593
2001-05-02,333.762
2001-05-03,326.48
2001-05-04,327.208
2001-05-07,328.741
2001-05-08,325.907
2001-05-09,323.646
2001-05-10,330.568
2001-05-11,327.39
2001-05-14,322.695
2001-05-15,321.023
2001-05-16,322.475
2001-05-17,329.095
2001-05-18,335.587
2001-05-21,337.881
2001-05-22,336.272
2001-05-23,332.119
2001-05-24,331.048
2001-05-25,328.097
2001-05-28,327.992
2001-05-29,324.766
2001-05-30,319.225
2001-05-31,314.695
2001-06-01,311.619
2001-06-04,309.997
2001-06-05,312.874
2001-06-06,312.656
2001-06-07,312.623
2001-06-08,311.102
2001-06-11,303.977
2001-06-12,305.638
2001-06-13,310.305
2001-06-14,305.73
2001-06-15,310.142
2001-06-18,308.597
2001-06-19,302.067
2001-06-20,292.942
2001-06-21,293.514
2001-06-22,294.128
2001-06-25,299.886
2001-06-26,292.038
2001-06-27,294.288
2001-06-28,295.85
2001-06-29,296.324
2001-07-02,297.732
2001-07-03,297.637
2001-07-04,294.431
2001-07-05,290.38
2001-07-06,283.568
2001-07-09,281.936
2001-07-10,285.275
2001-07-11,285.736
2001-07-12,287.475
2001-07-13,290.101
2001-07-16,292.885
2001-07-17,287.174
2001-07-18,290.863
2001-07-19,294.661
2001-07-20,292.567
2001-07-23,290.753
2001-07-24,291.951
2001-07-25,290.843
2001-07-26,293.239
2001-07-27,295.25
2001-07-30,297.78
2001-07-31,299.233
2001-08-01,300.799
2001-08-02,306.218
2001-08-03,307.904
2001-08-06,305.982
2001-08-07,303.859
2001-08-08,302.344
2001-08-09,299.136
2001-08-10,295.487
2001-08-13,297.214
2001-08-14,299.852
2001-08-15,300.324
2001-08-16,295.6
2001-08-17,293.959
2001-08-20,284.609
2001-08-21,285.407
2001-08-22,287.549
2001-08-23,291.094
2001-08-24,292.522
2001-08-27,292.012
2001-08-28,287.367
2001-08-29,283.884
2001-08-30,274.985
2001-08-31,271.814
2001-09-03,266.59
2001-09-04,264.471
2001-09-05,266.966
2001-09-06,263.736
2001-09-07,260.27
2001-09-10,258.389
2001-09-11,242.202
2001-09-12,252.3
2001-09-13,253.663
2001-09-14,254.335
2001-09-17,253.795
2001-09-18,246.336
2001-09-19,247.218
2001-09-20,231.323
2001-09-21,223.061
2001-09-24,229.69
2001-09-25,238.521
2001-09-26,239.856
2001-09-27,241.189
2001-09-28,247.177
2001-10-01,249.316
2001-10-02,249.187
2001-10-03,249.654
2001-10-04,264.073
2001-10-05,266.629
2001-10-08,266.764
2001-10-09,268.149
2001-10-10,268.174
2001-10-11,276.36
2001-10-12,277.138
2001-10-15,275.377
2001-10-16,277.564
2001-10-17,280.538
2001-10-18,274.175
2001-10-19,267.683
2001-10-22,267.272
2001-10-23,274.44
2001-10-24,276.73
2001-10-25,272.543
2001-10-26,275.571
2001-10-29,273.555
2001-10-30,266.094
2001-10-31,264.773
2001-11-01,267.184
2001-11-02,271.578
2001-11-05,275.428
2001-11-06,279.056
2001-11-07,282.658
2001-11-08,284.575
2001-11-09,282.719
2001-11-12,278.952
2001-11-13,285.417
2001-11-14,289.555
2001-11-15,291.384
2001-11-16,295.686
2001-11-19,292.265
2001-11-20,286.912
2001-11-21,284.44
2001-11-22,289.327
2001-11-23,287.257
2001-11-26,290.445
2001-11-27,288.745
2001-11-28,287.758
2001-11-29,288.331
2001-11-30,289.789
2001-12-03,289.623
2001-12-04,296.144
2001-12-05,305.734
2001-12-06,302.83
2001-12-07,307.761
2001-12-10,301.731
2001-12-11,300.895
2001-12-12,298.626
2001-12-13,296.837
2001-12-14,290.002
2001-12-17,293.096
2001-12-18,294.674
2001-12-19,289.279
2001-12-20,285.519
2001-12-21,287.077
2001-12-24,283.283
2001-12-25,283.283
2001-12-26,282.32
2001-12-27,291.889
2001-12-28,297.186
2001-12-31,299.601
2002-01-01,299.601
2002-01-02,302.861
2002-01-03,314.041
2002-01-04,313.292
2002-01-07,312.572
2002-01-08,306.36
2002-01-09,308.766
2002-01-10,308.724
2002-01-11,310.124
2002-01-14,299.389
2002-01-15,299.483
2002-01-16,289.828
2002-01-17,290.173
2002-01-18,293.808
2002-01-21,290.687
2002-01-22,292.81
2002-01-23,293.47
2002-01-24,292.921
2002-01-25,287.52
2002-01-28,287.168
2002-01-29,286.679
2002-01-30,281.704
2002-01-31,289.516
2002-02-01,289.8
2002-02-04,290.749
2002-02-05,290.91
2002-02-06,292.025
2002-02-07,289.377
2002-02-08,288.462
2002-02-11,290.547
2002-02-12,290.212
2002-02-13,292.838
2002-02-14,290.629
2002-02-15,291.647
2002-02-18,289.13
2002-02-19,288.292
2002-02-20,286.212
2002-02-21,291.493
2002-02-22,293.035
2002-02-25,294.445
2002-02-26,297.478
2002-02-27,301.704
2002-02-28,301.865
2002-03-01,302.593
2002-03-04,315.356
2002-03-05,317.01
2002-03-06,315.644
2002-03-07,319.057
2002-03-08,319.714
2002-03-11,316.905
2002-03-12,311.627
2002-03-13,312.655
2002-03-14,312.699
2002-03-15,314.751
2002-03-18,315.336
2002-03-19,314.559
2002-03-20,314.28
2002-03-21,312.915
2002-03-22,313.607
2002-03-25,311.594
2002-03-26,308.795
2002-03-27,308.594
2002-03-28,310.475
2002-03-29,310.475
2002-04-01,313.54
2002-04-02,312.992
2002-04-03,309.586
2002-04-04,307.657
2002-04-05,308.864
2002-04-08,303.503
2002-04-09,301.775
2002-04-10,302.214
2002-04-11,300.44
2002-04-12,299.634
2002-04-15,302.053
2002-04-16,307.768
2002-04-17,309.665
2002-04-18,306.773
2002-04-19,305.541
2002-04-22,297.605
2002-04-23,300.55
2002-04-24,294.118
2002-04-25,290.939
2002-04-26,297.586
2002-04-29,299.51
2002-04-30,303.669
2002-05-01,305.453
2002-05-02,306.176
2002-05-03,305.032
2002-05-06,305.276
2002-05-07,301.47
2002-05-08,307.255
2002-05-09,306.727
2002-05-10,303.257
2002-05-13,309.564
2002-05-14,310.598
2002-05-15,311.005
2002-05-16,310.7
2002-05-17,313.49
2002-05-20,314.384
2002-05-21,314.403
2002-05-22,311.527
2002-05-23,309.681
2002-05-24,309.679
2002-05-27,308.937
2002-05-28,311.492
2002-05-29,309.313
2002-05-30,307.479
2002-05-31,308.091
