Date,EM (EMERGING MARKETS) SMID GROWTH SMID (Small+Mid Cap)
2001-01-01,278.528
2001-01-02,278.182
2001-01-03,278.805
2001-01-04,286.798
2001-01-05,288.838
2001-01-08,290.927
2001-01-09,293.821
2001-01-10,294.196
2001-01-11,293.79
2001-01-12,295.492
2001-01-15,296.839
2001-01-16,297.052
2001-01-17,299.013
2001-01-18,299.467
2001-01-19,303.446
2001-01-22,306.173
2001-01-23,307.494
2001-01-24,307.079
2001-01-25,307.49
2001-01-26,306.421
2001-01-29,305.757
2001-01-30,307.742
2001-01-31,311.194
2001-02-01,310.914
2001-02-02,312.54
2001-02-05,308.722
2001-02-06,308.254
2001-02-07,303.496
2001-02-08,304.868
2001-02-09,305.617
2001-02-12,306.528
2001-02-13,308.032
2001-02-14,307.124
2001-02-15,309.626
2001-02-16,306.849
2001-02-19,303.906
2001-02-20,303.873
2001-02-21,297.588
2001-02-22,291.468
2001-02-23,289.696
2001-02-26,293.11
2001-02-27,292.236
2001-02-28,291.174
2001-03-01,290.442
2001-03-02,288.143
2001-03-05,290.005
2001-03-06,290.987
2001-03-07,292.242
2001-03-08,291.612
2001-03-09,289.032
2001-03-12,281.583
2001-03-13,278.797
2001-03-14,277.431
2001-03-15,278.024
2001-03-16,276.182
2001-03-19,272.753
2001-03-20,274.044
2001-03-21,272.771
2001-03-22,270.002
2001-03-23,271.21
2001-03-26,275.247
2001-03-27,274.499
2001-03-28,272.845
2001-03-29,269.58
2001-03-30,269.44
2001-04-02,264.222
2001-04-03,259.358
2001-04-04,257.927
2001-04-05,260.677
2001-04-06,261.387
2001-04-09,259.146
2001-04-10,259.49
2001-04-11,261.736
2001-04-12,263.94
2001-04-13,264.513
2001-04-16,263.594
2001-04-17,262.737
2001-04-18,269.249
2001-04-19,271.879
2001-04-20,269.304
2001-04-23,268.668
2001-04-24,270.231
2001-04-25,269.359
2001-04-26,271.452
2001-04-27,273.167
2001-04-30,274.164
2001-05-01,273.965
2001-05-02,274.719
2001-05-03,275.196
2001-05-04,273.727
2001-05-07,273.546
2001-05-08,271.977
2001-05-09,271.563
2001-05-10,271.206
2001-05-11,270.837
2001-05-14,270.282
2001-05-15,269.752
2001-05-16,271.22
2001-05-17,274.858
2001-05-18,275.158
2001-05-21,275.055
2001-05-22,276.074
2001-05-23,278.29
2001-05-24,280.1
2001-05-25,280.048
2001-05-28,279.469
2001-05-29,278.828
2001-05-30,276.821
2001-05-31,277.288
2001-06-01,275.281
2001-06-04,275.624
2001-06-05,275.119
2001-06-06,276.772
2001-06-07,276.612
2001-06-08,279.663
2001-06-11,278.394
2001-06-12,278.457
2001-06-13,278.097
2001-06-14,277.606
2001-06-15,277.752
2001-06-18,272.75
2001-06-19,271.25
2001-06-20,269.834
2001-06-21,270.663
2001-06-22,271.484
2001-06-25,271.292
2001-06-26,270.068
2001-06-27,269.715
2001-06-28,268.812
2001-06-29,270.924
2001-07-02,270.291
2001-07-03,268.682
2001-07-04,265.996
2001-07-05,264.535
2001-07-06,261.088
2001-07-09,259.742
2001-07-10,257.984
2001-07-11,252.609
2001-07-12,255.026
2001-07-13,252.886
2001-07-16,251.591
2001-07-17,251.856
2001-07-18,252.246
2001-07-19,252.756
2001-07-20,252.177
2001-07-23,251.523
2001-07-24,251.148
2001-07-25,249.725
2001-07-26,252.152
2001-07-27,252.571
2001-07-30,253.454
2001-07-31,253.106
2001-08-01,254.216
2001-08-02,256.518
2001-08-03,257.89
2001-08-06,255.987
2001-08-07,255.712
2001-08-08,256.146
2001-08-09,254.936
2001-08-10,255.676
2001-08-13,256.052
2001-08-14,258.031
2001-08-15,258.96
2001-08-16,259.416
2001-08-17,259.48
2001-08-20,258.227
2001-08-21,258.23
2001-08-22,257.652
2001-08-23,257.364
2001-08-24,257.136
2001-08-27,258.917
2001-08-28,257.667
2001-08-29,257.596
2001-08-30,255.556
2001-08-31,253.943
2001-09-03,252.462
2001-09-04,253.2
2001-09-05,251.474
2001-09-06,250.428
2001-09-07,249.635
2001-09-10,247.272
2001-09-11,241.525
2001-09-12,236.552
2001-09-13,231.309
2001-09-14,222.774
2001-09-17,214.507
2001-09-18,216.274
2001-09-19,219.084
2001-09-20,214.786
2001-09-21,209.84
2001-09-24,211.461
2001-09-25,211.146
2001-09-26,211.827
2001-09-27,212.341
2001-09-28,214.484
2001-10-01,213.24
2001-10-02,211.333
2001-10-03,210.142
2001-10-04,213.057
2001-10-05,212.992
2001-10-08,210.007
2001-10-09,212.959
2001-10-10,213.598
2001-10-11,217.957
2001-10-12,217.755
2001-10-15,217.958
2001-10-16,219.509
2001-10-17,220.978
2001-10-18,220.012
2001-10-19,220.466
2001-10-22,221.784
2001-10-23,222.857
2001-10-24,224.427
2001-10-25,224.38
2001-10-26,225.973
2001-10-29,225.738
2001-10-30,222.291
2001-10-31,222.959
2001-11-01,223.971
2001-11-02,225.125
2001-11-05,227.814
2001-11-06,228.917
2001-11-07,229.37
2001-11-08,230.794
2001-11-09,229.936
2001-11-12,231.347
2001-11-13,231.764
2001-11-14,234.727
2001-11-15,237.645
2001-11-16,238.801
2001-11-19,242.645
2001-11-20,240.481
2001-11-21,241.39
2001-11-22,242.267
2001-11-23,244.986
2001-11-26,249.642
2001-11-27,249.251
2001-11-28,244.734
2001-11-29,244.082
2001-11-30,245.831
2001-12-03,249.231
2001-12-04,250.861
2001-12-05,253.873
2001-12-06,257.917
2001-12-07,259.729
2001-12-10,260.605
2001-12-11,260.481
2001-12-12,264.489
2001-12-13,260.647
2001-12-14,260.742
2001-12-17,259.731
2001-12-18,256.069
2001-12-19,254.227
2001-12-20,255.042
2001-12-21,253.311
2001-12-24,254.625
2001-12-25,257.675
2001-12-26,259.504
2001-12-27,259.458
2001-12-28,262.029
2001-12-31,264.852
2002-01-01,264.929
2002-01-02,267.162
2002-01-03,269.137
2002-01-04,272.856
2002-01-07,276.015
2002-01-08,274.898
2002-01-09,277.385
2002-01-10,277.46
2002-01-11,274.166
2002-01-14,273.6
2002-01-15,272.279
2002-01-16,269.778
2002-01-17,271.195
2002-01-18,271.891
2002-01-21,274.692
2002-01-22,275.866
2002-01-23,277.412
2002-01-24,278.901
2002-01-25,281.261
2002-01-28,282.267
2002-01-29,279.466
2002-01-30,278.0
2002-01-31,280.083
2002-02-01,279.554
2002-02-04,277.614
2002-02-05,278.536
2002-02-06,281.336
2002-02-07,279.183
2002-02-08,279.737
2002-02-11,279.316
2002-02-12,279.957
2002-02-13,281.51
2002-02-14,284.135
2002-02-15,284.752
2002-02-18,285.944
2002-02-19,283.813
2002-02-20,281.292
2002-02-21,280.048
2002-02-22,278.393
2002-02-25,277.255
2002-02-26,278.792
2002-02-27,284.315
2002-02-28,283.628
2002-03-01,285.349
2002-03-04,291.385
2002-03-05,291.943
2002-03-06,293.859
2002-03-07,293.992
2002-03-08,293.963
2002-03-11,296.404
2002-03-12,294.831
2002-03-13,294.907
2002-03-14,296.399
2002-03-15,296.088
2002-03-18,297.825
2002-03-19,299.013
2002-03-20,301.227
2002-03-21,301.727
2002-03-22,303.929
2002-03-25,303.359
2002-03-26,303.736
2002-03-27,303.313
2002-03-28,303.268
2002-03-29,303.538
2002-04-01,302.2
2002-04-02,304.278
2002-04-03,303.833
2002-04-04,303.505
2002-04-05,305.951
2002-04-08,305.475
2002-04-09,303.885
2002-04-10,305.296
2002-04-11,306.236
2002-04-12,308.135
2002-04-15,309.189
2002-04-16,310.06
2002-04-17,314.104
2002-04-18,313.126
2002-04-19,313.488
2002-04-22,311.795
2002-04-23,309.939
2002-04-24,308.346
2002-04-25,305.474
2002-04-26,306.271
2002-04-29,302.216
2002-04-30,300.979
2002-05-01,300.887
2002-05-02,299.811
2002-05-03,300.927
2002-05-06,298.195
2002-05-07,298.726
2002-05-08,300.502
2002-05-09,299.472
2002-05-10,299.508
2002-05-13,298.484
2002-05-14,299.107
2002-05-15,301.53
2002-05-16,300.66
2002-05-17,301.606
2002-05-20,298.277
2002-05-21,294.35
2002-05-22,295.313
2002-05-23,293.921
2002-05-24,298.279
2002-05-27,298.673
2002-05-28,297.61
2002-05-29,296.586
2002-05-30,295.809
2002-05-31,294.293
2002-06-03,292.835
2002-06-04,293.095
2002-06-05,292.716
2002-06-06,292.982
2002-06-07,288.029
2002-06-10,290.21
2002-06-11,287.988
2002-06-12,287.439
2002-06-13,288.957
2002-06-14,286.244
2002-06-17,284.715
2002-06-18,285.293
2002-06-19,277.945
2002-06-20,276.308
2002-06-21,274.744
2002-06-24,271.36
2002-06-25,268.46
2002-06-26,259.058
2002-06-27,262.143
2002-06-28,268.649
2002-07-01,266.845
2002-07-02,264.579
2002-07-03,265.519
2002-07-04,268.906
2002-07-05,273.714
2002-07-08,275.829
2002-07-09,278.526
2002-07-10,276.277
2002-07-11,271.865
2002-07-12,278.1
2002-07-15,276.87
2002-07-16,274.848
2002-07-17,276.09
2002-07-18,277.025
2002-07-19,274.336
2002-07-22,265.633
2002-07-23,267.492
2002-07-24,260.497
2002-07-25,261.484
2002-07-26,254.25
2002-07-29,255.564
2002-07-30,258.837
2002-07-31,257.354
2002-08-01,256.315
2002-08-02,256.88
2002-08-05,247.515
2002-08-06,244.801
2002-08-07,249.659
2002-08-08,251.558
2002-08-09,252.647
2002-08-12,252.34
2002-08-13,251.98
2002-08-14,255.186
2002-08-15,255.721
2002-08-16,258.25
2002-08-19,258.501
2002-08-20,259.261
2002-08-21,260.365
2002-08-22,261.353
2002-08-23,259.993
2002-08-26,259.572
2002-08-27,259.605
2002-08-28,257.098
2002-08-29,256.253
2002-08-30,257.465
2002-09-02,255.182
2002-09-03,252.558
2002-09-04,251.327
2002-09-05,250.206
2002-09-06,249.132
2002-09-09,248.735
2002-09-10,252.11
2002-09-11,253.83
2002-09-12,254.388
2002-09-13,250.878
2002-09-16,246.131
2002-09-17,250.628
2002-09-18,245.941
2002-09-19,244.593
2002-09-20,242.533
2002-09-23,237.09
2002-09-24,233.783
2002-09-25,231.382
2002-09-26,232.289
2002-09-27,231.98
2002-09-30,229.16
2002-10-01,230.3
2002-10-02,230.065
2002-10-03,228.469
2002-10-04,227.707
2002-10-07,222.16
2002-10-08,222.811
2002-10-09,219.774
2002-10-10,217.768
2002-10-11,217.612
2002-10-14,218.543
2002-10-15,224.709
2002-10-16,226.915
2002-10-17,230.64
2002-10-18,235.654
2002-10-21,236.071
2002-10-22,234.525
2002-10-23,240.201
2002-10-24,240.133
2002-10-25,239.284
2002-10-28,241.119
2002-10-29,238.977
2002-10-30,238.255
2002-10-31,241.164
2002-11-01,240.146
2002-11-04,244.023
2002-11-05,244.182
2002-11-06,247.127
2002-11-07,248.838
2002-11-08,249.64
2002-11-11,246.422
2002-11-12,245.235
2002-11-13,244.207
2002-11-14,245.418
2002-11-15,248.879
2002-11-18,249.6
2002-11-19,248.179
2002-11-20,247.333
2002-11-21,249.413
2002-11-22,252.372
2002-11-25,254.425
2002-11-26,253.246
2002-11-27,254.431
2002-11-28,255.327
2002-11-29,257.444
2002-12-02,259.466
2002-12-03,260.141
2002-12-04,257.572
2002-12-05,257.679
2002-12-06,257.875
2002-12-09,257.312
2002-12-10,256.463
2002-12-11,255.695
