Date,EM (EMERGING MARKETS) SMID GROWTH SMID (Small+Mid Cap)
1994-05-31,529.299
1994-06-30,525.726
1994-07-29,548.326
1994-08-31,610.747
1994-09-30,629.879
1994-10-31,626.268
1994-11-30,610.323
1994-12-30,587.049
1995-01-31,530.867
1995-02-28,529.501
1995-03-31,520.897
1995-04-28,512.88
1995-05-31,554.005
1995-06-30,549.714
1995-07-31,560.408
1995-08-31,544.011
1995-09-29,541.556
1995-10-31,525.433
1995-11-30,499.335
1995-12-29,512.406
1996-01-31,547.251
1996-02-29,550.937
1996-03-29,546.316
1996-04-30,562.646
1996-05-31,556.917
1996-06-28,563.796
1996-07-31,529.224
1996-08-30,533.317
1996-09-30,537.574
1996-10-31,516.246
1996-11-29,518.917
1996-12-31,514.877
1997-01-31,549.806
1997-02-28,576.146
1997-03-31,567.965
1997-04-30,561.891
1997-05-30,562.159
1997-06-30,586.045
1997-07-31,594.015
1997-08-29,543.156
1997-09-30,542.551
1997-10-31,460.223
1997-11-28,429.306
1997-12-31,420.295
1998-01-30,393.303
1998-02-27,429.007
1998-03-31,444.968
1998-04-30,441.97
1998-05-29,395.173
1998-06-30,351.489
1998-07-31,353.757
1998-08-31,271.503
1998-09-30,268.399
1998-10-30,286.615
1998-11-30,306.762
1998-12-31,309.056
1999-01-29,292.977
1999-02-26,292.891
1999-03-31,333.619
1999-04-30,371.306
1999-05-31,369.57
1999-06-30,396.715
1999-07-30,386.314
1999-08-31,383.413
1999-09-30,370.269
1999-10-29,378.688
1999-11-30,419.958
1999-12-31,477.128
2000-01-31,490.759
2000-02-29,488.725
2000-03-31,479.937
2000-04-28,432.289
2000-05-31,399.354
2000-06-30,398.877
2000-07-31,381.889
2000-08-31,389.333
2000-09-29,346.242
2000-10-31,313.052
2000-11-30,287.194
2000-12-29,281.898
2001-01-31,314.775
2001-02-28,294.516
2001-03-30,272.482
2001-04-30,277.227
2001-05-31,280.271
2001-06-29,273.789
2001-07-31,255.722
2001-08-31,256.538
2001-09-28,216.668
2001-10-31,225.221
2001-11-30,248.311
2001-12-31,267.49
2002-01-31,282.855
2002-02-28,286.412
2002-03-29,306.47
2002-04-30,303.865
2002-05-31,297.053
2002-06-28,271.103
2002-07-31,259.631
2002-08-30,259.707
2002-09-30,231.145
2002-10-31,243.242
2002-11-29,259.657
2002-12-31,253.721
2003-01-31,255.004
2003-02-28,250.762
2003-03-31,241.441
2003-04-30,259.287
2003-05-30,278.765
2003-06-30,296.218
2003-07-31,315.224
2003-08-29,329.886
2003-09-30,334.946
2003-10-31,358.875
2003-11-28,370.187
2003-12-31,393.701
2004-01-30,401.484
2004-02-27,416.866
2004-03-31,422.284
2004-04-30,390.843
2004-05-31,374.828
2004-06-30,376.57
2004-07-30,365.292
2004-08-31,377.627
2004-09-30,400.189
2004-10-29,410.182
2004-11-30,451.594
2004-12-31,477.592
2005-01-31,475.354
2005-02-28,511.503
2005-03-31,481.456
2005-04-29,465.302
2005-05-31,477.45
2005-06-30,490.994
2005-07-29,523.298
2005-08-31,524.204
2005-09-30,563.589
2005-10-31,528.333
2005-11-30,579.757
2005-12-30,621.587
2006-01-31,672.515
2006-02-28,680.978
2006-03-31,693.945
2006-04-28,740.654
2006-05-31,665.738
2006-06-30,633.889
2006-07-31,644.39
2006-08-31,668.162
2006-09-29,682.593
2006-10-31,723.904
2006-11-30,777.401
2006-12-29,814.186
2007-01-31,810.156
2007-02-28,824.45
2007-03-30,863.641
2007-04-30,920.547
2007-05-31,1000.0
2007-06-29,1037.405
2007-07-31,1096.596
2007-08-31,1046.545
2007-09-28,1144.394
2007-10-31,1255.878
2007-11-30,1146.421
2007-12-31,1159.56
2008-01-31,973.156
2008-02-29,1047.089
2008-03-31,967.135
2008-04-30,1021.25
2008-05-30,1004.576
2008-06-30,874.863
2008-07-31,864.044
2008-08-29,792.873
2008-09-30,628.669
2008-10-31,433.816
2008-11-28,390.811
2008-12-31,436.814
2009-01-30,410.745
2009-02-27,391.843
2009-03-31,448.18
2009-04-30,547.295
2009-05-29,649.782
2009-06-30,649.547
2009-07-31,726.227
2009-08-31,724.863
2009-09-30,786.112
2009-10-30,789.771
2009-11-30,832.318
2009-12-31,882.735
2010-01-29,832.001
2010-02-26,836.636
2010-03-31,900.183
