Date,EM (EMERGING MARKETS) SMID GROWTH SMID (Small+Mid Cap)
1994-05-31,518.457
1994-06-30,515.004
1994-07-29,537.226
1994-08-31,598.534
1994-09-30,617.32
1994-10-31,613.857
1994-11-30,598.252
1994-12-30,575.468
1995-01-31,520.486
1995-02-28,519.163
1995-03-31,510.805
1995-04-28,503.102
1995-05-31,543.709
1995-06-30,539.563
1995-07-31,550.128
1995-08-31,534.104
1995-09-29,531.74
1995-10-31,515.964
1995-11-30,490.391
1995-12-29,503.255
1996-01-31,537.536
1996-02-29,541.169
1996-03-29,536.697
1996-04-30,552.916
1996-05-31,547.554
1996-06-28,554.388
1996-07-31,520.455
1996-08-30,524.525
1996-09-30,528.772
1996-10-31,507.833
1996-11-29,510.496
1996-12-31,506.555
1997-01-31,541.006
1997-02-28,566.933
1997-03-31,558.939
1997-04-30,553.037
1997-05-30,553.517
1997-06-30,577.082
1997-07-31,585.002
1997-08-29,534.961
1997-09-30,534.385
1997-10-31,453.351
1997-11-28,422.944
1997-12-31,414.083
1998-01-30,387.516
1998-02-27,422.7
1998-03-31,438.469
1998-04-30,435.548
1998-05-29,389.489
1998-06-30,346.492
1998-07-31,348.757
1998-08-31,267.683
1998-09-30,264.626
1998-10-30,282.62
1998-11-30,302.53
1998-12-31,304.82
1999-01-29,289.029
1999-02-26,288.949
1999-03-31,329.192
1999-04-30,366.447
1999-05-31,364.789
1999-06-30,391.62
1999-07-30,381.372
1999-08-31,378.521
1999-09-30,365.552
1999-10-29,373.877
1999-11-30,414.649
1999-12-31,471.121
2000-01-31,484.675
2000-02-29,482.672
2000-03-31,474.051
2000-04-28,427.019
2000-05-31,394.583
2000-06-30,394.124
2000-07-31,377.361
2000-08-31,384.745
2000-09-29,342.178
2000-10-31,309.401
2000-11-30,283.859
2000-12-29,278.642
2001-01-31,311.194
2001-02-28,291.174
2001-03-30,269.44
2001-04-30,274.164
2001-05-31,277.288
2001-06-29,270.924
2001-07-31,253.106
2001-08-31,253.943
2001-09-28,214.484
2001-10-31,222.959
2001-11-30,245.831
2001-12-31,264.852
2002-01-31,280.083
2002-02-28,283.628
2002-03-29,303.538
2002-04-30,300.979
2002-05-31,294.293
2002-06-28,268.649
2002-07-31,257.354
2002-08-30,257.465
2002-09-30,229.16
2002-10-31,241.164
2002-11-29,257.444
2002-12-31,251.612
2003-01-31,252.894
2003-02-28,248.722
2003-03-31,239.5
2003-04-30,257.237
2003-05-30,276.592
2003-06-30,293.945
2003-07-31,312.947
2003-08-29,327.567
2003-09-30,332.641
2003-10-31,356.418
2003-11-28,367.679
2003-12-31,391.102
2004-01-30,398.911
2004-02-27,414.286
2004-03-31,419.695
2004-04-30,388.508
2004-05-31,372.621
2004-06-30,374.453
2004-07-30,363.346
2004-08-31,375.775
2004-09-30,398.271
2004-10-29,408.239
2004-11-30,449.465
2004-12-31,475.386
2005-01-31,473.241
2005-02-28,509.37
2005-03-31,479.524
2005-04-29,463.513
2005-05-31,475.752
2005-06-30,489.312
2005-07-29,521.684
2005-08-31,522.79
2005-09-30,562.129
2005-10-31,526.983
2005-11-30,578.282
2005-12-30,620.133
2006-01-31,671.067
2006-02-28,679.566
2006-03-31,692.551
2006-04-28,739.23
2006-05-31,664.586
2006-06-30,632.866
2006-07-31,643.611
2006-08-31,667.595
2006-09-29,682.085
2006-10-31,723.414
2006-11-30,776.89
2006-12-29,813.681
2007-01-31,809.796
2007-02-28,824.184
2007-03-30,863.468
2007-04-30,920.442
2007-05-31,1000.0
2007-06-29,1037.504
2007-07-31,1097.099
2007-08-31,1047.428
2007-09-28,1145.454
2007-10-31,1257.06
2007-11-30,1147.535
2007-12-31,1160.71
2008-01-31,974.23
2008-02-29,1048.514
2008-03-31,968.596
2008-04-30,1022.882
2008-05-30,1006.493
2008-06-30,876.588
2008-07-31,866.256
2008-08-29,795.287
2008-09-30,630.68
2008-10-31,435.23
2008-11-28,392.108
2008-12-31,438.3
2009-01-30,412.205
2009-02-27,393.33
2009-03-31,449.956
2009-04-30,549.566
2009-05-29,652.626
2009-06-30,652.517
2009-07-31,729.738
2009-08-31,728.598
2009-09-30,790.231
