Date,WORLD VALUE Standard (Large+Mid Cap)
2001-01-01,5017.668
2001-01-02,4981.435
2001-01-03,5034.361
2001-01-04,5030.336
2001-01-05,4988.446
2001-01-08,4984.046
2001-01-09,4947.547
2001-01-10,4947.381
2001-01-11,4954.851
2001-01-12,4937.478
2001-01-15,4930.131
2001-01-16,4951.112
2001-01-17,4965.012
2001-01-18,4992.231
2001-01-19,4958.068
2001-01-22,4967.879
2001-01-23,5004.065
2001-01-24,5002.35
2001-01-25,5015.793
2001-01-26,5001.507
2001-01-29,5026.824
2001-01-30,5067.185
2001-01-31,5069.381
2001-02-01,5088.295
2001-02-02,5033.746
2001-02-05,5060.026
2001-02-06,5044.066
2001-02-07,5018.238
2001-02-08,4993.947
2001-02-09,4974.577
2001-02-12,5018.535
2001-02-13,5001.545
2001-02-14,4967.04
2001-02-15,4969.863
2001-02-16,4941.287
2001-02-19,4938.81
2001-02-20,4880.929
2001-02-21,4819.091
2001-02-22,4817.39
2001-02-23,4785.929
2001-02-26,4849.859
2001-02-27,4860.181
2001-02-28,4822.103
2001-03-01,4812.909
2001-03-02,4811.766
2001-03-05,4830.341
2001-03-06,4886.391
2001-03-07,4910.065
2001-03-08,4936.764
2001-03-09,4875.99
2001-03-12,4730.44
2001-03-13,4700.442
2001-03-14,4582.557
2001-03-15,4632.762
2001-03-16,4529.332
2001-03-19,4567.436
2001-03-20,4540.004
2001-03-21,4474.714
2001-03-22,4335.295
2001-03-23,4424.406
2001-03-26,4542.311
2001-03-27,4643.844
2001-03-28,4568.563
2001-03-29,4542.682
2001-03-30,4576.496
2001-04-02,4539.383
2001-04-03,4441.382
2001-04-04,4473.339
2001-04-05,4584.802
2001-04-06,4541.856
2001-04-09,4574.654
2001-04-10,4651.377
2001-04-11,4645.307
2001-04-12,4692.195
2001-04-13,4690.633
2001-04-16,4682.573
2001-04-17,4691.469
2001-04-18,4805.754
2001-04-19,4853.394
2001-04-20,4832.178
2001-04-23,4800.358
2001-04-24,4786.997
2001-04-25,4827.244
2001-04-26,4867.761
2001-04-27,4901.432
2001-04-30,4886.908
2001-05-01,4941.135
2001-05-02,4928.327
2001-05-03,4877.906
2001-05-04,4922.306
2001-05-07,4925.139
2001-05-08,4879.045
2001-05-09,4868.828
2001-05-10,4896.548
2001-05-11,4861.825
2001-05-14,4843.033
2001-05-15,4873.508
2001-05-16,4939.986
2001-05-17,4961.225
2001-05-18,4969.87
2001-05-21,5011.476
2001-05-22,5001.357
2001-05-23,4952.571
2001-05-24,4952.731
2001-05-25,4918.72
2001-05-28,4917.48
2001-05-29,4892.82
2001-05-30,4845.486
2001-05-31,4860.632
2001-06-01,4855.347
2001-06-04,4874.455
2001-06-05,4906.701
2001-06-06,4861.032
2001-06-07,4862.332
2001-06-08,4840.715
2001-06-11,4805.488
2001-06-12,4782.655
2001-06-13,4786.233
2001-06-14,4731.905
2001-06-15,4718.458
2001-06-18,4683.865
2001-06-19,4690.292
2001-06-20,4687.845
2001-06-21,4730.614
2001-06-22,4724.94
2001-06-25,4715.511
2001-06-26,4691.699
2001-06-27,4678.366
2001-06-28,4689.601
2001-06-29,4725.3
2001-07-02,4763.349
2001-07-03,4748.288
2001-07-04,4738.67
2001-07-05,4697.045
2001-07-06,4621.447
2001-07-09,4635.76
2001-07-10,4621.686
2001-07-11,4598.812
2001-07-12,4655.792
2001-07-13,4672.258
2001-07-16,4656.636
2001-07-17,4650.447
2001-07-18,4637.258
2001-07-19,4654.523
2001-07-20,4642.898
2001-07-23,4592.188
2001-07-24,4537.884
2001-07-25,4571.662
2001-07-26,4609.248
2001-07-27,4633.319
2001-07-30,4641.058
2001-07-31,4669.621
2001-08-01,4692.794
2001-08-02,4718.786
2001-08-03,4695.704
2001-08-06,4662.193
2001-08-07,4671.366
2001-08-08,4619.568
2001-08-09,4598.811
2001-08-10,4619.051
2001-08-13,4620.28
2001-08-14,4643.006
2001-08-15,4652.64
2001-08-16,4640.091
2001-08-17,4587.138
2001-08-20,4587.603
2001-08-21,4592.394
2001-08-22,4618.113
2001-08-23,4598.869
2001-08-24,4648.795
2001-08-27,4637.547
2001-08-28,4589.407
2001-08-29,4557.436
2001-08-30,4488.225
2001-08-31,4505.62
2001-09-03,4476.79
2001-09-04,4490.277
2001-09-05,4446.159
2001-09-06,4373.861
2001-09-07,4302.964
2001-09-10,4277.551
2001-09-11,4219.65
2001-09-12,4185.284
2001-09-13,4211.859
2001-09-14,4176.596
2001-09-17,4051.791
2001-09-18,4043.35
2001-09-19,4000.206
2001-09-20,3874.625
2001-09-21,3780.466
2001-09-24,3912.157
2001-09-25,3954.123
2001-09-26,3957.5
2001-09-27,3992.082
2001-09-28,4088.352
2001-10-01,4062.605
2001-10-02,4117.008
2001-10-03,4155.816
2001-10-04,4193.099
2001-10-05,4172.938
2001-10-08,4142.451
2001-10-09,4127.913
2001-10-10,4189.723
2001-10-11,4231.361
2001-10-12,4218.511
2001-10-15,4181.757
2001-10-16,4216.812
2001-10-17,4208.286
2001-10-18,4139.976
2001-10-19,4106.588
2001-10-22,4140.601
2001-10-23,4167.674
2001-10-24,4161.419
2001-10-25,4177.54
2001-10-26,4217.391
2001-10-29,4150.658
2001-10-30,4081.871
2001-10-31,4079.238
2001-11-01,4135.854
2001-11-02,4135.175
2001-11-05,4178.184
2001-11-06,4205.451
2001-11-07,4206.695
2001-11-08,4240.871
2001-11-09,4231.421
2001-11-12,4194.187
2001-11-13,4251.663
2001-11-14,4250.753
2001-11-15,4250.844
2001-11-16,4261.659
2001-11-19,4300.056
2001-11-20,4282.966
2001-11-21,4254.248
2001-11-22,4268.058
2001-11-23,4289.427
2001-11-26,4306.334
2001-11-27,4284.481
2001-11-28,4221.809
2001-11-29,4240.14
2001-11-30,4255.595
2001-12-03,4200.878
2001-12-04,4259.514
2001-12-05,4380.848
2001-12-06,4398.012
2001-12-07,4353.411
2001-12-10,4268.049
2001-12-11,4261.442
2001-12-12,4269.371
2001-12-13,4186.888
2001-12-14,4179.656
2001-12-17,4229.689
2001-12-18,4243.929
2001-12-19,4239.037
2001-12-20,4202.799
2001-12-21,4209.358
2001-12-24,4205.433
2001-12-25,4205.158
2001-12-26,4218.311
2001-12-27,4279.322
2001-12-28,4304.402
2001-12-31,4288.207
2002-01-01,4288.207
2002-01-02,4312.64
2002-01-03,4377.779
2002-01-04,4419.47
2002-01-07,4397.862
2002-01-08,4358.695
2002-01-09,4338.306
2002-01-10,4318.745
2002-01-11,4287.682
2002-01-14,4240.563
2002-01-15,4259.645
2002-01-16,4183.837
2002-01-17,4220.426
2002-01-18,4199.415
2002-01-21,4194.145
2002-01-22,4149.845
2002-01-23,4183.694
2002-01-24,4215.378
2002-01-25,4205.283
2002-01-28,4220.534
2002-01-29,4117.068
2002-01-30,4116.149
2002-01-31,4168.37
2002-02-01,4140.843
2002-02-04,4059.192
2002-02-05,4010.166
2002-02-06,3972.809
