Date,WORLD VALUE Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,115.439
1975-02-28,123.483
1975-03-31,123.495
1975-04-30,128.859
1975-05-30,132.162
1975-06-30,135.772
1975-07-31,130.222
1975-08-29,128.891
1975-09-30,124.977
1975-10-31,133.171
1975-11-28,136.477
1975-12-31,138.316
1976-01-30,151.358
1976-02-27,151.612
1976-03-31,154.272
1976-04-30,154.791
1976-05-31,152.918
1976-06-30,158.343
1976-07-30,158.058
1976-08-31,158.308
1976-09-30,161.546
1976-10-29,156.559
1976-11-30,156.892
1976-12-31,169.736
1977-01-31,167.287
1977-02-28,166.529
1977-03-31,167.034
1977-04-29,171.625
1977-05-31,170.59
1977-06-30,176.027
1977-07-29,174.578
1977-08-31,173.019
1977-09-30,175.015
1977-10-31,172.818
1977-11-30,175.078
1977-12-30,180.497
1978-01-31,175.525
1978-02-28,175.911
1978-03-31,185.754
1978-04-28,191.783
1978-05-31,194.335
1978-06-30,195.947
1978-07-31,208.39
1978-08-31,213.402
1978-09-29,218.15
1978-10-31,214.58
1978-11-30,208.711
1978-12-29,214.821
1979-01-31,222.073
1979-02-28,218.72
1979-03-30,227.228
1979-04-30,227.43
1979-05-31,223.147
1979-06-29,231.345
1979-07-31,233.81
1979-08-31,242.198
1979-09-28,247.121
1979-10-31,227.192
1979-11-30,232.151
1979-12-31,238.304
1980-01-31,252.127
1980-02-29,251.169
1980-03-31,228.647
1980-04-30,245.089
1980-05-30,257.343
1980-06-30,268.893
1980-07-31,276.007
1980-08-29,281.479
1980-09-30,285.558
1980-10-31,291.307
1980-11-28,300.647
1980-12-31,299.492
1981-01-30,295.671
1981-02-27,296.112
1981-03-31,312.338
1981-04-30,321.214
1981-05-29,316.646
1981-06-30,319.396
1981-07-31,311.241
1981-08-31,305.582
1981-09-30,286.264
1981-10-30,292.817
1981-11-30,315.511
1981-12-31,308.726
1982-01-29,305.167
1982-02-26,291.466
1982-03-31,284.246
1982-04-30,296.8
1982-05-31,290.112
1982-06-30,277.681
1982-07-30,271.268
1982-08-31,291.771
1982-09-30,290.046
1982-10-29,311.589
1982-11-30,327.348
1982-12-31,343.402
1983-01-31,354.564
1983-02-28,363.077
1983-03-31,378.107
1983-04-29,407.064
1983-05-31,404.739
1983-06-30,413.825
1983-07-29,409.827
1983-08-31,415.493
1983-09-30,424.317
1983-10-31,423.097
1983-11-30,433.157
1983-12-30,439.591
1984-01-31,451.451
1984-02-29,443.008
1984-03-30,460.118
1984-04-30,460.191
1984-05-31,425.122
1984-06-29,425.062
1984-07-31,410.577
1984-08-31,452.319
1984-09-28,454.471
1984-10-31,454.535
1984-11-30,453.885
1984-12-31,465.414
1985-01-31,489.633
1985-02-28,489.928
1985-03-29,505.812
1985-04-30,510.859
1985-05-31,537.526
1985-06-28,548.962
1985-07-31,557.932
1985-08-30,566.934
1985-09-30,575.047
1985-10-31,609.126
1985-11-29,639.405
1985-12-31,668.438
1986-01-31,679.27
1986-02-28,740.445
1986-03-31,808.637
1986-04-30,834.478
1986-05-30,828.325
1986-06-30,863.056
1986-07-31,859.015
1986-08-29,947.897
1986-09-30,917.469
1986-10-31,908.69
1986-11-28,944.989
1986-12-31,958.977
1987-01-30,1042.194
1987-02-27,1066.486
1987-03-31,1117.18
1987-04-30,1170.899
1987-05-29,1198.072
1987-06-30,1222.413
1987-07-31,1252.981
1987-08-31,1310.244
1987-09-30,1312.101
1987-10-30,1105.503
1987-11-30,1086.662
1987-12-31,1146.106
1988-01-29,1180.223
1988-02-29,1244.526
1988-03-31,1289.457
1988-04-29,1322.595
1988-05-31,1306.277
1988-06-30,1316.811
1988-07-29,1357.134
1988-08-31,1272.956
1988-09-30,1320.072
1988-10-31,1400.329
1988-11-30,1446.641
1988-12-30,1461.783
1989-01-31,1523.352
1989-02-28,1522.478
1989-03-31,1510.849
1989-04-28,1550.035
1989-05-31,1518.705
1989-06-30,1506.433
1989-07-31,1658.697
1989-08-31,1623.483
1989-09-29,1671.731
1989-10-31,1612.512
1989-11-30,1667.778
1989-12-29,1729.578
1990-01-31,1661.977
1990-02-28,1604.433
1990-03-30,1512.427
1990-04-30,1487.848
1990-05-31,1627.78
1990-06-29,1613.744
1990-07-31,1633.511
1990-08-31,1479.911
1990-09-28,1332.942
1990-10-31,1442.593
1990-11-30,1420.558
1990-12-31,1445.043
1991-01-31,1496.76
1991-02-28,1638.326
1991-03-29,1578.946
1991-04-30,1591.917
1991-05-31,1626.655
1991-06-28,1527.628
1991-07-31,1599.916
1991-08-30,1588.669
1991-09-30,1644.172
1991-10-31,1657.975
1991-11-29,1566.096
1991-12-31,1661.283
1992-01-31,1650.37
1992-02-28,1631.224
1992-03-31,1555.069
1992-04-30,1614.734
1992-05-29,1673.035
1992-06-30,1621.99
1992-07-31,1616.351
1992-08-31,1637.695
1992-09-30,1624.299
1992-10-30,1572.615
1992-11-30,1590.136
1992-12-31,1609.999
1993-01-29,1637.545
1993-02-26,1694.679
1993-03-31,1814.075
1993-04-30,1926.943
1993-05-31,1954.082
1993-06-30,1940.452
1993-07-30,2001.123
1993-08-31,2096.751
1993-09-30,2069.439
1993-10-29,2109.921
1993-11-30,1994.898
1993-12-31,2109.914
1994-01-31,2267.689
1994-02-28,2239.338
1994-03-31,2155.102
1994-04-29,2229.261
1994-05-31,2244.459
1994-06-30,2250.044
1994-07-29,2293.805
1994-08-31,2356.706
1994-09-30,2286.404
1994-10-31,2362.348
1994-11-30,2253.008
1994-12-30,2262.405
1995-01-31,2230.944
1995-02-28,2261.349
1995-03-31,2369.329
1995-04-28,2447.037
1995-05-31,2469.59
1995-06-30,2465.487
1995-07-31,2591.236
1995-08-31,2548.791
1995-09-29,2609.681
1995-10-31,2555.924
1995-11-30,2652.692
1995-12-29,2747.877
1996-01-31,2798.394
1996-02-29,2812.611
1996-03-29,2865.749
1996-04-30,2940.35
1996-05-31,2928.41
1996-06-28,2942.408
1996-07-31,2844.758
1996-08-30,2886.418
1996-09-30,2980.318
1996-10-31,3011.285
1996-11-29,3196.052
1996-12-31,3156.187
1997-01-31,3188.225
1997-02-28,3226.674
1997-03-31,3174.637
1997-04-30,3237.325
1997-05-30,3448.568
1997-06-30,3602.614
1997-07-31,3768.341
1997-08-29,3545.702
1997-09-30,3726.952
1997-10-31,3574.55
1997-11-28,3610.785
1997-12-31,3666.429
1998-01-30,3727.558
1998-02-27,3968.761
1998-03-31,4168.114
1998-04-30,4226.033
1998-05-29,4167.671
1998-06-30,4186.687
1998-07-31,4180.884
1998-08-31,3551.513
1998-09-30,3598.382
1998-10-30,3936.845
1998-11-30,4152.102
1998-12-31,4253.174
1999-01-29,4286.144
1999-02-26,4235.455
1999-03-31,4432.495
1999-04-30,4788.881
1999-05-31,4607.602
1999-06-30,4760.963
1999-07-30,4783.069
1999-08-31,4712.991
1999-09-30,4615.643
1999-10-29,4793.763
1999-11-30,4779.158
1999-12-31,4990.572
2000-01-31,4737.606
2000-02-29,4574.884
2000-03-31,4945.222
2000-04-28,4861.564
2000-05-31,4898.32
2000-06-30,4942.094
2000-07-31,4909.636
2000-08-31,5056.957
2000-09-29,4976.017
2000-10-31,5015.438
2000-11-30,4787.981
2000-12-29,5017.668
2001-01-31,5069.381
2001-02-28,4822.103
2001-03-30,4576.496
2001-04-30,4886.908
2001-05-31,4860.632
2001-06-29,4725.3
2001-07-31,4669.621
2001-08-31,4505.62
2001-09-28,4088.352
2001-10-31,4079.238
2001-11-30,4255.595
2001-12-31,4288.207
2002-01-31,4168.37
2002-02-28,4087.78
2002-03-29,4354.231
2002-04-30,4236.765
2002-05-31,4274.714
2002-06-28,4003.981
2002-07-31,3613.37
2002-08-30,3628.56
2002-09-30,3191.206
2002-10-31,3414.236
2002-11-29,3660.703
2002-12-31,3449.862
2003-01-31,3364.312
2003-02-28,3285.831
2003-03-31,3239.353
2003-04-30,3583.79
2003-05-30,3844.178
2003-06-30,3925.075
2003-07-31,4009.509
2003-08-29,4103.426
2003-09-30,4131.545
2003-10-31,4376.929
2003-11-28,4449.41
2003-12-31,4795.459
2004-01-30,4853.5
2004-02-27,4959.129
2004-03-31,4945.49
2004-04-30,4845.254
2004-05-31,4887.223
2004-06-30,5026.995
2004-07-30,4939.952
2004-08-31,4999.149
2004-09-30,5090.74
2004-10-29,5217.181
2004-11-30,5503.709
2004-12-31,5719.107
2005-01-31,5617.017
2005-02-28,5832.233
2005-03-31,5721.509
2005-04-29,5602.332
2005-05-31,5662.359
2005-06-30,5737.995
2005-07-29,5903.194
2005-08-31,5943.448
2005-09-30,6123.688
2005-10-31,5958.504
2005-11-30,6167.167
2005-12-30,6308.174
2006-01-31,6582.365
2006-02-28,6634.903
2006-03-31,6765.224
2006-04-28,7025.144
2006-05-31,6823.606
2006-06-30,6834.844
2006-07-31,6975.113
2006-08-31,7157.681
2006-09-29,7266.888
2006-10-31,7543.163
2006-11-30,7728.206
2006-12-29,7944.503
2007-01-31,8009.209
2007-02-28,7981.031
2007-03-30,8123.592
2007-04-30,8490.101
2007-05-31,8728.73
2007-06-29,8634.378
2007-07-31,8359.387
2007-08-31,8331.238
2007-09-28,8671.898
2007-10-31,8862.617
2007-11-30,8422.268
2007-12-31,8269.364
2008-01-31,7716.773
2008-02-29,7555.063
2008-03-31,7509.769
2008-04-30,7889.829
2008-05-30,7880.263
2008-06-30,7134.818
2008-07-31,7012.321
2008-08-29,6946.433
2008-09-30,6255.66
2008-10-31,5098.511
2008-11-28,4832.543
2008-12-31,4974.029
2009-01-30,4415.258
2009-02-27,3874.667
2009-03-31,4190.729
2009-04-30,4771.931
2009-05-29,5234.183
2009-06-30,5179.502
2009-07-31,5654.333
2009-08-31,5995.067
2009-09-30,6205.333
2009-10-30,6043.62
2009-11-30,6286.325
2009-12-31,6352.063
2010-01-29,6131.552
2010-02-26,6183.224
2010-03-31,6573.367
2010-04-30,6565.725
2010-05-31,5938.455
2010-06-30,5722.869
2010-07-30,6211.487
2010-08-31,5971.947
2010-09-30,6460.67
2010-10-29,6670.103
2010-11-30,6455.223
2010-12-31,6972.579
2011-01-31,7215.066
2011-02-28,7502.292
2011-03-31,7394.884
2011-04-29,7706.432
2011-05-31,7519.698
2011-06-30,7405.413
2011-07-29,7184.556
2011-08-31,6662.988
2011-09-30,6152.247
2011-10-31,6743.145
2011-11-30,6559.252
2011-12-30,6629.311
2012-01-31,6907.336
2012-02-29,7229.361
2012-03-30,7302.557
2012-04-30,7180.461
