Date,WORLD VALUE Standard (Large+Mid Cap)
2001-01-01,3876.362
2001-01-02,3848.323
2001-01-03,3889.127
2001-01-04,3886.0
2001-01-05,3853.637
2001-01-08,3850.089
2001-01-09,3821.853
2001-01-10,3821.649
2001-01-11,3827.372
2001-01-12,3813.952
2001-01-15,3808.275
2001-01-16,3824.386
2001-01-17,3835.048
2001-01-18,3856.053
2001-01-19,3829.663
2001-01-22,3837.231
2001-01-23,3865.18
2001-01-24,3863.849
2001-01-25,3874.229
2001-01-26,3863.183
2001-01-29,3882.667
2001-01-30,3913.755
2001-01-31,3915.295
2001-02-01,3929.791
2001-02-02,3887.662
2001-02-05,3907.94
2001-02-06,3895.591
2001-02-07,3875.429
2001-02-08,3856.651
2001-02-09,3841.683
2001-02-12,3875.606
2001-02-13,3862.415
2001-02-14,3835.605
2001-02-15,3837.698
2001-02-16,3815.604
2001-02-19,3813.689
2001-02-20,3768.972
2001-02-21,3721.157
2001-02-22,3719.813
2001-02-23,3695.498
2001-02-26,3744.812
2001-02-27,3752.707
2001-02-28,3723.112
2001-03-01,3716.001
2001-03-02,3715.118
2001-03-05,3729.411
2001-03-06,3772.687
2001-03-07,3790.87
2001-03-08,3811.464
2001-03-09,3764.513
2001-03-12,3652.134
2001-03-13,3628.931
2001-03-14,3537.892
2001-03-15,3576.641
2001-03-16,3496.77
2001-03-19,3526.16
2001-03-20,3504.956
2001-03-21,3454.548
2001-03-22,3346.886
2001-03-23,3415.632
2001-03-26,3506.633
2001-03-27,3584.614
2001-03-28,3526.282
2001-03-29,3506.287
2001-03-30,3532.322
2001-04-02,3503.664
2001-04-03,3428.022
2001-04-04,3452.557
2001-04-05,3538.578
2001-04-06,3505.04
2001-04-09,3530.321
2001-04-10,3589.398
2001-04-11,3584.558
2001-04-12,3620.506
2001-04-13,3619.3
2001-04-16,3613.081
2001-04-17,3619.945
2001-04-18,3708.126
2001-04-19,3744.727
2001-04-20,3728.332
2001-04-23,3703.771
2001-04-24,3693.455
2001-04-25,3724.377
2001-04-26,3755.484
2001-04-27,3781.246
2001-04-30,3769.975
2001-05-01,3811.795
2001-05-02,3801.598
2001-05-03,3762.556
2001-05-04,3796.733
2001-05-07,3798.891
2001-05-08,3763.296
2001-05-09,3755.214
2001-05-10,3776.373
2001-05-11,3749.411
2001-05-14,3734.677
2001-05-15,3758.157
2001-05-16,3809.298
2001-05-17,3825.6
2001-05-18,3832.007
2001-05-21,3863.73
2001-05-22,3855.9
2001-05-23,3818.047
2001-05-24,3818.153
2001-05-25,3791.917
2001-05-28,3790.92
2001-05-29,3771.615
2001-05-30,3734.647
2001-05-31,3746.289
2001-06-01,3742.184
2001-06-04,3756.88
2001-06-05,3781.699
2001-06-06,3746.31
2001-06-07,3747.289
2001-06-08,3730.464
2001-06-11,3703.202
2001-06-12,3685.595
2001-06-13,3688.269
2001-06-14,3646.376
2001-06-15,3636.012
2001-06-18,3608.996
2001-06-19,3613.929
2001-06-20,3612.022
2001-06-21,3644.941
2001-06-22,3640.568
2001-06-25,3633.282
2001-06-26,3614.908
2001-06-27,3604.47
2001-06-28,3613.101
2001-06-29,3640.602
2001-07-02,3669.823
2001-07-03,3658.101
2001-07-04,3650.679
2001-07-05,3618.598
2001-07-06,3560.097
2001-07-09,3571.121
2001-07-10,3560.194
2001-07-11,3542.551
2001-07-12,3586.41
2001-07-13,3599.086
2001-07-16,3587.052
2001-07-17,3582.285
2001-07-18,3572.111
2001-07-19,3585.41
2001-07-20,3576.455
2001-07-23,3537.374
2001-07-24,3495.544
2001-07-25,3521.563
2001-07-26,3550.506
2001-07-27,3568.968
2001-07-30,3574.902
2001-07-31,3596.897
2001-08-01,3614.617
2001-08-02,3634.5
2001-08-03,3616.576
2001-08-06,3590.766
2001-08-07,3597.813
2001-08-08,3557.792
2001-08-09,3541.592
2001-08-10,3557.17
2001-08-13,3558.032
2001-08-14,3575.49
2001-08-15,3582.54
2001-08-16,3572.85
2001-08-17,3531.996
2001-08-20,3532.354
2001-08-21,3536.04
2001-08-22,3555.793
2001-08-23,3540.964
2001-08-24,3579.387
2001-08-27,3570.574
2001-08-28,3533.504
2001-08-29,3508.721
2001-08-30,3455.394
2001-08-31,3468.768
2001-09-03,3446.551
2001-09-04,3456.923
2001-09-05,3422.778
2001-09-06,3367.089
2001-09-07,3312.501
2001-09-10,3292.921
2001-09-11,3248.347
2001-09-12,3221.892
2001-09-13,3242.332
2001-09-14,3215.186
2001-09-17,3119.008
2001-09-18,3112.49
2001-09-19,3079.271
2001-09-20,2982.599
2001-09-21,2910.117
2001-09-24,3011.479
2001-09-25,3043.485
2001-09-26,3045.923
2001-09-27,3072.533
2001-09-28,3146.616
2001-10-01,3126.8
2001-10-02,3168.671
2001-10-03,3198.34
2001-10-04,3227.027
2001-10-05,3211.257
2001-10-08,3187.788
2001-10-09,3176.556
2001-10-10,3224.06
2001-10-11,3256.088
2001-10-12,3246.2
2001-10-15,3217.917
2001-10-16,3244.904
2001-10-17,3238.556
2001-10-18,3185.971
2001-10-19,3160.278
2001-10-22,3186.437
2001-10-23,3207.27
2001-10-24,3202.456
2001-10-25,3214.856
2001-10-26,3245.518
2001-10-29,3194.077
2001-10-30,3141.132
2001-10-31,3139.001
2001-11-01,3182.423
2001-11-02,3181.894
2001-11-05,3214.985
2001-11-06,3235.966
2001-11-07,3236.601
2001-11-08,3262.868
2001-11-09,3255.581
2001-11-12,3226.935
2001-11-13,3271.014
2001-11-14,3270.124
2001-11-15,3270.18
2001-11-16,3278.49
2001-11-19,3307.933
