Date,AUSTRIA SMALL VALUE Small Cap
2001-01-01,123.263
2001-01-02,123.451
2001-01-03,122.093
2001-01-04,121.787
2001-01-05,122.905
2001-01-08,123.182
2001-01-09,121.75
2001-01-10,122.04
2001-01-11,123.354
2001-01-12,123.159
2001-01-15,122.085
2001-01-16,121.825
2001-01-17,120.892
2001-01-18,123.113
2001-01-19,122.52
2001-01-22,122.863
2001-01-23,122.787
2001-01-24,120.545
2001-01-25,119.623
2001-01-26,119.659
2001-01-29,119.197
2001-01-30,120.753
2001-01-31,122.554
2001-02-01,125.493
2001-02-02,125.202
2001-02-05,126.38
2001-02-06,125.652
2001-02-07,126.395
2001-02-08,124.753
2001-02-09,124.979
2001-02-12,125.648
2001-02-13,125.125
2001-02-14,124.38
2001-02-15,122.811
2001-02-16,125.485
2001-02-19,127.065
2001-02-20,127.573
2001-02-21,127.508
2001-02-22,126.463
2001-02-23,126.6
2001-02-26,126.866
2001-02-27,128.696
2001-02-28,128.251
2001-03-01,129.359
2001-03-02,130.055
2001-03-05,129.1
2001-03-06,129.502
2001-03-07,129.713
2001-03-08,130.301
2001-03-09,130.172
2001-03-12,130.413
2001-03-13,128.331
2001-03-14,126.583
2001-03-15,124.913
2001-03-16,122.207
2001-03-19,121.814
2001-03-20,122.34
2001-03-21,120.568
2001-03-22,117.279
2001-03-23,119.259
2001-03-26,120.299
2001-03-27,121.252
2001-03-28,120.261
2001-03-29,119.6
2001-03-30,120.935
2001-04-02,120.741
2001-04-03,120.984
2001-04-04,123.309
2001-04-05,123.431
2001-04-06,124.139
2001-04-09,123.918
2001-04-10,122.722
2001-04-11,121.832
2001-04-12,123.058
2001-04-13,123.058
2001-04-16,121.798
2001-04-17,121.63
2001-04-18,121.327
2001-04-19,122.932
2001-04-20,124.78
2001-04-23,123.772
2001-04-24,123.638
2001-04-25,123.796
2001-04-26,124.881
2001-04-27,123.917
2001-04-30,123.247
2001-05-01,123.912
2001-05-02,123.613
2001-05-03,123.976
2001-05-04,124.158
2001-05-07,123.37
2001-05-08,122.516
2001-05-09,122.47
2001-05-10,122.736
2001-05-11,121.768
2001-05-14,121.699
2001-05-15,121.864
2001-05-16,123.03
2001-05-17,123.319
2001-05-18,122.786
2001-05-21,122.326
2001-05-22,120.503
2001-05-23,119.328
2001-05-24,118.9
2001-05-25,118.661
2001-05-28,119.038
2001-05-29,117.577
2001-05-30,119.013
2001-05-31,118.303
2001-06-01,118.38
2001-06-04,118.541
2001-06-05,119.393
2001-06-06,119.422
2001-06-07,119.85
2001-06-08,120.194
2001-06-11,119.55
2001-06-12,120.941
2001-06-13,121.693
2001-06-14,122.784
2001-06-15,122.57
2001-06-18,123.373
2001-06-19,125.59
2001-06-20,125.551
2001-06-21,125.947
2001-06-22,127.289
2001-06-25,128.376
2001-06-26,128.635
2001-06-27,128.292
2001-06-28,126.475
2001-06-29,125.5
2001-07-02,125.073
2001-07-03,124.716
2001-07-04,125.239
2001-07-05,124.022
2001-07-06,125.143
2001-07-09,125.978
2001-07-10,128.144
2001-07-11,128.822
2001-07-12,128.271
2001-07-13,128.44
2001-07-16,128.594
2001-07-17,127.746
2001-07-18,130.351
2001-07-19,130.69
2001-07-20,131.042
2001-07-23,130.858
2001-07-24,131.097
2001-07-25,131.784
2001-07-26,131.447
2001-07-27,130.86
2001-07-30,131.491
2001-07-31,131.639
2001-08-01,132.563
2001-08-02,132.183
2001-08-03,132.617
