Date,AUSTRIA SMALL VALUE Small Cap
1994-05-31,161.009
1994-06-30,166.707
1994-07-29,165.25
1994-08-31,169.569
1994-09-30,162.039
1994-10-31,160.493
1994-11-30,149.823
1994-12-30,153.127
1995-01-31,142.762
1995-02-28,144.311
1995-03-31,141.235
1995-04-28,132.885
1995-05-31,135.221
1995-06-30,133.99
1995-07-31,138.489
1995-08-31,129.962
1995-09-29,127.35
1995-10-31,124.351
1995-11-30,118.776
1995-12-29,120.945
1996-01-31,122.729
1996-02-29,124.743
1996-03-29,122.924
1996-04-30,120.237
1996-05-31,123.351
1996-06-28,122.534
1996-07-31,123.028
1996-08-30,120.817
1996-09-30,117.413
1996-10-31,121.106
1996-11-29,119.34
1996-12-31,119.94
1997-01-31,114.702
1997-02-28,114.082
1997-03-31,120.307
1997-04-30,115.127
1997-05-30,122.432
1997-06-30,122.105
1997-07-31,124.751
1997-08-29,122.488
1997-09-30,125.433
1997-10-31,122.996
1997-11-28,119.616
1997-12-31,118.917
1998-01-30,119.75
1998-02-27,134.361
1998-03-31,138.675
1998-04-30,148.001
1998-05-29,155.799
1998-06-30,149.306
1998-07-31,146.591
1998-08-31,139.854
1998-09-30,140.077
1998-10-30,142.388
1998-11-30,136.996
1998-12-31,138.341
1999-01-29,129.865
1999-02-26,128.991
1999-03-31,126.108
1999-04-30,128.852
1999-05-31,124.967
1999-06-30,125.789
1999-07-30,126.941
1999-08-31,127.553
1999-09-30,127.009
1999-10-29,127.126
1999-11-30,122.11
1999-12-31,124.637
2000-01-31,125.393
2000-02-29,125.326
2000-03-31,125.43
2000-04-28,121.07
2000-05-31,123.414
2000-06-30,128.68
2000-07-31,122.549
2000-08-31,118.616
2000-09-29,117.818
2000-10-31,112.663
2000-11-30,112.763
2000-12-29,123.263
2001-01-31,122.554
2001-02-28,128.251
2001-03-30,120.935
2001-04-30,123.247
2001-05-31,118.303
2001-06-29,125.5
2001-07-31,131.639
2001-08-31,135.891
2001-09-28,128.033
2001-10-31,122.239
2001-11-30,123.108
2001-12-31,125.164
2002-01-31,125.537
2002-02-28,131.155
2002-03-29,138.95
2002-04-30,151.008
2002-05-31,156.454
2002-06-28,162.249
2002-07-31,146.097
2002-08-30,147.836
2002-09-30,142.94
2002-10-31,149.564
2002-11-29,148.76
2002-12-31,160.104
2003-01-31,166.436
2003-02-28,170.076
2003-03-31,173.222
2003-04-30,191.049
2003-05-30,204.254
2003-06-30,209.13
2003-07-31,209.748
2003-08-29,210.117
2003-09-30,216.892
2003-10-31,222.235
2003-11-28,245.534
2003-12-31,261.926
2004-01-30,289.718
2004-02-27,302.142
2004-03-31,309.996
2004-04-30,304.848
2004-05-31,308.918
2004-06-30,332.383
2004-07-30,327.168
2004-08-31,337.315
2004-09-30,363.991
2004-10-29,379.411
2004-11-30,449.962
2004-12-31,480.668
2005-01-31,477.495
2005-02-28,521.553
2005-03-31,485.195
2005-04-29,456.698
2005-05-31,458.251
2005-06-30,465.647
2005-07-29,485.883
2005-08-31,511.655
2005-09-30,530.491
2005-10-31,508.848
2005-11-30,518.776
2005-12-30,533.899
2006-01-31,589.518
2006-02-28,594.602
2006-03-31,635.238
2006-04-28,672.657
2006-05-31,660.753
2006-06-30,652.293
2006-07-31,654.954
2006-08-31,671.452
2006-09-29,678.703
2006-10-31,720.885
