Date,AUSTRIA SMALL VALUE Small Cap
2001-01-01,118.749
2001-01-02,118.931
2001-01-03,117.623
2001-01-04,117.328
2001-01-05,118.404
2001-01-08,118.671
2001-01-09,117.292
2001-01-10,117.571
2001-01-11,118.837
2001-01-12,118.649
2001-01-15,117.614
2001-01-16,117.364
2001-01-17,116.465
2001-01-18,118.604
2001-01-19,118.033
2001-01-22,118.421
2001-01-23,118.347
2001-01-24,116.187
2001-01-25,115.298
2001-01-26,115.332
2001-01-29,114.887
2001-01-30,116.388
2001-01-31,118.123
2001-02-01,120.956
2001-02-02,120.675
2001-02-05,121.811
2001-02-06,121.109
2001-02-07,121.825
2001-02-08,120.242
2001-02-09,120.46
2001-02-12,121.105
2001-02-13,120.601
2001-02-14,119.883
2001-02-15,118.371
2001-02-16,120.948
2001-02-19,122.471
2001-02-20,122.96
2001-02-21,122.898
2001-02-22,121.89
2001-02-23,122.023
2001-02-26,122.279
2001-02-27,124.043
2001-02-28,123.614
2001-03-01,124.682
2001-03-02,125.353
2001-03-05,124.432
2001-03-06,124.82
2001-03-07,125.023
2001-03-08,125.59
2001-03-09,125.466
2001-03-12,125.698
2001-03-13,123.691
2001-03-14,122.006
2001-03-15,120.397
2001-03-16,117.789
2001-03-19,117.41
2001-03-20,117.917
2001-03-21,116.209
2001-03-22,113.039
2001-03-23,114.947
2001-03-26,115.95
2001-03-27,116.868
2001-03-28,115.913
2001-03-29,115.276
2001-03-30,116.563
2001-04-02,116.376
2001-04-03,116.61
2001-04-04,118.851
2001-04-05,118.969
2001-04-06,119.651
2001-04-09,119.438
2001-04-10,118.285
2001-04-11,117.427
2001-04-12,118.609
2001-04-13,118.609
2001-04-16,117.394
2001-04-17,117.232
2001-04-18,116.941
2001-04-19,118.487
2001-04-20,120.269
2001-04-23,119.297
2001-04-24,119.168
2001-04-25,119.32
2001-04-26,120.366
2001-04-27,119.437
2001-04-30,118.81
2001-05-01,119.451
2001-05-02,119.201
2001-05-03,119.551
2001-05-04,119.727
2001-05-07,118.974
2001-05-08,118.151
2001-05-09,118.106
2001-05-10,118.363
2001-05-11,117.429
2001-05-14,117.385
2001-05-15,117.544
2001-05-16,118.764
2001-05-17,119.102
2001-05-18,118.587
2001-05-21,118.143
2001-05-22,116.413
2001-05-23,115.278
2001-05-24,114.865
2001-05-25,114.75
2001-05-28,115.156
2001-05-29,113.744
2001-05-30,115.144
2001-05-31,114.46
2001-06-01,114.535
2001-06-04,114.691
2001-06-05,115.515
2001-06-06,115.543
2001-06-07,115.957
2001-06-08,116.29
2001-06-11,115.667
2001-06-12,117.013
2001-06-13,117.74
2001-06-14,118.796
2001-06-15,118.589
2001-06-18,119.366
2001-06-19,121.511
2001-06-20,121.473
2001-06-21,121.856
2001-06-22,123.155
2001-06-25,124.281
2001-06-26,124.532
2001-06-27,124.199
2001-06-28,122.441
2001-06-29,121.497
2001-07-02,121.087
2001-07-03,120.741
2001-07-04,121.247
2001-07-05,120.069
2001-07-06,121.155
2001-07-09,121.978
2001-07-10,124.074
2001-07-11,124.731
2001-07-12,124.197
2001-07-13,124.361
2001-07-16,124.51
2001-07-17,123.689
2001-07-18,126.212
2001-07-19,126.54
2001-07-20,126.88
2001-07-23,126.714
2001-07-24,126.946
2001-07-25,127.612
2001-07-26,127.286
2001-07-27,126.717
2001-07-30,127.328
2001-07-31,127.471
2001-08-01,128.366
2001-08-02,127.998
2001-08-03,128.418
2001-08-06,127.709
2001-08-07,127.048
2001-08-08,126.736
2001-08-09,128.052
2001-08-10,129.301
2001-08-13,130.66
2001-08-14,130.064
2001-08-15,132.069
2001-08-16,132.38
2001-08-17,132.43
2001-08-20,130.544
2001-08-21,130.993
2001-08-22,132.262
2001-08-23,131.501
2001-08-24,131.79
2001-08-27,131.51
2001-08-28,132.153
2001-08-29,132.2
2001-08-30,131.483
2001-08-31,131.588
2001-09-03,130.866
2001-09-04,128.944
2001-09-05,128.377
2001-09-06,128.395
2001-09-07,130.541
2001-09-10,128.743
2001-09-11,128.492
2001-09-12,127.819
2001-09-13,127.483
2001-09-14,127.449
2001-09-17,126.682
2001-09-18,126.91
2001-09-19,129.151
2001-09-20,126.525
2001-09-21,122.831
2001-09-24,123.163
2001-09-25,124.806
2001-09-26,124.633
2001-09-27,124.597
2001-09-28,123.98
2001-10-01,125.822
2001-10-02,125.069
2001-10-03,125.139
2001-10-04,124.525
2001-10-05,123.55
2001-10-08,123.213
2001-10-09,122.499
2001-10-10,120.736
2001-10-11,120.51
2001-10-12,122.263
2001-10-15,122.141
2001-10-16,122.923
2001-10-17,123.086
2001-10-18,122.434
2001-10-19,120.08
2001-10-22,118.788
2001-10-23,118.343
2001-10-24,118.194
2001-10-25,118.618
2001-10-26,118.095
2001-10-29,118.9
2001-10-30,118.976
2001-10-31,118.368
2001-11-01,119.124
2001-11-02,118.649
2001-11-05,117.985
2001-11-06,118.677
2001-11-07,119.182
2001-11-08,118.152
2001-11-09,118.434
2001-11-12,118.543
2001-11-13,116.302
2001-11-14,117.337
2001-11-15,117.278
2001-11-16,117.599
2001-11-19,116.859
2001-11-20,117.512
2001-11-21,116.596
2001-11-22,117.072
2001-11-23,116.506
2001-11-26,116.86
2001-11-27,117.73
2001-11-28,117.975
2001-11-29,117.901
2001-11-30,119.21
2001-12-03,118.175
2001-12-04,119.058
2001-12-05,119.461
2001-12-06,119.972
2001-12-07,119.87
2001-12-10,119.664
2001-12-11,120.391
2001-12-12,121.125
2001-12-13,121.484
2001-12-14,122.02
2001-12-17,122.392
2001-12-18,122.062
2001-12-19,121.2
2001-12-20,120.682
2001-12-21,120.273
2001-12-24,119.073
2001-12-25,119.073
2001-12-26,119.175
2001-12-27,120.769
2001-12-28,120.158
