Date,AUSTRIA SMALL VALUE Small Cap
1994-05-31,151.248
1994-06-30,156.735
1994-07-29,155.533
1994-08-31,159.598
1994-09-30,152.581
1994-10-31,151.135
1994-11-30,141.088
1994-12-30,144.199
1995-01-31,134.438
1995-02-28,135.897
1995-03-31,133.0
1995-04-28,125.137
1995-05-31,127.337
1995-06-30,126.459
1995-07-31,130.872
1995-08-31,122.813
1995-09-29,120.345
1995-10-31,117.511
1995-11-30,112.25
1995-12-29,114.3
1996-01-31,115.986
1996-02-29,117.889
1996-03-29,116.17
1996-04-30,113.631
1996-05-31,116.701
1996-06-28,116.255
1996-07-31,116.727
1996-08-30,114.629
1996-09-30,111.424
1996-10-31,114.929
1996-11-29,113.253
1996-12-31,113.826
1997-01-31,108.855
1997-02-28,108.266
1997-03-31,114.174
1997-04-30,109.264
1997-05-30,116.261
1997-06-30,116.392
1997-07-31,118.941
1997-08-29,116.783
1997-09-30,119.613
1997-10-31,117.289
1997-11-28,114.066
1997-12-31,113.4
1998-01-30,114.194
1998-02-27,128.127
1998-03-31,132.241
1998-04-30,141.14
1998-05-29,148.744
1998-06-30,142.891
1998-07-31,140.382
1998-08-31,133.931
1998-09-30,134.144
1998-10-30,136.357
1998-11-30,131.194
1998-12-31,132.482
1999-01-29,124.364
1999-02-26,123.528
1999-03-31,120.767
1999-04-30,123.402
1999-05-31,119.834
1999-06-30,120.722
1999-07-30,121.827
1999-08-31,122.426
1999-09-30,121.922
1999-10-29,122.034
1999-11-30,117.22
1999-12-31,119.645
2000-01-31,120.371
2000-02-29,120.307
2000-03-31,120.406
2000-04-28,116.221
2000-05-31,118.817
2000-06-30,123.916
2000-07-31,118.049
2000-08-31,114.264
2000-09-29,113.504
2000-10-31,108.537
2000-11-30,108.634
2000-12-29,118.749
2001-01-31,118.123
2001-02-28,123.614
2001-03-30,116.563
2001-04-30,118.81
2001-05-31,114.46
2001-06-29,121.497
2001-07-31,127.471
2001-08-31,131.588
2001-09-28,123.98
2001-10-31,118.368
2001-11-30,119.21
2001-12-31,121.201
2002-01-31,121.605
2002-02-28,127.047
2002-03-29,134.604
2002-04-30,146.486
2002-05-31,151.98
2002-06-28,157.675
2002-07-31,142.132
2002-08-30,143.824
2002-09-30,139.061
2002-10-31,145.506
2002-11-29,144.724
2002-12-31,155.76
2003-01-31,161.937
2003-02-28,165.478
2003-03-31,168.538
2003-04-30,186.164
2003-05-30,199.817
2003-06-30,204.642
2003-07-31,205.522
2003-08-29,205.883
2003-09-30,212.523
2003-10-31,217.757
2003-11-28,240.587
2003-12-31,256.649
2004-01-30,283.909
2004-02-27,296.083
2004-03-31,303.779
2004-04-30,299.079
2004-05-31,304.081
2004-06-30,327.276
2004-07-30,323.251
2004-08-31,333.276
2004-09-30,359.633
2004-10-29,374.868
2004-11-30,444.574
2004-12-31,474.913
2005-01-31,471.843
2005-02-28,515.38
2005-03-31,479.452
2005-04-29,451.821
2005-05-31,454.094
2005-06-30,461.423
2005-07-29,482.062
2005-08-31,507.632
2005-09-30,526.32
2005-10-31,504.846
2005-11-30,514.696
2005-12-30,529.7
2006-01-31,585.005
2006-02-28,590.051
2006-03-31,630.375
2006-04-28,668.727
2006-05-31,657.84
2006-06-30,649.417
2006-07-31,652.066
2006-08-31,668.492
2006-09-29,675.711
2006-10-31,717.707
2006-11-30,749.569
2006-12-29,796.474
2007-01-31,819.727
2007-02-28,824.909
2007-03-30,900.416
2007-04-30,976.752
2007-05-31,1000.0
2007-06-29,938.974
2007-07-31,867.223
2007-08-31,871.344
2007-09-28,879.74
2007-10-31,924.613
2007-11-30,835.353
2007-12-31,834.63
2008-01-31,763.642
2008-02-29,807.968
2008-03-31,807.683
2008-04-30,838.952
2008-05-30,855.845
2008-06-30,763.294
2008-07-31,681.481
2008-08-29,648.243
2008-09-30,506.241
2008-10-31,365.24
2008-11-28,346.462
2008-12-31,396.046
2009-01-30,403.757
2009-02-27,353.702
2009-03-31,403.052
2009-04-30,525.412
2009-05-29,585.085
2009-06-30,570.7
2009-07-31,631.856
2009-08-31,854.768
2009-09-30,963.149
2009-10-30,888.645
2009-11-30,925.441
2009-12-31,934.113
2010-01-29,916.288
2010-02-26,883.131
2010-03-31,955.456
2010-04-30,957.416
2010-05-31,816.527
2010-06-30,813.976
2010-07-30,908.849
2010-08-31,877.752
2010-09-30,982.288
2010-10-29,1037.503
2010-11-30,953.18
2010-12-31,1118.853
2011-01-31,1142.165
2011-02-28,1171.454
2011-03-31,1215.723
2011-04-29,1286.387
2011-05-31,1209.736
2011-06-30,1136.418
2011-07-29,1063.233
2011-08-31,1004.061
2011-09-30,870.515
2011-10-31,925.02
2011-11-30,821.646
2011-12-30,790.621
2012-01-31,850.957
2012-02-29,888.767
2012-03-30,894.061
2012-04-30,891.302
2012-05-31,783.276
2012-06-29,811.716
2012-07-31,779.904
2012-08-31,807.586
2012-09-28,851.644
2012-10-31,880.232
2012-11-30,929.05
2012-12-31,982.062
2013-01-31,1056.371
2013-02-28,1010.715
2013-03-29,984.497
2013-04-30,1010.908
2013-05-31,1018.131
2013-06-28,933.341
2013-07-31,1008.88
2013-08-30,1036.445
2013-09-30,1171.339
2013-10-31,1223.916
2013-11-29,1233.798
2013-12-31,1220.456
2014-01-31,1218.15
2014-02-28,1320.966
2014-03-31,1303.668
2014-04-30,1337.259
2014-05-30,1313.378
2014-06-30,1338.715
2014-07-31,1301.672
2014-08-29,1297.921
2014-09-30,1235.366
2014-10-31,1220.018
2014-11-28,1242.682
2014-12-31,1209.625
2015-01-30,1213.224
2015-02-27,1282.518
2015-03-31,1241.659
2015-04-30,1260.035
2015-05-29,1271.135
2015-06-30,1201.914
2015-07-31,1237.102
2015-08-31,1197.572
2015-09-30,1157.891
2015-10-30,1249.968
2015-11-30,1196.691
2015-12-31,1197.319
2016-01-29,1072.76
2016-02-29,1085.344
2016-03-31,1210.878
2016-04-29,1237.889
2016-05-31,1223.045
2016-06-30,1166.764
2016-07-29,1245.467
2016-08-31,1307.11
2016-09-30,1352.666
2016-10-31,1297.184
2016-11-30,1273.815
2016-12-30,1284.852
2017-01-31,1346.271
2017-02-28,1362.935
