Date,KOKUSAI INDEX (WORLD ex JP) SMALL CAP Small Cap
2001-01-01,100.0
2001-01-02,98.701
2001-01-03,99.865
2001-01-04,99.916
2001-01-05,99.631
2001-01-08,99.526
2001-01-09,99.146
2001-01-10,100.028
2001-01-11,101.108
2001-01-12,101.569
2001-01-15,101.475
2001-01-16,101.987
2001-01-17,102.01
2001-01-18,102.798
2001-01-19,102.404
2001-01-22,102.618
2001-01-23,103.751
2001-01-24,103.158
2001-01-25,103.196
2001-01-26,103.119
2001-01-29,103.859
2001-01-30,104.425
2001-01-31,104.718
2001-02-01,105.69
2001-02-02,104.944
2001-02-05,105.118
2001-02-06,105.187
2001-02-07,105.203
2001-02-08,104.237
2001-02-09,103.667
2001-02-12,104.767
2001-02-13,104.421
2001-02-14,103.989
2001-02-15,103.908
2001-02-16,103.372
2001-02-19,103.375
2001-02-20,102.413
2001-02-21,101.393
2001-02-22,100.421
2001-02-23,100.32
2001-02-26,101.485
2001-02-27,101.171
2001-02-28,100.666
2001-03-01,100.667
2001-03-02,101.465
2001-03-05,101.519
2001-03-06,102.395
2001-03-07,102.806
2001-03-08,102.936
2001-03-09,101.902
2001-03-12,99.666
2001-03-13,98.74
2001-03-14,97.097
2001-03-15,96.861
2001-03-16,95.217
2001-03-19,95.562
2001-03-20,95.287
2001-03-21,93.662
2001-03-22,91.332
2001-03-23,93.126
2001-03-26,94.06
2001-03-27,94.917
2001-03-28,93.631
2001-03-29,93.124
2001-03-30,94.606
2001-04-02,93.377
2001-04-03,91.624
2001-04-04,91.917
2001-04-05,94.134
2001-04-06,93.605
2001-04-09,94.266
2001-04-10,95.056
2001-04-11,95.092
2001-04-12,96.167
2001-04-13,96.167
2001-04-16,95.492
2001-04-17,95.772
2001-04-18,96.485
2001-04-19,97.736
2001-04-20,97.876
2001-04-23,97.307
2001-04-24,97.625
2001-04-25,98.816
2001-04-26,99.703
2001-04-27,100.276
2001-04-30,100.837
2001-05-01,101.537
2001-05-02,101.849
2001-05-03,101.597
2001-05-04,102.145
2001-05-07,101.944
2001-05-08,101.943
2001-05-09,101.733
2001-05-10,102.195
2001-05-11,101.593
2001-05-14,101.457
2001-05-15,102.044
2001-05-16,102.758
2001-05-17,103.846
2001-05-18,103.98
2001-05-21,104.951
2001-05-22,104.9
2001-05-23,103.811
2001-05-24,103.862
2001-05-25,103.915
2001-05-28,104.031
2001-05-29,103.427
2001-05-30,102.574
2001-05-31,102.38
2001-06-01,102.948
2001-06-04,103.703
2001-06-05,104.797
2001-06-06,104.3
2001-06-07,104.632
2001-06-08,104.266
2001-06-11,103.529
2001-06-12,103.345
2001-06-13,103.569
2001-06-14,102.74
2001-06-15,102.456
2001-06-18,101.641
2001-06-19,101.294
2001-06-20,101.085
2001-06-21,101.574
2001-06-22,100.833
2001-06-25,100.667
2001-06-26,101.1
2001-06-27,101.142
2001-06-28,101.149
2001-06-29,102.748
2001-07-02,101.699
2001-07-03,101.614
2001-07-04,101.557
2001-07-05,100.851
2001-07-06,99.8
2001-07-09,99.833
2001-07-10,99.903
2001-07-11,99.551
2001-07-12,100.363
2001-07-13,100.65
2001-07-16,100.245
2001-07-17,100.388
2001-07-18,100.809
2001-07-19,101.412
2001-07-20,101.451
2001-07-23,100.638
2001-07-24,99.94
2001-07-25,99.918
2001-07-26,100.355
2001-07-27,100.352
2001-07-30,100.496
2001-07-31,100.643
2001-08-01,101.323
2001-08-02,101.72
2001-08-03,101.671
2001-08-06,100.862
2001-08-07,100.561
2001-08-08,99.798
2001-08-09,100.001
2001-08-10,100.305
2001-08-13,100.549
2001-08-14,100.937
2001-08-15,101.696
2001-08-16,102.085
2001-08-17,101.555
2001-08-20,101.444
2001-08-21,101.128
2001-08-22,101.927
2001-08-23,101.196
2001-08-24,101.794
2001-08-27,101.533
2001-08-28,100.974
2001-08-29,100.944
2001-08-30,100.251
2001-08-31,100.058
2001-09-03,99.664
2001-09-04,99.251
2001-09-05,98.783
2001-09-06,97.679
2001-09-07,96.819
2001-09-10,95.013
2001-09-11,93.736
2001-09-12,92.948
2001-09-13,93.299
2001-09-14,92.363
2001-09-17,88.814
2001-09-18,87.784
2001-09-19,86.774
2001-09-20,83.597
2001-09-21,80.847
2001-09-24,83.109
2001-09-25,84.067
2001-09-26,83.942
2001-09-27,84.136
2001-09-28,85.884
2001-10-01,84.893
2001-10-02,85.484
2001-10-03,87.268
2001-10-04,88.587
2001-10-05,88.464
2001-10-08,87.767
2001-10-09,87.692
2001-10-10,89.637
2001-10-11,91.869
2001-10-12,91.728
2001-10-15,91.79
2001-10-16,92.872
2001-10-17,91.913
2001-10-18,90.963
2001-10-19,91.105
2001-10-22,91.753
2001-10-23,91.749
2001-10-24,92.138
2001-10-25,93.511
2001-10-26,94.133
2001-10-29,93.174
2001-10-30,91.601
2001-10-31,92.315
2001-11-01,93.538
2001-11-02,93.452
2001-11-05,94.167
2001-11-06,95.145
2001-11-07,95.417
2001-11-08,95.386
2001-11-09,95.167
2001-11-12,95.164
2001-11-13,96.69
2001-11-14,97.694
2001-11-15,97.31
2001-11-16,97.819
2001-11-19,99.252
2001-11-20,98.447
2001-11-21,97.941
2001-11-22,98.161
2001-11-23,98.925
2001-11-26,99.653
2001-11-27,99.716
2001-11-28,98.52
2001-11-29,99.578
2001-11-30,99.768
2001-12-03,98.925
2001-12-04,100.649
2001-12-05,103.054
2001-12-06,103.843
2001-12-07,103.849
2001-12-10,102.755
2001-12-11,102.861
2001-12-12,102.885
2001-12-13,101.585
2001-12-14,101.711
2001-12-17,102.774
2001-12-18,103.435
2001-12-19,102.851
2001-12-20,101.596
2001-12-21,102.618
2001-12-24,102.83
2001-12-25,102.83
2001-12-26,103.557
2001-12-27,104.507
2001-12-28,104.936
2001-12-31,104.594
2002-01-01,104.594
2002-01-02,104.969
2002-01-03,106.335
2002-01-04,107.251
2002-01-07,106.64
2002-01-08,106.889
2002-01-09,106.569
2002-01-10,106.534
2002-01-11,105.874
2002-01-14,104.565
2002-01-15,104.668
2002-01-16,102.903
2002-01-17,103.471
2002-01-18,102.493
2002-01-21,102.456
2002-01-22,101.897
2002-01-23,102.942
2002-01-24,103.426
2002-01-25,102.923
2002-01-28,102.926
2002-01-29,101.967
2002-01-30,102.287
2002-01-31,103.086
2002-02-01,102.963
2002-02-04,101.723
2002-02-05,101.103
2002-02-06,100.182
2002-02-07,99.602
2002-02-08,100.979
2002-02-11,102.069
2002-02-12,102.157
2002-02-13,102.716
2002-02-14,102.195
2002-02-15,101.818
2002-02-18,101.674
2002-02-19,100.12
2002-02-20,100.754
2002-02-21,99.746
2002-02-22,100.208
2002-02-25,100.766
2002-02-26,101.51
2002-02-27,101.721
2002-02-28,101.425
2002-03-01,103.028
2002-03-04,105.465
2002-03-05,105.39
2002-03-06,106.579
2002-03-07,107.204
2002-03-08,107.879
2002-03-11,108.153
2002-03-12,107.411
2002-03-13,106.825
2002-03-14,107.356
2002-03-15,107.7
2002-03-18,108.403
2002-03-19,108.846
2002-03-20,108.164
2002-03-21,108.918
2002-03-22,108.73
2002-03-25,107.722
2002-03-26,108.202
2002-03-27,108.919
2002-03-28,109.385
2002-03-29,109.385
2002-04-01,109.568
2002-04-02,109.057
2002-04-03,108.318
2002-04-04,108.482
2002-04-05,108.452
2002-04-08,108.774
2002-04-09,108.753
2002-04-10,110.028
2002-04-11,109.191
2002-04-12,110.308
2002-04-15,110.159
2002-04-16,111.852
2002-04-17,111.904
2002-04-18,111.897
2002-04-19,111.738
2002-04-22,110.788
2002-04-23,110.633
2002-04-24,110.359
2002-04-25,110.412
2002-04-26,109.563
2002-04-29,109.123
2002-04-30,110.389
2002-05-01,110.666
2002-05-02,110.789
2002-05-03,110.747
2002-05-06,109.367
2002-05-07,108.356
2002-05-08,110.364
2002-05-09,109.479
2002-05-10,108.527
2002-05-13,109.344
2002-05-14,110.921
2002-05-15,111.372
2002-05-16,110.776
2002-05-17,111.486
2002-05-20,110.675
2002-05-21,109.501
2002-05-22,109.387
2002-05-23,110.122
2002-05-24,109.338
2002-05-27,109.331
2002-05-28,109.353
2002-05-29,108.559
2002-05-30,108.275
2002-05-31,108.439
2002-06-03,106.599
2002-06-04,106.184
2002-06-05,106.105
2002-06-06,105.18
2002-06-07,105.338
2002-06-10,105.182
2002-06-11,104.175
2002-06-12,103.824
2002-06-13,102.677
2002-06-14,102.041
2002-06-17,103.941
2002-06-18,103.955
2002-06-19,102.918
2002-06-20,102.179
2002-06-21,102.114
2002-06-24,101.772
2002-06-25,100.709
2002-06-26,100.43
2002-06-27,101.59
2002-06-28,102.639
2002-07-01,101.037
2002-07-02,98.404
2002-07-03,97.268
2002-07-04,97.366
2002-07-05,99.435
2002-07-08,98.97
2002-07-09,98.223
2002-07-10,96.382
2002-07-11,95.288
2002-07-12,94.921
2002-07-15,94.01
2002-07-16,93.322
2002-07-17,93.35
2002-07-18,92.143
2002-07-19,90.282
2002-07-22,88.06
2002-07-23,85.237
2002-07-24,86.371
2002-07-25,86.969
2002-07-26,87.017
2002-07-29,90.378
2002-07-30,91.057
2002-07-31,90.066
2002-08-01,89.037
2002-08-02,86.993
2002-08-05,84.868
2002-08-06,85.828
2002-08-07,86.563
2002-08-08,87.742
2002-08-09,88.151
2002-08-12,88.165
2002-08-13,86.968
2002-08-14,88.424
2002-08-15,89.191
2002-08-16,90.004
2002-08-19,90.967
2002-08-20,90.539
2002-08-21,91.83
2002-08-22,92.495
2002-08-23,91.251
2002-08-26,92.193
2002-08-27,91.304
2002-08-28,89.912
2002-08-29,90.303
2002-08-30,89.959
2002-09-02,89.966
2002-09-03,88.166
2002-09-04,89.072
2002-09-05,87.809
2002-09-06,89.152
2002-09-09,89.385
2002-09-10,89.62
2002-09-11,89.751
2002-09-12,88.645
2002-09-13,88.663
2002-09-16,87.893
2002-09-17,86.743
2002-09-18,85.867
2002-09-19,84.155
2002-09-20,84.088
2002-09-23,82.487
