Date,KOKUSAI INDEX (WORLD ex JP) SMALL CAP Small Cap
2000-12-29,100.0
2001-01-31,104.736
2001-02-28,100.703
2001-03-30,94.687
2001-04-30,100.98
2001-05-31,102.603
2001-06-29,103.014
2001-07-31,100.925
2001-08-31,100.362
2001-09-28,86.178
2001-10-31,92.651
2001-11-30,100.155
2001-12-31,105.035
2002-01-31,103.535
2002-02-28,101.883
2002-03-29,109.942
2002-04-30,111.002
2002-05-31,109.087
2002-06-28,103.293
2002-07-31,90.662
2002-08-30,90.577
2002-09-30,83.124
2002-10-31,86.07
2002-11-29,91.676
2002-12-31,87.175
2003-01-31,85.465
2003-02-28,83.017
2003-03-31,83.481
2003-04-30,93.19
2003-05-30,103.841
2003-06-30,105.934
2003-07-31,110.714
2003-08-29,116.494
2003-09-30,117.567
2003-10-31,128.265
2003-11-28,132.647
2003-12-31,137.603
2004-01-30,143.676
2004-02-27,147.205
2004-03-31,147.686
2004-04-30,140.621
2004-05-31,142.77
2004-06-30,147.49
2004-07-30,140.837
2004-08-31,140.352
2004-09-30,147.361
2004-10-29,151.968
2004-11-30,165.09
2004-12-31,171.696
2005-01-31,168.174
2005-02-28,174.036
2005-03-31,169.453
2005-04-29,161.87
2005-05-31,168.457
2005-06-30,174.005
2005-07-29,183.837
2005-08-31,184.872
2005-09-30,188.249
2005-10-31,179.964
2005-11-30,187.234
2005-12-30,190.834
2006-01-31,207.475
2006-02-28,208.799
2006-03-31,218.686
2006-04-28,225.536
2006-05-31,214.225
2006-06-30,211.709
2006-07-31,207.62
2006-08-31,213.525
2006-09-29,215.438
2006-10-31,227.148
2006-11-30,237.016
2006-12-29,241.6
2007-01-31,245.956
2007-02-28,246.439
2007-03-30,254.326
2007-04-30,265.095
2007-05-31,274.337
2007-06-29,271.607
2007-07-31,260.96
2007-08-31,255.21
2007-09-28,261.837
2007-10-31,275.275
2007-11-30,252.837
2007-12-31,249.724
2008-01-31,228.995
2008-02-29,230.81
2008-03-31,228.274
2008-04-30,238.482
