Date,KOKUSAI INDEX (WORLD ex JP) SMALL CAP Small Cap
2001-01-01,100.0
2001-01-02,98.701
2001-01-03,99.866
2001-01-04,99.92
2001-01-05,99.636
2001-01-08,99.532
2001-01-09,99.154
2001-01-10,100.037
2001-01-11,101.118
2001-01-12,101.579
2001-01-15,101.485
2001-01-16,101.997
2001-01-17,102.022
2001-01-18,102.81
2001-01-19,102.416
2001-01-22,102.631
2001-01-23,103.763
2001-01-24,103.17
2001-01-25,103.209
2001-01-26,103.133
2001-01-29,103.875
2001-01-30,104.442
2001-01-31,104.736
2001-02-01,105.711
2001-02-02,104.966
2001-02-05,105.14
2001-02-06,105.209
2001-02-07,105.225
2001-02-08,104.26
2001-02-09,103.69
2001-02-12,104.791
2001-02-13,104.448
2001-02-14,104.017
2001-02-15,103.937
2001-02-16,103.402
2001-02-19,103.405
2001-02-20,102.444
2001-02-21,101.423
2001-02-22,100.451
2001-02-23,100.351
2001-02-26,101.519
2001-02-27,101.207
2001-02-28,100.703
2001-03-01,100.705
2001-03-02,101.503
2001-03-05,101.559
2001-03-06,102.435
2001-03-07,102.848
2001-03-08,102.981
2001-03-09,101.95
2001-03-12,99.713
2001-03-13,98.788
2001-03-14,97.149
2001-03-15,96.915
2001-03-16,95.27
2001-03-19,95.623
2001-03-20,95.347
2001-03-21,93.723
2001-03-22,91.392
2001-03-23,93.19
2001-03-26,94.132
2001-03-27,94.991
2001-03-28,93.706
2001-03-29,93.201
2001-03-30,94.687
2001-04-02,93.458
2001-04-03,91.705
2001-04-04,92.002
2001-04-05,94.222
2001-04-06,93.695
2001-04-09,94.362
2001-04-10,95.154
2001-04-11,95.191
2001-04-12,96.268
2001-04-13,96.268
2001-04-16,95.592
2001-04-17,95.874
2001-04-18,96.587
2001-04-19,97.843
2001-04-20,97.986
2001-04-23,97.418
2001-04-24,97.739
2001-04-25,98.934
2001-04-26,99.826
2001-04-27,100.418
2001-04-30,100.98
2001-05-01,101.68
2001-05-02,101.996
2001-05-03,101.751
2001-05-04,102.3
2001-05-07,102.109
2001-05-08,102.11
2001-05-09,101.905
2001-05-10,102.368
2001-05-11,101.759
2001-05-14,101.625
2001-05-15,102.217
2001-05-16,102.952
2001-05-17,104.041
2001-05-18,104.177
2001-05-21,105.156
2001-05-22,105.106
2001-05-23,104.018
2001-05-24,104.072
2001-05-25,104.125
2001-05-28,104.246
2001-05-29,103.643
2001-05-30,102.792
2001-05-31,102.603
2001-06-01,103.173
2001-06-04,103.93
2001-06-05,105.029
2001-06-06,104.536
2001-06-07,104.87
2001-06-08,104.503
2001-06-11,103.766
2001-06-12,103.583
2001-06-13,103.811
2001-06-14,102.981
2001-06-15,102.698
2001-06-18,101.882
2001-06-19,101.534
2001-06-20,101.328
2001-06-21,101.82
2001-06-22,101.08
2001-06-25,100.92
2001-06-26,101.354
2001-06-27,101.399
2001-06-28,101.407
2001-06-29,103.014
2001-07-02,101.964
2001-07-03,101.88
2001-07-04,101.825
2001-07-05,101.117
2001-07-06,100.065
2001-07-09,100.101
2001-07-10,100.172
2001-07-11,99.82
2001-07-12,100.636
2001-07-13,100.923
2001-07-16,100.518
2001-07-17,100.661
2001-07-18,101.083
2001-07-19,101.689
2001-07-20,101.728
2001-07-23,100.913
2001-07-24,100.214
2001-07-25,100.193
2001-07-26,100.631
2001-07-27,100.632
2001-07-30,100.778
2001-07-31,100.925
2001-08-01,101.608
2001-08-02,102.008
2001-08-03,101.959
2001-08-06,101.148
2001-08-07,100.849
2001-08-08,100.085
2001-08-09,100.289
2001-08-10,100.595
2001-08-13,100.841
2001-08-14,101.231
2001-08-15,101.994
2001-08-16,102.385
2001-08-17,101.853
2001-08-20,101.742
2001-08-21,101.425
2001-08-22,102.226
2001-08-23,101.494
2001-08-24,102.093
2001-08-27,101.833
2001-08-28,101.273
2001-08-29,101.25
2001-08-30,100.555
2001-08-31,100.362
2001-09-03,99.967
2001-09-04,99.552
2001-09-05,99.085
2001-09-06,97.979
2001-09-07,97.116
2001-09-10,95.308
2001-09-11,94.028
2001-09-12,93.238
2001-09-13,93.59
2001-09-14,92.651
2001-09-17,89.097
2001-09-18,88.064
2001-09-19,87.051
2001-09-20,83.866
2001-09-21,81.108
2001-09-24,83.389
2001-09-25,84.352
2001-09-26,84.228
2001-09-27,84.424
2001-09-28,86.178
2001-10-01,85.183
2001-10-02,85.778
2001-10-03,87.572
2001-10-04,88.896
2001-10-05,88.773
2001-10-08,88.075
2001-10-09,88.0
2001-10-10,89.953
2001-10-11,92.194
2001-10-12,92.053
2001-10-15,92.115
2001-10-16,93.202
2001-10-17,92.24
2001-10-18,91.287
2001-10-19,91.43
2001-10-22,92.081
2001-10-23,92.077
2001-10-24,92.468
2001-10-25,93.846
2001-10-26,94.47
2001-10-29,93.511
2001-10-30,91.933
2001-10-31,92.651
2001-11-01,93.881
2001-11-02,93.795
2001-11-05,94.513
2001-11-06,95.495
2001-11-07,95.769
2001-11-08,95.738
2001-11-09,95.522
2001-11-12,95.519
2001-11-13,97.054
2001-11-14,98.063
2001-11-15,97.68
2001-11-16,98.191
2001-11-19,99.631
2001-11-20,98.824
2001-11-21,98.317
2001-11-22,98.537
2001-11-23,99.304
2001-11-26,100.035
2001-11-27,100.099
2001-11-28,98.901
2001-11-29,99.964
2001-11-30,100.155
2001-12-03,99.309
2001-12-04,101.04
2001-12-05,103.456
2001-12-06,104.252
2001-12-07,104.259
2001-12-10,103.161
2001-12-11,103.268
2001-12-12,103.293
2001-12-13,101.988
2001-12-14,102.115
2001-12-17,103.182
2001-12-18,103.846
2001-12-19,103.261
2001-12-20,102.001
2001-12-21,103.034
2001-12-24,103.247
2001-12-25,103.247
2001-12-26,103.981
2001-12-27,104.944
2001-12-28,105.379
2001-12-31,105.035
2002-01-01,105.036
2002-01-02,105.412
2002-01-03,106.785
2002-01-04,107.704
2002-01-07,107.091
2002-01-08,107.341
2002-01-09,107.022
2002-01-10,106.987
2002-01-11,106.324
2002-01-14,105.011
2002-01-15,105.115
2002-01-16,103.345
2002-01-17,103.916
2002-01-18,102.933
2002-01-21,102.897
2002-01-22,102.336
2002-01-23,103.385
2002-01-24,103.871
2002-01-25,103.367
2002-01-28,103.369
2002-01-29,102.408
2002-01-30,102.73
2002-01-31,103.535
2002-02-01,103.413
2002-02-04,102.168
2002-02-05,101.545
2002-02-06,100.621
2002-02-07,100.039
2002-02-08,101.422
2002-02-11,102.518
2002-02-12,102.606
2002-02-13,103.17
2002-02-14,102.647
2002-02-15,102.269
2002-02-18,102.124
2002-02-19,100.564
2002-02-20,101.203
2002-02-21,100.191
2002-02-22,100.656
2002-02-25,101.216
2002-02-26,101.964
2002-02-27,102.179
2002-02-28,101.883
2002-03-01,103.494
2002-03-04,105.945
2002-03-05,105.869
2002-03-06,107.064
2002-03-07,107.694
2002-03-08,108.375
2002-03-11,108.65
2002-03-12,107.905
2002-03-13,107.325
2002-03-14,107.865
2002-03-15,108.211
2002-03-18,108.924
2002-03-19,109.369
2002-03-20,108.685
2002-03-21,109.448
2002-03-22,109.265
2002-03-25,108.254
2002-03-26,108.747
2002-03-27,109.473
2002-03-28,109.942
2002-03-29,109.942
2002-04-01,110.126
2002-04-02,109.618
2002-04-03,108.88
2002-04-04,109.046
2002-04-05,109.018
2002-04-08,109.343
2002-04-09,109.324
2002-04-10,110.607
2002-04-11,109.767
2002-04-12,110.895
2002-04-15,110.746
2002-04-16,112.449
2002-04-17,112.503
2002-04-18,112.498
2002-04-19,112.339
2002-04-22,111.385
2002-04-23,111.231
2002-04-24,110.959
2002-04-25,111.014
2002-04-26,110.164
2002-04-29,109.727
2002-04-30,111.002
2002-05-01,111.282
2002-05-02,111.408
2002-05-03,111.366
2002-05-06,109.985
2002-05-07,108.969
2002-05-08,110.99
2002-05-09,110.1
2002-05-10,109.144
2002-05-13,109.968
2002-05-14,111.555
2002-05-15,112.014
2002-05-16,111.417
2002-05-17,112.134
2002-05-20,111.323
2002-05-21,110.145
2002-05-22,110.03
2002-05-23,110.77
2002-05-24,109.982
2002-05-27,109.977
2002-05-28,110.0
2002-05-29,109.204
2002-05-30,108.921
2002-05-31,109.087
2002-06-03,107.238
2002-06-04,106.821
2002-06-05,106.743
2002-06-06,105.814
2002-06-07,105.973
2002-06-10,105.819
2002-06-11,104.808
2002-06-12,104.456
2002-06-13,103.303
2002-06-14,102.665
2002-06-17,104.578
2002-06-18,104.592
2002-06-19,103.549
2002-06-20,102.808
2002-06-21,102.743
2002-06-24,102.408
2002-06-25,101.339
2002-06-26,101.066
2002-06-27,102.237
2002-06-28,103.293
2002-07-01,101.687
2002-07-02,99.04
2002-07-03,97.898
2002-07-04,97.997
2002-07-05,100.08
2002-07-08,99.613
2002-07-09,98.862
2002-07-10,97.01
2002-07-11,95.909
2002-07-12,95.541
2002-07-15,94.624
2002-07-16,93.931
2002-07-17,93.961
2002-07-18,92.745
2002-07-19,90.872
2002-07-22,88.636
2002-07-23,85.796
2002-07-24,86.938
2002-07-25,87.541
2002-07-26,87.589
2002-07-29,90.975
2002-07-30,91.658
2002-07-31,90.662
2002-08-01,89.629
2002-08-02,87.571
2002-08-05,85.433
2002-08-06,86.399
2002-08-07,87.142
2002-08-08,88.329
2002-08-09,88.741
2002-08-12,88.755
2002-08-13,87.553
2002-08-14,89.019
2002-08-15,89.793
2002-08-16,90.611
2002-08-19,91.582
2002-08-20,91.152
2002-08-21,92.452
2002-08-22,93.122
2002-08-23,91.87
2002-08-26,92.819
2002-08-27,91.926
2002-08-28,90.527
2002-08-29,90.922
2002-08-30,90.577
2002-09-02,90.587
2002-09-03,88.775
2002-09-04,89.689
2002-09-05,88.417
2002-09-06,89.77
2002-09-09,90.006
2002-09-10,90.245
2002-09-11,90.378
2002-09-12,89.265
2002-09-13,89.283
2002-09-16,88.512
2002-09-17,87.354
2002-09-18,86.473
2002-09-19,84.749
2002-09-20,84.682
2002-09-23,83.075
