Date,CANADA LARGE CAP Large Cap
2001-01-01,443.929
2001-01-02,427.079
2001-01-03,446.516
2001-01-04,444.929
2001-01-05,432.365
2001-01-08,431.847
2001-01-09,426.126
2001-01-10,426.52
2001-01-11,438.046
2001-01-12,431.831
2001-01-15,433.158
2001-01-16,432.687
2001-01-17,436.806
2001-01-18,438.067
2001-01-19,452.907
2001-01-22,451.647
2001-01-23,460.835
2001-01-24,459.345
2001-01-25,453.307
2001-01-26,452.997
2001-01-29,463.498
2001-01-30,465.868
2001-01-31,463.412
2001-02-01,462.973
2001-02-02,459.24
2001-02-05,460.171
2001-02-06,457.689
2001-02-07,446.687
2001-02-08,442.986
2001-02-09,436.247
2001-02-12,434.869
2001-02-13,430.73
2001-02-14,428.74
2001-02-15,430.562
2001-02-16,396.607
2001-02-19,398.508
2001-02-20,387.685
2001-02-21,379.511
2001-02-22,383.766
2001-02-23,377.703
2001-02-26,385.766
2001-02-27,382.214
2001-02-28,383.294
2001-03-01,382.954
2001-03-02,375.297
2001-03-05,379.393
2001-03-06,386.053
2001-03-07,387.349
2001-03-08,382.65
2001-03-09,376.84
2001-03-12,366.137
2001-03-13,370.132
2001-03-14,361.165
2001-03-15,360.679
2001-03-16,355.011
2001-03-19,361.376
2001-03-20,354.784
2001-03-21,348.361
2001-03-22,351.2
2001-03-23,350.331
2001-03-26,355.047
2001-03-27,356.494
2001-03-28,342.752
2001-03-29,339.14
2001-03-30,347.398
2001-04-02,350.419
2001-04-03,339.996
2001-04-04,340.651
2001-04-05,345.676
2001-04-06,342.228
2001-04-09,345.926
2001-04-10,357.59
2001-04-11,353.451
2001-04-12,359.525
2001-04-13,359.525
2001-04-16,355.515
2001-04-17,357.707
2001-04-18,370.834
2001-04-19,376.48
2001-04-20,375.881
2001-04-23,367.553
2001-04-24,362.67
2001-04-25,366.809
2001-04-26,367.073
2001-04-27,367.923
2001-04-30,366.441
2001-05-01,367.398
2001-05-02,371.952
2001-05-03,368.206
2001-05-04,368.986
2001-05-07,369.747
2001-05-08,370.721
2001-05-09,371.097
2001-05-10,373.675
2001-05-11,366.505
2001-05-14,364.43
2001-05-15,366.987
2001-05-16,373.009
2001-05-17,377.869
2001-05-18,378.823
2001-05-21,379.248
2001-05-22,382.383
2001-05-23,379.393
2001-05-24,379.605
2001-05-25,377.345
2001-05-28,377.699
2001-05-29,375.853
2001-05-30,368.779
2001-05-31,370.216
2001-06-01,377.543
2001-06-04,380.403
2001-06-05,377.939
2001-06-06,377.248
2001-06-07,378.881
2001-06-08,376.537
2001-06-11,375.296
2001-06-12,373.503
2001-06-13,371.539
2001-06-14,366.868
2001-06-15,360.644
2001-06-18,354.438
2001-06-19,354.524
2001-06-20,353.678
2001-06-21,356.313
2001-06-22,359.321
2001-06-25,359.032
2001-06-26,355.043
2001-06-27,350.664
2001-06-28,351.442
2001-06-29,359.285
2001-07-02,359.83
2001-07-03,362.437
2001-07-04,360.702
2001-07-05,357.825
2001-07-06,351.371
2001-07-09,353.267
2001-07-10,349.916
2001-07-11,348.426
2001-07-12,353.573
2001-07-13,355.148
2001-07-16,348.542
2001-07-17,352.097
2001-07-18,349.141
2001-07-19,350.113
2001-07-20,349.73
2001-07-23,348.561
2001-07-24,348.341
2001-07-25,350.683
2001-07-26,350.873
2001-07-27,354.463
2001-07-30,353.826
2001-07-31,356.839
2001-08-01,356.623
2001-08-02,355.985
2001-08-03,356.096
2001-08-06,358.032
2001-08-07,359.186
2001-08-08,353.698
2001-08-09,354.131
2001-08-10,350.913
2001-08-13,350.861
2001-08-14,348.953
2001-08-15,347.263
2001-08-16,349.337
2001-08-17,343.989
2001-08-20,344.069
2001-08-21,340.086
2001-08-22,345.291
2001-08-23,345.828
2001-08-24,351.094
2001-08-27,352.56
2001-08-28,348.778
2001-08-29,343.682
2001-08-30,340.349
2001-08-31,337.533
