Date,CANADA LARGE CAP Large Cap
1994-05-31,158.827
1994-06-30,148.794
1994-07-29,155.213
1994-08-31,164.781
1994-09-30,168.998
1994-10-31,166.394
1994-11-30,158.172
1994-12-30,160.291
1995-01-31,152.177
1995-02-28,159.241
1995-03-31,165.732
1995-04-28,168.366
1995-05-31,175.679
1995-06-30,178.254
1995-07-31,181.507
1995-08-31,182.185
1995-09-29,182.101
1995-10-31,180.151
1995-11-30,188.548
1995-12-29,191.044
1996-01-31,199.907
1996-02-29,198.578
1996-03-29,201.556
1996-04-30,209.834
1996-05-31,213.477
1996-06-28,207.963
1996-07-31,201.785
1996-08-30,210.748
1996-09-30,218.317
1996-10-31,235.848
1996-11-29,252.775
1996-12-31,244.948
1997-01-31,257.705
1997-02-28,254.982
1997-03-31,240.478
1997-04-30,245.449
1997-05-30,266.418
1997-06-30,271.765
1997-07-31,290.941
1997-08-29,275.309
1997-09-30,292.651
1997-10-31,280.028
1997-11-28,272.978
1997-12-31,280.705
1998-01-30,275.933
1998-02-27,300.638
1998-03-31,323.809
1998-04-30,325.259
1998-05-29,323.622
1998-06-30,313.144
1998-07-31,294.157
1998-08-31,229.499
1998-09-30,233.605
1998-10-30,259.135
1998-11-30,271.29
1998-12-31,278.966
1999-01-29,300.614
1999-02-26,283.333
1999-03-31,292.168
1999-04-30,317.025
1999-05-31,309.935
1999-06-30,318.415
1999-07-30,315.707
1999-08-31,308.077
1999-09-30,315.912
1999-10-29,340.837
1999-11-30,359.006
1999-12-31,408.937
2000-01-31,408.45
2000-02-29,433.384
2000-03-31,466.079
2000-04-28,445.716
2000-05-31,435.524
2000-06-30,493.152
2000-07-31,511.538
2000-08-31,554.085
2000-09-29,499.616
2000-10-31,459.572
2000-11-30,414.195
2000-12-29,429.836
2001-01-31,448.766
2001-02-28,371.252
2001-03-30,336.692
2001-04-30,355.189
2001-05-31,358.972
2001-06-29,348.596
2001-07-31,346.269
2001-08-31,327.656
2001-09-28,299.654
2001-10-31,297.002
2001-11-30,324.22
2001-12-31,328.645
2002-01-31,324.614
2002-02-28,320.586
2002-03-29,330.128
2002-04-30,327.845
2002-05-31,333.559
2002-06-28,315.02
2002-07-31,281.763
2002-08-30,285.622
2002-09-30,260.403
2002-10-31,269.029
2002-11-29,285.292
2002-12-31,284.143
2003-01-31,293.054
2003-02-28,307.216
2003-03-31,303.893
2003-04-30,322.669
2003-05-30,350.489
2003-06-30,360.689
2003-07-31,358.857
2003-08-29,376.29
2003-09-30,383.873
2003-10-31,411.665
2003-11-28,421.312
2003-12-31,443.447
2004-01-30,452.198
2004-02-27,463.45
2004-03-31,461.436
2004-04-30,421.02
2004-05-31,429.649
2004-06-30,447.277
2004-07-30,451.917
2004-08-31,453.485
2004-09-30,488.445
2004-10-29,523.494
2004-11-30,538.141
2004-12-31,547.941
2005-01-31,524.101
2005-02-28,555.696
2005-03-31,567.881
2005-04-29,539.689
2005-05-31,555.232
2005-06-30,593.809
2005-07-29,623.597
2005-08-31,662.983
2005-09-30,700.93
2005-10-31,650.442
2005-11-30,685.998
2005-12-30,713.005
2006-01-31,769.252
2006-02-28,758.719
2006-03-31,765.189
2006-04-28,794.14
2006-05-31,775.485
2006-06-30,766.761
2006-07-31,769.232
2006-08-31,803.934
2006-09-29,792.158
2006-10-31,825.336
2006-11-30,850.847
2006-12-29,845.643
2007-01-31,839.128
2007-02-28,843.31
2007-03-30,865.37
2007-04-30,915.833
2007-05-31,1000.0
2007-06-29,997.724
2007-07-31,995.252
2007-08-31,1002.886
2007-09-28,1101.776
2007-10-31,1200.264
2007-11-30,1075.791
2007-12-31,1102.764
2008-01-31,1034.134
2008-02-29,1092.515
2008-03-31,1033.522
2008-04-30,1110.998
2008-05-30,1196.894
2008-06-30,1145.976
2008-07-31,1071.881
2008-08-29,1050.606
2008-09-30,911.527
2008-10-31,665.019
2008-11-28,626.7
2008-12-31,602.883
2009-01-30,580.709
2009-02-27,527.793
2009-03-31,579.817
2009-04-30,659.583
2009-05-29,804.67
2009-06-30,757.815
2009-07-31,847.213
2009-08-31,830.501
2009-09-30,887.959
2009-10-30,838.898
2009-11-30,896.056
2009-12-31,922.594
2010-01-29,851.008
2010-02-26,900.204
2010-03-31,980.899
