Date,CANADA LARGE CAP Large Cap
2001-01-01,429.836
2001-01-02,413.521
2001-01-03,432.341
2001-01-04,430.805
2001-01-05,418.64
2001-01-08,418.138
2001-01-09,412.599
2001-01-10,412.98
2001-01-11,424.14
2001-01-12,418.122
2001-01-15,419.407
2001-01-16,418.951
2001-01-17,422.949
2001-01-18,424.169
2001-01-19,438.539
2001-01-22,437.35
2001-01-23,446.248
2001-01-24,444.805
2001-01-25,438.957
2001-01-26,438.658
2001-01-29,448.827
2001-01-30,451.122
2001-01-31,448.766
2001-02-01,448.341
2001-02-02,444.725
2001-02-05,445.627
2001-02-06,443.223
2001-02-07,432.578
2001-02-08,428.994
2001-02-09,422.467
2001-02-12,421.133
2001-02-13,417.134
2001-02-14,415.206
2001-02-15,416.971
2001-02-16,384.096
2001-02-19,385.938
2001-02-20,375.482
2001-02-21,367.576
2001-02-22,371.704
2001-02-23,365.832
2001-02-26,373.641
2001-02-27,370.201
2001-02-28,371.252
2001-03-01,370.94
2001-03-02,363.524
2001-03-05,367.491
2001-03-06,373.948
2001-03-07,375.223
2001-03-08,370.685
2001-03-09,365.057
2001-03-12,354.688
2001-03-13,358.599
2001-03-14,349.966
2001-03-15,349.495
2001-03-16,344.003
2001-03-19,350.17
2001-03-20,343.783
2001-03-21,337.558
2001-03-22,340.309
2001-03-23,339.474
2001-03-26,344.065
2001-03-27,345.467
2001-03-28,332.166
2001-03-29,328.666
2001-03-30,336.692
2001-04-02,339.62
2001-04-03,329.518
2001-04-04,330.153
2001-04-05,335.023
2001-04-06,331.692
2001-04-09,335.276
2001-04-10,346.581
2001-04-11,342.569
2001-04-12,348.455
2001-04-13,348.455
2001-04-16,344.57
2001-04-17,346.694
2001-04-18,359.417
2001-04-19,364.889
2001-04-20,364.339
2001-04-23,356.267
2001-04-24,351.534
2001-04-25,355.545
2001-04-26,355.802
2001-04-27,356.626
2001-04-30,355.189
2001-05-01,356.117
2001-05-02,360.554
2001-05-03,356.922
2001-05-04,357.678
2001-05-07,358.416
2001-05-08,359.361
2001-05-09,359.725
2001-05-10,362.236
2001-05-11,355.302
2001-05-14,353.291
2001-05-15,355.769
2001-05-16,361.617
2001-05-17,366.328
2001-05-18,367.252
2001-05-21,367.665
2001-05-22,370.741
2001-05-23,367.842
2001-05-24,368.055
2001-05-25,365.864
2001-05-28,366.207
2001-05-29,364.433
2001-05-30,357.578
2001-05-31,358.972
2001-06-01,366.088
2001-06-04,368.862
2001-06-05,366.49
2001-06-06,365.85
2001-06-07,367.434
2001-06-08,365.16
2001-06-11,363.956
2001-06-12,362.243
2001-06-13,360.399
2001-06-14,355.868
2001-06-15,349.831
2001-06-18,343.81
2001-06-19,343.894
2001-06-20,343.074
2001-06-21,345.629
2001-06-22,348.547
2001-06-25,348.279
2001-06-26,344.431
2001-06-27,340.208
2001-06-28,340.985
2001-06-29,348.596
2001-07-02,349.125
2001-07-03,351.654
2001-07-04,349.97
2001-07-05,347.179
2001-07-06,340.917
2001-07-09,342.757
2001-07-10,339.506
2001-07-11,338.059
2001-07-12,343.053
2001-07-13,344.582
2001-07-16,338.183
2001-07-17,341.633
2001-07-18,338.764
2001-07-19,339.708
2001-07-20,339.336
2001-07-23,338.237
2001-07-24,338.023
2001-07-25,340.296
2001-07-26,340.481
2001-07-27,343.964
2001-07-30,343.345
2001-07-31,346.269
2001-08-01,346.081
2001-08-02,345.462
2001-08-03,345.57
2001-08-06,347.448
2001-08-07,348.569
2001-08-08,343.251
2001-08-09,343.672
2001-08-10,340.548
2001-08-13,340.514
2001-08-14,338.662
2001-08-15,337.022
2001-08-16,339.035
2001-08-17,333.856
2001-08-20,333.933
2001-08-21,330.091
2001-08-22,335.146
2001-08-23,335.681
2001-08-24,340.793
2001-08-27,342.216
2001-08-28,338.545
2001-08-29,333.608
2001-08-30,330.39
2001-08-31,327.656
2001-09-03,327.34
2001-09-04,331.266
2001-09-05,328.721
2001-09-06,329.465
2001-09-07,326.372
2001-09-10,325.727
2001-09-11,312.886
2001-09-12,315.496
2001-09-13,315.622
2001-09-14,306.868
2001-09-17,305.589
2001-09-18,300.864
2001-09-19,296.304
2001-09-20,288.039
2001-09-21,287.143
2001-09-24,294.066
2001-09-25,296.659
2001-09-26,292.872
2001-09-27,293.057
2001-09-28,299.654
2001-10-01,298.751
2001-10-02,302.759
2001-10-03,306.45
2001-10-04,305.066
2001-10-05,305.693
2001-10-08,306.113
2001-10-09,304.606
2001-10-10,307.521
2001-10-11,311.865
2001-10-12,310.377
2001-10-15,308.557
2001-10-16,310.292
2001-10-17,304.562
2001-10-18,300.102
2001-10-19,300.309
2001-10-22,300.855
2001-10-23,302.28
2001-10-24,300.749
2001-10-25,302.233
2001-10-26,305.735
2001-10-29,300.464
2001-10-30,295.845
2001-10-31,297.002
2001-11-01,300.754
2001-11-02,302.992
2001-11-05,305.111
2001-11-06,307.84
2001-11-07,308.066
2001-11-08,307.47
2001-11-09,309.839
2001-11-12,310.106
2001-11-13,316.346
2001-11-14,318.244
2001-11-15,313.6
2001-11-16,315.81
2001-11-19,322.275
2001-11-20,318.69
2001-11-21,313.77
2001-11-22,316.75
2001-11-23,318.75
2001-11-26,319.691
2001-11-27,320.968
2001-11-28,319.217
2001-11-29,321.641
2001-11-30,324.22
2001-12-03,320.425
2001-12-04,325.489
2001-12-05,332.998
2001-12-06,331.855
2001-12-07,331.87
2001-12-10,328.508
2001-12-11,327.659
2001-12-12,331.384
2001-12-13,325.198
2001-12-14,324.657
2001-12-17,329.618
2001-12-18,329.931
2001-12-19,326.535
2001-12-20,323.352
2001-12-21,324.065
2001-12-24,322.24
2001-12-25,322.24
2001-12-26,322.16
2001-12-27,326.521
2001-12-28,328.153
2001-12-31,328.645
2002-01-01,328.645
2002-01-02,326.123
2002-01-03,331.568
2002-01-04,333.214
2002-01-07,334.462
2002-01-08,329.912
2002-01-09,328.776
2002-01-10,325.044
2002-01-11,325.788
2002-01-14,322.208
2002-01-15,324.322
2002-01-16,321.417
2002-01-17,320.587
2002-01-18,318.331
2002-01-21,316.849
2002-01-22,317.105
2002-01-23,319.215
2002-01-24,322.656
2002-01-25,321.619
2002-01-28,320.066
2002-01-29,320.678
2002-01-30,319.767
2002-01-31,324.614
2002-02-01,325.549
2002-02-04,320.107
2002-02-05,316.005
2002-02-06,314.264
2002-02-07,313.317
2002-02-08,316.923
2002-02-11,321.622
2002-02-12,318.303
2002-02-13,318.466
2002-02-14,316.696
2002-02-15,316.385
2002-02-18,318.565
2002-02-19,314.918
2002-02-20,313.148
2002-02-21,312.246
2002-02-22,312.309
2002-02-25,314.869
2002-02-26,315.685
2002-02-27,319.981
2002-02-28,320.586
2002-03-01,326.202
2002-03-04,333.851
2002-03-05,332.881
2002-03-06,337.856
2002-03-07,340.72
2002-03-08,336.18
2002-03-11,336.634
2002-03-12,333.071
2002-03-13,332.914
2002-03-14,330.344
2002-03-15,333.472
2002-03-18,335.803
2002-03-19,337.635
2002-03-20,337.006
2002-03-21,333.817
2002-03-22,333.918
2002-03-25,326.807
2002-03-26,326.208
2002-03-27,328.902
2002-03-28,330.128
2002-03-29,330.128
2002-04-01,330.571
2002-04-02,331.767
2002-04-03,330.849
2002-04-04,328.042
2002-04-05,328.388
2002-04-08,324.967
2002-04-09,324.389
2002-04-10,328.176
2002-04-11,323.981
2002-04-12,325.78
2002-04-15,327.311
2002-04-16,333.005
2002-04-17,334.378
2002-04-18,332.362
2002-04-19,336.604
2002-04-22,332.945
2002-04-23,327.924
2002-04-24,329.475
2002-04-25,330.103
2002-04-26,327.021
2002-04-29,324.128
2002-04-30,327.845
2002-05-01,329.551
2002-05-02,329.811
2002-05-03,328.992
2002-05-06,323.97
2002-05-07,322.568
2002-05-08,329.425
2002-05-09,327.054
2002-05-10,327.656
2002-05-13,329.418
2002-05-14,332.401
2002-05-15,332.022
2002-05-16,334.026
2002-05-17,335.875
2002-05-20,336.256
2002-05-21,334.63
2002-05-22,332.458
2002-05-23,336.388
2002-05-24,334.048
2002-05-27,334.344
2002-05-28,334.098
2002-05-29,330.093
2002-05-30,329.217
2002-05-31,333.559
2002-06-03,330.225
2002-06-04,327.225
2002-06-05,324.043
2002-06-06,322.518
2002-06-07,322.75
2002-06-10,322.115
2002-06-11,318.553
2002-06-12,317.225
2002-06-13,313.843
2002-06-14,310.563
2002-06-17,317.68
2002-06-18,316.468
2002-06-19,314.712
2002-06-20,314.744
2002-06-21,311.886
2002-06-24,312.27
2002-06-25,312.309
2002-06-26,308.268
2002-06-27,313.237
2002-06-28,315.02
2002-07-01,315.539
2002-07-02,307.361
2002-07-03,306.504
2002-07-04,307.006
2002-07-05,312.432
2002-07-08,311.601
2002-07-09,308.884
2002-07-10,302.259
2002-07-11,299.66
2002-07-12,296.257
2002-07-15,289.467
2002-07-16,290.494
2002-07-17,289.154
2002-07-18,289.959
2002-07-19,282.414
2002-07-22,271.905
2002-07-23,258.918
2002-07-24,271.068
2002-07-25,268.448
2002-07-26,268.94
2002-07-29,277.578
2002-07-30,278.865
2002-07-31,281.763
2002-08-01,279.076
2002-08-02,277.593
2002-08-05,276.592
2002-08-06,276.74
2002-08-07,277.938
2002-08-08,283.905
2002-08-09,287.099
2002-08-12,282.709
2002-08-13,281.649
2002-08-14,284.389
2002-08-15,284.089
2002-08-16,284.269
2002-08-19,287.092
2002-08-20,286.232
2002-08-21,289.381
2002-08-22,292.727
2002-08-23,286.216
2002-08-26,289.935
2002-08-27,288.099
2002-08-28,284.396
2002-08-29,283.887
2002-08-30,285.622
2002-09-02,286.458
2002-09-03,278.835
2002-09-04,280.408
2002-09-05,277.87
2002-09-06,278.322
2002-09-09,280.822
2002-09-10,280.452
2002-09-11,282.73
2002-09-12,276.407
2002-09-13,275.456
2002-09-16,276.473
2002-09-17,271.788
2002-09-18,266.101
2002-09-19,262.466
2002-09-20,262.727
2002-09-23,255.758
2002-09-24,255.52
2002-09-25,261.102
2002-09-26,262.237
2002-09-27,257.951
2002-09-30,260.403
2002-10-01,262.029
2002-10-02,256.582
2002-10-03,251.341
2002-10-04,247.308
2002-10-07,243.798
2002-10-08,245.643
2002-10-09,239.583
2002-10-10,246.404
2002-10-11,254.881
2002-10-14,255.38
2002-10-15,267.295
2002-10-16,264.748
2002-10-17,271.936
2002-10-18,274.795
2002-10-21,277.525
2002-10-22,272.445
2002-10-23,274.572
2002-10-24,276.443
2002-10-25,277.951
2002-10-28,280.065
2002-10-29,272.773
2002-10-30,274.038
2002-10-31,269.029
2002-11-01,273.388
2002-11-04,279.591
2002-11-05,277.73
2002-11-06,279.41
2002-11-07,277.227
2002-11-08,275.348
2002-11-11,269.915
2002-11-12,271.347
2002-11-13,269.67
2002-11-14,273.879
2002-11-15,276.821
2002-11-18,277.349
2002-11-19,275.547
2002-11-20,279.642
2002-11-21,284.64
2002-11-22,284.264
2002-11-25,287.143
2002-11-26,280.978
2002-11-27,286.255
2002-11-28,288.095
2002-11-29,285.292
2002-12-02,292.398
2002-12-03,291.875
2002-12-04,290.461
2002-12-05,286.52
2002-12-06,287.164
2002-12-09,283.431
2002-12-10,289.327
2002-12-11,289.753
2002-12-12,291.896
2002-12-13,292.058
2002-12-16,294.556
2002-12-17,291.666
2002-12-18,287.69
2002-12-19,286.776
2002-12-20,286.446
2002-12-23,291.233
2002-12-24,290.446
2002-12-25,290.446
2002-12-26,289.782
2002-12-27,285.083
2002-12-30,284.702
2002-12-31,284.143
2003-01-01,284.143
2003-01-02,291.939
2003-01-03,295.026
2003-01-06,300.228
2003-01-07,298.178
2003-01-08,292.409
2003-01-09,295.989
2003-01-10,299.529
2003-01-13,301.572
2003-01-14,302.109
2003-01-15,301.496
2003-01-16,302.638
2003-01-17,300.366
2003-01-20,300.236
2003-01-21,297.218
2003-01-22,299.105
2003-01-23,301.896
2003-01-24,299.023
2003-01-27,293.192
2003-01-28,291.858
2003-01-29,294.693
2003-01-30,292.384
2003-01-31,293.054
2003-02-03,297.645
2003-02-04,295.842
2003-02-05,294.315
2003-02-06,292.619
2003-02-07,292.867
2003-02-10,289.975
2003-02-11,290.501
2003-02-12,290.538
2003-02-13,292.403
2003-02-14,294.789
2003-02-17,298.914
2003-02-18,301.348
2003-02-19,299.914
2003-02-20,302.16
2003-02-21,302.191
2003-02-24,301.45
2003-02-25,303.162
2003-02-26,303.003
2003-02-27,308.128
2003-02-28,307.216
2003-03-03,304.561
2003-03-04,303.652
2003-03-05,303.96
2003-03-06,300.956
2003-03-07,305.63
2003-03-10,301.431
2003-03-11,300.826
2003-03-12,296.976
2003-03-13,298.383
2003-03-14,297.574
2003-03-17,304.406
2003-03-18,305.84
2003-03-19,306.629
2003-03-20,308.57
2003-03-21,308.601
2003-03-24,303.166
2003-03-25,305.288
2003-03-26,304.418
2003-03-27,305.814
2003-03-28,306.593
2003-03-31,303.893
2003-04-01,304.079
2003-04-02,306.213
2003-04-03,306.121
2003-04-04,305.7
2003-04-07,305.868
2003-04-08,308.955
2003-04-09,308.428
2003-04-10,311.273
2003-04-11,312.886
2003-04-14,315.127
2003-04-15,316.096
2003-04-16,315.789
2003-04-17,317.42
2003-04-18,317.42
2003-04-21,319.074
2003-04-22,321.122
2003-04-23,321.443
2003-04-24,317.743
2003-04-25,316.645
2003-04-28,318.623
2003-04-29,318.43
2003-04-30,322.669
2003-05-01,324.867
2003-05-02,325.508
2003-05-05,329.956
2003-05-06,332.772
2003-05-07,332.338
2003-05-08,332.877
2003-05-09,335.72
2003-05-12,340.795
2003-05-13,339.741
2003-05-14,345.342
2003-05-15,348.052
2003-05-16,349.084
2003-05-19,350.932
2003-05-20,353.542
2003-05-21,353.669
2003-05-22,351.488
2003-05-23,347.475
2003-05-26,348.977
2003-05-27,351.782
2003-05-28,347.703
2003-05-29,350.16
2003-05-30,350.489
2003-06-02,356.043
2003-06-03,353.619
2003-06-04,361.86
2003-06-05,368.273
2003-06-06,365.345
2003-06-09,360.811
2003-06-10,363.476
2003-06-11,369.683
2003-06-12,370.69
2003-06-13,367.6
2003-06-16,373.128
2003-06-17,372.93
2003-06-18,373.074
2003-06-19,367.141
2003-06-20,366.298
2003-06-23,362.21
2003-06-24,360.335
2003-06-25,363.809
2003-06-26,362.512
2003-06-27,360.818
2003-06-30,360.689
2003-07-01,363.255
2003-07-02,365.283
2003-07-03,366.971
2003-07-04,366.147
2003-07-07,367.305
2003-07-08,364.51
2003-07-09,361.741
2003-07-10,357.611
2003-07-11,359.332
2003-07-14,363.026
2003-07-15,358.275
2003-07-16,358.334
2003-07-17,356.52
2003-07-18,354.709
2003-07-21,356.702
2003-07-22,358.336
2003-07-23,360.73
2003-07-24,365.137
2003-07-25,368.847
2003-07-28,367.903
2003-07-29,363.81
2003-07-30,358.852
2003-07-31,358.857
2003-08-01,359.93
2003-08-04,357.737
2003-08-05,356.695
2003-08-06,353.45
2003-08-07,359.256
2003-08-08,363.344
2003-08-11,369.257
2003-08-12,371.967
2003-08-13,372.791
2003-08-14,372.506
2003-08-15,372.243
2003-08-18,372.605
2003-08-19,371.938
2003-08-20,371.919
2003-08-21,370.493
2003-08-22,366.961
2003-08-25,369.04
2003-08-26,371.821
2003-08-27,372.185
2003-08-28,374.613
2003-08-29,376.29
2003-09-01,377.829
2003-09-02,379.248
2003-09-03,380.445
2003-09-04,385.321
2003-09-05,386.73
2003-09-08,387.637
2003-09-09,385.356
2003-09-10,386.121
2003-09-11,385.301
2003-09-12,387.128
2003-09-15,385.394
2003-09-16,388.555
2003-09-17,387.574
2003-09-18,386.739
2003-09-19,391.491
2003-09-22,390.426
2003-09-23,392.677
2003-09-24,391.449
2003-09-25,388.99
2003-09-26,382.847
2003-09-29,383.246
2003-09-30,383.873
2003-10-01,389.527
2003-10-02,392.381
2003-10-03,390.372
2003-10-06,392.795
2003-10-07,397.085
2003-10-08,396.934
2003-10-09,397.552
2003-10-10,402.81
2003-10-13,403.343
2003-10-14,409.444
2003-10-15,411.571
2003-10-16,415.124
