Date,ISRAEL GROWTH Standard (Large+Mid Cap)
2001-01-01,100.284
2001-01-02,88.475
2001-01-03,102.77
2001-01-04,100.355
2001-01-05,90.337
2001-01-08,85.882
2001-01-09,87.96
2001-01-10,90.717
2001-01-11,91.494
2001-01-12,91.443
2001-01-15,92.739
2001-01-16,90.579
2001-01-17,94.096
2001-01-18,99.543
2001-01-19,105.032
2001-01-22,102.157
2001-01-23,104.316
2001-01-24,101.775
2001-01-25,100.721
2001-01-26,106.316
2001-01-29,110.648
2001-01-30,110.784
2001-01-31,104.041
2001-02-01,105.764
2001-02-02,98.633
2001-02-05,100.879
2001-02-06,101.501
2001-02-07,99.871
2001-02-08,96.374
2001-02-09,91.531
2001-02-12,92.242
2001-02-13,91.443
2001-02-14,97.182
2001-02-15,102.48
2001-02-16,98.668
2001-02-19,98.729
2001-02-20,98.188
2001-02-21,93.286
2001-02-22,85.272
2001-02-23,89.283
2001-02-26,90.879
2001-02-27,86.147
2001-02-28,79.01
2001-03-01,84.312
2001-03-02,78.875
2001-03-05,75.201
2001-03-06,79.744
2001-03-07,82.553
2001-03-08,78.894
2001-03-09,79.288
2001-03-12,76.883
2001-03-13,81.239
2001-03-14,79.605
2001-03-15,75.934
2001-03-16,71.568
2001-03-19,69.509
2001-03-20,65.278
2001-03-21,66.548
2001-03-22,67.967
2001-03-23,68.254
2001-03-26,67.207
2001-03-27,69.878
2001-03-28,64.658
2001-03-29,60.404
2001-03-30,62.198
2001-04-02,60.68
2001-04-03,55.76
2001-04-04,56.861
2001-04-05,61.718
2001-04-06,60.553
2001-04-09,64.588
2001-04-10,70.36
2001-04-11,74.256
2001-04-12,75.578
2001-04-13,75.578
2001-04-16,74.693
2001-04-17,77.101
2001-04-18,82.425
2001-04-19,89.02
2001-04-20,85.194
2001-04-23,82.871
2001-04-24,74.824
2001-04-25,76.572
2001-04-26,73.822
2001-04-27,75.549
2001-04-30,73.963
2001-05-01,76.472
2001-05-02,80.226
2001-05-03,77.432
2001-05-04,77.225
2001-05-07,75.488
2001-05-08,78.719
2001-05-09,75.906
2001-05-10,73.732
2001-05-11,71.161
2001-05-14,69.477
2001-05-15,68.382
2001-05-16,67.19
2001-05-17,69.753
2001-05-18,69.129
2001-05-21,74.427
2001-05-22,75.358
2001-05-23,71.629
2001-05-24,74.314
2001-05-25,73.112
2001-05-28,73.07
2001-05-29,71.91
2001-05-30,68.069
2001-05-31,67.77
2001-06-01,68.772
2001-06-04,65.836
2001-06-05,64.539
2001-06-06,65.851
2001-06-07,68.071
2001-06-08,66.77
2001-06-11,63.266
2001-06-12,63.551
2001-06-13,61.439
2001-06-14,63.043
2001-06-15,63.384
2001-06-18,63.169
2001-06-19,64.34
2001-06-20,66.829
2001-06-21,66.588
2001-06-22,66.7
2001-06-25,65.716
2001-06-26,67.519
2001-06-27,69.043
2001-06-28,67.196
2001-06-29,67.947
2001-07-02,68.11
2001-07-03,62.881
2001-07-04,62.73
2001-07-05,63.127
2001-07-06,61.807
2001-07-09,62.607
2001-07-10,61.477
2001-07-11,59.046
2001-07-12,64.221
2001-07-13,62.086
2001-07-16,60.645
2001-07-17,62.948
2001-07-18,59.947
2001-07-19,60.59
2001-07-20,57.078
2001-07-23,58.529
2001-07-24,59.679
2001-07-25,61.282
2001-07-26,64.173
2001-07-27,66.24
2001-07-30,65.794
2001-07-31,67.162
2001-08-01,68.227
2001-08-02,66.822
2001-08-03,64.874
2001-08-06,65.538
2001-08-07,64.026
2001-08-08,62.184
2001-08-09,62.829
2001-08-10,61.825
2001-08-13,62.668
2001-08-14,61.432
2001-08-15,60.779
2001-08-16,61.71
2001-08-17,60.164
2001-08-20,60.285
2001-08-21,59.479
2001-08-22,59.84
2001-08-23,57.49
2001-08-24,59.091
2001-08-27,59.84
2001-08-28,58.418
2001-08-29,57.031
2001-08-30,56.042
2001-08-31,56.504
2001-09-03,56.894
2001-09-04,55.313
2001-09-05,55.374
2001-09-06,54.742
2001-09-07,55.167
2001-09-10,56.569
2001-09-11,55.433
2001-09-12,54.749
2001-09-13,55.357
2001-09-14,55.374
2001-09-17,53.247
2001-09-18,52.174
2001-09-19,50.46
2001-09-20,45.959
2001-09-21,44.711
2001-09-24,46.329
2001-09-25,45.13
2001-09-26,43.266
2001-09-27,42.503
2001-09-28,43.604
2001-10-01,43.716
2001-10-02,45.32
2001-10-03,49.065
2001-10-04,50.221
2001-10-05,50.125
2001-10-08,50.38
2001-10-09,49.26
2001-10-10,51.088
2001-10-11,54.729
2001-10-12,54.627
2001-10-15,52.756
2001-10-16,55.225
2001-10-17,52.894
2001-10-18,54.199
2001-10-19,52.687
2001-10-22,52.786
2001-10-23,52.378
2001-10-24,53.466
2001-10-25,54.769
2001-10-26,53.837
2001-10-29,52.647
2001-10-30,51.904
2001-10-31,51.888
2001-11-01,52.153
2001-11-02,51.83
2001-11-05,53.894
2001-11-06,55.39
2001-11-07,54.824
2001-11-08,54.581
2001-11-09,56.002
2001-11-12,57.401
2001-11-13,59.957
2001-11-14,58.251
2001-11-15,58.028
2001-11-16,57.25
2001-11-19,59.984
2001-11-20,56.128
2001-11-21,56.839
2001-11-22,56.92
2001-11-23,56.742
2001-11-26,57.601
2001-11-27,58.446
2001-11-28,56.804
2001-11-29,58.569
2001-11-30,57.263
2001-12-03,55.427
2001-12-04,57.274
2001-12-05,59.294
2001-12-06,58.615
