Date,ISRAEL GROWTH Standard (Large+Mid Cap)
1996-12-31,100.0
1997-01-31,113.672
1997-02-28,119.632
1997-03-31,108.345
1997-04-30,110.368
1997-05-30,123.368
1997-06-30,132.353
1997-07-31,135.194
1997-08-29,127.559
1997-09-30,134.699
1997-10-31,118.297
1997-11-28,119.408
1997-12-31,116.12
1998-01-30,107.981
1998-02-27,113.57
1998-03-31,117.317
1998-04-30,117.161
1998-05-29,121.079
1998-06-30,121.267
1998-07-31,116.546
1998-08-31,104.297
1998-09-30,99.82
1998-10-30,103.124
1998-11-30,111.168
1998-12-31,115.121
1999-01-29,122.153
1999-02-26,120.881
1999-03-31,130.92
1999-04-30,129.524
1999-05-31,132.13
1999-06-30,132.485
1999-07-30,130.054
1999-08-31,119.974
1999-09-30,123.334
1999-10-29,134.03
1999-11-30,150.018
1999-12-31,188.696
2000-01-31,187.311
2000-02-29,268.794
2000-03-31,233.04
2000-04-28,230.312
2000-05-31,247.318
2000-06-30,271.145
2000-07-31,287.729
2000-08-31,339.424
2000-09-29,370.52
2000-10-31,350.43
2000-11-30,263.833
2000-12-29,316.057
2001-01-31,328.829
2001-02-28,249.716
2001-03-30,196.6
2001-04-30,233.786
2001-05-31,214.231
2001-06-29,214.791
2001-07-31,212.309
2001-08-31,178.64
2001-09-28,137.857
2001-10-31,164.045
2001-11-30,181.062
2001-12-31,186.983
2002-01-31,179.957
2002-02-28,150.174
2002-03-29,154.197
2002-04-30,123.68
2002-05-31,134.788
2002-06-28,128.221
2002-07-31,133.023
2002-08-30,134.812
2002-09-30,129.151
2002-10-31,139.061
2002-11-29,154.559
2002-12-31,145.733
2003-01-31,148.678
2003-02-28,147.428
2003-03-31,165.261
2003-04-30,186.671
2003-05-30,194.398
2003-06-30,218.246
2003-07-31,210.694
2003-08-29,216.393
2003-09-30,209.965
2003-10-31,216.687
2003-11-28,223.955
2003-12-31,212.753
2004-01-30,232.827
2004-02-27,243.97
2004-03-31,239.836
2004-04-30,243.352
2004-05-31,244.637
2004-06-30,254.717
2004-07-30,221.028
2004-08-31,208.895
2004-09-30,198.925
2004-10-29,197.14
2004-11-30,212.522
2004-12-31,228.088
2005-01-31,218.95
2005-02-28,227.198
2005-03-31,230.819
2005-04-29,230.29
2005-05-31,245.906
2005-06-30,228.989
2005-07-29,236.604
2005-08-31,238.502
2005-09-30,250.392
2005-10-31,272.498
2005-11-30,297.852
2005-12-30,312.589
2006-01-31,306.548
2006-02-28,300.182
2006-03-31,293.729
2006-04-28,299.054
2006-05-31,268.429
2006-06-30,241.79
2006-07-31,248.297
2006-08-31,261.157
2006-09-29,258.712
2006-10-31,262.633
2006-11-30,267.336
2006-12-29,262.631
2007-01-31,282.756
2007-02-28,289.642
2007-03-30,300.751
2007-04-30,324.227
2007-05-31,332.918
2007-06-29,335.522
2007-07-31,346.151
2007-08-31,339.657
2007-09-28,364.337
2007-10-31,379.035
2007-11-30,371.529
2007-12-31,391.939
