Date,ISRAEL GROWTH Standard (Large+Mid Cap)
2001-01-01,316.954
2001-01-02,279.632
2001-01-03,324.813
2001-01-04,317.178
2001-01-05,285.517
2001-01-08,271.435
2001-01-09,278.005
2001-01-10,286.718
2001-01-11,289.174
2001-01-12,289.011
2001-01-15,293.109
2001-01-16,286.282
2001-01-17,297.396
2001-01-18,314.613
2001-01-19,331.963
2001-01-22,322.875
2001-01-23,329.7
2001-01-24,321.669
2001-01-25,318.336
2001-01-26,336.02
2001-01-29,349.712
2001-01-30,350.142
2001-01-31,328.829
2001-02-01,334.274
2001-02-02,311.735
2001-02-05,318.835
2001-02-06,320.8
2001-02-07,315.65
2001-02-08,304.598
2001-02-09,289.291
2001-02-12,291.538
2001-02-13,289.013
2001-02-14,307.152
2001-02-15,323.894
2001-02-16,311.847
2001-02-19,312.039
2001-02-20,310.33
2001-02-21,294.836
2001-02-22,269.508
2001-02-23,282.184
2001-02-26,287.231
2001-02-27,272.274
2001-02-28,249.716
2001-03-01,266.474
2001-03-02,249.29
2001-03-05,237.678
2001-03-06,252.036
2001-03-07,260.915
2001-03-08,249.351
2001-03-09,250.597
2001-03-12,242.995
2001-03-13,256.785
2001-03-14,251.621
2001-03-15,240.018
2001-03-16,226.216
2001-03-19,219.709
2001-03-20,206.336
2001-03-21,210.349
2001-03-22,214.832
2001-03-23,215.742
2001-03-26,212.432
2001-03-27,220.876
2001-03-28,204.373
2001-03-29,190.928
2001-03-30,196.6
2001-04-02,191.802
2001-04-03,176.25
2001-04-04,179.728
2001-04-05,195.082
2001-04-06,191.399
2001-04-09,204.153
2001-04-10,222.399
2001-04-11,234.713
2001-04-12,238.891
2001-04-13,238.891
2001-04-16,236.094
2001-04-17,243.706
2001-04-18,260.533
2001-04-19,281.38
2001-04-20,269.288
2001-04-23,261.943
2001-04-24,236.507
2001-04-25,242.033
2001-04-26,233.34
2001-04-27,238.799
2001-04-30,233.786
2001-05-01,241.716
2001-05-02,253.584
2001-05-03,244.752
2001-05-04,244.098
2001-05-07,238.608
2001-05-08,248.821
2001-05-09,239.927
2001-05-10,233.056
2001-05-11,224.93
2001-05-14,219.608
2001-05-15,216.146
2001-05-16,212.379
2001-05-17,220.479
2001-05-18,218.506
2001-05-21,235.252
2001-05-22,238.219
2001-05-23,226.431
2001-05-24,234.919
2001-05-25,231.118
2001-05-28,230.986
2001-05-29,227.319
2001-05-30,215.176
2001-05-31,214.231
2001-06-01,217.399
2001-06-04,208.119
2001-06-05,204.019
2001-06-06,208.165
2001-06-07,215.183
2001-06-08,211.071
2001-06-11,199.995
2001-06-12,200.894
2001-06-13,194.22
2001-06-14,199.29
2001-06-15,200.368
2001-06-18,199.688
2001-06-19,203.389
2001-06-20,211.257
2001-06-21,210.495
2001-06-22,210.851
2001-06-25,207.739
2001-06-26,213.437
2001-06-27,218.257
2001-06-28,212.417
2001-06-29,214.791
2001-07-02,215.307
2001-07-03,198.776
2001-07-04,198.301
2001-07-05,199.555
2001-07-06,195.383
2001-07-09,197.91
2001-07-10,194.337
2001-07-11,186.654
2001-07-12,203.013
2001-07-13,196.265
2001-07-16,191.709
2001-07-17,198.99
2001-07-18,189.503
2001-07-19,191.534
2001-07-20,180.433
2001-07-23,185.021
2001-07-24,188.655
2001-07-25,193.724
2001-07-26,202.861
2001-07-27,209.394
2001-07-30,207.984
2001-07-31,212.309
2001-08-01,215.678
2001-08-02,211.235
2001-08-03,205.078
2001-08-06,207.177
2001-08-07,202.396
2001-08-08,196.574
2001-08-09,198.612
2001-08-10,195.439
2001-08-13,198.105
2001-08-14,194.197
2001-08-15,192.132
2001-08-16,195.074
2001-08-17,190.188
2001-08-20,190.571
2001-08-21,188.024
2001-08-22,189.188
2001-08-23,181.757
2001-08-24,186.818
2001-08-27,189.187
2001-08-28,184.69
2001-08-29,180.306
2001-08-30,177.179
2001-08-31,178.64
2001-09-03,179.872
2001-09-04,174.876
2001-09-05,175.067
2001-09-06,173.071
2001-09-07,174.412
2001-09-10,178.846
2001-09-11,175.255
2001-09-12,173.092
2001-09-13,175.013
2001-09-14,175.067
2001-09-17,168.342
2001-09-18,164.952
2001-09-19,159.531
2001-09-20,145.301
2001-09-21,141.355
2001-09-24,146.471
2001-09-25,142.681
2001-09-26,136.788
2001-09-27,134.376
2001-09-28,137.857
2001-10-01,138.209
2001-10-02,143.281
2001-10-03,155.12
2001-10-04,158.777
2001-10-05,158.474
2001-10-08,159.278
2001-10-09,155.737
2001-10-10,161.516
2001-10-11,173.03
2001-10-12,172.706
2001-10-15,166.792
2001-10-16,174.596
2001-10-17,167.226
2001-10-18,171.353
2001-10-19,166.573
2001-10-22,166.886
2001-10-23,165.595
2001-10-24,169.035
2001-10-25,173.154
2001-10-26,170.209
2001-10-29,166.446
2001-10-30,164.097
2001-10-31,164.045
2001-11-01,164.883
2001-11-02,163.862
2001-11-05,170.387
2001-11-06,175.117
2001-11-07,173.33
2001-11-08,172.56
2001-11-09,177.053
2001-11-12,181.475
2001-11-13,189.556
2001-11-14,184.164
2001-11-15,183.459
2001-11-16,180.999
2001-11-19,189.643
2001-11-20,177.451
2001-11-21,179.723
2001-11-22,179.979
2001-11-23,179.416
2001-11-26,182.13
2001-11-27,184.804
2001-11-28,179.612
2001-11-29,185.19
2001-11-30,181.062
2001-12-03,175.257
2001-12-04,181.097
2001-12-05,187.483
2001-12-06,185.336
2001-12-07,182.524
2001-12-10,181.723
2001-12-11,182.914
2001-12-12,185.892
2001-12-13,184.07
2001-12-14,180.51
2001-12-17,191.247
2001-12-18,195.477
2001-12-19,192.111
2001-12-20,181.826
2001-12-21,184.041
2001-12-24,184.598
2001-12-25,184.598
2001-12-26,187.816
2001-12-27,185.357
2001-12-28,186.911
2001-12-31,186.983
2002-01-01,188.308
2002-01-02,190.301
2002-01-03,196.547
2002-01-04,201.85
2002-01-07,208.065
2002-01-08,206.304
2002-01-09,207.994
2002-01-10,206.871
2002-01-11,206.743
2002-01-14,200.71
2002-01-15,187.323
2002-01-16,179.448
2002-01-17,176.194
2002-01-18,178.923
2002-01-21,177.536
2002-01-22,175.871
2002-01-23,175.414
2002-01-24,180.259
2002-01-25,176.812
2002-01-28,177.778
2002-01-29,175.085
2002-01-30,169.751
2002-01-31,179.957
2002-02-01,178.153
2002-02-04,173.324
2002-02-05,168.528
2002-02-06,167.398
2002-02-07,166.24
2002-02-08,170.036
2002-02-11,165.172
2002-02-12,163.913
2002-02-13,165.56
2002-02-14,162.949
2002-02-15,160.509
2002-02-18,158.415
2002-02-19,155.079
2002-02-20,154.964
2002-02-21,151.14
2002-02-22,153.438
2002-02-25,156.473
2002-02-26,159.313
2002-02-27,155.263
2002-02-28,150.174
2002-03-01,155.039
2002-03-04,166.369
2002-03-05,166.508
2002-03-06,164.033
2002-03-07,166.328
2002-03-08,169.702
2002-03-11,170.963
2002-03-12,164.94
2002-03-13,161.795
2002-03-14,162.731
2002-03-15,159.828
2002-03-18,164.944
2002-03-19,163.44
2002-03-20,156.178
2002-03-21,161.368
2002-03-22,157.92
2002-03-25,159.062
2002-03-26,156.28
2002-03-27,155.884
2002-03-28,154.197
2002-03-29,154.197
2002-04-01,148.513
2002-04-02,145.018
2002-04-03,143.647
2002-04-04,129.904
2002-04-05,130.772
2002-04-08,132.852
2002-04-09,130.664
2002-04-10,131.132
2002-04-11,130.29
2002-04-12,130.332
2002-04-15,132.613
2002-04-16,133.024
2002-04-17,130.812
2002-04-18,132.152
2002-04-19,131.521
2002-04-22,127.709
2002-04-23,124.453
2002-04-24,123.625
2002-04-25,124.858
2002-04-26,121.675
2002-04-29,120.302
2002-04-30,123.68
2002-05-01,123.059
2002-05-02,122.407
2002-05-03,121.861
2002-05-06,122.475
2002-05-07,125.536
2002-05-08,131.108
2002-05-09,129.246
2002-05-10,127.285
2002-05-13,128.956
2002-05-14,134.496
2002-05-15,132.882
2002-05-16,134.431
2002-05-17,135.632
2002-05-20,139.884
2002-05-21,139.522
2002-05-22,135.681
2002-05-23,137.307
2002-05-24,137.349
2002-05-27,138.313
2002-05-28,137.542
2002-05-29,135.786
2002-05-30,136.071
2002-05-31,134.788
2002-06-03,134.609
2002-06-04,137.231
2002-06-05,135.627
2002-06-06,133.86
2002-06-07,132.886
2002-06-10,130.52
2002-06-11,127.977
2002-06-12,125.777
2002-06-13,127.43
2002-06-14,127.411
2002-06-17,130.424
2002-06-18,131.319
2002-06-19,129.735
2002-06-20,126.834
2002-06-21,126.538
2002-06-24,123.689
2002-06-25,123.315
2002-06-26,122.2
2002-06-27,126.775
2002-06-28,128.221
2002-07-01,125.415
2002-07-02,124.811
2002-07-03,128.244
2002-07-04,127.926
