Date,AUSTRIA IMI VALUE IMI (Large+Mid+Small Cap)
2001-01-01,99.308
2001-01-02,100.21
2001-01-03,99.081
2001-01-04,100.439
2001-01-05,102.731
2001-01-08,102.019
2001-01-09,100.795
2001-01-10,101.182
2001-01-11,101.851
2001-01-12,102.848
2001-01-15,102.741
2001-01-16,102.244
2001-01-17,101.537
2001-01-18,101.646
2001-01-19,100.947
2001-01-22,101.353
2001-01-23,101.077
2001-01-24,98.926
2001-01-25,98.559
2001-01-26,98.775
2001-01-29,99.025
2001-01-30,100.55
2001-01-31,101.777
2001-02-01,105.363
2001-02-02,104.371
2001-02-05,105.441
2001-02-06,104.625
2001-02-07,106.046
2001-02-08,105.0
2001-02-09,104.955
2001-02-12,106.069
2001-02-13,105.362
2001-02-14,104.394
2001-02-15,103.682
2001-02-16,105.933
2001-02-19,106.834
2001-02-20,106.933
2001-02-21,106.754
2001-02-22,106.089
2001-02-23,105.952
2001-02-26,106.142
2001-02-27,108.458
2001-02-28,107.654
2001-03-01,108.866
2001-03-02,109.223
2001-03-05,108.538
2001-03-06,108.997
2001-03-07,110.417
2001-03-08,110.671
2001-03-09,110.05
2001-03-12,109.785
2001-03-13,108.29
2001-03-14,106.453
2001-03-15,105.014
2001-03-16,102.215
2001-03-19,102.209
2001-03-20,102.893
2001-03-21,101.681
2001-03-22,98.212
2001-03-23,100.352
2001-03-26,101.182
2001-03-27,102.274
2001-03-28,101.716
2001-03-29,100.922
2001-03-30,101.939
2001-04-02,101.239
2001-04-03,101.439
2001-04-04,103.717
2001-04-05,104.332
2001-04-06,104.052
2001-04-09,104.91
2001-04-10,104.257
2001-04-11,103.226
2001-04-12,104.134
2001-04-13,104.134
2001-04-16,103.067
2001-04-17,102.95
2001-04-18,103.045
2001-04-19,104.251
2001-04-20,105.947
2001-04-23,105.161
2001-04-24,105.052
2001-04-25,104.972
2001-04-26,106.131
2001-04-27,105.838
2001-04-30,105.268
2001-05-01,105.832
2001-05-02,105.763
2001-05-03,105.076
2001-05-04,104.456
2001-05-07,103.922
2001-05-08,103.522
2001-05-09,103.704
2001-05-10,104.478
2001-05-11,103.961
2001-05-14,103.204
2001-05-15,103.453
2001-05-16,104.708
2001-05-17,105.985
2001-05-18,105.741
2001-05-21,104.642
2001-05-22,103.7
2001-05-23,102.382
2001-05-24,102.007
2001-05-25,101.405
2001-05-28,101.919
2001-05-29,100.951
2001-05-30,102.187
2001-05-31,101.994
2001-06-01,102.712
2001-06-04,102.852
2001-06-05,104.759
2001-06-06,104.715
2001-06-07,104.291
2001-06-08,104.461
2001-06-11,102.844
2001-06-12,104.003
2001-06-13,105.358
2001-06-14,106.286
2001-06-15,105.828
2001-06-18,106.197
2001-06-19,107.142
2001-06-20,106.206
2001-06-21,105.699
2001-06-22,106.685
2001-06-25,107.39
2001-06-26,107.468
2001-06-27,106.484
2001-06-28,104.249
2001-06-29,103.642
2001-07-02,103.675
2001-07-03,103.503
2001-07-04,104.068
2001-07-05,103.22
2001-07-06,103.725
2001-07-09,105.075
2001-07-10,106.622
2001-07-11,106.637
2001-07-12,105.893
2001-07-13,106.096
2001-07-16,106.473
2001-07-17,105.576
2001-07-18,108.093
2001-07-19,108.891
2001-07-20,109.816
2001-07-23,109.7
2001-07-24,110.288
2001-07-25,110.659
2001-07-26,110.261
2001-07-27,109.948
2001-07-30,110.199
2001-07-31,109.476
2001-08-01,110.457
2001-08-02,110.066
2001-08-03,109.984
2001-08-06,109.658
2001-08-07,109.178
2001-08-08,108.974
2001-08-09,109.713
2001-08-10,111.394
2001-08-13,112.743
2001-08-14,111.762
2001-08-15,113.478
2001-08-16,113.648
2001-08-17,113.882
2001-08-20,112.252
2001-08-21,112.655
2001-08-22,113.701
2001-08-23,113.08
2001-08-24,113.212
2001-08-27,112.573
2001-08-28,112.748
2001-08-29,113.136
2001-08-30,112.512
2001-08-31,112.582
2001-09-03,112.039
2001-09-04,110.231
2001-09-05,109.573
2001-09-06,109.22
2001-09-07,110.665
2001-09-10,108.977
2001-09-11,109.151
2001-09-12,108.783
2001-09-13,108.286
2001-09-14,107.934
2001-09-17,107.159
2001-09-18,106.511
2001-09-19,108.435
2001-09-20,106.459
2001-09-21,102.723
2001-09-24,102.921
2001-09-25,104.04
2001-09-26,104.555
2001-09-27,105.013
2001-09-28,104.069
2001-10-01,105.532
2001-10-02,105.23
2001-10-03,105.555
2001-10-04,104.674
2001-10-05,103.556
2001-10-08,103.118
2001-10-09,102.493
2001-10-10,101.255
2001-10-11,101.007
2001-10-12,102.57
2001-10-15,101.968
2001-10-16,102.886
2001-10-17,102.931
2001-10-18,102.59
2001-10-19,99.646
2001-10-22,98.108
2001-10-23,98.441
2001-10-24,98.108
2001-10-25,98.029
2001-10-26,97.597
2001-10-29,98.355
2001-10-30,98.551
2001-10-31,98.64
2001-11-01,99.27
2001-11-02,98.679
2001-11-05,97.763
2001-11-06,98.154
2001-11-07,99.296
2001-11-08,98.844
2001-11-09,98.63
2001-11-12,98.368
2001-11-13,96.881
2001-11-14,98.379
2001-11-15,98.679
2001-11-16,99.272
2001-11-19,98.42
2001-11-20,99.484
2001-11-21,98.835
2001-11-22,99.066
2001-11-23,98.573
2001-11-26,98.616
2001-11-27,99.428
2001-11-28,99.949
2001-11-29,100.635
2001-11-30,102.261
2001-12-03,101.304
2001-12-04,101.77
2001-12-05,102.38
2001-12-06,103.18
2001-12-07,103.546
2001-12-10,103.138
2001-12-11,102.97
2001-12-12,103.929
2001-12-13,104.489
2001-12-14,104.606
2001-12-17,104.672
2001-12-18,104.37
2001-12-19,103.514
2001-12-20,102.61
2001-12-21,102.928
2001-12-24,101.901
2001-12-25,101.901
2001-12-26,101.988
2001-12-27,104.327
2001-12-28,103.09
2001-12-31,104.04
2002-01-01,104.04
2002-01-02,105.586
2002-01-03,105.835
2002-01-04,105.394
2002-01-07,104.166
2002-01-08,103.25
2002-01-09,102.665
2002-01-10,103.373
2002-01-11,102.995
2002-01-14,103.397
2002-01-15,103.568
2002-01-16,102.548
2002-01-17,103.045
2002-01-18,103.331
2002-01-21,104.136
2002-01-22,104.546
2002-01-23,104.708
2002-01-24,104.548
2002-01-25,103.038
2002-01-28,103.39
2002-01-29,103.545
2002-01-30,103.619
2002-01-31,103.784
2002-02-01,104.14
2002-02-04,105.344
2002-02-05,106.132
2002-02-06,106.599
2002-02-07,107.424
2002-02-08,107.936
2002-02-11,109.462
2002-02-12,109.538
2002-02-13,109.721
2002-02-14,109.736
2002-02-15,109.397
2002-02-18,108.638
2002-02-19,110.442
2002-02-20,110.457
2002-02-21,111.019
2002-02-22,112.277
2002-02-25,111.315
2002-02-26,110.564
2002-02-27,109.945
2002-02-28,108.673
2002-03-01,109.263
2002-03-04,111.651
2002-03-05,112.639
2002-03-06,112.404
2002-03-07,112.865
2002-03-08,113.509
2002-03-11,113.402
2002-03-12,112.899
2002-03-13,112.595
2002-03-14,113.173
2002-03-15,113.619
2002-03-18,113.529
2002-03-19,113.965
2002-03-20,114.401
2002-03-21,113.985
2002-03-22,115.14
2002-03-25,115.997
2002-03-26,115.921
2002-03-27,116.216
2002-03-28,116.918
2002-03-29,116.918
2002-04-01,117.876
2002-04-02,118.765
2002-04-03,118.787
2002-04-04,117.648
2002-04-05,118.751
2002-04-08,118.272
2002-04-09,118.311
2002-04-10,119.215
2002-04-11,120.36
2002-04-12,120.411
2002-04-15,121.087
2002-04-16,121.19
2002-04-17,122.498
2002-04-18,123.448
2002-04-19,123.379
2002-04-22,122.299
2002-04-23,122.677
2002-04-24,122.253
2002-04-25,122.895
2002-04-26,122.872
2002-04-29,125.112
2002-04-30,126.178
2002-05-01,126.893
2002-05-02,127.097
2002-05-03,127.984
2002-05-06,128.631
2002-05-07,127.277
2002-05-08,126.756
2002-05-09,126.71
2002-05-10,127.54
2002-05-13,127.989
2002-05-14,126.527
2002-05-15,127.267
2002-05-16,127.693
2002-05-17,129.214
2002-05-20,129.272
2002-05-21,128.58
2002-05-22,129.806
2002-05-23,129.135
2002-05-24,128.978
2002-05-27,128.844
2002-05-28,130.745
2002-05-29,130.735
2002-05-30,131.482
2002-05-31,129.603
2002-06-03,129.734
2002-06-04,129.959
2002-06-05,129.399
2002-06-06,131.819
2002-06-07,131.337
2002-06-10,131.06
2002-06-11,130.101
2002-06-12,130.029
2002-06-13,129.796
2002-06-14,129.433
2002-06-17,127.984
2002-06-18,128.557
2002-06-19,130.549
2002-06-20,130.692
2002-06-21,131.429
2002-06-24,131.645
2002-06-25,132.659
2002-06-26,133.976
2002-06-27,133.817
2002-06-28,134.459
2002-07-01,135.578
2002-07-02,132.488
2002-07-03,131.85
2002-07-04,132.383
2002-07-05,131.13
2002-07-08,133.771
2002-07-09,134.625
2002-07-10,132.135
2002-07-11,131.471
2002-07-12,132.07
2002-07-15,133.549
2002-07-16,130.874
2002-07-17,132.432
2002-07-18,132.596
2002-07-19,131.404
2002-07-22,129.158
2002-07-23,125.987
2002-07-24,122.541
2002-07-25,125.693
2002-07-26,123.624
2002-07-29,121.851
2002-07-30,123.95
2002-07-31,121.205
2002-08-01,121.234
2002-08-02,121.245
2002-08-05,120.333
2002-08-06,117.375
2002-08-07,117.953
2002-08-08,117.879
2002-08-09,119.343
2002-08-12,119.975
2002-08-13,120.603
2002-08-14,122.136
2002-08-15,121.226
2002-08-16,122.954
2002-08-19,122.011
2002-08-20,121.268
2002-08-21,122.681
2002-08-22,122.244
2002-08-23,122.055
2002-08-26,121.694
2002-08-27,122.744
2002-08-28,122.262
2002-08-29,122.295
2002-08-30,122.647
2002-09-02,122.811
2002-09-03,123.268
2002-09-04,123.12
2002-09-05,122.275
2002-09-06,120.302
2002-09-09,121.159
2002-09-10,121.081
2002-09-11,120.202
2002-09-12,119.754
2002-09-13,119.225
2002-09-16,118.044
2002-09-17,117.64
2002-09-18,116.802
2002-09-19,117.633
2002-09-20,116.895
2002-09-23,116.976
2002-09-24,114.354
2002-09-25,115.278
2002-09-26,115.984
2002-09-27,115.719
2002-09-30,118.586
2002-10-01,116.276
2002-10-02,117.66
2002-10-03,117.587
2002-10-04,116.073
2002-10-07,114.69
2002-10-08,113.182
2002-10-09,113.426
2002-10-10,113.548
2002-10-11,115.635
2002-10-14,115.908
2002-10-15,116.743
2002-10-16,117.141
2002-10-17,116.82
2002-10-18,117.145
2002-10-21,117.214
2002-10-22,117.599
2002-10-23,116.804
2002-10-24,117.297
2002-10-25,118.107
2002-10-28,120.705
2002-10-29,121.172
2002-10-30,121.621
2002-10-31,124.082
2002-11-01,124.852
2002-11-04,124.383
2002-11-05,124.479
2002-11-06,124.617
2002-11-07,127.069
2002-11-08,126.606
2002-11-11,125.61
2002-11-12,126.609
2002-11-13,126.319
2002-11-14,125.297
2002-11-15,125.195
2002-11-18,125.568
2002-11-19,126.759
2002-11-20,125.831
2002-11-21,125.362
2002-11-22,125.765
2002-11-25,125.535
2002-11-26,125.069
2002-11-27,124.121
2002-11-28,123.963
2002-11-29,123.414
2002-12-02,124.341
2002-12-03,123.667
2002-12-04,125.976
2002-12-05,125.447
2002-12-06,127.435
2002-12-09,125.704
2002-12-10,127.102
2002-12-11,127.428
2002-12-12,127.9
2002-12-13,128.435
2002-12-16,128.162
2002-12-17,129.562
2002-12-18,129.236
2002-12-19,128.861
2002-12-20,131.011
2002-12-23,132.145
2002-12-24,132.692
