Date,AUSTRIA IMI VALUE IMI (Large+Mid+Small Cap)
2015-09-30,427.531
2015-10-30,466.04
2015-11-30,451.016
2015-12-31,449.361
2016-01-29,402.666
2016-02-29,398.864
2016-03-31,442.366
2016-04-29,458.807
2016-05-31,439.854
2016-06-30,410.662
2016-07-29,441.664
2016-08-31,458.501
2016-09-30,478.388
2016-10-31,486.186
2016-11-30,477.127
2016-12-30,494.96
2017-01-31,516.9
2017-02-28,521.06
2017-03-31,544.386
2017-04-28,591.933
2017-05-31,640.731
2017-06-30,652.518
2017-07-31,706.89
2017-08-31,726.95
2017-09-29,734.213
2017-10-31,746.953
2017-11-30,762.785
2017-12-29,784.089
2018-01-31,846.276
2018-02-28,804.5
2018-03-30,799.845
2018-04-30,808.049
2018-05-31,759.466
2018-06-29,722.102
2018-07-31,759.283
2018-08-31,718.775
2018-09-28,720.704
2018-10-31,659.254
2018-11-30,633.627
2018-12-31,568.895
2019-01-31,616.66
2019-02-28,624.662
2019-03-29,623.952
2019-04-30,655.276
2019-05-31,602.904
2019-06-28,633.82
2019-07-31,620.785
2019-08-30,591.497
2019-09-30,606.638
2019-10-31,649.228
2019-11-29,645.795
2019-12-31,669.847
2020-01-31,632.811
2020-02-28,569.858
2020-03-31,413.062
2020-04-30,450.541
2020-05-29,457.534
2020-06-30,467.993
2020-07-31,461.222
2020-08-31,488.727
2020-09-30,451.159
2020-10-30,434.227
2020-11-30,559.59
2020-12-31,611.854
2021-01-29,630.477
2021-02-26,669.105
2021-03-31,688.468
2021-04-30,717.523
2021-05-31,782.376
2021-06-30,751.13
2021-07-30,765.046
2021-08-31,782.934
2021-09-30,807.097
2021-10-29,822.673
2021-11-30,789.57
2021-12-31,834.482
2022-01-31,823.039
2022-02-28,700.342
2022-03-31,677.846
2022-04-29,644.648
2022-05-31,678.56
2022-06-30,564.185
2022-07-29,574.618
2022-08-31,551.612
2022-09-30,506.711
2022-10-31,572.762
2022-11-30,651.431
2022-12-30,661.717
2023-01-31,740.454
2023-02-28,760.234
2023-03-31,695.266
2023-04-28,727.039
2023-05-31,667.338
2023-06-30,712.619
2023-07-31,742.911
2023-08-31,710.48
2023-09-29,695.623
2023-10-31,673.378
2023-11-30,741.664
2023-12-29,785.848
2024-01-31,797.713
2024-02-29,774.546
2024-03-29,829.355
2024-04-30,835.175
2024-05-31,890.958
2024-06-28,860.901
2024-07-31,907.532
2024-08-30,935.922
2024-09-30,940.601
2024-10-31,896.89
2024-11-29,876.443
2024-12-31,916.542
2025-01-31,961.761
2025-02-28,1048.038
2025-03-31,1092.952
2025-04-30,1151.565
2025-05-30,1289.771
2025-06-30,1351.954
2025-07-31,1373.669
2025-08-29,1431.728
2025-09-30,1452.931
2025-10-31,1497.608
