Date,AUSTRIA IMI VALUE IMI (Large+Mid+Small Cap)
1994-05-31,108.286
1994-06-30,114.722
1994-07-29,116.107
1994-08-31,119.859
1994-09-30,113.459
1994-10-31,114.718
1994-11-30,108.559
1994-12-30,110.38
1995-01-31,105.247
1995-02-28,108.499
1995-03-31,105.323
1995-04-28,102.227
1995-05-31,105.474
1995-06-30,105.573
1995-07-31,107.261
1995-08-31,99.615
1995-09-29,99.504
1995-10-31,97.796
1995-11-30,94.849
1995-12-29,98.087
1996-01-31,101.545
1996-02-29,102.049
1996-03-29,102.467
1996-04-30,102.768
1996-05-31,107.99
1996-06-28,104.169
1996-07-31,102.89
1996-08-30,101.875
1996-09-30,99.734
1996-10-31,101.458
1996-11-29,100.48
1996-12-31,101.807
1997-01-31,96.813
1997-02-28,97.018
1997-03-31,99.116
1997-04-30,94.298
1997-05-30,99.727
1997-06-30,97.744
1997-07-31,99.167
1997-08-29,94.957
1997-09-30,98.979
1997-10-31,98.946
1997-11-28,94.618
1997-12-31,101.431
1998-01-30,106.193
1998-02-27,117.557
1998-03-31,121.68
1998-04-30,131.909
1998-05-29,143.416
1998-06-30,135.8
1998-07-31,139.086
1998-08-31,119.641
1998-09-30,111.437
1998-10-30,120.862
1998-11-30,116.375
1998-12-31,117.237
1999-01-29,109.306
1999-02-26,113.812
1999-03-31,113.819
1999-04-30,119.861
1999-05-31,110.006
1999-06-30,113.632
1999-07-30,113.056
1999-08-31,113.678
1999-09-30,108.067
1999-10-29,108.39
1999-11-30,105.89
1999-12-31,110.275
2000-01-31,103.804
2000-02-29,97.865
2000-03-31,100.807
2000-04-28,97.308
2000-05-31,101.065
2000-06-30,104.505
2000-07-31,103.364
2000-08-31,100.547
2000-09-29,99.52
2000-10-31,94.995
2000-11-30,92.399
2000-12-29,99.308
2001-01-31,101.777
2001-02-28,107.654
2001-03-30,101.939
2001-04-30,105.268
2001-05-31,101.994
2001-06-29,103.642
2001-07-31,109.476
2001-08-31,112.582
2001-09-28,104.069
2001-10-31,98.64
2001-11-30,102.261
2001-12-31,104.04
2002-01-31,103.784
2002-02-28,108.673
2002-03-29,116.918
2002-04-30,126.178
2002-05-31,129.603
2002-06-28,134.459
2002-07-31,121.205
2002-08-30,122.647
2002-09-30,118.586
2002-10-31,124.082
2002-11-29,123.414
2002-12-31,133.501
2003-01-31,138.309
2003-02-28,141.447
2003-03-31,143.222
2003-04-30,156.291
2003-05-30,167.771
2003-06-30,171.958
2003-07-31,171.874
2003-08-29,171.073
2003-09-30,176.229
2003-10-31,180.119
2003-11-28,198.73
2003-12-31,210.943
2004-01-30,230.618
2004-02-27,238.312
2004-03-31,254.821
2004-04-30,249.347
2004-05-31,251.047
2004-06-30,269.718
