Date,AUSTRIA IMI VALUE IMI (Large+Mid+Small Cap)
2001-01-01,103.075
2001-01-02,104.011
2001-01-03,102.839
2001-01-04,104.248
2001-01-05,106.627
2001-01-08,105.888
2001-01-09,104.618
2001-01-10,105.019
2001-01-11,105.714
2001-01-12,106.749
2001-01-15,106.637
2001-01-16,106.121
2001-01-17,105.388
2001-01-18,105.501
2001-01-19,104.775
2001-01-22,105.175
2001-01-23,104.889
2001-01-24,102.657
2001-01-25,102.276
2001-01-26,102.5
2001-01-29,102.76
2001-01-30,104.342
2001-01-31,105.616
2001-02-01,109.336
2001-02-02,108.307
2001-02-05,109.417
2001-02-06,108.57
2001-02-07,110.045
2001-02-08,108.96
2001-02-09,108.913
2001-02-12,110.069
2001-02-13,109.336
2001-02-14,108.331
2001-02-15,107.592
2001-02-16,109.928
2001-02-19,110.863
2001-02-20,110.966
2001-02-21,110.78
2001-02-22,110.09
2001-02-23,109.948
2001-02-26,110.144
2001-02-27,112.548
2001-02-28,111.714
2001-03-01,112.972
2001-03-02,113.342
2001-03-05,112.631
2001-03-06,113.108
2001-03-07,114.581
2001-03-08,114.844
2001-03-09,114.2
2001-03-12,113.925
2001-03-13,112.373
2001-03-14,110.468
2001-03-15,108.975
2001-03-16,106.07
2001-03-19,106.064
2001-03-20,106.773
2001-03-21,105.515
2001-03-22,101.916
2001-03-23,104.137
2001-03-26,104.998
2001-03-27,106.131
2001-03-28,105.552
2001-03-29,104.728
2001-03-30,105.783
2001-04-02,105.057
2001-04-03,105.265
2001-04-04,107.629
2001-04-05,108.267
2001-04-06,107.976
2001-04-09,108.867
2001-04-10,108.189
2001-04-11,107.119
2001-04-12,108.061
2001-04-13,108.061
2001-04-16,106.954
2001-04-17,106.832
2001-04-18,106.931
2001-04-19,108.183
2001-04-20,109.942
2001-04-23,109.127
2001-04-24,109.014
2001-04-25,108.931
2001-04-26,110.134
2001-04-27,109.83
2001-04-30,109.228
2001-05-01,109.813
2001-05-02,109.722
2001-05-03,109.01
2001-05-04,108.366
2001-05-07,107.808
2001-05-08,107.394
2001-05-09,107.582
2001-05-10,108.385
2001-05-11,107.781
2001-05-14,106.984
2001-05-15,107.181
2001-05-16,108.433
2001-05-17,109.725
2001-05-18,109.472
2001-05-21,108.331
2001-05-22,107.339
2001-05-23,105.976
2001-05-24,105.587
2001-05-25,104.904
2001-05-28,105.415
2001-05-29,104.273
2001-05-30,105.544
2001-05-31,105.342
2001-06-01,106.085
2001-06-04,106.229
2001-06-05,108.199
2001-06-06,108.153
2001-06-07,107.715
2001-06-08,107.891
2001-06-11,106.221
2001-06-12,107.417
2001-06-13,108.817
2001-06-14,109.776
2001-06-15,109.303
2001-06-18,109.684
2001-06-19,110.66
2001-06-20,109.693
2001-06-21,109.17
2001-06-22,110.188
2001-06-25,110.875
2001-06-26,110.955
2001-06-27,109.94
2001-06-28,107.632
2001-06-29,107.006
2001-07-02,107.038
2001-07-03,106.86
2001-07-04,107.444
2001-07-05,106.568
2001-07-06,107.09
2001-07-09,108.475
2001-07-10,110.072
2001-07-11,110.087
2001-07-12,109.323
2001-07-13,109.532
2001-07-16,109.922
2001-07-17,108.996
2001-07-18,111.594
2001-07-19,112.418
2001-07-20,113.374
2001-07-23,113.246
2001-07-24,113.854
2001-07-25,114.237
2001-07-26,113.825
2001-07-27,113.502
2001-07-30,113.762
2001-07-31,113.015
2001-08-01,114.028
2001-08-02,113.625
2001-08-03,113.54
2001-08-06,113.203
2001-08-07,112.707
2001-08-08,112.497
2001-08-09,113.26
2001-08-10,114.995
2001-08-13,116.388
2001-08-14,115.375
2001-08-15,117.147
2001-08-16,117.322
2001-08-17,117.563
2001-08-20,115.881
2001-08-21,116.297
2001-08-22,117.376
2001-08-23,116.736
2001-08-24,116.872
2001-08-27,116.212
2001-08-28,116.393
2001-08-29,116.793
2001-08-30,116.149
2001-08-31,116.222
2001-09-03,115.661
2001-09-04,113.794
2001-09-05,113.115
2001-09-06,112.751
2001-09-07,114.243
2001-09-10,112.5
2001-09-11,112.68
2001-09-12,112.299
2001-09-13,111.787
2001-09-14,111.423
2001-09-17,110.624
2001-09-18,109.955
2001-09-19,111.941
2001-09-20,109.9
2001-09-21,106.044
2001-09-24,106.249
2001-09-25,107.403
2001-09-26,107.935
2001-09-27,108.407
2001-09-28,107.434
2001-10-01,108.944
2001-10-02,108.632
2001-10-03,108.968
2001-10-04,108.058
2001-10-05,106.904
2001-10-08,106.451
2001-10-09,105.806
2001-10-10,104.529
2001-10-11,104.273
2001-10-12,105.887
2001-10-15,105.264
2001-10-16,106.212
2001-10-17,106.258
2001-10-18,105.907
2001-10-19,102.868
2001-10-22,101.28
2001-10-23,101.623
2001-10-24,101.28
2001-10-25,101.198
2001-10-26,100.752
2001-10-29,101.535
2001-10-30,101.737
2001-10-31,101.829
2001-11-01,102.48
2001-11-02,101.87
2001-11-05,100.923
2001-11-06,101.327
2001-11-07,102.506
2001-11-08,102.04
2001-11-09,101.819
2001-11-12,101.549
2001-11-13,100.013
2001-11-14,101.56
2001-11-15,101.869
2001-11-16,102.482
2001-11-19,101.602
2001-11-20,102.7
2001-11-21,102.03
2001-11-22,102.269
2001-11-23,101.76
2001-11-26,101.804
2001-11-27,102.642
2001-11-28,103.18
2001-11-29,103.889
2001-11-30,105.567
2001-12-03,104.579
2001-12-04,105.061
2001-12-05,105.69
2001-12-06,106.515
2001-12-07,106.894
2001-12-10,106.472
2001-12-11,106.299
2001-12-12,107.289
2001-12-13,107.867
2001-12-14,107.988
2001-12-17,108.056
2001-12-18,107.744
2001-12-19,106.86
2001-12-20,105.928
2001-12-21,106.255
2001-12-24,105.195
2001-12-25,105.195
2001-12-26,105.285
2001-12-27,107.699
2001-12-28,106.422
2001-12-31,107.403
2002-01-01,107.403
2002-01-02,109.0
2002-01-03,109.257
2002-01-04,108.801
2002-01-07,107.534
2002-01-08,106.588
2002-01-09,105.984
2002-01-10,106.715
2002-01-11,106.325
2002-01-14,106.74
2002-01-15,106.916
2002-01-16,105.863
2002-01-17,106.376
2002-01-18,106.671
2002-01-21,107.484
2002-01-22,107.907
2002-01-23,108.074
2002-01-24,107.909
2002-01-25,106.35
2002-01-28,106.713
2002-01-29,106.873
2002-01-30,106.95
2002-01-31,107.12
2002-02-01,107.487
2002-02-04,108.73
2002-02-05,109.544
2002-02-06,110.025
2002-02-07,110.878
2002-02-08,111.406
2002-02-11,112.981
2002-02-12,113.06
2002-02-13,113.248
2002-02-14,113.264
2002-02-15,112.913
2002-02-18,112.13
2002-02-19,113.992
2002-02-20,114.007
2002-02-21,114.587
2002-02-22,115.886
2002-02-25,114.894
2002-02-26,114.118
2002-02-27,113.479
2002-02-28,112.166
2002-03-01,112.775
2002-03-04,115.24
2002-03-05,116.26
2002-03-06,116.017
2002-03-07,116.493
2002-03-08,117.157
2002-03-11,117.047
2002-03-12,116.528
2002-03-13,116.214
2002-03-14,116.811
2002-03-15,117.271
2002-03-18,117.178
2002-03-19,117.629
2002-03-20,118.079
2002-03-21,117.647
2002-03-22,118.839
2002-03-25,119.723
2002-03-26,119.616
2002-03-27,119.921
2002-03-28,120.645
2002-03-29,120.645
2002-04-01,121.634
2002-04-02,122.552
2002-04-03,122.574
2002-04-04,121.399
2002-04-05,122.537
2002-04-08,122.043
2002-04-09,122.083
2002-04-10,123.016
2002-04-11,124.197
2002-04-12,124.25
2002-04-15,124.947
2002-04-16,125.054
2002-04-17,126.403
2002-04-18,127.383
2002-04-19,127.312
2002-04-22,126.198
2002-04-23,126.577
2002-04-24,126.139
2002-04-25,126.791
2002-04-26,126.768
2002-04-29,129.072
2002-04-30,130.113
2002-05-01,130.849
2002-05-02,131.06
2002-05-03,131.974
2002-05-06,132.641
2002-05-07,131.245
2002-05-08,130.709
2002-05-09,130.66
2002-05-10,131.516
2002-05-13,131.886
2002-05-14,130.317
2002-05-15,131.079
2002-05-16,131.473
2002-05-17,133.039
2002-05-20,133.098
2002-05-21,132.331
2002-05-22,133.584
2002-05-23,132.894
2002-05-24,132.732
2002-05-27,132.589
2002-05-28,134.545
2002-05-29,134.358
2002-05-30,135.126
2002-05-31,133.194
2002-06-03,133.329
2002-06-04,133.56
2002-06-05,132.984
2002-06-06,135.472
2002-06-07,134.976
2002-06-10,134.663
2002-06-11,133.678
2002-06-12,133.604
2002-06-13,133.337
2002-06-14,132.964
2002-06-17,131.475
2002-06-18,132.064
2002-06-19,134.11
2002-06-20,134.257
2002-06-21,135.014
2002-06-24,135.236
2002-06-25,136.278
2002-06-26,137.631
2002-06-27,137.468
2002-06-28,138.127
2002-07-01,139.277
2002-07-02,136.102
2002-07-03,135.447
2002-07-04,135.994
2002-07-05,134.707
2002-07-08,137.42
2002-07-09,138.148
2002-07-10,135.593
2002-07-11,134.911
2002-07-12,135.526
2002-07-15,137.044
2002-07-16,134.299
2002-07-17,135.898
2002-07-18,136.066
2002-07-19,134.843
2002-07-22,132.538
2002-07-23,129.284
2002-07-24,125.748
2002-07-25,128.983
2002-07-26,126.859
2002-07-29,125.04
2002-07-30,127.194
2002-07-31,124.377
2002-08-01,124.407
2002-08-02,124.418
2002-08-05,123.483
2002-08-06,120.447
2002-08-07,121.04
2002-08-08,120.964
2002-08-09,122.466
2002-08-12,123.115
2002-08-13,123.759
2002-08-14,125.332
2002-08-15,124.399
2002-08-16,126.172
2002-08-19,125.204
2002-08-20,124.442
2002-08-21,125.892
2002-08-22,125.443
2002-08-23,125.249
2002-08-26,124.878
2002-08-27,125.957
2002-08-28,125.462
2002-08-29,125.495
2002-08-30,125.857
2002-09-02,126.025
2002-09-03,126.494
2002-09-04,126.342
2002-09-05,125.475
2002-09-06,123.45
2002-09-09,124.33
2002-09-10,124.25
2002-09-11,123.347
2002-09-12,122.888
2002-09-13,122.345
2002-09-16,121.133
2002-09-17,120.719
2002-09-18,119.858
2002-09-19,120.711
2002-09-20,119.955
2002-09-23,120.037
2002-09-24,117.347
2002-09-25,118.295
2002-09-26,119.02
2002-09-27,118.748
2002-09-30,121.689
2002-10-01,119.319
2002-10-02,120.739
2002-10-03,120.664
2002-10-04,119.111
2002-10-07,117.692
2002-10-08,116.144
2002-10-09,116.395
