Date,JAPAN GROWTH Standard (Large+Mid Cap)
2001-01-01,833.566
2001-01-02,831.418
2001-01-03,832.218
2001-01-04,831.669
2001-01-05,834.189
2001-01-08,834.01
2001-01-09,815.795
2001-01-10,810.236
2001-01-11,792.71
2001-01-12,801.446
2001-01-15,806.012
2001-01-16,824.655
2001-01-17,829.824
2001-01-18,839.318
2001-01-19,857.894
2001-01-22,858.015
2001-01-23,851.01
2001-01-24,840.835
2001-01-25,847.267
2001-01-26,840.951
2001-01-29,844.127
2001-01-30,841.076
2001-01-31,845.272
2001-02-01,849.997
2001-02-02,837.747
2001-02-05,826.153
2001-02-06,820.705
2001-02-07,819.907
2001-02-08,812.049
2001-02-09,810.162
2001-02-12,810.162
2001-02-13,805.68
2001-02-14,799.473
2001-02-15,806.886
2001-02-16,805.402
2001-02-19,796.112
2001-02-20,806.453
2001-02-21,788.139
2001-02-22,786.649
2001-02-23,796.575
2001-02-26,794.8
2001-02-27,792.111
2001-02-28,773.502
2001-03-01,757.81
2001-03-02,730.769
2001-03-05,732.221
2001-03-06,751.406
2001-03-07,757.534
2001-03-08,758.557
2001-03-09,758.327
2001-03-12,731.519
2001-03-13,715.662
2001-03-14,712.174
2001-03-15,725.358
2001-03-16,728.236
2001-03-19,734.562
2001-03-20,732.046
2001-03-21,775.228
2001-03-22,757.282
2001-03-23,790.625
2001-03-26,824.459
2001-03-27,819.316
2001-03-28,827.653
2001-03-29,781.86
2001-03-30,763.692
2001-04-02,750.703
2001-04-03,764.305
2001-04-04,769.761
2001-04-05,780.855
2001-04-06,788.874
2001-04-09,757.495
2001-04-10,743.839
2001-04-11,763.993
2001-04-12,777.031
2001-04-13,772.973
2001-04-16,762.328
2001-04-17,761.496
2001-04-18,792.493
2001-04-19,809.855
2001-04-20,799.646
2001-04-23,801.403
2001-04-24,795.185
2001-04-25,799.544
2001-04-26,806.612
2001-04-27,798.499
2001-04-30,800.147
2001-05-01,837.596
2001-05-02,845.877
2001-05-03,852.516
2001-05-04,852.657
2001-05-07,856.26
2001-05-08,838.452
2001-05-09,826.043
2001-05-10,817.789
2001-05-11,820.537
2001-05-14,804.8
2001-05-15,808.377
2001-05-16,790.016
2001-05-17,811.102
2001-05-18,805.435
2001-05-21,819.112
2001-05-22,819.719
2001-05-23,834.918
2001-05-24,826.555
2001-05-25,822.227
2001-05-28,816.871
2001-05-29,828.26
2001-05-30,807.999
2001-05-31,803.538
2001-06-01,802.5
2001-06-04,800.571
2001-06-05,789.334
2001-06-06,788.06
2001-06-07,793.7
2001-06-08,791.934
2001-06-11,777.401
2001-06-12,759.106
2001-06-13,757.076
2001-06-14,764.334
2001-06-15,754.188
2001-06-18,745.138
2001-06-19,744.01
2001-06-20,745.145
2001-06-21,753.614
2001-06-22,760.194
2001-06-25,754.193
2001-06-26,755.871
2001-06-27,748.468
2001-06-28,736.235
2001-06-29,749.591
2001-07-02,746.166
2001-07-03,746.791
2001-07-04,739.432
2001-07-05,728.593
2001-07-06,712.477
2001-07-09,709.587
2001-07-10,713.823
2001-07-11,707.468
2001-07-12,721.471
2001-07-13,715.55
2001-07-16,712.914
2001-07-17,704.111
2001-07-18,695.153
2001-07-19,700.518
2001-07-20,702.766
2001-07-23,683.219
2001-07-24,693.731
2001-07-25,698.746
2001-07-26,695.514
2001-07-27,688.759
2001-07-30,673.928
2001-07-31,689.209
2001-08-01,694.909
2001-08-02,719.061
2001-08-03,712.699
2001-08-06,709.078
2001-08-07,712.69
2001-08-08,710.703
2001-08-09,690.453
2001-08-10,694.763
2001-08-13,681.507
2001-08-14,699.785
2001-08-15,706.363
2001-08-16,688.895
2001-08-17,683.147
2001-08-20,673.12
2001-08-21,676.732
2001-08-22,681.987
2001-08-23,668.214
2001-08-24,671.01
2001-08-27,674.423
2001-08-28,669.797
2001-08-29,663.2
2001-08-30,654.263
2001-08-31,648.407
2001-09-03,631.615
2001-09-04,652.404
2001-09-05,638.125
2001-09-06,636.404
2001-09-07,635.944
2001-09-10,620.08
2001-09-11,636.022
2001-09-12,591.802
2001-09-13,591.748
2001-09-14,614.598
2001-09-17,583.613
2001-09-18,590.941
2001-09-19,604.716
2001-09-20,597.679
2001-09-21,576.157
2001-09-24,571.89
2001-09-25,584.96
2001-09-26,574.587
2001-09-27,569.562
2001-09-28,582.492
2001-10-01,587.31
2001-10-02,597.311
2001-10-03,585.76
2001-10-04,602.485
2001-10-05,609.519
2001-10-08,611.629
2001-10-09,593.727
2001-10-10,591.745
2001-10-11,610.951
2001-10-12,627.879
2001-10-15,618.608
2001-10-16,621.5
2001-10-17,632.841
2001-10-18,619.702
2001-10-19,621.893
2001-10-22,621.354
2001-10-23,631.241
2001-10-24,629.252
2001-10-25,632.033
2001-10-26,622.523
2001-10-29,619.007
2001-10-30,609.613
2001-10-31,597.771
2001-11-01,605.011
2001-11-02,607.907
2001-11-05,613.252
2001-11-06,626.633
2001-11-07,607.87
2001-11-08,617.357
2001-11-09,617.335
2001-11-12,605.727
2001-11-13,595.017
2001-11-14,597.182
2001-11-15,613.702
2001-11-16,619.792
2001-11-19,627.996
2001-11-20,628.817
2001-11-21,627.175
2001-11-22,623.852
2001-11-23,620.995
2001-11-26,637.342
2001-11-27,636.848
2001-11-28,623.783
2001-11-29,621.066
2001-11-30,629.078
2001-12-03,612.371
2001-12-04,612.191
2001-12-05,625.819
2001-12-06,627.662
2001-12-07,617.807
2001-12-10,604.058
2001-12-11,600.716
2001-12-12,616.967
2001-12-13,601.264
2001-12-14,595.731
2001-12-17,583.864
2001-12-18,589.667
2001-12-19,592.684
2001-12-20,595.633
2001-12-21,583.724
2001-12-24,581.906
2001-12-25,578.12
2001-12-26,572.623
2001-12-27,581.591
2001-12-28,592.621
2001-12-31,593.254
2002-01-01,593.254
