Date,PACIFIC MID GROWTH Mid Cap
1994-05-31,970.189
1994-06-30,1020.957
1994-07-29,996.659
1994-08-31,1003.039
1994-09-30,978.916
1994-10-31,992.72
1994-11-30,920.86
1994-12-30,936.904
1995-01-31,871.949
1995-02-28,818.484
1995-03-31,870.888
1995-04-28,906.401
1995-05-31,828.744
1995-06-30,786.972
1995-07-31,845.171
1995-08-31,843.011
1995-09-29,845.59
1995-10-31,807.938
1995-11-30,837.169
1995-12-29,872.817
1996-01-31,879.415
1996-02-29,874.04
1996-03-29,894.463
1996-04-30,953.994
1996-05-31,915.733
1996-06-28,917.274
1996-07-31,866.887
1996-08-30,845.989
1996-09-30,856.461
1996-10-31,811.133
1996-11-29,808.573
1996-12-31,748.985
1997-01-31,698.252
1997-02-28,706.544
1997-03-31,667.011
1997-04-30,685.318
1997-05-30,778.457
1997-06-30,791.117
1997-07-31,759.316
1997-08-29,669.394
1997-09-30,633.338
1997-10-31,586.1
1997-11-28,527.293
1997-12-31,490.706
1998-01-30,515.943
1998-02-27,537.853
1998-03-31,518.248
1998-04-30,509.617
1998-05-29,487.016
1998-06-30,472.403
1998-07-31,475.399
1998-08-31,429.658
1998-09-30,431.466
1998-10-30,481.982
1998-11-30,506.112
1998-12-31,528.914
1999-01-29,533.3
1999-02-26,518.3
1999-03-31,586.678
1999-04-30,624.017
1999-05-31,593.07
1999-06-30,695.033
1999-07-30,759.33
1999-08-31,829.478
1999-09-30,870.139
1999-10-29,921.384
1999-11-30,1035.003
1999-12-31,1071.411
2000-01-31,1023.02
2000-02-29,1025.241
2000-03-31,1030.217
2000-04-28,916.613
2000-05-31,829.92
2000-06-30,900.859
2000-07-31,788.06
2000-08-31,859.529
2000-09-29,812.459
2000-10-31,707.791
2000-11-30,682.008
2000-12-29,629.648
2001-01-31,638.03
2001-02-28,582.835
2001-03-30,559.417
2001-04-30,607.921
2001-05-31,613.117
2001-06-29,584.283
2001-07-31,541.509
2001-08-31,520.736
2001-09-28,468.796
2001-10-31,495.956
2001-11-30,498.189
2001-12-31,472.104
2002-01-31,442.919
2002-02-28,452.463
2002-03-29,482.655
2002-04-30,505.437
2002-05-31,529.055
2002-06-28,501.728
2002-07-31,461.392
2002-08-30,456.174
2002-09-30,423.876
2002-10-31,404.793
2002-11-29,426.859
2002-12-31,412.979
2003-01-31,399.392
2003-02-28,404.509
2003-03-31,390.52
2003-04-30,406.822
2003-05-30,423.199
2003-06-30,449.443
2003-07-31,466.694
2003-08-29,515.581
2003-09-30,547.336
2003-10-31,590.321
2003-11-28,566.177
2003-12-31,603.482
2004-01-30,611.578
2004-02-27,612.868
2004-03-31,672.034
2004-04-30,640.793
2004-05-31,623.165
2004-06-30,659.593
2004-07-30,617.135
2004-08-31,626.547
2004-09-30,622.835
2004-10-29,639.602
2004-11-30,685.389
2004-12-31,714.37
2005-01-31,712.082
2005-02-28,723.205
2005-03-31,711.108
2005-04-29,694.248
2005-05-31,677.436
2005-06-30,694.449
2005-07-29,705.899
2005-08-31,737.338
2005-09-30,796.623
2005-10-31,791.061
2005-11-30,837.524
2005-12-30,915.254
2006-01-31,954.137
2006-02-28,918.7
2006-03-31,953.767
2006-04-28,974.861
2006-05-31,904.962
2006-06-30,890.001
2006-07-31,870.691
2006-08-31,885.774
2006-09-29,887.917
2006-10-31,909.032
2006-11-30,923.424
2006-12-29,934.163
2007-01-31,943.511
2007-02-28,978.028
2007-03-30,988.857
2007-04-30,996.503
2007-05-31,1000.0
2007-06-29,1015.273
2007-07-31,1015.545
2007-08-31,983.518
2007-09-28,1060.11
2007-10-31,1095.093
2007-11-30,1049.548
2007-12-31,1007.979
2008-01-31,923.256
2008-02-29,950.547
2008-03-31,914.182
2008-04-30,972.981
2008-05-30,985.717
2008-06-30,921.672
2008-07-31,874.516
2008-08-29,841.839
2008-09-30,732.385
2008-10-31,582.504
2008-11-28,583.599
2008-12-31,644.966
2009-01-30,586.518
2009-02-27,511.574
2009-03-31,540.895
2009-04-30,577.401
2009-05-29,645.054
2009-06-30,670.787
2009-07-31,703.817
2009-08-31,741.553
2009-09-30,755.994
2009-10-30,736.192
2009-11-30,727.383
2009-12-31,738.475
2010-01-29,716.406
2010-02-26,725.274
2010-03-31,765.104
2010-04-30,771.771
2010-05-31,697.83
2010-06-30,693.366
2010-07-30,727.259
2010-08-31,707.937
2010-09-30,761.982
2010-10-29,770.535
2010-11-30,780.542
2010-12-31,851.459
2011-01-31,847.084
2011-02-28,862.694
2011-03-31,842.952
2011-04-29,861.892
2011-05-31,851.75
2011-06-30,854.103
2011-07-29,876.482
2011-08-31,814.576
2011-09-30,752.512
2011-10-31,786.844
2011-11-30,738.902
2011-12-30,747.888
2012-01-31,786.875
2012-02-29,807.534
2012-03-30,816.075
2012-04-30,811.415
2012-05-31,726.337
2012-06-29,762.423
2012-07-31,771.985
2012-08-31,778.731
2012-09-28,803.217
2012-10-31,797.687
2012-11-30,799.869
2012-12-31,812.443
2013-01-31,845.688
2013-02-28,860.748
2013-03-29,894.094
2013-04-30,939.67
2013-05-31,887.859
2013-06-28,877.975
2013-07-31,876.354
2013-08-30,858.884
2013-09-30,941.289
2013-10-31,947.202
2013-11-29,933.969
2013-12-31,934.949
2014-01-31,906.775
2014-02-28,920.557
2014-03-31,921.127
2014-04-30,906.373
2014-05-30,945.63
2014-06-30,988.686
2014-07-31,1004.695
2014-08-29,1003.275
2014-09-30,968.444
2014-10-31,961.268
2014-11-28,955.7
2014-12-31,949.218
2015-01-30,970.04
2015-02-27,1021.362
2015-03-31,1033.499
2015-04-30,1049.713
2015-05-29,1054.501
2015-06-30,1034.552
2015-07-31,1043.718
2015-08-31,975.549
2015-09-30,924.762
2015-10-30,1008.335
2015-11-30,1024.489
2015-12-31,1028.393
2016-01-29,961.046
2016-02-29,961.5
2016-03-31,1030.214
2016-04-29,1064.892
2016-05-31,1056.288
2016-06-30,1062.982
2016-07-29,1130.529
2016-08-31,1088.263
2016-09-30,1119.137
2016-10-31,1103.296
2016-11-30,1065.631
2016-12-30,1069.078
2017-01-31,1111.72
2017-02-28,1129.402
2017-03-31,1144.857
2017-04-28,1162.169
2017-05-31,1212.958
2017-06-30,1231.166
2017-07-31,1256.18
2017-08-31,1262.661
2017-09-29,1272.161
2017-10-31,1327.5
2017-11-30,1382.402
2017-12-29,1413.29
2018-01-31,1465.649
2018-02-28,1430.226
2018-03-30,1399.389
2018-04-30,1414.768
2018-05-31,1419.012
2018-06-29,1397.569
2018-07-31,1385.203
2018-08-31,1383.431
2018-09-28,1391.401
2018-10-31,1248.981
2018-11-30,1260.662
2018-12-31,1185.686
2019-01-31,1255.713
2019-02-28,1271.141
2019-03-29,1291.024
2019-04-30,1313.995
2019-05-31,1252.781
2019-06-28,1308.783
2019-07-31,1319.136
2019-08-30,1303.72
2019-09-30,1336.57
2019-10-31,1400.004
2019-11-29,1429.477
2019-12-31,1451.027
2020-01-31,1415.752
2020-02-28,1257.892
2020-03-31,1124.54
2020-04-30,1237.624
2020-05-29,1313.368
2020-06-30,1346.54
2020-07-31,1353.326
2020-08-31,1431.053
2020-09-30,1448.346
2020-10-30,1429.593
2020-11-30,1594.068
2020-12-31,1635.435
2021-01-29,1622.929
2021-02-26,1568.582
2021-03-31,1597.157
2021-04-30,1609.677
2021-05-31,1610.636
2021-06-30,1616.283
2021-07-30,1576.425
2021-08-31,1621.263
2021-09-30,1623.78
2021-10-29,1592.391
2021-11-30,1553.112
2021-12-31,1566.598
2022-01-31,1376.341
2022-02-28,1385.98
2022-03-31,1397.317
2022-04-29,1265.76
2022-05-31,1270.667
2022-06-30,1164.263
2022-07-29,1244.37
2022-08-31,1226.842
2022-09-30,1097.979
2022-10-31,1119.903
2022-11-30,1242.361
2022-12-30,1207.947
2023-01-31,1299.5
2023-02-28,1245.144
2023-03-31,1293.571
2023-04-28,1298.517
2023-05-31,1312.36
2023-06-30,1332.619
2023-07-31,1377.823
2023-08-31,1326.736
2023-09-29,1271.552
2023-10-31,1197.113
2023-11-30,1316.397
2023-12-29,1408.698
2024-01-31,1409.853
2024-02-29,1447.967
2024-03-29,1467.43
2024-04-30,1389.57
2024-05-31,1399.8
2024-06-28,1395.37
2024-07-31,1456.014
2024-08-30,1521.646
2024-09-30,1587.01
2024-10-31,1469.828
2024-11-29,1501.581
2024-12-31,1445.218
2025-01-31,1478.128
2025-02-28,1468.555
2025-03-31,1444.765
2025-04-30,1535.115
2025-05-30,1582.459
2025-06-30,1643.743
2025-07-31,1611.452
2025-08-29,1687.043
2025-09-30,1711.699
