Date,PACIFIC MID GROWTH Mid Cap
1994-05-31,990.325
1994-06-30,1042.122
1994-07-29,1017.304
1994-08-31,1023.769
1994-09-30,998.962
1994-10-31,1012.944
1994-11-30,939.584
1994-12-30,955.909
1995-01-31,889.635
1995-02-28,835.012
1995-03-31,888.15
1995-04-28,924.339
1995-05-31,844.935
1995-06-30,802.306
1995-07-31,861.626
1995-08-31,859.31
1995-09-29,861.661
1995-10-31,823.188
1995-11-30,852.929
1995-12-29,889.211
1996-01-31,895.926
1996-02-29,890.34
1996-03-29,910.799
1996-04-30,971.322
1996-05-31,932.306
1996-06-28,933.861
1996-07-31,882.56
1996-08-30,861.211
1996-09-30,871.624
1996-10-31,825.324
1996-11-29,822.714
1996-12-31,762.046
1997-01-31,710.42
1997-02-28,718.828
1997-03-31,678.246
1997-04-30,696.805
1997-05-30,791.502
1997-06-30,804.359
1997-07-31,772.026
1997-08-29,680.572
1997-09-30,643.641
1997-10-31,595.5
1997-11-28,535.747
1997-12-31,498.567
1998-01-30,524.207
1998-02-27,546.453
1998-03-31,526.136
1998-04-30,517.341
1998-05-29,494.385
1998-06-30,479.47
1998-07-31,482.511
1998-08-31,436.074
1998-09-30,437.576
1998-10-30,488.792
1998-11-30,513.18
1998-12-31,536.275
1999-01-29,540.723
1999-02-26,525.497
1999-03-31,594.417
1999-04-30,632.238
1999-05-31,600.878
1999-06-30,704.162
1999-07-30,769.303
1999-08-31,840.321
1999-09-30,881.292
1999-10-29,933.194
1999-11-30,1048.259
1999-12-31,1085.07
2000-01-31,1036.062
2000-02-29,1038.282
2000-03-31,1043.043
2000-04-28,928.018
2000-05-31,840.243
2000-06-30,912.062
2000-07-31,797.858
2000-08-31,870.198
2000-09-29,822.355
2000-10-31,716.402
2000-11-30,690.255
2000-12-29,637.26
2001-01-31,645.75
2001-02-28,589.863
2001-03-30,565.873
2001-04-30,614.907
2001-05-31,620.157
2001-06-29,590.954
2001-07-31,547.685
2001-08-31,526.641
2001-09-28,473.887
2001-10-31,501.306
2001-11-30,503.493
2001-12-31,477.099
2002-01-31,447.604
2002-02-28,457.205
2002-03-29,487.48
2002-04-30,510.466
2002-05-31,534.274
2002-06-28,506.596
2002-07-31,465.868
2002-08-30,460.557
2002-09-30,427.712
2002-10-31,408.444
2002-11-29,430.642
2002-12-31,416.604
2003-01-31,402.899
2003-02-28,407.997
2003-03-31,393.322
2003-04-30,409.727
2003-05-30,426.203
2003-06-30,452.612
2003-07-31,469.926
2003-08-29,519.093
2003-09-30,550.886
2003-10-31,594.091
2003-11-28,569.717
2003-12-31,607.208
2004-01-30,615.354
2004-02-27,616.578
2004-03-31,675.762
2004-04-30,644.332
2004-05-31,626.567
2004-06-30,663.13
2004-07-30,620.444
2004-08-31,629.783
2004-09-30,625.731
2004-10-29,642.543
2004-11-30,688.453
2004-12-31,717.533
2005-01-31,715.234
2005-02-28,726.233
2005-03-31,713.778
2005-04-29,696.84
2005-05-31,679.912
2005-06-30,696.869
2005-07-29,708.357
2005-08-31,739.806
2005-09-30,798.984
2005-10-31,793.351
2005-11-30,839.86
2005-12-30,917.663
2006-01-31,956.647
2006-02-28,920.931
2006-03-31,955.666
2006-04-28,976.794
2006-05-31,906.745
2006-06-30,891.678
2006-07-31,872.33
2006-08-31,887.317
2006-09-29,889.04
2006-10-31,909.954
2006-11-30,924.262
2006-12-29,934.984
2007-01-31,944.338
2007-02-28,978.723
2007-03-30,988.883
2007-04-30,996.502
2007-05-31,1000.0
2007-06-29,1015.243
2007-07-31,1015.507
2007-08-31,983.26
2007-09-28,1059.342
2007-10-31,1094.279
2007-11-30,1048.715
2007-12-31,1006.801
2008-01-31,922.177
2008-02-29,949.223
2008-03-31,911.992
2008-04-30,970.603
2008-05-30,983.214
2008-06-30,918.809
2008-07-31,871.792
2008-08-29,838.969
2008-09-30,729.272
2008-10-31,579.936
2008-11-28,580.801
2008-12-31,641.779
2009-01-30,583.617
2009-02-27,509.01
2009-03-31,537.894
2009-04-30,574.193
2009-05-29,641.452
2009-06-30,666.958
2009-07-31,699.799
2009-08-31,737.293
2009-09-30,751.414
2009-10-30,731.718
2009-11-30,722.946
2009-12-31,733.818
2010-01-29,711.888
2010-02-26,720.673
2010-03-31,759.984
2010-04-30,766.589
2010-05-31,693.132
2010-06-30,688.56
2010-07-30,722.217
2010-08-31,702.964
2010-09-30,756.306
2010-10-29,764.785
2010-11-30,774.712
2010-12-31,844.947
2011-01-31,840.586
2011-02-28,856.044
2011-03-31,836.146
2011-04-29,854.929
2011-05-31,844.811
2011-06-30,846.984
2011-07-29,869.151
2011-08-31,807.725
2011-09-30,745.81
2011-10-31,779.821
2011-11-30,732.194
2011-12-30,740.938
2012-01-31,779.562
2012-02-29,799.932
2012-03-30,808.009
2012-04-30,803.397
2012-05-31,719.122
2012-06-29,754.529
2012-07-31,763.993
2012-08-31,770.613
2012-09-28,794.524
2012-10-31,789.029
2012-11-30,791.187
2012-12-31,803.408
2013-01-31,836.284
2013-02-28,851.087
2013-03-29,883.682
2013-04-30,928.715
2013-05-31,877.495
2013-06-28,867.473
2013-07-31,865.871
2013-08-30,848.513
2013-09-30,929.668
2013-10-31,935.468
2013-11-29,922.397
2013-12-31,923.037
2014-01-31,895.222
2014-02-28,908.643
2014-03-31,908.446
2014-04-30,893.881
2014-05-30,932.545
2014-06-30,974.566
2014-07-31,990.345
2014-08-29,988.794
2014-09-30,953.871
2014-10-31,946.779
2014-11-28,941.276
2014-12-31,934.553
2015-01-30,955.054
2015-02-27,1005.439
2015-03-31,1016.633
2015-04-30,1032.559
2015-05-29,1037.217
2015-06-30,1017.186
2015-07-31,1026.198
2015-08-31,959.036
2015-09-30,908.441
2015-10-30,990.528
2015-11-30,1006.381
2015-12-31,1009.803
2016-01-29,943.673
2016-02-29,944.018
2016-03-31,1010.63
2016-04-29,1044.624
2016-05-31,1036.116
2016-06-30,1042.3
2016-07-29,1108.465
2016-08-31,1066.919
2016-09-30,1096.395
2016-10-31,1080.849
2016-11-30,1043.948
2016-12-30,1046.987
2017-01-31,1088.738
2017-02-28,1105.928
2017-03-31,1120.268
2017-04-28,1137.181
2017-05-31,1186.781
2017-06-30,1204.252
2017-07-31,1228.719
2017-08-31,1234.953
2017-09-29,1243.425
2017-10-31,1297.445
2017-11-30,1351.052
2017-12-29,1380.752
2018-01-31,1431.905
2018-02-28,1397.115
2018-03-30,1366.087
2018-04-30,1381.095
2018-05-31,1385.097
2018-06-29,1363.777
2018-07-31,1351.709
2018-08-31,1349.812
2018-09-28,1356.832
2018-10-31,1217.926
2018-11-30,1229.301
2018-12-31,1155.829
2019-01-31,1224.082
2019-02-28,1239.028
2019-03-29,1257.543
2019-04-30,1279.908
2019-05-31,1220.182
2019-06-28,1274.252
2019-07-31,1284.321
2019-08-30,1269.221
2019-09-30,1300.43
2019-10-31,1362.128
2019-11-29,1390.769
2019-12-31,1411.098
2020-01-31,1376.777
2020-02-28,1223.017
2020-03-31,1092.627
2020-04-30,1202.494
2020-05-29,1276.06
2020-06-30,1308.002
2020-07-31,1314.538
2020-08-31,1389.93
2020-09-30,1406.19
2020-10-30,1387.903
2020-11-30,1547.551
2020-12-31,1587.372
2021-01-29,1575.225
2021-02-26,1522.219
2021-03-31,1549.244
2021-04-30,1561.373
2021-05-31,1562.151
2021-06-30,1567.406
2021-07-30,1528.743
2021-08-31,1572.118
2021-09-30,1573.886
2021-10-29,1543.449
2021-11-30,1505.173
2021-12-31,1518.039
2022-01-31,1333.679
2022-02-28,1342.957
2022-03-31,1353.098
2022-04-29,1225.694
2022-05-31,1230.256
2022-06-30,1127.027
2022-07-29,1204.571
2022-08-31,1187.557
2022-09-30,1062.107
2022-10-31,1083.302
2022-11-30,1201.73
2022-12-30,1168.054
2023-01-31,1256.583
2023-02-28,1203.989
2023-03-31,1249.985
2023-04-28,1254.753
2023-05-31,1268.086
2023-06-30,1287.444
2023-07-31,1331.107
2023-08-31,1281.675
2023-09-29,1227.621
2023-10-31,1155.732
2023-11-30,1270.869
2023-12-29,1359.789
2024-01-31,1360.903
2024-02-29,1397.576
2024-03-29,1415.409
2024-04-30,1340.301
2024-05-31,1350.123
2024-06-28,1345.463
2024-07-31,1403.938
2024-08-30,1467.174
2024-09-30,1529.446
2024-10-31,1416.508
2024-11-29,1447.091
2024-12-31,1392.504
2025-01-31,1424.213
2025-02-28,1414.93
2025-03-31,1391.156
2025-04-30,1478.114
2025-05-30,1523.647
2025-06-30,1582.244
2025-07-31,1551.159
2025-08-29,1623.895
