Date,PACIFIC MID GROWTH Mid Cap
2001-01-01,637.342
2001-01-02,634.526
2001-01-03,632.488
2001-01-04,627.173
2001-01-05,628.229
2001-01-08,624.213
2001-01-09,608.325
2001-01-10,597.742
2001-01-11,573.978
2001-01-12,580.882
2001-01-15,592.938
2001-01-16,607.137
2001-01-17,609.383
2001-01-18,623.147
2001-01-19,637.713
2001-01-22,635.285
2001-01-23,632.83
2001-01-24,630.377
2001-01-25,639.89
2001-01-26,634.234
2001-01-29,632.89
2001-01-30,636.886
2001-01-31,645.75
2001-02-01,651.99
2001-02-02,647.099
2001-02-05,634.807
2001-02-06,634.636
2001-02-07,629.115
2001-02-08,621.928
2001-02-09,621.403
2001-02-12,621.687
2001-02-13,619.097
2001-02-14,619.82
2001-02-15,625.145
2001-02-16,625.808
2001-02-19,613.763
2001-02-20,622.076
2001-02-21,613.672
2001-02-22,606.664
2001-02-23,612.598
2001-02-26,607.092
2001-02-27,605.339
2001-02-28,589.863
2001-03-01,580.128
2001-03-02,561.186
2001-03-05,558.189
2001-03-06,576.556
2001-03-07,581.108
2001-03-08,579.911
2001-03-09,576.915
2001-03-12,556.025
2001-03-13,541.424
2001-03-14,536.176
2001-03-15,542.688
2001-03-16,542.199
2001-03-19,546.412
2001-03-20,544.115
2001-03-21,558.421
2001-03-22,547.814
2001-03-23,565.356
2001-03-26,589.582
2001-03-27,586.897
2001-03-28,600.037
2001-03-29,578.571
2001-03-30,565.873
2001-04-02,560.331
2001-04-03,564.787
2001-04-04,563.336
2001-04-05,572.921
2001-04-06,579.392
2001-04-09,563.916
2001-04-10,560.867
2001-04-11,570.812
2001-04-12,584.695
2001-04-13,585.737
2001-04-16,581.023
2001-04-17,577.509
2001-04-18,592.512
2001-04-19,609.863
2001-04-20,607.731
2001-04-23,610.574
2001-04-24,606.722
2001-04-25,610.895
2001-04-26,616.584
2001-04-27,612.201
2001-04-30,614.907
2001-05-01,636.434
2001-05-02,643.0
2001-05-03,647.285
2001-05-04,645.838
2001-05-07,651.367
2001-05-08,645.264
2001-05-09,637.496
2001-05-10,634.178
2001-05-11,636.546
2001-05-14,625.42
2001-05-15,632.059
2001-05-16,623.007
2001-05-17,632.908
2001-05-18,628.149
2001-05-21,640.324
2001-05-22,640.796
2001-05-23,647.171
2001-05-24,646.176
2001-05-25,639.897
2001-05-28,634.459
2001-05-29,639.18
2001-05-30,625.234
2001-05-31,620.157
2001-06-01,619.644
2001-06-04,620.625
2001-06-05,616.082
2001-06-06,616.153
2001-06-07,622.274
2001-06-08,625.148
2001-06-11,618.032
2001-06-12,602.548
2001-06-13,607.039
2001-06-14,604.562
2001-06-15,595.907
2001-06-18,587.323
2001-06-19,585.804
2001-06-20,584.111
2001-06-21,587.78
2001-06-22,594.128
2001-06-25,592.803
2001-06-26,592.303
2001-06-27,587.329
2001-06-28,581.729
2001-06-29,590.954
2001-07-02,586.216
2001-07-03,588.315
2001-07-04,584.269
2001-07-05,576.115
2001-07-06,566.247
2001-07-09,557.48
2001-07-10,561.63
2001-07-11,556.335
2001-07-12,565.823
2001-07-13,564.872
2001-07-16,562.898
2001-07-17,555.097
2001-07-18,550.503
2001-07-19,552.257
2001-07-20,552.537
2001-07-23,540.158
2001-07-24,544.448
2001-07-25,547.555
2001-07-26,548.541
2001-07-27,549.012
2001-07-30,536.881
2001-07-31,547.685
2001-08-01,556.096
2001-08-02,573.125
2001-08-03,569.992
2001-08-06,568.263
2001-08-07,568.669
2001-08-08,567.906
2001-08-09,555.951
2001-08-10,558.912
2001-08-13,550.282
2001-08-14,559.033
2001-08-15,568.322
2001-08-16,558.3
2001-08-17,558.645
2001-08-20,545.69
2001-08-21,545.668
2001-08-22,546.733
2001-08-23,538.572
2001-08-24,535.599
2001-08-27,538.567
2001-08-28,535.805
2001-08-29,534.316
2001-08-30,529.322
2001-08-31,526.641
2001-09-03,514.013
2001-09-04,520.65
2001-09-05,512.628
2001-09-06,511.138
2001-09-07,509.81
2001-09-10,499.81
2001-09-11,505.828
2001-09-12,468.52
2001-09-13,474.242
2001-09-14,484.258
2001-09-17,457.493
2001-09-18,464.399
2001-09-19,473.635
2001-09-20,468.306
2001-09-21,457.306
2001-09-24,455.896
2001-09-25,465.074
2001-09-26,464.134
2001-09-27,460.676
2001-09-28,473.887
2001-10-01,475.759
2001-10-02,481.707
2001-10-03,482.489
2001-10-04,493.573
