Date,ISRAEL Standard (Large+Mid Cap)
2001-01-01,99.555
2001-01-02,91.093
2001-01-03,98.961
2001-01-04,98.628
2001-01-05,92.782
2001-01-08,89.143
2001-01-09,90.768
2001-01-10,92.557
2001-01-11,93.842
2001-01-12,93.931
2001-01-15,94.785
2001-01-16,93.775
2001-01-17,96.252
2001-01-18,99.068
2001-01-19,102.006
2001-01-22,99.132
2001-01-23,99.69
2001-01-24,98.768
2001-01-25,98.307
2001-01-26,101.414
2001-01-29,102.727
2001-01-30,102.416
2001-01-31,99.492
2001-02-01,100.394
2001-02-02,96.195
2001-02-05,97.897
2001-02-06,98.261
2001-02-07,96.703
2001-02-08,95.562
2001-02-09,93.013
2001-02-12,94.247
2001-02-13,93.823
2001-02-14,96.388
2001-02-15,98.913
2001-02-16,96.75
2001-02-19,95.895
2001-02-20,95.691
2001-02-21,92.675
2001-02-22,88.026
2001-02-23,90.129
2001-02-26,91.811
2001-02-27,89.007
2001-02-28,85.077
2001-03-01,87.323
2001-03-02,84.605
2001-03-05,82.463
2001-03-06,85.26
2001-03-07,86.223
2001-03-08,83.841
2001-03-09,83.753
2001-03-12,80.406
2001-03-13,82.174
2001-03-14,79.865
2001-03-15,77.986
2001-03-16,75.541
2001-03-19,74.657
2001-03-20,71.987
2001-03-21,71.875
2001-03-22,71.884
2001-03-23,72.307
2001-03-26,72.968
2001-03-27,73.728
2001-03-28,71.453
2001-03-29,67.909
2001-03-30,69.034
2001-04-02,67.68
2001-04-03,64.252
2001-04-04,64.977
2001-04-05,69.184
2001-04-06,68.474
2001-04-09,70.238
2001-04-10,74.315
2001-04-11,76.474
2001-04-12,77.03
2001-04-13,77.03
2001-04-16,76.427
2001-04-17,76.619
2001-04-18,80.763
2001-04-19,84.273
2001-04-20,82.285
2001-04-23,81.35
2001-04-24,77.305
2001-04-25,78.174
2001-04-26,76.736
2001-04-27,77.76
2001-04-30,78.43
2001-05-01,79.542
2001-05-02,81.97
2001-05-03,80.029
2001-05-04,79.849
2001-05-07,79.121
2001-05-08,80.524
2001-05-09,78.33
2001-05-10,77.751
2001-05-11,76.324
2001-05-14,74.812
2001-05-15,74.7
2001-05-16,73.949
2001-05-17,76.247
