Date,ISRAEL Standard (Large+Mid Cap)
2001-01-01,227.595
2001-01-02,208.249
2001-01-03,226.236
2001-01-04,225.475
2001-01-05,212.11
2001-01-08,203.792
2001-01-09,207.507
2001-01-10,211.595
2001-01-11,214.535
2001-01-12,214.738
2001-01-15,216.691
2001-01-16,214.38
2001-01-17,220.045
2001-01-18,226.48
2001-01-19,233.197
2001-01-22,226.629
2001-01-23,227.904
2001-01-24,225.797
2001-01-25,224.742
2001-01-26,231.846
2001-01-29,234.847
2001-01-30,234.148
2001-01-31,227.463
2001-02-01,229.524
2001-02-02,219.925
2001-02-05,223.817
2001-02-06,224.647
2001-02-07,221.085
2001-02-08,218.476
2001-02-09,212.649
2001-02-12,215.471
2001-02-13,214.501
2001-02-14,220.366
2001-02-15,226.139
2001-02-16,221.192
2001-02-19,219.238
2001-02-20,218.772
2001-02-21,211.877
2001-02-22,201.248
2001-02-23,206.057
2001-02-26,209.901
2001-02-27,203.491
2001-02-28,194.507
2001-03-01,199.641
2001-03-02,193.429
2001-03-05,188.53
2001-03-06,194.926
2001-03-07,197.128
2001-03-08,191.684
2001-03-09,191.481
2001-03-12,183.836
2001-03-13,187.887
2001-03-14,182.608
2001-03-15,178.313
2001-03-16,172.721
2001-03-19,170.701
2001-03-20,164.595
2001-03-21,164.339
2001-03-22,164.365
2001-03-23,165.334
2001-03-26,166.845
2001-03-27,168.582
2001-03-28,163.381
2001-03-29,155.277
2001-03-30,157.849
2001-04-02,154.753
2001-04-03,146.919
2001-04-04,148.576
2001-04-05,158.195
2001-04-06,156.574
2001-04-09,160.605
2001-04-10,169.956
2001-04-11,174.893
2001-04-12,176.166
2001-04-13,176.166
2001-04-16,174.786
2001-04-17,175.252
2001-04-18,184.731
2001-04-19,192.758
2001-04-20,188.211
2001-04-23,186.073
2001-04-24,176.821
2001-04-25,178.809
2001-04-26,175.518
2001-04-27,177.861
2001-04-30,179.394
2001-05-01,181.94
2001-05-02,187.493
2001-05-03,183.055
2001-05-04,182.644
2001-05-07,180.977
2001-05-08,184.187
2001-05-09,179.169
2001-05-10,177.843
2001-05-11,174.579
2001-05-14,171.122
2001-05-15,170.865
2001-05-16,169.156
2001-05-17,174.433
2001-05-18,173.645
2001-05-21,179.962
2001-05-22,182.279
2001-05-23,177.959
2001-05-24,180.83
2001-05-25,179.33
2001-05-28,179.138
2001-05-29,177.316
2001-05-30,171.18
2001-05-31,170.936
2001-06-01,171.96
2001-06-04,166.643
2001-06-05,166.198
2001-06-06,168.384
2001-06-07,170.467
2001-06-08,169.382
2001-06-11,164.35
2001-06-12,162.525
2001-06-13,161.723
2001-06-14,162.317
2001-06-15,162.569
2001-06-18,161.577
2001-06-19,163.4
2001-06-20,165.328
2001-06-21,164.654
2001-06-22,164.66
2001-06-25,164.549
2001-06-26,166.666
2001-06-27,169.865
2001-06-28,169.099
2001-06-29,169.853
2001-07-02,171.138
2001-07-03,164.336
2001-07-04,164.365
2001-07-05,163.773
2001-07-06,161.946
2001-07-09,162.452
2001-07-10,162.183
2001-07-11,158.455
2001-07-12,166.012
2001-07-13,163.746
2001-07-16,162.736
2001-07-17,164.732
2001-07-18,160.134
2001-07-19,162.119
2001-07-20,158.003
2001-07-23,159.7
2001-07-24,160.31
2001-07-25,162.534
2001-07-26,167.436
2001-07-27,169.763
2001-07-30,169.138
2001-07-31,170.129
2001-08-01,172.503
2001-08-02,171.852
2001-08-03,169.63
2001-08-06,169.673
2001-08-07,167.552
2001-08-08,166.215
2001-08-09,165.352
2001-08-10,164.165
2001-08-13,166.364
2001-08-14,164.66
2001-08-15,162.078
2001-08-16,162.125
2001-08-17,160.099
2001-08-20,158.649
2001-08-21,158.627
2001-08-22,159.215
2001-08-23,156.395
2001-08-24,158.331
2001-08-27,159.039
2001-08-28,156.048
2001-08-29,153.981
2001-08-30,151.57
2001-08-31,151.803
2001-09-03,150.852
2001-09-04,147.997
2001-09-05,147.763
2001-09-06,146.773
2001-09-07,147.201
2001-09-10,147.194
2001-09-11,142.864
2001-09-12,141.255
2001-09-13,142.892
2001-09-14,142.954
2001-09-17,139.338
2001-09-18,138.044
2001-09-19,136.091
2001-09-20,127.839
2001-09-21,125.556
2001-09-24,127.564
2001-09-25,125.21
2001-09-26,122.891
2001-09-27,121.984
2001-09-28,123.542
2001-10-01,123.554
2001-10-02,125.453
2001-10-03,128.432
2001-10-04,130.271
2001-10-05,130.216
2001-10-08,131.724
2001-10-09,130.489
2001-10-10,133.772
2001-10-11,139.304
2001-10-12,139.062
2001-10-15,135.787
2001-10-16,140.572
2001-10-17,136.775
2001-10-18,138.224
2001-10-19,136.517
2001-10-22,138.097
2001-10-23,137.748
2001-10-24,138.706
2001-10-25,139.076
2001-10-26,138.26
2001-10-29,136.652
2001-10-30,134.196
2001-10-31,134.36
2001-11-01,134.826
2001-11-02,134.866
2001-11-05,140.053
2001-11-06,141.236
2001-11-07,140.464
2001-11-08,141.282
2001-11-09,143.403
2001-11-12,144.986
2001-11-13,150.735
2001-11-14,148.679
2001-11-15,147.96
2001-11-16,146.928
2001-11-19,151.178
2001-11-20,146.574
2001-11-21,146.974
2001-11-22,147.808
2001-11-23,147.706
2001-11-26,150.094
2001-11-27,150.557
2001-11-28,148.978
2001-11-29,151.258
2001-11-30,149.513
2001-12-03,145.001
2001-12-04,148.096
2001-12-05,152.274
2001-12-06,152.354
2001-12-07,151.058
2001-12-10,151.333
2001-12-11,152.56
2001-12-12,154.208
2001-12-13,151.73
2001-12-14,149.682
2001-12-17,154.69
2001-12-18,156.393
2001-12-19,154.283
2001-12-20,149.838
2001-12-21,149.965
2001-12-24,153.84
2001-12-25,154.952
2001-12-26,156.848
2001-12-27,156.56
2001-12-28,157.207
2001-12-31,157.415
2002-01-01,158.843
2002-01-02,161.482
2002-01-03,163.701
2002-01-04,166.128
2002-01-07,169.162
2002-01-08,167.853
2002-01-09,168.181
2002-01-10,166.108
2002-01-11,166.043
2002-01-14,163.831
2002-01-15,156.471
2002-01-16,151.21
2002-01-17,150.534
2002-01-18,151.714
2002-01-21,149.966
2002-01-22,149.081
2002-01-23,147.468
2002-01-24,150.53
2002-01-25,148.742
2002-01-28,147.641
2002-01-29,146.208
2002-01-30,143.874
2002-01-31,149.621
2002-02-01,149.061
2002-02-04,146.896
2002-02-05,143.445
2002-02-06,142.675
2002-02-07,140.579
2002-02-08,142.378
2002-02-11,137.439
2002-02-12,137.264
2002-02-13,139.437
2002-02-14,138.209
2002-02-15,137.481
2002-02-18,134.576
2002-02-19,131.151
2002-02-20,131.775
2002-02-21,129.835
2002-02-22,130.76
2002-02-25,133.095
2002-02-26,134.723
2002-02-27,134.661
2002-02-28,131.475
2002-03-01,133.543
2002-03-04,138.579
2002-03-05,137.29
2002-03-06,135.178
2002-03-07,136.985
2002-03-08,138.678
2002-03-11,140.431
2002-03-12,136.467
2002-03-13,134.677
2002-03-14,135.664
2002-03-15,134.196
2002-03-18,139.27
2002-03-19,138.646
2002-03-20,135.005
2002-03-21,136.505
2002-03-22,134.945
2002-03-25,134.841
2002-03-26,132.725
2002-03-27,132.349
2002-03-28,131.58
2002-03-29,131.58
2002-04-01,124.382
2002-04-02,122.76
2002-04-03,122.014
2002-04-04,115.634
2002-04-05,116.148
2002-04-08,117.211
2002-04-09,115.515
2002-04-10,116.734
2002-04-11,116.133
2002-04-12,115.881
2002-04-15,116.419
2002-04-16,116.71
2002-04-17,115.824
2002-04-18,116.995
2002-04-19,116.796
2002-04-22,115.868
2002-04-23,113.427
2002-04-24,110.978
2002-04-25,110.793
2002-04-26,109.267
2002-04-29,107.901
2002-04-30,108.577
2002-05-01,109.051
2002-05-02,110.342
2002-05-03,110.07
2002-05-06,110.297
2002-05-07,111.871
2002-05-08,113.861
2002-05-09,111.665
2002-05-10,110.71
2002-05-13,112.05
2002-05-14,116.297
2002-05-15,115.664
2002-05-16,116.468
2002-05-17,116.975
2002-05-20,118.002
2002-05-21,117.939
2002-05-22,116.252
2002-05-23,116.468
2002-05-24,116.369
2002-05-27,116.767
2002-05-28,115.709
2002-05-29,114.196
2002-05-30,114.386
2002-05-31,114.111
2002-06-03,114.72
2002-06-04,115.823
2002-06-05,114.626
2002-06-06,113.442
2002-06-07,112.649
2002-06-10,111.169
2002-06-11,109.084
2002-06-12,107.707
2002-06-13,108.621
2002-06-14,108.518
2002-06-17,110.114
2002-06-18,110.322
2002-06-19,108.621
2002-06-20,105.981
2002-06-21,105.765
2002-06-24,103.948
2002-06-25,105.446
2002-06-26,104.165
2002-06-27,107.903
2002-06-28,109.253
2002-07-01,107.707
2002-07-02,106.498
2002-07-03,108.141
2002-07-04,108.039
2002-07-05,107.984
2002-07-08,108.571
2002-07-09,109.29
2002-07-10,108.733
2002-07-11,104.415
2002-07-12,104.862
2002-07-15,109.729
2002-07-16,109.399
2002-07-17,111.975
2002-07-18,111.681
2002-07-19,111.401
2002-07-22,110.657
2002-07-23,107.169
2002-07-24,106.162
2002-07-25,105.076
2002-07-26,105.671
2002-07-29,111.808
2002-07-30,113.229
2002-07-31,112.835
2002-08-01,111.663
2002-08-02,111.51
2002-08-05,108.37
2002-08-06,110.145
2002-08-07,110.971
2002-08-08,112.555
