Date,ISRAEL Standard (Large+Mid Cap)
2005-11-30,250.79
2005-12-30,261.643
2006-01-31,260.629
2006-02-28,254.515
2006-03-31,252.974
2006-04-28,263.625
2006-05-31,246.168
2006-06-30,223.786
2006-07-31,227.123
2006-08-31,237.131
2006-09-29,239.187
2006-10-31,246.338
2006-11-30,252.59
2006-12-29,248.942
2007-01-31,262.361
2007-02-28,267.501
2007-03-30,276.125
2007-04-30,295.387
2007-05-31,305.672
2007-06-29,303.745
2007-07-31,309.958
2007-08-31,306.108
2007-09-28,329.236
2007-10-31,343.156
2007-11-30,334.504
2007-12-31,348.578
2008-01-31,334.505
2008-02-29,352.975
2008-03-31,332.246
2008-04-30,362.575
2008-05-30,380.215
2008-06-30,371.66
2008-07-31,344.49
2008-08-29,342.409
2008-09-30,314.741
2008-10-31,258.748
2008-11-28,238.237
2008-12-31,248.062
2009-01-30,241.393
2009-02-27,259.485
2009-03-31,262.242
2009-04-30,273.299
2009-05-29,299.994
2009-06-30,304.258
2009-07-31,340.402
2009-08-31,334.135
2009-09-30,335.959
2009-10-30,341.718
2009-11-30,362.401
2009-12-31,383.457
2010-01-29,384.641
2010-02-26,393.026
2010-03-31,421.962
2010-04-30,391.744
2010-05-31,348.707
2010-06-30,344.425
2010-07-30,340.898
2010-08-31,349.838
2010-09-30,384.301
2010-10-29,382.787
2010-11-30,376.213
2010-12-31,402.615
2011-01-31,391.389
2011-02-28,382.107
2011-03-31,392.778
2011-04-29,381.252
2011-05-31,390.228
2011-06-30,372.789
2011-07-29,364.944
2011-08-31,319.487
2011-09-30,278.224
2011-10-31,314.749
2011-11-30,292.123
2011-12-30,291.509
2012-01-31,318.169
2012-02-29,311.032
2012-03-30,316.893
2012-04-30,321.201
2012-05-31,282.595
2012-06-29,273.704
2012-07-31,285.127
2012-08-31,279.064
2012-09-28,291.294
2012-10-31,293.776
2012-11-30,298.526
2012-12-31,280.121
2013-01-31,281.714
2013-02-28,288.377
2013-03-29,300.037
2013-04-30,295.353
2013-05-31,291.904
2013-06-28,287.555
2013-07-31,291.136
2013-08-30,283.468
2013-09-30,294.789
