Date,ISRAEL Standard (Large+Mid Cap)
2000-12-29,100.0
2001-01-31,99.492
2001-02-28,85.077
2001-03-30,69.034
2001-04-30,78.43
2001-05-31,74.704
2001-06-29,74.144
2001-07-31,74.195
2001-08-31,66.195
2001-09-28,53.86
2001-10-31,58.576
2001-11-30,65.147
2001-12-31,68.57
2002-01-31,65.174
2002-02-28,57.262
2002-03-29,57.307
2002-04-30,47.285
2002-05-31,49.679
2002-06-28,47.563
2002-07-31,49.122
2002-08-30,49.239
2002-09-30,45.333
2002-10-31,46.523
2002-11-29,52.739
2002-12-31,47.124
2003-01-31,46.691
2003-02-28,46.958
2003-03-31,50.512
2003-04-30,58.006
2003-05-30,64.621
2003-06-30,70.67
2003-07-31,67.045
2003-08-29,68.027
2003-09-30,67.55
2003-10-31,70.792
2003-11-28,74.519
2003-12-31,74.015
2004-01-30,79.683
2004-02-27,83.029
2004-03-31,82.01
2004-04-30,82.792
2004-05-31,83.202
2004-06-30,88.128
2004-07-30,78.196
2004-08-31,74.166
2004-09-30,73.484
2004-10-29,74.96
2004-11-30,81.585
2004-12-31,88.683
2005-01-31,87.589
2005-02-28,90.16
2005-03-31,89.822
2005-04-29,90.05
2005-05-31,95.156
2005-06-30,87.613
2005-07-29,92.878
2005-08-31,94.336
2005-09-30,98.683
2005-10-31,101.762
2005-11-30,107.864
2005-12-30,112.479
2006-01-31,112.016
2006-02-28,109.335
2006-03-31,108.652
2006-04-28,113.12
2006-05-31,105.603
2006-06-30,95.93
2006-07-31,97.361
2006-08-31,101.572
2006-09-29,102.433
2006-10-31,105.464
2006-11-30,108.088
2006-12-29,106.506
2007-01-31,112.248
2007-02-28,114.219
2007-03-30,117.865
2007-04-30,126.024
2007-05-31,130.372
2007-06-29,129.479
2007-07-31,132.128
2007-08-31,130.404
2007-09-28,140.179
2007-10-31,146.069
2007-11-30,142.263
2007-12-31,148.231
2008-01-31,142.162
2008-02-29,149.954
2008-03-31,141.094
2008-04-30,153.883
2008-05-30,161.283
2008-06-30,157.603
2008-07-31,146.078
2008-08-29,145.136
2008-09-30,133.336
2008-10-31,109.531
2008-11-28,100.78
2008-12-31,104.863
2009-01-30,102.042
2009-02-27,109.644
2009-03-31,110.782
2009-04-30,115.415
2009-05-29,126.593
2009-06-30,128.336
2009-07-31,143.582
2009-08-31,140.887
2009-09-30,141.546
2009-10-30,143.962
2009-11-30,152.581
2009-12-31,161.402
2010-01-29,161.896
2010-02-26,165.364
2010-03-31,177.524
2010-04-30,164.662
2010-05-31,146.496
2010-06-30,144.58
2010-07-30,143.1
2010-08-31,146.773
2010-09-30,161.077
2010-10-29,160.439
2010-11-30,157.575
2010-12-31,168.549
2011-01-31,163.808
2011-02-28,159.846
2011-03-31,164.289
2011-04-29,159.405
2011-05-31,162.983
2011-06-30,155.601
2011-07-29,152.304
2011-08-31,133.251
2011-09-30,115.899
2011-10-31,131.099
2011-11-30,121.595
2011-12-30,121.286
2012-01-31,132.365
2012-02-29,129.271
2012-03-30,131.706
2012-04-30,133.424
2012-05-31,117.136
2012-06-29,113.416
2012-07-31,118.149
2012-08-31,115.464
2012-09-28,120.388
2012-10-31,121.414
2012-11-30,123.255
2012-12-31,115.608
2013-01-31,116.266
2013-02-28,118.875
2013-03-29,123.681
2013-04-30,121.712
2013-05-31,120.013
2013-06-28,118.18
2013-07-31,119.641
2013-08-30,116.299
2013-09-30,120.765
2013-10-31,121.086
2013-11-29,128.586
2013-12-31,128.238
2014-01-31,133.372
2014-02-28,142.984
2014-03-31,151.938
