Date,SINGAPORE SMALL CAP Small Cap
2014-06-30,657.899
2014-07-31,666.406
2014-08-29,665.032
2014-09-30,631.442
2014-10-31,625.317
2014-11-28,615.598
2014-12-31,594.245
2015-01-30,607.739
2015-02-27,602.177
2015-03-31,595.429
2015-04-30,636.151
2015-05-29,615.251
2015-06-30,600.106
2015-07-31,575.758
2015-08-31,511.483
2015-09-30,505.438
2015-10-30,535.334
2015-11-30,521.28
2015-12-31,514.811
2016-01-29,486.554
2016-02-29,511.07
2016-03-31,558.997
2016-04-29,571.547
2016-05-31,555.236
2016-06-30,565.483
2016-07-29,585.55
2016-08-31,582.852
2016-09-30,592.557
2016-10-31,578.222
2016-11-30,554.38
2016-12-30,544.174
2017-01-31,576.954
2017-02-28,599.128
2017-03-31,610.275
2017-04-28,612.964
2017-05-31,616.529
2017-06-30,629.591
2017-07-31,643.638
2017-08-31,648.562
2017-09-29,660.649
2017-10-31,675.671
2017-11-30,684.232
2017-12-29,696.494
2018-01-31,746.812
2018-02-28,719.39
2018-03-30,725.615
2018-04-30,699.027
2018-05-31,683.907
2018-06-29,653.593
2018-07-31,670.385
2018-08-31,656.327
2018-09-28,660.339
2018-10-31,622.568
2018-11-30,641.936
2018-12-31,633.378
2019-01-31,687.52
2019-02-28,688.798
2019-03-29,698.301
2019-04-30,702.842
2019-05-31,683.587
2019-06-28,733.642
2019-07-31,720.404
2019-08-30,703.948
2019-09-30,718.837
2019-10-31,747.235
2019-11-29,753.695
2019-12-31,777.471
2020-01-31,767.873
2020-02-28,727.308
2020-03-31,558.881
2020-04-30,632.536
2020-05-29,660.233
2020-06-30,675.092
2020-07-31,695.389
2020-08-31,709.433
2020-09-30,705.992
2020-10-30,677.176
2020-11-30,758.49
2020-12-31,777.865
2021-01-29,788.552
2021-02-26,792.411
2021-03-31,813.526
2021-04-30,858.123
2021-05-31,848.693
2021-06-30,825.178
2021-07-30,833.68
2021-08-31,836.784
2021-09-30,814.477
2021-10-29,833.268
2021-11-30,810.604
2021-12-31,836.678
2022-01-31,799.83
2022-02-28,815.067
2022-03-31,862.731
2022-04-29,849.039
2022-05-31,834.333
2022-06-30,796.469
2022-07-29,816.619
2022-08-31,812.186
2022-09-30,727.648
2022-10-31,703.02
2022-11-30,765.27
2022-12-30,773.689
2023-01-31,832.824
2023-02-28,796.831
2023-03-31,805.37
2023-04-28,801.009
2023-05-31,779.683
2023-06-30,805.031
2023-07-31,825.131
2023-08-31,793.398
2023-09-29,759.125
2023-10-31,709.12
2023-11-30,761.701
2023-12-29,812.816
2024-01-31,782.825
2024-02-29,767.039
2024-03-29,777.8
2024-04-30,765.473
2024-05-31,788.826
2024-06-28,771.119
2024-07-31,823.441
2024-08-30,859.415
2024-09-30,914.577
2024-10-31,864.325
2024-11-29,846.324
2024-12-31,835.373
2025-01-31,832.545
2025-02-28,816.503
2025-03-31,843.589
2025-04-30,842.438
2025-05-30,860.106
2025-06-30,900.334
2025-07-31,944.451
2025-08-29,996.173
2025-09-30,1017.134
2025-10-31,1031.76
2025-11-28,1028.66
2025-12-31,1041.071
2026-01-30,1091.115
