Date,SINGAPORE SMALL CAP Small Cap
2000-12-29,100.0
2001-01-31,99.506
2001-02-28,102.11
2001-03-30,87.297
2001-04-30,92.694
2001-05-31,88.957
2001-06-29,96.13
2001-07-31,92.889
2001-08-31,92.576
2001-09-28,79.72
2001-10-31,78.583
2001-11-30,84.663
2001-12-31,89.435
2002-01-31,99.297
2002-02-28,98.237
2002-03-29,99.297
2002-04-30,99.69
2002-05-31,99.773
2002-06-28,98.594
2002-07-31,95.437
2002-08-30,94.348
2002-09-30,83.324
2002-10-31,90.498
2002-11-29,92.507
2002-12-31,91.824
2003-01-31,91.766
2003-02-28,93.189
2003-03-31,92.343
2003-04-30,94.442
2003-05-30,106.647
2003-06-30,112.401
2003-07-31,120.558
2003-08-29,122.017
2003-09-30,128.315
2003-10-31,136.827
2003-11-28,134.247
2003-12-31,140.455
2004-01-30,148.913
2004-02-27,148.573
2004-03-31,154.349
2004-04-30,145.909
2004-05-31,148.494
2004-06-30,150.879
2004-07-30,152.568
2004-08-31,157.851
2004-09-30,166.727
2004-10-29,172.378
2004-11-30,181.58
2004-12-31,191.848
2005-01-31,196.752
2005-02-28,207.692
2005-03-31,207.563
2005-04-29,214.689
2005-05-31,219.328
2005-06-30,231.14
2005-07-29,243.644
2005-08-31,237.992
2005-09-30,248.013
2005-10-31,237.878
2005-11-30,243.95
2005-12-30,250.998
2006-01-31,271.314
2006-02-28,287.863
2006-03-31,301.754
2006-04-28,317.849
2006-05-31,291.243
2006-06-30,290.97
2006-07-31,293.089
2006-08-31,307.515
2006-09-29,321.02
2006-10-31,344.103
2006-11-30,372.19
2006-12-29,398.89
2007-01-31,433.388
2007-02-28,436.427
2007-03-30,468.919
2007-04-30,498.529
2007-05-31,504.214
2007-06-29,532.085
2007-07-31,517.227
2007-08-31,486.744
2007-09-28,530.175
2007-10-31,554.117
2007-11-30,506.627
2007-12-31,517.02
2008-01-31,443.423
2008-02-29,470.519
2008-03-31,453.165
2008-04-30,475.356
2008-05-30,483.827
2008-06-30,447.89
2008-07-31,417.918
2008-08-29,363.333
2008-09-30,300.124
2008-10-31,194.083
2008-11-28,182.627
2008-12-31,209.994
2009-01-30,200.657
2009-02-27,181.49
2009-03-31,191.073
2009-04-30,225.973
2009-05-29,322.145
2009-06-30,315.855
2009-07-31,369.734
2009-08-31,375.393
2009-09-30,398.865
2009-10-30,407.737
2009-11-30,416.685
2009-12-31,448.381
2010-01-29,433.441
2010-02-26,436.183
2010-03-31,461.718
2010-04-30,491.082
2010-05-31,440.587
2010-06-30,457.132
2010-07-30,498.811
2010-08-31,489.308
2010-09-30,534.257
2010-10-29,554.697
2010-11-30,541.844
2010-12-31,575.932
2011-01-31,570.133
2011-02-28,542.011
2011-03-31,558.443
2011-04-29,586.614
2011-05-31,576.842
2011-06-30,570.113
2011-07-29,583.633
2011-08-31,529.25
2011-09-30,438.802
2011-10-31,487.977
2011-11-30,444.829
2011-12-30,433.329
2012-01-31,488.543
2012-02-29,520.987
2012-03-30,520.402
2012-04-30,524.946
2012-05-31,482.523
2012-06-29,510.039
2012-07-31,541.667
2012-08-31,558.498
2012-09-28,594.048
2012-10-31,598.976
2012-11-30,608.634
2012-12-31,629.237
2013-01-31,657.105
2013-02-28,666.364
2013-03-29,674.165
2013-04-30,691.123
2013-05-31,652.321
2013-06-28,615.11
2013-07-31,619.53
2013-08-30,591.97
2013-09-30,652.304
2013-10-31,618.025
2013-11-29,598.001
2013-12-31,593.212
2014-01-31,568.689
2014-02-28,584.871
2014-03-31,597.193
2014-04-30,621.773
2014-05-30,643.213
