Date,GERMANY IMI VALUE IMI (Large+Mid+Small Cap)
2001-01-01,478.513
2001-01-02,478.042
2001-01-03,483.622
2001-01-04,484.233
2001-01-05,490.485
2001-01-08,487.613
2001-01-09,480.579
2001-01-10,476.453
2001-01-11,488.245
2001-01-12,491.613
2001-01-15,491.468
2001-01-16,488.215
2001-01-17,490.348
2001-01-18,498.57
2001-01-19,493.965
2001-01-22,494.137
2001-01-23,499.449
2001-01-24,488.321
2001-01-25,487.762
2001-01-26,488.101
2001-01-29,490.428
2001-01-30,492.585
2001-01-31,497.301
2001-02-01,496.441
2001-02-02,488.549
2001-02-05,492.328
2001-02-06,492.886
2001-02-07,488.265
2001-02-08,483.837
2001-02-09,479.504
2001-02-12,486.418
2001-02-13,481.746
2001-02-14,476.535
2001-02-15,470.604
2001-02-16,468.964
2001-02-19,473.616
2001-02-20,466.379
2001-02-21,461.698
2001-02-22,456.358
2001-02-23,448.822
2001-02-26,456.133
2001-02-27,463.901
2001-02-28,463.424
2001-03-01,462.85
2001-03-02,470.408
2001-03-05,469.815
2001-03-06,474.082
2001-03-07,473.323
2001-03-08,473.487
2001-03-09,471.855
2001-03-12,462.515
2001-03-13,452.022
2001-03-14,436.648
2001-03-15,441.966
2001-03-16,430.097
2001-03-19,425.318
2001-03-20,433.423
2001-03-21,419.976
2001-03-22,398.295
2001-03-23,409.556
2001-03-26,420.951
2001-03-27,435.418
2001-03-28,428.655
2001-03-29,429.628
2001-03-30,430.396
2001-04-02,426.816
2001-04-03,419.867
2001-04-04,428.476
2001-04-05,432.521
2001-04-06,431.094
2001-04-09,437.891
2001-04-10,442.114
2001-04-11,439.214
2001-04-12,446.184
2001-04-13,446.184
2001-04-16,441.615
2001-04-17,437.9
2001-04-18,445.498
2001-04-19,453.404
2001-04-20,456.842
2001-04-23,452.806
2001-04-24,454.623
2001-04-25,454.142
2001-04-26,457.038
2001-04-27,454.547
2001-04-30,454.959
2001-05-01,457.367
2001-05-02,454.53
2001-05-03,448.734
2001-05-04,452.318
2001-05-07,449.734
2001-05-08,445.431
2001-05-09,443.679
2001-05-10,447.063
2001-05-11,442.848
2001-05-14,438.2
2001-05-15,441.61
2001-05-16,446.827
2001-05-17,448.075
2001-05-18,446.251
2001-05-21,449.054
2001-05-22,446.243
2001-05-23,439.728
2001-05-24,441.405
2001-05-25,437.814
2001-05-28,439.041
2001-05-29,430.912
2001-05-30,429.591
2001-05-31,428.144
2001-06-01,430.048
2001-06-04,432.12
2001-06-05,433.272
2001-06-06,428.848
2001-06-07,430.893
2001-06-08,429.415
2001-06-11,425.952
2001-06-12,426.422
2001-06-13,431.018
2001-06-14,431.347
2001-06-15,427.761
2001-06-18,425.251
2001-06-19,424.866
2001-06-20,422.212
2001-06-21,425.231
2001-06-22,426.725
2001-06-25,428.798
2001-06-26,427.386
2001-06-27,426.418
2001-06-28,430.158
2001-06-29,436.662
2001-07-02,440.286
2001-07-03,437.524
2001-07-04,436.26
2001-07-05,432.429
2001-07-06,429.785
2001-07-09,433.749
2001-07-10,435.232
2001-07-11,437.861
2001-07-12,436.959
2001-07-13,439.785
2001-07-16,437.489
2001-07-17,436.399
2001-07-18,440.289
2001-07-19,442.393
2001-07-20,443.967
2001-07-23,441.081
2001-07-24,438.056
2001-07-25,433.901
2001-07-26,436.32
2001-07-27,439.585
2001-07-30,443.837
2001-07-31,446.445
2001-08-01,445.013
2001-08-02,441.708
2001-08-03,440.948
2001-08-06,439.329
2001-08-07,435.958
2001-08-08,422.931
2001-08-09,422.435
2001-08-10,421.168
2001-08-13,422.628
2001-08-14,426.534
2001-08-15,427.388
2001-08-16,421.893
2001-08-17,415.178
2001-08-20,413.589
2001-08-21,412.99
2001-08-22,415.678
2001-08-23,413.505
2001-08-24,420.659
2001-08-27,420.033
2001-08-28,415.331
2001-08-29,415.573
2001-08-30,406.199
2001-08-31,407.165
2001-09-03,402.21
2001-09-04,400.756
2001-09-05,393.194
2001-09-06,388.438
2001-09-07,385.273
2001-09-10,378.749
2001-09-11,360.094
2001-09-12,361.975
2001-09-13,365.638
2001-09-14,353.777
2001-09-17,361.017
2001-09-18,358.008
2001-09-19,353.634
2001-09-20,335.89
2001-09-21,325.952
2001-09-24,342.713
2001-09-25,343.221
2001-09-26,350.063
2001-09-27,354.637
2001-09-28,358.74
2001-10-01,358.546
2001-10-02,362.113
2001-10-03,370.102
2001-10-04,374.578
2001-10-05,375.623
2001-10-08,377.569
2001-10-09,375.288
2001-10-10,380.062
2001-10-11,378.185
2001-10-12,377.557
2001-10-15,374.377
2001-10-16,380.831
2001-10-17,380.187
2001-10-18,375.155
2001-10-19,369.023
2001-10-22,370.715
2001-10-23,375.403
2001-10-24,382.855
2001-10-25,378.027
2001-10-26,381.114
2001-10-29,378.25
2001-10-30,373.375
2001-10-31,369.564
2001-11-01,374.982
2001-11-02,370.413
2001-11-05,374.41
2001-11-06,370.751
2001-11-07,380.812
2001-11-08,385.862
2001-11-09,383.929
2001-11-12,379.956
2001-11-13,381.093
2001-11-14,383.873
2001-11-15,385.269
2001-11-16,392.453
2001-11-19,398.316
2001-11-20,394.79
2001-11-21,392.028
2001-11-22,394.342
2001-11-23,395.875
2001-11-26,393.626
2001-11-27,389.655
2001-11-28,383.651
