Date,GERMANY IMI VALUE IMI (Large+Mid+Small Cap)
1994-05-31,267.584
1994-06-30,267.209
1994-07-29,277.632
1994-08-31,286.01
1994-09-30,271.318
1994-10-31,285.148
1994-11-30,270.119
1994-12-30,277.61
1995-01-31,275.836
1995-02-28,293.202
1995-03-31,293.049
1995-04-28,299.006
1995-05-31,300.838
1995-06-30,308.549
1995-07-31,321.002
1995-08-31,303.003
1995-09-29,306.035
1995-10-31,305.925
1995-11-30,302.547
1995-12-29,309.46
1996-01-31,318.192
1996-02-29,323.375
1996-03-29,325.584
1996-04-30,315.932
1996-05-31,325.751
1996-06-28,332.34
1996-07-31,334.065
1996-08-30,340.619
1996-09-30,340.473
1996-10-31,344.222
1996-11-29,359.297
1996-12-31,362.87
1997-01-31,360.694
1997-02-28,369.098
1997-03-31,389.454
1997-04-30,374.154
1997-05-30,396.075
1997-06-30,404.071
1997-07-31,433.861
1997-08-29,405.92
1997-09-30,438.491
1997-10-31,414.47
1997-11-28,419.136
1997-12-31,434.923
1998-01-30,426.432
1998-02-27,448.601
1998-03-31,478.429
1998-04-30,501.91
1998-05-29,533.128
1998-06-30,540.926
1998-07-31,540.37
1998-08-31,468.005
1998-09-30,472.656
1998-10-30,484.093
1998-11-30,490.269
1998-12-31,506.24
1999-01-29,514.77
1999-02-26,491.862
1999-03-31,481.083
1999-04-30,501.612
1999-05-31,488.127
1999-06-30,510.285
1999-07-30,508.938
1999-08-31,516.062
1999-09-30,496.092
1999-10-29,517.589
1999-11-30,504.195
1999-12-31,563.095
2000-01-31,503.606
2000-02-29,532.744
2000-03-31,530.431
2000-04-28,489.774
2000-05-31,493.509
2000-06-30,490.569
2000-07-31,492.701
2000-08-31,470.102
2000-09-29,450.237
2000-10-31,456.64
2000-11-30,442.122
2000-12-29,478.513
2001-01-31,497.301
2001-02-28,463.424
2001-03-30,430.396
2001-04-30,454.959
2001-05-31,428.144
2001-06-29,436.662
2001-07-31,446.445
2001-08-31,407.165
2001-09-28,358.74
2001-10-31,369.564
2001-11-30,392.017
2001-12-31,395.961
2002-01-31,383.423
2002-02-28,378.333
2002-03-29,402.002
2002-04-30,399.658
2002-05-31,406.279
2002-06-28,401.466
2002-07-31,338.603
2002-08-30,343.359
2002-09-30,276.811
2002-10-31,287.112
2002-11-29,304.944
2002-12-31,282.791
2003-01-31,278.019
2003-02-28,257.275
2003-03-31,245.14
2003-04-30,303.206
2003-05-30,323.23
2003-06-30,341.312
2003-07-31,363.37
2003-08-29,358.813
2003-09-30,350.504
2003-10-31,387.878
2003-11-28,408.875
2003-12-31,459.573
2004-01-30,460.772
2004-02-27,456.167
2004-03-31,430.624
2004-04-30,440.294
2004-05-31,441.255
2004-06-30,456.134
2004-07-30,435.63
2004-08-31,425.81
2004-09-30,445.368
2004-10-29,465.843
2004-11-30,507.051
2004-12-31,537.478
2005-01-31,518.458
2005-02-28,543.42
2005-03-31,529.643
2005-04-29,502.247
2005-05-31,513.919
2005-06-30,517.1
2005-07-29,559.067
2005-08-31,559.963
2005-09-30,574.928
2005-10-31,558.697
2005-11-30,575.325
2005-12-30,600.09
2006-01-31,647.228
2006-02-28,651.339
2006-03-31,674.106
2006-04-28,706.554
2006-05-31,679.093
2006-06-30,671.842
2006-07-31,679.792
2006-08-31,697.025
2006-09-29,703.508
2006-10-31,747.371
2006-11-30,775.909
2006-12-29,815.156
2007-01-31,821.551
2007-02-28,836.538
2007-03-30,872.194
2007-04-30,955.88
2007-05-31,1000.0
2007-06-29,1006.75
2007-07-31,961.197
2007-08-31,957.868
2007-09-28,1032.158
2007-10-31,1085.818
2007-11-30,1051.117
2007-12-31,1050.048
2008-01-31,899.087
2008-02-29,921.025
2008-03-31,939.301
2008-04-30,960.638
2008-05-30,966.108
2008-06-30,868.284
2008-07-31,842.834
2008-08-29,798.751
2008-09-30,650.08
2008-10-31,457.842
2008-11-28,450.834
2008-12-31,522.79
2009-01-30,419.03
2009-02-27,366.929
2009-03-31,408.341
2009-04-30,496.438
2009-05-29,545.788
2009-06-30,526.772
2009-07-31,590.007
2009-08-31,643.812
2009-09-30,680.447
2009-10-30,647.193
2009-11-30,680.253
2009-12-31,687.492
2010-01-29,633.044
2010-02-26,623.579
2010-03-31,683.961
2010-04-30,663.22
2010-05-31,591.994
2010-06-30,585.306
2010-07-30,648.386
2010-08-31,610.66
2010-09-30,677.579
2010-10-29,736.793
2010-11-30,693.356
2010-12-31,746.888
2011-01-31,789.767
2011-02-28,812.079
2011-03-31,804.154
2011-04-29,897.979
2011-05-31,837.347
2011-06-30,851.692
2011-07-29,806.088
2011-08-31,639.403
2011-09-30,569.573
2011-10-31,656.318
2011-11-30,625.195
2011-12-30,586.133
2012-01-31,645.626
2012-02-29,700.213
2012-03-30,705.12
2012-04-30,677.809
2012-05-31,586.406
2012-06-29,626.216
2012-07-31,630.345
2012-08-31,671.995
2012-09-28,706.489
2012-10-31,719.449
2012-11-30,719.383
2012-12-31,753.444
2013-01-31,797.336
2013-02-28,759.062
2013-03-29,737.831
2013-04-30,775.155
2013-05-31,816.116
2013-06-28,767.839
2013-07-31,824.624
2013-08-30,806.086
2013-09-30,893.695
2013-10-31,951.261
2013-11-29,978.214
2013-12-31,1001.51
2014-01-31,965.049
2014-02-28,1030.871
2014-03-31,1017.837
2014-04-30,1029.177
2014-05-30,1050.273
2014-06-30,1047.994
2014-07-31,973.523
2014-08-29,961.419
2014-09-30,912.867
2014-10-31,886.101
2014-11-28,943.851
2014-12-31,901.014
2015-01-30,910.879
2015-02-27,972.693
2015-03-31,974.306
2015-04-30,972.536
2015-05-29,934.685
2015-06-30,907.847
2015-07-31,930.908
2015-08-31,860.455
2015-09-30,786.922
2015-10-30,870.215
2015-11-30,868.897
2015-12-31,845.903
2016-01-29,752.744
2016-02-29,735.891
2016-03-31,815.762
2016-04-29,841.22
2016-05-31,840.388
2016-06-30,767.697
2016-07-29,819.116
2016-08-31,847.692
2016-09-30,845.338
2016-10-31,853.23
2016-11-30,829.17
2016-12-30,895.265
2017-01-31,922.243
2017-02-28,926.785
2017-03-31,968.744
2017-04-28,991.177
2017-05-31,1026.22
2017-06-30,1017.919
2017-07-31,1040.242
2017-08-31,1046.566
2017-09-29,1113.384
2017-10-31,1138.238
2017-11-30,1159.601
2017-12-29,1161.39
2018-01-31,1236.868
2018-02-28,1138.059
2018-03-30,1118.819
2018-04-30,1144.996
2018-05-31,1076.527
2018-06-29,1034.56
2018-07-31,1094.587
2018-08-31,1034.97
2018-09-28,1026.229
2018-10-31,958.009
2018-11-30,948.317
2018-12-31,896.465
2019-01-31,962.396
2019-02-28,984.521
2019-03-29,946.337
2019-04-30,1010.323
2019-05-31,931.129
2019-06-28,1000.683
2019-07-31,968.641
2019-08-30,950.982
2019-09-30,978.426
2019-10-31,1045.746
2019-11-29,1040.808
2019-12-31,1064.663
2020-01-31,1010.698
2020-02-28,912.422
2020-03-31,732.398
2020-04-30,812.802
2020-05-29,881.888
2020-06-30,954.421
2020-07-31,984.013
2020-08-31,1054.887
2020-09-30,1018.871
2020-10-30,936.421
2020-11-30,1127.87
2020-12-31,1181.06
2021-01-29,1166.669
2021-02-26,1202.863
2021-03-31,1290.846
2021-04-30,1315.384
2021-05-31,1365.486
2021-06-30,1318.274
2021-07-30,1312.395
2021-08-31,1317.04
2021-09-30,1259.858
2021-10-29,1272.908
2021-11-30,1176.993
2021-12-31,1258.501
2022-01-31,1251.461
2022-02-28,1180.965
2022-03-31,1146.571
2022-04-29,1067.636
2022-05-31,1115.559
2022-06-30,943.547
2022-07-29,957.07
2022-08-31,898.359
2022-09-30,817.311
2022-10-31,909.484
2022-11-30,1032.902
2022-12-30,1032.861
2023-01-31,1169.133
2023-02-28,1154.392
2023-03-31,1175.358
2023-04-28,1228.983
2023-05-31,1171.932
2023-06-30,1239.248
2023-07-31,1279.108
2023-08-31,1210.432
2023-09-29,1147.711
2023-10-31,1084.726
2023-11-30,1201.222
2023-12-29,1284.863
2024-01-31,1246.982
2024-02-29,1274.086
2024-03-29,1324.492
2024-04-30,1289.469
2024-05-31,1357.039
2024-06-28,1300.904
2024-07-31,1319.915
2024-08-30,1378.163
2024-09-30,1434.505
2024-10-31,1355.182
2024-11-29,1331.387
2024-12-31,1306.236
2025-01-31,1414.445
2025-02-28,1490.932
2025-03-31,1540.192
2025-04-30,1639.681
2025-05-30,1715.231
2025-06-30,1765.555
2025-07-31,1774.053
2025-08-29,1848.295
2025-09-30,1812.924
2025-10-31,1800.388
2025-11-28,1853.159
2025-12-31,1947.882
