Date,GERMANY IMI VALUE IMI (Large+Mid+Small Cap)
2001-01-01,499.722
2001-01-02,499.23
2001-01-03,505.055
2001-01-04,505.694
2001-01-05,512.222
2001-01-08,509.223
2001-01-09,501.877
2001-01-10,497.569
2001-01-11,509.883
2001-01-12,513.4
2001-01-15,513.249
2001-01-16,509.852
2001-01-17,512.079
2001-01-18,520.666
2001-01-19,515.856
2001-01-22,516.036
2001-01-23,521.584
2001-01-24,509.962
2001-01-25,509.379
2001-01-26,509.732
2001-01-29,512.163
2001-01-30,514.415
2001-01-31,519.34
2001-02-01,518.442
2001-02-02,510.201
2001-02-05,514.147
2001-02-06,514.73
2001-02-07,509.904
2001-02-08,505.28
2001-02-09,500.755
2001-02-12,507.975
2001-02-13,503.096
2001-02-14,497.654
2001-02-15,491.461
2001-02-16,489.743
2001-02-19,494.602
2001-02-20,487.044
2001-02-21,482.156
2001-02-22,476.579
2001-02-23,468.701
2001-02-26,476.336
2001-02-27,484.448
2001-02-28,483.95
2001-03-01,483.35
2001-03-02,491.243
2001-03-05,490.546
2001-03-06,495.001
2001-03-07,494.208
2001-03-08,494.38
2001-03-09,492.675
2001-03-12,482.924
2001-03-13,471.968
2001-03-14,455.915
2001-03-15,461.468
2001-03-16,449.072
2001-03-19,444.084
2001-03-20,452.546
2001-03-21,438.503
2001-03-22,415.866
2001-03-23,427.623
2001-03-26,439.521
2001-03-27,454.626
2001-03-28,447.565
2001-03-29,448.58
2001-03-30,449.383
2001-04-02,445.635
2001-04-03,438.376
2001-04-04,447.362
2001-04-05,451.582
2001-04-06,450.089
2001-04-09,457.177
2001-04-10,461.586
2001-04-11,458.557
2001-04-12,465.367
2001-04-13,465.367
2001-04-16,460.601
2001-04-17,456.726
2001-04-18,464.651
2001-04-19,472.897
2001-04-20,476.473
2001-04-23,472.264
2001-04-24,474.16
2001-04-25,473.658
2001-04-26,476.678
2001-04-27,473.838
2001-04-30,474.268
2001-05-01,476.777
2001-05-02,473.603
2001-05-03,467.564
2001-05-04,471.287
2001-05-07,468.595
2001-05-08,464.111
2001-05-09,462.287
