Date,WORLD IMI GROWTH IMI (Large+Mid+Small Cap)
1994-05-31,373.619
1994-06-30,373.621
1994-07-29,377.93
1994-08-31,389.932
1994-09-30,381.539
1994-10-31,390.341
1994-11-30,371.767
1994-12-30,377.093
1995-01-31,370.281
1995-02-28,371.88
1995-03-31,389.878
1995-04-28,402.267
1995-05-31,402.109
1995-06-30,406.426
1995-07-31,429.16
1995-08-31,421.804
1995-09-29,433.506
1995-10-31,424.933
1995-11-30,438.339
1995-12-29,447.613
1996-01-31,452.28
1996-02-29,458.381
1996-03-29,467.1
1996-04-30,484.285
1996-05-31,488.045
1996-06-28,486.42
1996-07-31,461.498
1996-08-30,470.189
1996-09-30,489.398
1996-10-31,484.975
1996-11-29,506.495
1996-12-31,495.552
1997-01-31,500.339
1997-02-28,499.512
1997-03-31,486.779
1997-04-30,501.121
1997-05-30,541.154
1997-06-30,568.296
1997-07-31,595.93
1997-08-29,561.286
1997-09-30,591.105
1997-10-31,556.395
1997-11-28,561.769
1997-12-31,565.686
1998-01-30,583.977
1998-02-27,626.416
1998-03-31,650.279
1998-04-30,660.429
1998-05-29,650.173
1998-06-30,671.808
1998-07-31,671.033
1998-08-31,573.604
1998-09-30,587.541
1998-10-30,639.111
1998-11-30,682.365
1998-12-31,735.501
1999-01-29,768.314
1999-02-26,737.973
1999-03-31,773.795
1999-04-30,787.684
1999-05-31,761.462
1999-06-30,812.901
1999-07-30,814.172
1999-08-31,829.399
1999-09-30,835.767
1999-10-29,892.023
1999-11-30,963.484
1999-12-31,1094.13
2000-01-31,1043.634
2000-02-29,1137.198
2000-03-31,1151.515
2000-04-28,1051.041
2000-05-31,977.497
2000-06-30,1055.968
2000-07-31,1004.849
2000-08-31,1063.585
2000-09-29,972.113
2000-10-31,910.581
2000-11-30,801.665
2000-12-29,795.453
2001-01-31,825.037
2001-02-28,710.186
2001-03-30,640.355
2001-04-30,708.334
2001-05-31,689.978
2001-06-29,665.192
2001-07-31,642.153
2001-08-31,597.299
2001-09-28,534.669
2001-10-31,562.641
2001-11-30,605.35
2001-12-31,607.546
2002-01-31,582.203
2002-02-28,566.405
2002-03-29,592.614
2002-04-30,566.09
2002-05-31,560.968
2002-06-28,524.274
2002-07-31,478.96
2002-08-30,478.152
2002-09-30,430.635
2002-10-31,463.849
2002-11-29,489.236
2002-12-31,461.62
2003-01-31,448.192
2003-02-28,442.215
2003-03-31,445.303
2003-04-30,481.55
2003-05-30,510.255
2003-06-30,518.817
2003-07-31,532.809
2003-08-29,547.881
2003-09-30,551.023
2003-10-31,586.811
2003-11-28,596.011
2003-12-31,621.111
2004-01-30,636.481
2004-02-27,645.958
2004-03-31,643.255
2004-04-30,628.425
2004-05-31,634.492
2004-06-30,645.177
2004-07-30,612.49
2004-08-31,610.343
2004-09-30,623.794
2004-10-29,639.538
2004-11-30,673.179
2004-12-31,701.396
2005-01-31,684.273
2005-02-28,701.102
2005-03-31,687.601
2005-04-29,670.305
2005-05-31,690.088
2005-06-30,696.042
2005-07-29,726.039
2005-08-31,732.486
2005-09-30,749.397
2005-10-31,732.862
2005-11-30,759.339
2005-12-30,777.232
2006-01-31,816.573
2006-02-28,808.21
2006-03-31,830.814
2006-04-28,850.265
2006-05-31,815.047
2006-06-30,812.462
2006-07-31,803.666
2006-08-31,826.344
2006-09-29,834.514
2006-10-31,865.147
2006-11-30,888.332
2006-12-29,898.31
2007-01-31,913.493
2007-02-28,910.157
2007-03-30,928.956
2007-04-30,969.489
2007-05-31,1000.0
2007-06-29,996.411
2007-07-31,985.033
2007-08-31,985.803
2007-09-28,1038.809
2007-10-31,1082.423
2007-11-30,1043.122
2007-12-31,1034.201
2008-01-31,944.4
2008-02-29,954.781
2008-03-31,942.225
2008-04-30,994.446
2008-05-30,1029.69
2008-06-30,963.749
2008-07-31,933.753
2008-08-29,918.113
2008-09-30,789.91
2008-10-31,633.057
2008-11-28,583.859
2008-12-31,606.098
2009-01-30,568.319
2009-02-27,521.223
2009-03-31,558.725
2009-04-30,612.436
2009-05-29,665.917
2009-06-30,668.515
2009-07-31,720.708
2009-08-31,738.688
2009-09-30,774.013
2009-10-30,764.947
2009-11-30,796.167
2009-12-31,819.19
2010-01-29,782.156
2010-02-26,798.672
2010-03-31,849.885
2010-04-30,855.923
2010-05-31,775.213
2010-06-30,749.458
2010-07-30,807.274
2010-08-31,777.843
2010-09-30,861.832
2010-10-29,898.615
2010-11-30,892.62
2010-12-31,956.19
2011-01-31,966.083
2011-02-28,997.932
2011-03-31,996.693
2011-04-29,1040.409
2011-05-31,1024.01
2011-06-30,1007.135
2011-07-29,998.87
2011-08-31,929.504
2011-09-30,838.661
2011-10-31,933.28
2011-11-30,913.818
2011-12-30,903.039
2012-01-31,958.608
2012-02-29,1007.771
2012-03-30,1023.264
2012-04-30,1018.516
2012-05-31,930.779
2012-06-29,967.347
2012-07-31,980.196
2012-08-31,1009.067
2012-09-28,1035.023
2012-10-31,1019.55
2012-11-30,1039.814
2012-12-31,1052.735
2013-01-31,1099.637
2013-02-28,1106.6
2013-03-29,1137.556
2013-04-30,1162.626
2013-05-31,1166.913
2013-06-28,1137.497
2013-07-31,1200.641
2013-08-30,1182.114
2013-09-30,1249.227
2013-10-31,1290.658
2013-11-29,1317.255
2013-12-31,1349.068
2014-01-31,1302.532
2014-02-28,1373.28
2014-03-31,1359.716
2014-04-30,1360.008
2014-05-30,1394.078
2014-06-30,1423.474
2014-07-31,1395.513
2014-08-29,1435.116
2014-09-30,1393.621
2014-10-31,1410.573
2014-11-28,1447.177
2014-12-31,1427.657
2015-01-30,1414.838
2015-02-27,1505.283
2015-03-31,1494.188
2015-04-30,1517.299
2015-05-29,1533.054
2015-06-30,1508.563
2015-07-31,1545.129
2015-08-31,1443.385
2015-09-30,1389.354
2015-10-30,1498.261
2015-11-30,1500.042
2015-12-31,1476.03
2016-01-29,1379.593
2016-02-29,1371.327
2016-03-31,1466.645
2016-04-29,1479.961
2016-05-31,1496.738
2016-06-30,1480.001
2016-07-29,1551.439
2016-08-31,1541.51
2016-09-30,1556.177
2016-10-31,1504.936
2016-11-30,1513.06
2016-12-30,1533.468
2017-01-31,1586.246
2017-02-28,1635.8
2017-03-31,1663.236
2017-04-28,1704.581
2017-05-31,1759.072
2017-06-30,1754.022
2017-07-31,1798.003
2017-08-31,1816.486
2017-09-29,1849.794
2017-10-31,1899.985
2017-11-30,1943.333
2017-12-29,1969.393
2018-01-31,2088.784
2018-02-28,2021.316
2018-03-30,1984.392
2018-04-30,2003.041
2018-05-31,2057.676
2018-06-29,2058.722
2018-07-31,2107.967
2018-08-31,2173.11
2018-09-28,2172.985
2018-10-31,1966.745
2018-11-30,1980.415
2018-12-31,1829.108
2019-01-31,1987.357
2019-02-28,2060.149
2019-03-29,2103.96
2019-04-30,2190.752
2019-05-31,2074.278
2019-06-28,2216.906
2019-07-31,2242.456
2019-08-30,2214.774
2019-09-30,2224.9
2019-10-31,2290.678
2019-11-29,2374.062
2019-12-31,2444.801
2020-01-31,2476.255
2020-02-28,2292.248
2020-03-31,2044.201
2020-04-30,2310.085
2020-05-29,2469.037
2020-06-30,2576.727
2020-07-31,2750.401
2020-08-31,2975.054
2020-09-30,2874.804
2020-10-30,2789.464
2020-11-30,3101.192
2020-12-31,3265.223
2021-01-29,3247.86
2021-02-26,3272.629
2021-03-31,3296.741
2021-04-30,3496.196
2021-05-31,3489.416
2021-06-30,3633.352
2021-07-30,3724.508
2021-08-31,3845.528
2021-09-30,3653.095
2021-10-29,3886.04
2021-11-30,3837.276
2021-12-31,3918.293
2022-01-31,3543.875
2022-02-28,3433.529
2022-03-31,3535.287
2022-04-29,3124.705
2022-05-31,3056.174
2022-06-30,2793.199
2022-07-29,3111.969
2022-08-31,2954.942
2022-09-30,2656.099
2022-10-31,2785.199
2022-11-30,2968.012
2022-12-30,2795.477
2023-01-31,3066.485
2023-02-28,3009.063
2023-03-31,3192.497
2023-04-28,3239.086
2023-05-31,3303.219
2023-06-30,3506.105
2023-07-31,3612.645
2023-08-31,3533.043
2023-09-29,3332.017
2023-10-31,3236.178
2023-11-30,3596.477
2023-12-29,3775.514
2024-01-31,3835.413
2024-02-29,4063.614
2024-03-29,4143.854
2024-04-30,3971.437
2024-05-31,4196.211
2024-06-28,4372.764
2024-07-31,4357.769
2024-08-30,4457.344
2024-09-30,4545.576
2024-10-31,4459.564
2024-11-29,4705.259
2024-12-31,4692.962
2025-01-31,4822.507
2025-02-28,4677.805
2025-03-31,4340.316
2025-04-30,4474.833
2025-05-30,4856.584
2025-06-30,5097.559
