Date,WORLD IMI GROWTH IMI (Large+Mid+Small Cap)
2001-01-01,808.284
2001-01-02,780.758
2001-01-03,810.897
2001-01-04,810.927
2001-01-05,792.893
2001-01-08,786.353
2001-01-09,783.805
2001-01-10,790.083
2001-01-11,805.745
2001-01-12,808.99
2001-01-15,808.195
2001-01-16,808.387
2001-01-17,819.97
2001-01-18,836.247
2001-01-19,836.47
2001-01-22,834.335
2001-01-23,842.722
2001-01-24,842.386
2001-01-25,834.404
2001-01-26,832.584
2001-01-29,836.977
2001-01-30,840.476
2001-01-31,838.316
2001-02-01,839.251
2001-02-02,819.861
2001-02-05,817.351
2001-02-06,817.214
2001-02-07,807.247
2001-02-08,796.158
2001-02-09,781.859
2001-02-12,790.339
2001-02-13,781.292
2001-02-14,778.725
2001-02-15,787.632
2001-02-16,767.393
2001-02-19,765.432
2001-02-20,750.195
2001-02-21,737.943
2001-02-22,732.387
2001-02-23,728.192
2001-02-26,739.869
2001-02-27,732.302
2001-02-28,721.548
2001-03-01,720.624
2001-03-02,710.774
2001-03-05,714.578
2001-03-06,730.869
2001-03-07,732.204
2001-03-08,726.711
2001-03-09,708.279
2001-03-12,675.846
2001-03-13,677.453
2001-03-14,663.831
2001-03-15,665.386
2001-03-16,649.802
2001-03-19,656.897
2001-03-20,650.579
2001-03-21,643.445
2001-03-22,633.231
2001-03-23,652.575
2001-03-26,665.964
2001-03-27,678.621
2001-03-28,660.663
2001-03-29,648.728
2001-03-30,650.422
2001-04-02,639.697
2001-04-03,617.739
2001-04-04,620.063
2001-04-05,647.507
2001-04-06,640.108
2001-04-09,642.185
2001-04-10,657.46
2001-04-11,662.91
2001-04-12,675.242
2001-04-13,675.371
2001-04-16,667.502
2001-04-17,669.364
2001-04-18,701.009
2001-04-19,719.606
2001-04-20,716.12
2001-04-23,701.281
2001-04-24,693.148
2001-04-25,701.815
2001-04-26,706.298
2001-04-27,713.703
2001-04-30,719.319
2001-05-01,731.389
2001-05-02,737.302
2001-05-03,724.721
2001-05-04,732.376
2001-05-07,732.946
2001-05-08,730.664
2001-05-09,722.637
2001-05-10,723.439
2001-05-11,716.355
2001-05-14,709.009
2001-05-15,712.821
2001-05-16,723.954
2001-05-17,732.354
2001-05-18,732.581
2001-05-21,747.249
2001-05-22,747.03
2001-05-23,734.529
2001-05-24,736.061
2001-05-25,727.7
2001-05-28,727.492
2001-05-29,716.673
2001-05-30,700.343
2001-05-31,700.494
2001-06-01,703.163
2001-06-04,705.584
2001-06-05,715.716
2001-06-06,710.565
2001-06-07,716.309
2001-06-08,710.161
2001-06-11,699.286
2001-06-12,693.359
2001-06-13,689.758
2001-06-14,680.158
2001-06-15,674.794
2001-06-18,668.267
2001-06-19,668.052
2001-06-20,670.879
2001-06-21,675.935
2001-06-22,672.785
2001-06-25,671.127
2001-06-26,668.027
2001-06-27,666.066
2001-06-28,670.792
2001-06-29,675.271
2001-07-02,679.424
2001-07-03,676.887
2001-07-04,673.561
2001-07-05,660.368
2001-07-06,645.165
2001-07-09,647.835
2001-07-10,641.426
2001-07-11,637.454
2001-07-12,652.264
2001-07-13,654.65
2001-07-16,647.089
2001-07-17,647.99
2001-07-18,644.282
2001-07-19,650.345
2001-07-20,648.788
2001-07-23,638.529
2001-07-24,632.968
2001-07-25,637.283
2001-07-26,643.068
2001-07-27,646.788
2001-07-30,646.157
2001-07-31,651.817
2001-08-01,657.797
2001-08-02,663.366
2001-08-03,659.45
2001-08-06,652.636
2001-08-07,652.074
2001-08-08,641.27
2001-08-09,636.933
2001-08-10,637.583
2001-08-13,638.786
2001-08-14,640.475
2001-08-15,638.568
2001-08-16,635.327
2001-08-17,625.226
2001-08-20,624.626
2001-08-21,621.148
2001-08-22,625.195
2001-08-23,620.671
2001-08-24,633.275
2001-08-27,633.046
2001-08-28,622.843
2001-08-29,617.506
2001-08-30,604.618
2001-08-31,606.196
2001-09-03,601.693
2001-09-04,600.129
2001-09-05,592.998
2001-09-06,579.717
