Date,ISRAEL IMI GROWTH IMI (Large+Mid+Small Cap)
2002-05-31,490.983
2002-06-28,445.967
2002-07-31,482.015
2002-08-30,478.705
2002-09-30,429.574
2002-10-31,439.08
2002-11-29,513.515
2002-12-31,453.298
2003-01-31,456.106
2003-02-28,463.483
2003-03-31,487.625
2003-04-30,558.133
2003-05-30,623.05
2003-06-30,686.104
2003-07-31,656.629
2003-08-29,667.604
2003-09-30,661.002
2003-10-31,699.511
2003-11-28,736.01
2003-12-31,715.393
2004-01-30,773.765
2004-02-27,801.741
2004-03-31,789.042
2004-04-30,782.036
2004-05-31,783.727
2004-06-30,818.265
2004-07-30,699.673
2004-08-31,657.615
2004-09-30,649.719
2004-10-29,658.93
2004-11-30,717.505
2004-12-31,773.547
2005-01-31,745.093
2005-02-28,770.528
2005-03-31,775.45
2005-04-29,772.152
2005-05-31,818.582
2005-06-30,763.494
2005-07-29,785.85
2005-08-31,794.064
2005-09-30,825.46
2005-10-31,880.971
2005-11-30,944.983
2005-12-30,989.544
2006-01-31,980.473
2006-02-28,960.799
2006-03-31,941.128
2006-04-28,959.466
2006-05-31,870.846
2006-06-30,781.141
2006-07-31,793.497
2006-08-31,836.949
2006-09-29,814.594
2006-10-31,810.416
2006-11-30,813.614
2006-12-29,797.204
2007-01-31,855.262
2007-02-28,875.701
2007-03-30,906.932
2007-04-30,977.789
2007-05-31,1000.0
2007-06-29,1003.76
2007-07-31,1032.292
2007-08-31,1012.885
2007-09-28,1084.383
2007-10-31,1129.91
2007-11-30,1105.565
2007-12-31,1156.448
2008-01-31,1108.486
2008-02-29,1182.978
2008-03-31,1115.003
2008-04-30,1224.248
2008-05-30,1299.998
2008-06-30,1283.342
2008-07-31,1172.199
2008-08-29,1169.427
2008-09-30,1076.246
2008-10-31,871.781
2008-11-28,782.834
2008-12-31,805.064
2009-01-30,794.239
2009-02-27,848.201
2009-03-31,845.241
2009-04-30,862.15
2009-05-29,930.407
2009-06-30,954.685
2009-07-31,1069.865
2009-08-31,1052.692
2009-09-30,1051.663
2009-10-30,1077.684
2009-11-30,1137.602
2009-12-31,1196.785
2010-01-29,1205.578
2010-02-26,1225.869
2010-03-31,1317.992
2010-04-30,1241.752
2010-05-31,1092.073
2010-06-30,1082.771
2010-07-30,1058.658
2010-08-31,1090.599
2010-09-30,1192.926
2010-10-29,1198.146
2010-11-30,1154.625
2010-12-31,1248.61
2011-01-31,1221.383
2011-02-28,1199.732
2011-03-31,1216.132
2011-04-29,1197.537
2011-05-31,1208.875
2011-06-30,1152.685
2011-07-29,1137.39
2011-08-31,996.913
2011-09-30,871.432
2011-10-31,975.952
2011-11-30,925.825
